Speaker,Chinese Traditional (CHT)
Ushiromiya Ange,「我知道美代子是哪個了。左邊的是美代子。因為，右側和中間的人都說別人是美代子。如果自己是美代子的話，是不會說別人是美代子這樣的謊的。」
Ushiromiya Eva,「就是如此。美代子不會說謊。所以有人在說別人是美代子的時候，那個人就一定不是美代子了。」
Ushiromiya Ange,「這樣的話，右側和中間的人都不是美代子，左側的人自然就是美代子了。然後因為美代子會說真話，右邊的就是沙都子了。」
Ushiromiya Eva,「最後剩下的中間的人，就是梨花了。真不錯，滿分！」
Ushiromiya Rudolf,「一下子就解開了啊！緣壽，你真和你媽一樣聰明啊！」
,爸爸把我抱了起來蹭著我的臉。
Ushiromiya Rudolf,「於是，我們就出完題了。」
Ushiromiya Kyrie,「聽好，緣壽。在人生中，此後也會遇到許多的問題。……現在有繪羽姑母來幫你，可以儘管拜託她。但是呢，人生的問題大多都只能由你自己一人來解決。到那時，一定要想起過去給予過你幫助的人們的建議和恩情啊。」
Ushiromiya Ange,「嗯。我知道了。」
Ushiromiya Kyrie,「……繪羽姐。緣壽就拜託你了。」
Ushiromiya Eva,「嗯，當然了。」
,明明之後要出題的都是堂兄堂姐們而已，媽媽說的話卻好像是我要出發去漫長的修學旅行一樣。……真奇怪。
Ushiromiya Eva,「走吧，小緣壽。還差一點，這個遊戲就要結束了。」
Ushiromiya Ange,「收集那麼多金幣，爺爺會給我什麼呢…！」
Ushiromiya Eva,「會是什麼呢？不過，比起那個，我們正獲取著比那更美好有趣的東西呢。」
Ushiromiya Ange,「什麼意思…？」
Ushiromiya Eva,「大家都為能夠這樣和小緣壽說話而感到高興的意思。」
Ushiromiya Ange,「…………？還是不明白。姑母真奇怪。」
Ushiromiya Eva,「對不起。來，走吧。還有堂兄妹們以及貝阿朵莉切就完了吧。」
Ushiromiya Kyrie,「怎麼？叫我到這種地方。………關於緣壽？」
Ushiromiya Rudolf,「不，不是。………………………」
,留弗夫叼著香煙，把弄打火機。
,……明明過去很順手的動作，不知為何難了起來，留弗夫重複了很多遍打火的動作。
Ushiromiya Rudolf,「我啊，一直打算把它帶進棺材。……不，是打算關在貓箱之中的。只要閉嘴等到明晚，就能做到了。……這很簡單。」
Ushiromiya Kyrie,「………………………………」
Ushiromiya Rudolf,「我啊，……說過“今晚會被殺吧”。……這樣的話。」
Ushiromiya Kyrie,「……我知道。你是在隱瞞些什麼。」
Ushiromiya Rudolf,「是嗎。看來我修練得還不夠啊。」
Ushiromiya Kyrie,「………不是關於緣壽的話，是關於誰？總不會是，關於明日夢的吧…？」
Ushiromiya Rudolf,「是關於戰人。」
Ushiromiya Kyrie,「……這也差不多吧。我對待戰人君可還是挺不錯的了？就算他是明日夢的孩子，我還是打算和對緣壽一樣一視同仁的。會好好把他當做自家孩子的，所以你就安心吧。」
Ushiromiya Rudolf,「不是自家孩子。是我和你的孩子。」
Ushiromiya Kyrie,「不好意思，只有這點讓我有所區別好嗎。」
Ushiromiya Rudolf,「不。是我和，你的孩子。」
Ushiromiya Kyrie,「…………………你說什麼？」
Ushiromiya Rudolf,「流產的不是你。是明日夢。………那時，我沒能清算好腳踏你和明日夢的兩只船關係，就做了些手腳…」
Ushiromiya Kyrie,「難道，………難道…………」
Ushiromiya Rudolf,「……明日夢和我是合法夫妻。而和你屬於出軌關係。然後明日夢流產，而你生出了孩子。……於是我的頭就一團亂了。」
,混亂至極的留弗夫，不顧結果所犯下的罪，………就是狸貓換太子。
Ushiromiya Rudolf,「那時的資金周轉比現在要好。因為年輕，也亂來過。……拿著大把的錢威脅醫院，……把你和明日夢的孩子給互換了。」
,如果霧江生了孩子，就會誕生兩個家庭。
,但是，如果霧江變成流產，生下來的孩子是明日夢的孩子的話，就能夠圓滑地擺平所有狀況。
,……以流產為契機，說不定也能把和霧江之間的關係給清算了。
,……這已經是不能用年少輕狂一詞來逃避的，大罪。
Ushiromiya Rudolf,「…………所以我必須要向你們 3 人懺悔。……把和明日夢完全沒有血緣關係的嬰兒交給她。………她看起來挺文靜的，其實意外的敏銳。……說不定她早就已經注意到了。…不過，直到最後她也對把她視作母親的戰人，傾注了全部的愛情來養育。」
,所以，對霧江和戰人，……必須要贖更多的罪才行。
,這兩人之間，那母親與兒子的，普通的家庭中都能夠享受到的溫暖交流，……全都被奪走了。
,霧江直到現在，都堅信戰人是明日夢的孩子。
,表面上她看起來很親切，但心裡還是覺得他是明日夢的孩子而疏遠著。
,看著這樣的她，……留弗夫已然受不了自己良心的譴責了。
Ushiromiya Kyrie,「…………怎麼會，…………我是………………」
,霧江張口結舌地蹲了下來。
Ushiromiya Rudolf,「……儘管罵我吧。不，現在就殺了我也可以。我做了那樣不可饒恕的事。………這就是，在貓箱完全關上之前，我想要坦白的秘密。」
Ushiromiya Kyrie,「戰人………君…………………」
Ushiromiya Rudolf,「對不起，霧江。………戰人………」
Ushiromiya Eva,「才發現，咱們已經找不少人出過問題了呢。」
Ushiromiya Ange,「嗯。之後就只剩讓治哥哥和朱志香姐姐，戰人哥哥和貝阿朵莉切了。」
Ushiromiya Jessica,「哦，終於來了啊？」
Ushiromiya George,「都等得不耐煩了。我還擔心是不是把我們給忘了呢。」
,終於，要向讓治哥哥和朱志香姐姐挑戰。
Ushiromiya Eva,「讓你們久等了。你們兩個，是都準備好超級難題了嗎？」
Ushiromiya Jessica,「我們是想要兩個人來出 1 個問題。」
Ushiromiya Eva,「啊啦啊啦，這樣哪怕是 1 問也很可怕哦。」
Ushiromiya George,「這是為小緣壽準備的特別問題，所以加油吧。」
Ushiromiya Ange,「我會解開的，一定會。」
Ushiromiya George,「那，就趕緊開始吧。朱志香，把那個擺出來。」
Ushiromiya Jessica,「哦來了。」
,2 人在桌子上，放了 3 個彩色的小方箱子。
Ushiromiya Jessica,「這裡有兩個是嚇人箱！剩下的 1 個裡放著金幣。」
Ushiromiya George,「小緣壽能猜中這裡哪個裝著金幣嗎…？」
Ushiromiya Ange,「不給提示的話怎麼可能。這完全是靠運氣！」
Ushiromiya George,「是啊，這樣的話就是撞大運的三選一。也就是說概率是三分之一。」
Ushiromiya Eva,「讓治。這就不是謎題了啊？真的成碰運氣了。」
Ushiromiya George,「問題就在後面。接著說吧。」
Ushiromiya Jessica,「來，緣壽。這 3 個箱子裡，哪個會裝著金幣呢？憑著直覺先選一個。」
,紅箱子、藍箱子和綠箱子。{n}金幣會裝在哪個里，不可能知道。
,……這個可真是，碰運氣。
,這樣的話說不定還是出難題更好。{n}因為，要是解出來就肯定能得出正確答案。
,……不過我在一開始，就以 15 分之 1 的機率抽中了杏仁。
,和這比起來，3 分之 1 的機率不已經是好中 5 倍了嘛。
,再猶豫也沒用。這次，就試試自己的運氣。
Ushiromiya Ange,「那就，…………這個。」
Ushiromiya George,「紅箱子？那，就把這個箱子放到小緣壽面前吧。………這裡面要是放著金幣就好了呢。首先來試驗一下。這個紅箱子裡裝著金幣的機率，是幾分之 1 啊？」
Ushiromiya Ange,「3 分之 1。」
Ushiromiya Eva,「對了。如果這真的只是純粹的試運氣的話。」
Ushiromiya Jessica,「嘿嘿嘿嘿。行了嗎緣壽？真～的要選這個紅箱子？之後就給你打開這個箱子。……不過如果是嚇人箱的話，可是會被嚇好大一跳哦～？」
,朱志香姐姐壞笑著威脅我。
Ushiromiya George,「好嗎，真的就選這個紅箱子麼？……金幣也說不定會在藍箱子或者綠箱子裡哦？要換一個嗎？」
,明明已經選好了，再說這些來威脅真是狡猾。
,而且緣壽知道。
,不論哪個箱子，裝有金幣的概率是一樣的，所以不管是我打開這個紅箱子，還是改變想法去開藍或綠箱子，機率都是一樣的。
,所以，貫徹第一感覺是我的信條。就選這個紅箱子。不改了。
Ushiromiya Ange,「就開這個紅箱子。我就賭它了。」
Ushiromiya Jessica,「膽量不錯嘛。不過，嚇人箱可真的很嚇人哦～？到底有多可怕，給你開一個看看吧？」
,朱志香姐姐陰險地笑著，打開了綠箱子。
,於是，啪！的一聲爆竹巨響，南瓜怪物和彩帶也一併飛了出來。
,……稍微有點被嚇到。……這是說謊的。是嚇了一大跳……。
,這樣的要是自己打開箱子時向自己飛過來，說不定就會嚇得坐在地上哭起來呢…。
Ushiromiya Jessica,「緣壽～，真的就選這個紅箱子了…？說不定會飛出超恐怖的東西哦…？果然，還是換藍箱子更好吧～…？」
Ushiromiya Ange,「才不可怕。我就選紅箱子，就這個！」
Ushiromiya George,「哈哈哈哈哈，要挾過頭了，朱志香。那，這樣箱子就少了一個，變成兩個了呢。於是，現在起才是問題，小緣壽。」
Ushiromiya Ange,「是猜哪個箱子裡有金幣？」
Ushiromiya George,「在小緣壽的面前，剛才放在這裡的紅箱子和，我面前的這個藍箱子。打開哪個箱子，裡面裝有金幣的可能性更高呢？這就是問題。」
Ushiromiya Ange,「也不知道裡面的東西，箱子有兩個的話，裝有金幣的概率就是 5 比 5。……兩個都一樣吧？」
Ushiromiya Eva,「……姑母我也是這麼想的呢。不過，這樣答案就太理所當然了吧？總覺得有什麼陷阱……」
,或者，讓人這麼想但實際上簡單的答案才是正解，是這樣的陷阱也有可能。
,說不定是讓人考慮過度，懷疑過度而讓人馬失前蹄類型的典型問題呢。
Ushiromiya Eva,「…………………………。我對你們兩人，問兩個問題，行嗎？」
Ushiromiya George,「請講。」
Ushiromiya Eva,「這三個箱子是誰的？小朱志香的？」
Ushiromiya Jessica,「嗯，沒錯。」
Ushiromiya Eva,「也就是說，哪個顏色的是嚇人箱，你是知道的吧？」
Ushiromiya Jessica,「嗯，這是當然。」
Ushiromiya Eva,「謝謝。之後，第二個問題。小朱志香你剛才為了讓緣壽領教嚇人箱的可怕，而打開了 1 個對吧？這個，不論小緣壽選了哪個箱子都會這麼做嗎？」
Ushiromiya Jessica,「會的。難得的機會，想著讓被嚇的一方產生心理戰的感覺也挺有意思的。」
Ushiromiya Eva,「謝謝你。這樣提示就足夠了。」
Ushiromiya Ange,「提示？誒……？？」
,我完全不明白。
,剛才繪羽姑母的提問怎麼就算是提示了…？
Ushiromiya George,「很遺憾。這是不對的。」
Ushiromiya Ange,「誒？！為、……為什麼？！」
,開始，箱子有 3 個。
,在我面前放了紅箱子的時候，裡面有金幣的機率當然就是，3 分之 1。
,同時，藍箱子裡也是 3 分之 1，綠箱子裡也是 3 分之 1。
,朱志香姐姐把綠箱子打開了，於是箱子變成了兩個，就是 2 分之 1 和 2 分之 1 了。
,但是為什麼，……不對呢…？？？
Ushiromiya Eva,「……………是讓治吧？想出這個問題的。蒙提霍爾問題在 1986 年有嗎？」
Ushiromiya George,「1990 年吧。在小緣壽的世界裡是已經有過的問題了，所以覺得可以出。」
Ushiromiya Jessica,「我雖然聽讓治哥解釋過。可還是不太明白。……雖然原理不太明白，不過現在這個狀況，說是藍箱子裡有金幣的機率大約是紅箱子的 2 倍。」
,2 倍也不對？……就算概率有所不同，大概也是小數點以下的少許不同。
,……概率還真是難。
,哥哥好像說過，不理解概率的人是不能參與賭博的。
,……我還是一輩子，都不要去賭些什麼了…。
,繪羽姑母對著這樣的我撫摸著我的頭，說我很了不起…。
Ushiromiya Ange,「啊。………是藍箱子更好！」
Ushiromiya George,「嘿。這是為什麼呢？」
Ushiromiya Ange,「那個，…………就，……就是覺著。」
Ushiromiya Eva,「小緣壽你想想當時抽中杏仁的那個，分成 15 份的蛋糕？杏仁只有 1 個的話，抽中的機率是 15 分之 1 對吧？」
Ushiromiya Ange,「嗯。15 分之 1。」
,這種考察，在分蛋糕的時候也想了。
,覺得先數沒抽中的人再吃蛋糕，抽中的機率就會變高。
,但是，結果是無論什麼時候吃，15 分之 1 這個機率都不會改變。
Ushiromiya Eva,「但是啊，小緣壽。其實那個蛋糕，如果是連傭人們也一起吃，而切成 20 份的蛋糕呢？」
Ushiromiya Ange,「…………誒？……咦…」
Ushiromiya Eva,「今天是大慶祝嘛。只有傭人們吃不到蛋糕也太過分了吧？所以原本是要切成 20 份的。傭人們先取走了 5 份，將剩下的 15 份重新擺放裝飾，之後再讓小緣壽來選，……的話。小緣壽所選的蛋糕抽中杏仁的機率會是多少呢？」
,原本是 20 份的話，………不就是 20 分之 1 嘛。
Ushiromiya Eva,「但是，傭人們是知道哪裡沒有杏仁的，特別避開了杏仁取走了 5 塊。也就是說，他們拿走了 5 個錯誤選項。所以機率不是 20 分之 1，而是 15 分之 1。」
Ushiromiya Ange,「……因為錯誤選項減少了，所以機率當然會上升了啊。」
Ushiromiya George,「朱志香剛才，就是做了同樣的事情哦。朱志香從你沒有選的那 2 個箱子之中，抽出了 1 個錯誤選項。於是，你沒有選的那一邊是正確選項的機率就相應的升高了對吧…？」
Ushiromiya Jessica,「啊哈哈哈哈哈哈哈……，好像懂了又好像沒懂……」
,減少了錯誤選項，選中的機率會增加是當然的了。
,然後剛才，朱志香姐姐從「我沒有選的箱子」裡，抽出了 1 個錯誤選項。
,所以相應的，「另一個」的正確機率就會上升，這也有些道理……。
Ushiromiya Ange,「……越來越不明白了……」
Ushiromiya George,「不過，小緣壽很厲害了。6 歲就想要理解概率論的事後概率了。概率是很有意思的。你上了高中和大學之後，一定會喜歡它的。好好學習期待著吧。」
,我的小腦袋裡，已經裝得滿滿的了。
,要完全搞明白的話，只能去找繪羽姑母來解說一下。
,繪羽姑母也在苦笑。她一定，也沒怎麼明白。
,我們從這種無聊小事中感到了伙伴意識，高興地握緊那兩人遞來的金幣……。
Ushiromiya George,「小緣壽。上這裡來一下。」
Ushiromiya Ange,「………？什麼事，讓治哥哥。」
,讓治哥哥和朱志香姐姐在窗邊叫我過去。
,繪羽姑母正和媽媽她們進行什麼長談的樣子，我就走向了讓治哥哥他們那邊。
Ushiromiya Ange,「什麼事？」
Ushiromiya Jessica,「馬上，問答大會就要結束了呢。」
Ushiromiya Ange,「嗯。就剩下戰人哥哥和貝阿朵莉切了。………從剛才起就總覺得很困。」
,肯定是因為，之前偷喝的爸爸的大人的果汁。
,喝了那個之後，就總覺得飄忽忽的。……這種輕飄飄的感覺逐漸變強，剛才起就開始想睡了。
,我“呼啊…”地伸了一個大懶腰。
Ushiromiya George,「困了？」
Ushiromiya Ange,「……嗯。要是有沙發的話，估計就會睡著了。」
Ushiromiya Jessica,「是嗎。……那麼再過不久，這個派對也就要結束了。」
Ushiromiya Ange,「………？」
,……就算我睡了，還會繼續的吧。
,我只是，在大家還在開心歡慶的時候打個小盹而已。
Ushiromiya George,「我們剛才出的問題，很難嗎？」
Ushiromiya Ange,「……嗯。現在還不太明白。……而且，好困……」
Ushiromiya George,「那個叫做事後概率。是說知道特定的情報，或是不知道而令機率產生變動情況。」
Ushiromiya Ange,「……………………」
,讓治哥哥專門把我叫過來，是為了教我數學知識嗎…。
,……總覺得，這讓我更困了。
Ushiromiya George,「如果。10 塊蛋糕中有 1 個杏仁的話，選中的機率是 10% 吧。……不過，如果你“被告知”那其實是從 100 塊蛋糕中隨意選出的 10 塊，你覺得概率會變成多少？」
Ushiromiya Jessica,「那就會認為選中的概率就不是 10 分之 1，而是 100 分之 1 了吧…？」
Ushiromiya George,「但是小緣壽選的蛋糕本身並沒有任何變化。……是由於小緣壽知道了什麼，或者說是由於不知道什麼。小緣壽的蛋糕中是否有杏仁的機率就產生變化了。不覺得這很不可思議嗎？」
Ushiromiya Ange,「……這個聽起來好難，不想聽了…」
Ushiromiya Jessica,「緣壽。你要好好聽到最後。」
,朱志香姐姐少有地用嚴厲的口氣說道。
,這些話對我來說到底有著怎樣的意義，……年幼的我還難以知曉。
Ushiromiya George,「我們想要告訴你的，僅此一件事。所以一定不要把它忘了。」
Ushiromiya Ange,「………什麼？」
Ushiromiya George,「此後的未來。會有各種各樣的情報，來干涉你手中的蛋糕。………由你所知的那些事，你的蛋糕的裡面說不定會產生各種各樣的變化。那些有時是你所期望的，……但是恐怕，絕大多數都會變成你不期望的東西吧。」
Ushiromiya Jessica,「真實，無論何時都在緣壽你的手中。……你不覺得由於聽了他人的話語、他人所期待的真實而導致裡面的變化是很奇怪的嗎？」
Ushiromiya George,「你追求的真實，從一開始就在你的手中。……這真實的內容，其實是由你自身來決定的。……你聽到了什麼，不去聽什麼，是你自己在將內容變化著。」
Ushiromiya Jessica,「我知道你現在還糊塗著嘞。但是，要理解它。就算 6 歲的緣壽不明白，經過 12 年就一定會明白的。」
Ushiromiya Ange,「………………………」
,兩個人都以很認真的表情，握著我的肩膀說著。
,……我不明白，他們到底是想要告訴我什麼。
Ushiromiya George,「你手中的真實，並不是不變的。會因為你受到的各種干涉而發生變化。……所以如果，你想要將手中的真實好好珍視的話。」
Ushiromiya Jessica,「這個真實，是由緣壽你自己來守護的。可不要，忘了這點嘞。」
Ushiromiya Ange,「……………………………」
Ushiromiya Ange,「還剩哥哥和貝阿朵莉切的問題就，結束了。」
Ushiromiya Battler,「是嗎？明明有那麼多人，都快要結束了啊。」
{f:5:Beatrice},「如何啊？好好享受今夜的派對了嗎…？」
Ushiromiya Ange,「嗯。很高興。不過稍微有些困了。」
Ushiromiya Eva,「……是呢。畢竟喧鬧了那麼半天了。」
,我揉了揉眼睛。
,之前十分興奮地喧鬧過了。{n}但是，興奮之後總是會很困。
,現在的我，比起金幣更想要能讓人橫著躺下的沙發。
{f:5:Beatrice},「雖然妾身也特意準備好了壓箱問題，……怎麼辦？要是困的話也可以算了。」
Ushiromiya Ange,「不。既然都到這裡了就繼續加油……。………呼啊……」
,哥哥和貝阿朵看著我伸懶腰的樣子，笑了笑。
Ushiromiya Battler,「已經，到了該散席的時間了啊……」
{f:5:Beatrice},「嗯。緣壽啊。妾身的問題，就下次再說吧。這題可沒有容易到，你睡眼朦朧著就能解開的。」
Ushiromiya Ange,「…………不要。……好不容易，努力了那麼多…。……哥哥們的金幣，……我也想要………」
,已經，……好困，好困……。{n}…………………………。
,緣壽晃晃悠悠地走到角落裡的椅子旁，慢慢坐下。
,之後，就像個裝飾在椅子上的小玩偶一樣閉上了眼睛。
,沒一會兒工夫，就能夠聽到她那可愛的呼呼大睡的聲音了…。
,看著睡著的緣壽，貝阿朵靜靜說道。
{f:5:Beatrice},「諸位，安靜。……緣壽睡著了。」
,於是，大家那平和的交談聲，立馬就安靜了下來。{n}大家都盯著緣壽的睡臉。
,就好像是，在以慈愛的眼神守望終於睡著的小嬰兒一樣。
Ushiromiya Hideyoshi,「………小緣壽，應該玩得挺高興吶。」
{f:5:Beatrice},「那是當然。……現在，她可能還沒有感覺到。不過終會有一日，她會回想起今夜的派對，並細細品味那時到底有多麼快樂的吧。」
Ushiromiya Battler,「………是啊。」
Ushiromiya Eva,「……我們也是，和小緣壽一起玩得很開心呢。」
,不知何時，所有人都圍在了睡得正香的緣壽周圍。
,隨著作為主賓的她睡著，……這個萬聖夜派對，迎來了一個結束…。
Ushiromiya Kinzo,「永別了，我的孫女。………爺爺我時隔 12 年還能同你一起玩耍，十分高興啊。……不記得關於我的事也好，只記得我是傲慢的暴君也好。……不過偶爾也要想起來，我曾經是那樣的疼愛過你啊。」
Nanjo Terumasa,「一定會想起來的。………緣壽小姐。你的人生是很長的。就算過去了 12 年，後面依舊很長。願你此後的人生，能變得更有意義。」
Ushiromiya Krauss,「……你是，右代宮家全員的，最後的孫女。我們所有人，都會祈禱你過得幸福的。」
Ushiromiya Natsuhi,「小緣壽。要健康啊。……幸福不是去尋找的，而是去創造的。回憶其實也是一樣。」
Ushiromiya Krauss,「是啊。……也時常有過了些年歲後再回憶，才發現其中的意義所在的情況。」
Ushiromiya Hideyoshi,「偶爾也要想起，俺的和藹可親的樣子來吶。對俺們來說，你能夠想起來就是最好的上供了吶。」
Ushiromiya Eva,「討厭啦。怎麼會是死呢。只是去了被稱為貓箱的那邊的，大幕的另一邊而已嘛。」
Ushiromiya Hideyoshi,「是吶。也不是什麼大幕不大幕。和現在一樣吶。小緣壽熟熟睡著。俺們就這樣在身邊守望著。……俺們啊，無論何時都在她身邊的吶。」
,大家的表情都一樣是微笑著，但已經可以聽到有數人鼻子翕動的聲音…。
,這個派對，不僅是為了無法造訪今日的她而開的。
,同時也是為了今天，……沒能迎接她的到來，也無法向她告別的他們而開…。
Ushiromiya Rudolf,「緣壽。好好活下去啊。……你身上流著我們的血。這點絕對能夠做到的。」
Ushiromiya Kyrie,「……繪羽姐。我家這女兒，就托你照顧了。……這孩子不坦率，又任性急性子。一定會給你添很多麻煩吧……」
Ushiromiya Eva,「我一定會，讓她幸福的。只要小緣壽這樣期待，……一定會。」
Gohda Toshiro,「緣壽小姐…，您不記得鄙人的長相也無所謂。不過請至少，不要忘記鄙人所做料理的味道…！」
Kumasawa Chiyo,「嚯嚯嚯嚯嚯嚯嚯嚯。我不說讓您記得我這熊澤老太婆。不過請至少，不要忘記榨鯖魚汁的味道啊。」
,你什麼時候讓她喝過那個啊，聽到有人這樣的吐槽後大家一起苦笑了起來。
Ushiromiya Rosa,「真是可愛的睡臉啊。……就像她的名字一樣，簡直是天使的睡臉。」
Ushiromiya Maria,「不是天使，是魔女喲。緣壽會成為最後的魔女，安琪·貝阿朵莉切。」
Ushiromiya Rosa,「那個魔法，能讓她變得幸福嗎？」
Ushiromiya Maria,「要成為白魔女，還是成為黑魔女。……這由緣壽來決定。這兩種我都告訴過她。」
Ushiromiya Rosa,「等著她的，一定會是辛苦的人生。小緣壽一定會覺得，自己是世界上最孤獨的人。……不過，我們都在你的背後，永遠都會為你加油的。你不要，忘了這一點啊……」
Ushiromiya Jessica,「緣壽……。不許忘了。不論是自己，還是幸福，還是命運，創造它們的都是自己。只有自己能作決定。這不是誰能給予你的，也不是被誰藏起來讓你去找的。……你可，別把這給忘了。」
Kanon,「我相信，一定已經傳達到了。」
Ushiromiya Jessica,「……那就好嘞。」
Kanon,「我和小姐的故事，一定會將這些傳達給緣壽小姐的。」
Ushiromiya Jessica,「……………嗯。」
Shannon,「讓治少爺要不要也說些什麼呢。」
Ushiromiya George,「……我想要傳達的，已經在那個嚇人箱的問題時說完了。」
Shannon,「她能從那個難解的問題中，汲取出些什麼吧。」
Ushiromiya George,「不知道。不過，她是很聰明的。一定，能夠了解到些什麼吧。」
Shannon,「……緣壽小姐。願您能被引導向正確的未來上。」
,大家一個一個走上前去，向緣壽說出告別的話語。
,到了最後，是戰人和貝阿朵走了過去……。
Ushiromiya Battler,「緣壽。………有沒有稍微憶起些大家的事情呢？」
,當然，睡得正香的緣壽不可能作出回答。{n}不過戰人繼續說。
Ushiromiya Battler,「的確右代宮家是比較奇怪的一家人。因為是有錢人家，圍繞著一家人的奇怪傳聞一定是滿天飛吧。……不過那些都是，島外那幫傢伙們的無端臆測。」
{f:5:Beatrice},「……沒有人會責備，由於年幼而沒能留住溫柔回憶的汝。但即便如此，也要想起來。……忘記並不是罪。……想不起來，才是罪。」
Ushiromiya Battler,「我們所有人，………都因為能把緣壽叫來參加派對而高興。……是吧，各位？」
,大家聽著戰人的話，一齊頷首。
,大家，都知道她的未來是懷抱著十分殘酷無情的孤獨的。
,他們也已經無法治癒她的這份苦痛。
,只有一點他們可以做到。
,…………那就是讓她回憶起自己過去，有著那麼溫柔有趣的親戚們，………而且他們無論現在還是未來，都在擔心著她，守望著她。
{f:5:Beatrice},「不用說。……這些都是幻想。汝是無法抵達 1986 年 10 月 4 日的六軒島的。這些全都是，作為 GM 的戰人所描寫的，汝和妾身等人一同參加派對的，魔法幻想。」
Ushiromiya Battler,「不過，讓她想起來了吧…？大家是有多麼的溫柔，………多麼開心地在親族會議上團聚的，……她已經，想起這些事情了吧…？」
,緣壽呼呼地睡著。
,這些話能不能傳達給她，……也不得而知。
Ushiromiya Battler,「繪羽姑母。」
Ushiromiya Eva,「……………………」
Ushiromiya Battler,「……緣壽就，拜託了。」
Ushiromiya Eva,「像我這種人，………真的有……成為她母親的資格嗎……」
Ushiromiya Battler,「有啊。………明明姑母你自己，都還沉浸在萬分悲痛之中。……卻為了要成為緣壽的母親，而那樣的努力過了。」
Ushiromiya Eva,「但是，我最終還是…………」
Ushiromiya Battler,「沒關係的，姑母。…………緣壽，你聽好。」
,戰人握起緣壽的手，又握起繪羽的手，將兩人的手交疊到一起說道…。
Ushiromiya Battler,「……我們知道由於悲哀的命運，你們兩人有著互相傷害的未來。……這對緣壽來說很悲痛，……對繪羽姑母來說也是非常悲傷的。………拜託你敞開心扉是很過分的。而且，拜託繪羽姑母說即便如此也希望你為了緣壽而忍耐自己的悲傷，這也是很過分的。」
{f:5:Beatrice},「………無論汝，還是繪羽。誰都沒有錯。」
Ushiromiya Battler,「即便這麼說，……我們也沒有拜託你去原諒些什麼的道理。……所以，我們不會說“原諒吧”。………只是，希望你明白。花費時間也好，無論多久之後。……希望你能夠理解繪羽姑母。並且偶爾也，………回憶起我們來。」
{f:5:Beatrice},「還要想起妾身啊。偶爾～想起一下開朗而且性格好，姿容端麗，簡直就是女性的樣板一樣的妾身來，在早中晚高唱妾身之名來崇敬一下。」
,因為有一些無法令人同意的部分，親族們都苦笑了起來。
,繪羽輕輕地撫摸著緣壽的臉頰，最後說道。
Ushiromiya Eva,「………你不原諒姑母也沒關係。……不過啊。姑母我是不憎恨你的。……你至少要了解這點啊……」
,繪羽擦著眼角，緩緩地站了起來。秀吉摟著她的肩，走向留弗夫和霧江。
Ushiromiya Battler,「………源次先生。能把緣壽抱到可以橫躺著的地方嗎？」
Ronoue Genji,「明白了。……到賓館去可以嗎？」
{f:5:Beatrice},「在賓館一個人孤零零的，太可怜了。」
Ushiromiya Battler,「是啊。……客廳的沙發吧。要是她醒了，還想回來的話，隨時都可以這麼做。」
,源次輕輕抱起緣壽，向客廳走去。
,大家一直盯著他們的背影，一同守望著……。
Ushiromiya Kinzo,「紗音，嘉音。最後，緣壽收集到多少枚金幣了？」
Shannon,「……0 枚。」
Shannon,「……1 枚。」
Shannon,「……2 枚。」
Shannon,「……3 枚。」
Shannon,「……4 枚。」
Shannon,「……5 枚。」
Shannon,「……6 枚。」
Shannon,「……7 枚。」
Shannon,「……8 枚。」
Shannon,「……9 枚。」
Shannon,「……10 枚。」
Shannon,「……11 枚。」
Shannon,「……12 枚。」
Shannon,「……13 枚。」
Shannon,「……14 枚。」
Shannon,「……15 枚。」
Shannon,「……16 枚。」
Shannon,「……17 枚。」
Ushiromiya Kinzo,「嗯，是嗎。……那麼，把這個放到她枕邊吧。」
Kanon,「是。明白了。」
,源次把緣壽抱到客廳的沙發，讓她安穩睡著。
,紗音拿來溫暖的毛巾，靜靜蓋在她身上。
,之後嘉音把金藏讓放到枕旁的東西，以及一同交予的留言卡放好。
,留言卡上這樣寫到。
,{a:c:{e:070:“無論何時，大家都在一起。——右代宮家的大家”}}
,放在枕邊的，是金藏所贈與的，毛刷。
,放在枕邊的，是金藏所贈與的，鯖魚罐頭。
,放在枕邊的，是金藏所贈與的，印有片翼紋章的記憶海綿枕。
,放在枕邊的，是金藏所贈與的，舊式白色校園泳衣。
,放在枕邊的，是金藏所贈與的，熟透的芒果。
,放在枕邊的，是金藏所贈與的，門松。
,放在枕邊的，是金藏所贈與的，Angel Mort 的制服。
,放在枕邊的，是金藏所贈與的，金藏簽名照。
,放在枕邊的，是金藏所贈與的，能發出金藏聲音的笑袋。
,放在枕邊的，是金藏所贈與的，印有片翼之鷲的鯉魚旗。
,放在枕邊的，是金藏所贈與的，黃金玫瑰花束。
,放在枕邊的，是金藏所贈與的，代代相傳的音樂盒。
,放在枕邊的，是金藏所贈與的，量產型櫻太郎玩偶。
,放在枕邊的，是金藏所贈與的，印有家徽的茶具。
,放在枕邊的，是金藏所贈與的，印有家徽的懷錶。
,放在枕邊的，是金藏所贈與的，貝阿朵莉切的胸花。
,放在枕邊的，是金藏所贈與的，戰人玩偶。
,放在枕邊的，是金藏所贈與的，貝阿朵莉切玩偶。
,緣壽迷糊著嘟囔了兩聲，把那個抱在臉旁。
Ronoue Genji,「走吧。注意不要吵醒了小姐。」
Kanon,「姐姐。」
