Speaker,Indonesian (IDN)
,"Saat itu, Maria tiba-tiba bertepuk tangan. Sepertinya dia baru ingat sesuatu. "
Ushiromiya Maria,"""......Mawarku... Topan akan menerbangkannya. ......Uu-!"" "
Ushiromiya Battler,"""Oh, maksudmu mawar yang kelihatan sedih yang diberi pita oleh George-aniki?"" "
,Maria sepertinya ingat di mana mawar itu berada. 
,Dia berlari secepat kilat. Kami semua mengikutinya. 
Ushiromiya Maria,"""............Uu-? Uu-."" "
Ushiromiya Jessica,"""Tadi di mana ya...? Kurasa di sekitar sini."" "
,"Kami mencari ke segala arah di area itu, tapi itu hanya satu bunga di antara semua mawar ini. "
,"Meski kami tahu itu di sekitar sini, kami tidak berhasil menemukannya. "
,Angin dari barisan depan topan membuat mawar-mawar di taman bergoyang. Rasanya seperti angin itu mengejek kami dengan menyembunyikan lokasi mawar Maria... 
Ushiromiya George,"""Mungkin bukan di sini... Ayo kita berpencar sedikit untuk mencari."" "
Ushiromiya Battler,"""Kedengarannya bagus. Kita andalkan jumlah."" "
Ushiromiya Battler,""".........Hmm? Kenapa Maria?"" "
,"Saat kami hendak berpencar dan mencari, Maria menarik jaketku dengan wajah tidak senang. "
,......Kau bisa tahu dia tidak ingin kami meninggalkan tempat itu. 
Ushiromiya Battler,"""Ada apa? Kenapa?"" "
Ushiromiya Maria,"""......Uu-. Mawarku ada di sini. Di sini...!"" "
Ushiromiya Jessica,"""Tapi nyatanya nggak ada, kan...? Mungkin di sisi lain petak bunga. Kalau kita semua cari, pasti ketemu cepat, oke?"" "
Ushiromiya Maria,"""Uu-!! Di sini! Mawarku ada di sini!! Cari! Caaarii!! Uuu--!!"" "
,Maria menghentakkan kakinya dengan kesal. 
,"...Dia menunjuk ke tempat itu dan bilang itu pasti di sana, tapi nyatanya tidak ada. "
,"Meski begitu, Maria marah saat kami bilang akan mencari di tempat lain. "
,...Kami benar-benar bingung harus bagaimana. 
,"Untuk sementara, kami tetap berada di dekat Maria dan pura-pura mencari di petak mawar itu. "
Ushiromiya Maria,"""......Uu-. Uu-...! Tidak ada di sini. ......Tidak ada! Tidak ada! Uuu--!!"" "
,"Mungkin maksudnya, harusnya ada di sini tapi ternyata tidak ada. Maria makin lama makin kesal... "
Ushiromiya Battler,"""...Aduh, Maria benar-benar mulai tantrum."" "
Ushiromiya Jessica,"""Kadang, Maria bisa sangat terpaku pada hal-hal kecil banget. Kalau keinginannya terpenuhi, nggak apa-apa sih, tapi..."" "
Ushiromiya George,"""Kita nggak bisa nemuin sesuatu yang memang nggak ada... Itu masalahnya...""    "
,"Tepat saat kami kehabisan akal, Maria memanggil dengan suara keras. "
Ushiromiya Maria,"""Mama!! Uu-uu-!!"" "
,Kami bisa melihat Bibi Rosa di arah tempat Maria melambaikan tangan. 
,"Mungkin dia ingin melihat taman mawar sekali lagi sebelum topan datang, atau mungkin ada urusan ke rumah tamu. "
,Bibi Rosa datang dari arah mansion. Dia segera menyadari suara putrinya dan mendekat. 
Ushiromiya Rosa,"""Wah, ada apa ini, semuanya? Kalian sedang mencari sesuatu?"" "
Ushiromiya Maria,"""Cari itu! Mama, bantu cari mawarku juga! Uu-uu-uu-!!"" "
Ushiromiya Rosa,"""Mawarmu?"" "
Ushiromiya George,"""Kami menemukan mawar yang kelihatan lemah di sekitar sini dan menandainya."" "
Ushiromiya Battler,"""Kami mengikat bungkus permen di tangkainya. ...Tapi Maria, kalau tidak salah, itu tumbuh tepat di depan dan sangat mencolok, kan? Kecuali mawar itu punya kaki dan lari ke mana-mana, pasti letaknya di tempat lain. Mungkin kamu salah ingat."" "
Ushiromiya Maria,"""Uu-!! Itu ada di sini!! Adaa diii siiinii!! Battler nggak percaya! Uu-uu-!!"" "
Ushiromiya Rosa,"""Berapa kali Mama harus bilang berhenti bilang 'uu-uu' supaya kau paham?! Mama akan bantu cari, jadi diam dulu!!"" "
,"Aku belum pernah melihat Bibi Rosa selain sebagai sosok lembut dan baik, jadi amarahnya sedikit mengejutkanku. "
,"Bibi Rosa mulai ikut mencari, jadi untuk sementara kami ikut bersamanya, tapi kami sudah cukup yakin bahwa mawar itu tidak ada di sekitar sini. "
,"...Jadi, tak lama kemudian Bibi Rosa pun menyadarinya. "
Ushiromiya Rosa,"""Mawarnya nggak ada. Apa kamu salah tempat? Ada begitu banyak mawar di sini—"" "
Ushiromiya Maria,"""Uu-!! Uuuu---!!! Itu salah!! Ada di sini!! Mama nggak percaya! Uu-uu-uu-!!!"" "
Ushiromiya Rosa,"""Mama sudah percaya dan sudah cari dengan sungguh-sungguh, kan?! Tapi memang nggak ada!"" "
Ushiromiya Maria,"""Uu-uu-!! Tapi ADA di sini!! Ada tapi nggak ADA!! Uu-uu-uu-!!"" "
Ushiromiya Rosa,"""Kalau begitu pasti ada yang mencabutnya! Pokoknya berhenti bilang 'uu-uu'!!"" "
Ushiromiya Maria,"""Uu-uu-uu-!! Siapa yang cabut mawarku, siapa?! Kembalikan, kembalikan!! Uu-uu-!! Uu-uu-uu-uu-!!!"" "
Ushiromiya Rosa,"""Mana Mama tahu?!! Berhenti, BERHENTI bilang 'uu-uu'!!"" "
,"Bibi Rosa menampar pipi kiri Maria dengan telapak tangannya. Saat itu juga, Maria terdiam karena kaget. "
,"Tentu saja, hanya sesaat. Begitu Maria menyadari bahwa keinginannya ditolak, dia mulai menangis lebih keras. "
Ushiromiya Maria,"""Uu-uu-!! Uu-uu-uu-!! Mawarku! Mawarku!! Uu-uu-uu-uu-uu-uu-uu-!!!"" "
Ushiromiya Rosa,"""Sudah Mama bilang berhenti kebiasaan aneh itu, kan?!! Makanya semua anak di kelas mengejekmu!! Hentikan!!"" "
,"Untuk kedua kalinya, telapak tangannya mendarat di pipi Maria. "
,Kali ini dia tidak diam. Dia tercekat dan mulai menangis... dan semakin keras lagi... 
,Bibi Rosa jelas sangat kesal dan mengangkat tangannya sekali lagi untuk mencoba membuat putrinya diam... 
Ushiromiya Battler,"""T-Bibi Rosa... Yah, yah... Dia masih anak kecil, jadi nggak usah terlalu keras... ihihi."" "
,"Aku mencoba menyela dengan senyum pahit, sambil menggosok-gosok tanganku, ...tapi Bibi Rosa menatapku dengan wajah serius, dan aku sadar seharusnya aku tidak ikut campur. "
Ushiromiya Rosa,"""Maaf, tapi bisakah kalian kembali ke kamar dulu sebentar? Aku perlu bicara sedikit dengan Maria."" "
Ushiromiya Maria,"""Uu-uu-uu-!! Nggak ada yang percaya sama mawarku!! Padahal tadi di sini!! Uu-uu-!! Cari! Caaarii!! Di sini, ada di sini!! Uu-uu-uu-uu-!!!"" "
Ushiromiya Rosa,"""Tapi memang nggak ada!! Berarti kau pasti salah tempat, kan?!"" "
Ushiromiya Maria,"""Uu-uu-uu-uu-!! ADA di sini!! Pasti ADA!! Uu-uu-uu-!!"" "
Ushiromiya Rosa,"""Kalau begitu sudah HILANG!! Lepaskan!!"" "
Ushiromiya Maria,"""Kenapaaa?! Kenapa bisa hilang? Kenapa, kenapaaa?! Uu-uu-uu-!!!"" "
Ushiromiya Rosa,"""Mama juga nggak tahu!! Jadi BERHENTI bilang 'uu-uu'!!"" "
,"Bibi Rosa sekali lagi mengangkat tangannya karena emosinya, dan menampar pipi Maria. Tamparan itu cukup kuat hingga membuat Maria terjatuh. "
Ushiromiya Battler,"""H-Hey, Bibi Rosa, meski dia anakmu, kekerasan bukan solusinya..."" "
,"Aku berdiri di antara mereka untuk melindungi Maria yang masih terjatuh, menangis ""uu-uu"". "
,"......Aku tahu bahwa sebagai orang luar, masalah antara orang tua dan anak bukan urusanku. Tapi aku tidak dibesarkan untuk cuma diam menyaksikan hal seperti ini... "
Ushiromiya Rosa,"""Kau nggak merasa itu aneh, Battler-kun? Apa ada anak perempuan di sekolahmu yang ngomong 'uu-uu'?"" "
Ushiromiya Battler,"""Yah, aku kan udah SMA... Tapi buat anak SD sih, aku rasa ngomong 'uu-uu' itu masih lucu..."" "
Ushiromiya Rosa,"""Lucu? Ngomong 'uu-uu' itu lucu? LUCU?!"" "
,Kata-kataku yang ceroboh tampaknya menyulut amarah Bibi Rosa. Dia menarik kerah bajuku dengan ekspresi yang sangat menakutkan... 
Ushiromiya Rosa,"""Jangan ngomong sembarangan!! Kau tahu nggak umur Maria berapa? Dia sembilan tahun! Kelas empat SD! Bukan anak TK! Tapi dia masih ngomong kayak gitu di kelas!! "
Ushiromiya Rosa,"Kau tidak ngerti?! Kau tahu tidak apa yang mereka katakan saat mengejek anak ini?! Gara-gara kebiasaan aneh ini, dia belum punya satu pun teman! Jangan tutup mata dari kenyataan dan sembarangan bilang Maria itu lucu!! Pikirkan masa depan anak ini dengan serius!!!"" "
Ushiromiya Maria,"""Uu-uu-uu-uu-uu-!!! Uu-uu-uu-uu-uu-uu-!!!"" "
Ushiromiya Rosa,"""Mama sudah bilang, BERHENTI BILANG SUARA ITU!!! Udah Mama bilang BERHENTI kan?!!"" "
,"Bibi Rosa memukul kepala Maria yang gemetar, dari mana suara tak bahagia itu keluar semakin keras. "
,"Aku mencoba menghentikannya, tapi Bibi Rosa mendorongku... "
,Punggungku menabrak George-aniki. 
Ushiromiya George,"""......Dulu, Bibi Rosa juga menganggap itu hanya kebiasaan bayi Maria, ...tapi sekarang sudah kelas empat dan belum hilang, dia jadi sangat khawatir..."" "
Ushiromiya Battler,"""Cara ngomong itu sebenarnya nggak sepenting itu, kan...?"" "
Ushiromiya George,"""Dia nggak akan bisa menjalani hidup dewasa dengan baik kalau tetap seperti ini. ...Jadi, meski menyakitkan dilihat, ......ini memang masalah antara orang tua dan anak."" "
Ushiromiya Jessica,""".........Yah, aku juga sering dimarahin Mama soal cara ngomongku."" "
,"Kalau dilihat dari sisi itu, mungkin adegan sesakit ini pun bukan hal yang bisa dicampuri oleh orang luar... "
Ushiromiya George,"""Battler-kun, waktu kau kecil, kau pernah punya kebiasaan buruk yang susah dihilangkan dan bikin kau dimarahi?"" "
Ushiromiya Battler,"""......Yah, satu dua sih. Pernah waktu Hari Orang Tua, aku dimarahin di depan semua orang, dan itu sangat memalukan."" "
Ushiromiya George,"""Kalau begitu, kau pasti bisa mengerti perasaan mereka berdua sekarang. ......Aku yakin mereka juga nggak mau kita ada di sini saat ini. ......Jessica-chan juga mengerti, kan?"" "
Ushiromiya Jessica,""".........Nggak ada yang mau dilihat orang lain saat sedang dimarahi."" "
Ushiromiya George,"""Ayo kita pergi. Kita kembali ke rumah tamu. Lalu, saat Maria-chan kembali, kita sambut dia seperti nggak ada yang terjadi. Mungkin itu yang terbaik, kan?"" "
,"Kami pikir pendapat George-aniki itu memang masuk akal, dan mungkin kami pun sedang mencari alasan logis untuk bisa mundur dari pemandangan yang menyayat hati itu. "
,"Jessica dan aku mengangguk pada George-aniki, dan kami pun pergi. "
,"Kami memanggil Maria, bilang kami akan ke rumah tamu, tapi dia sepertinya tidak mendengar, dan kami pun merasa agak bersalah dan malu setelah mengatakannya... "
Ushiromiya Rosa,"""Kalau begitu, cari sendiri sepuasnya! Mama nggak peduli!!"" "
Ushiromiya Maria,"""Uu-!!! Aku akan cari! Aku cari sendiri!! Meskipun Mama nggak peduli! Uu-uu-uu-uu-uu-!!"" "
Ushiromiya Rosa,"""Terserah kau saja!!"" "
,"Setelah mengucapkan kata-kata pedas itu, Rosa berbalik dan cepat-cepat kembali ke mansion. "
,Maria mungkin menganggap itu sebagai sikap dingin yang menyakitkan. 
,Tapi itu bukan maksud Rosa. 
,...Itu karena tangan yang dia gunakan untuk menampar pipi Maria dengan emosi tadi... masih terasa kebas. 
,"...Itu karena kalau dia tetap di sana dan terus berteriak, dia mungkin akan terbawa emosi lagi dan terus menampar pipi anaknya. "
,"Setelah Rosa pergi, Maria sendirian di taman mawar. "
,"Angin bertiup semakin kencang, dan sesekali, tetes hujan jatuh di dahinya. "
,...Tapi Maria tak bisa meninggalkan tempat itu. Tidak sampai dia menemukan mawar kecil yang layu itu. 
,"Itu benar-benar ada di sana. ......Tapi sekarang, tidak ada. Padahal dia tahu tempatnya, dan memang tadi ada, sekarang tidak ada. "
,Maria menatap tempat itu dengan getir dan berpikir keras. 
,Mungkin sudut pandangnya salah. Mungkin tinggi pandangannya yang keliru. 
,"......Sambil menatap satu titik, Maria berdiri, mengubah posisi, dan terus menatap. "
,Angin bertiup makin kencang...... 
,Tapi Maria tetap mencari mawar itu di depan petak bunga... 
,.........Kinzo menyadari suara tetesan hujan yang menghantam jendela. Tampaknya hujan turun dengan deras. Hujan mulai turun lebih lambat dari yang diperkirakan oleh laporan cuaca. 
,Kinzo mendekati jendela seolah terpanggil oleh suara hujan itu. Suara hujan adalah suara dari keheningan. 
,"Suara itu terasa lebih sunyi dari kesunyian apa pun... dan membuat manusia ingat bahwa, pada akhirnya, mereka sendirian dari saat lahir hingga saat mati. "
Ushiromiya Kinzo,"""......Kau terlambat, {f:5:Beatrice}."" "
,Apakah kata-kata itu ditujukan pada langit yang diguyur hujan...? Tak ada siapa pun yang terlihat ke arah pandangan Kinzo. 
Ushiromiya Kinzo,"""......Kalau begitu, mari kita mulai. Mari kita mulai jamuan keajaiban kita. ......Pulau ini sekarang telah terputus dari dunia luar. Kini tak ada lagi yang bisa mengganggu upacaraku. "
Ushiromiya Kinzo,"Ada banyak sekali korban yang pantas untukmu. Empat anakku. Tiga pasangan mereka. Empat cucuku. Aku sendiri, para tamuku, dan para pelayanku! Kau boleh melahap sebanyak yang kau mau. "
Ushiromiya Kinzo,"Kunci takdir akan memilih korban sesuai dengan Roulette Iblis. Jika roulette itu memilihku, maka aku pun akan menjadi korbanmu. ...Namun, justru karena itulah, ...karena aku akan bertaruh pada kegilaan semacam itu, ......aku pasti akan membawa keajaiban besar ke dunia ini."" "
Ushiromiya Kinzo,"""...Datanglah, lahaplah sepuas hatimu...!! Aku akan meraih kemenangan atas roulette itu. Ya, aku akan mempertaruhkan segalanya. Pertama-tama, aku akan mengembalikan warisan keluarga Ushiromiya. Terimalah!!"" "
,"Kinzo membuka jendela dengan kasar, mencabut cincin emas dari jarinya, dan melemparkannya dengan keras. "
,"......Pada saat itu, suara petir menggema, menciptakan ilusi bahwa kilat menyambut cincin tersebut. "
Ushiromiya Kinzo,"""Dan, ......saat kau bangkit kembali, pastilah aku yang menjadi saksi kebangkitanmu. Aku akan bertahan hingga akhir dan mengawasi saat kau terbangun. "
Ushiromiya Kinzo,".........Jadi datanglah, {f:5:Beatrice}... Selamat datang di jamuanku...! Sebagai ganti dari semua yang telah aku ciptakan, tunjukkan padaku satu keajaiban lagi saja. ......Oooooohh, ...{f:5:Beatriceeeeeee}........."" "
