Speaker,Italian (IT)
{f:5:Beatrice},"""...Hmph... Ti spacci per calmo nonostante stai ardendo d'indignazione...? Capisco, dopotutto si dice che le fiamme veramente roventi sono quelle placide di color blu. E così che ti senti adesso?"""
Kanon,"""È impossibile che io possa ucciderti con i miei poteri... Tu sei la luna. È impossibile distruggerla lanciandoci contro un ciottolo... Tuttavia, per manifestarti hai riflesso la tua immagine sulla superficie dell'acqua."""
Kanon,"""Se si lancia un ciottolo sulla superficie dell'acqua, per un attimo sarà possibile mandare la luna in scompiglio... Tuttavia, sarebbe avventato affermare che la luna è stata distrutta. Perciò..."""
Kanon,"""Finché la mia vita non giungerà a termine... continuerò a colpire il tuo riflesso sull'acqua...!"""
{f:5:Beatrice},"""Così mi piaci, Kanon!! Cominciate, mobili!!"""
{f:5:Beatrice},"""...Oh... Una scia magnifica."""
,"Le parole di meraviglia espresse dalla strega spezzarono il silenzio, e per un istante, spezzarono anche la paralisi di Jessica."
Ushiromiya Jessica,"""... S-Sto... sognando...?"""
Kanon,"""Fatti avanti. Infimo mobile della strega... Ti sbatterò nell'inferno da cui provieni."""
The Goat Butler,"""..."""
,"Sulla guancia di Kanon rimase una striscia rossa...{n}Vedendo ciò, la strega fece un gran ghigno..."
{f:5:Beatrice},"""Kuahahahahahahahahah... Sentiti libero di farfugliare scuse sul non aver riacquisito i tuoi istinti."""
Kanon,"""..."""
Ushiromiya Jessica,"""...K-Kanon-kun... tieni duro...!"""
Kanon,"""...È tutto a posto... Io... non morirò, non ancora."""
,La scia lasciata dalla capra lacchè... tracciò un ampio arco nell'aria...
,Kanon... non si trovava lì...{n}Era dietro di lei.
Kanon,"""...Torna da dove sei venuto, e attendi il ritorno della tua padrona... Sparisci."""
,Se la battaglia disegnata da quelle scie lucenti fosse una partita di scacchi...{n}Cogliere l'avversario da dietro sarebbe stato uno scacco da parte di Kanon.
,"Doveva metterlo all'angolo, ancora, ancora, e ancora.{n}In modo da effettuare uno scacco matto in sette mosse...!"
,Forse alla capra lacchè non era stata concessa neanche la capacità di vocalizzare i suoi ultimi spasmi...
,"Crollando a terra in ginocchio, si sgretolò in uno sciame di farfalle dorate svolazzanti..."
,"Per cui, l'impatto sul pavimento avvenne senza alcun rumore... Persino chi non sarebbe riuscito a capire lo scontro... avrebbe quantomeno compreso che Kanon era stato senz'altro eccezionale."
{f:5:Beatrice},"""......Hmph. Non si può vincere con quelli fatti a mano... Forse ti ho giudicato troppo male."""
Kanon,"""Tu sei la prossima... {f:5:Beatriceeeeeeee}!!"""
,"Nell'attimo in cui la lama di Kanon squarciò in diagonale la figura della strega, tagliandola come avrebbe fatto con del burro fuso, essa si disgregò in una nube dal color dell'oro..."
,"Si disperse in migliaia di farfalle dorate, e per un singolo istante, la stanza venne colmata da una luce con la stessa tinta del crepuscolo..."
,Era precisamente come aveva detto Kanon stesso. Cercare di fendere {f:5:Beatrice} era equivalente a fendere la luna riflessa in uno specchio d'acqua...
,"La strega si trovava dietro Kanon, sfoggiando un'espressione perfettamente ordinaria sul suo volto, come se fosse stata lì per tutto il tempo."
{f:5:Beatrice},"""Ahahahahahahah...!! È stato uno spettacolo piuttosto interessante. Stavo pensando di chiudere un occhio in segno di rispetto, ma adesso la tua maleducazione mi ha fatto cambiare idea..."""
Kanon,"""Non mentire! Non ti lascerò uccidere la signorina...!! Anche se sarà irrealizzabile... Non permetterò che venga uccisa prima di me!"""
{f:5:Beatrice},"""Non sei neanche capace di arrivare a tanto. Taci, mobile. Rimani muto, mobile. Impara a stare al tuo posto, mobile!!"""
Ushiromiya Jessica,"""...K-Kanon-kun non è un mobile...!"""
{f:5:Beatrice},"""...Oh... E cosa te lo fa pensare?"""
Ushiromiya Jessica,"""Non ho bisogno di una ragione... Kanon-kun è Kanon-kun."""
Ushiromiya Jessica,"""No, il suo vero nome è un altro... ma il suo nome non lo rende un mobile! Kanon-kun vive a modo suo. È una cosa davvero nobile, ed è lui a decidere per se stesso..."""
Ushiromiya Jessica,"""Dire che non può avere un'opinione perché è un mobile, e che non può vivere la sua vita a causa di ciò... è sbagliato!!"""
Kanon,"""Signorina... non la provochi."""
Ushiromiya Jessica,"""No, lo dirò chiaro e tondo... Kanon-kun non è un mobile. Lui è un essere umano... E sai perché?"""
Ushiromiya Jessica,"""Kanon-kun è accorso per salvarmi di sua spontanea volontà. E si è frapposto ad una strega terrificante come te. Ha avuto numerosissime opportunità per abbandonarmi, ma non l'ha fatto..."""
Ushiromiya Jessica,"""...L'abnegazione è una mentalità nobile che soltanto gli umani possiedono!! Perciò, Kanon-kun è umano!! Quindi rimangiatelo! Non dare un'altra volta del mobile a Kanon-kun!!"""
Kanon,"""...Si... gnorina..."""
{f:5:Beatrice},"""Hmph... Mhmhmhmhmhmhmmhmh... Kuhahaha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}hahahah. Wahahahahahahahah!!"""
{f:5:Beatrice},"""Zitta, umana!! Facciamola finita al più presto, dopotutto siamo ancora al secondo crepuscolo. Adesso verranno offerti in sacrifico ‘i due che sono vicini’, la cui nobiltà d'animo è stata vicendevolmente riconosciuta."""
{f:5:Beatrice},"""Orsù, pezzo dei Sette Picchetti del Purgatorio, sorgi, e perdona il peccato della lussuria!!!"""
,"Con un misto di riso e rabbia sul volto, la strega invocò il suo mobile."
Asmodeus,"""...Asmodeus, della Lussuria. Presente."""
{f:5:Beatrice},"""Questa farsa mi ha stufato. Esegui al più presto il secondo crepuscolo...{n}Non metterci troppo, d'accordo?"""
Asmodeus,"""...Ai suoi ordini."""
Ushiromiya Jessica,"""...È-È sbucata fuori un'altra stramboide..."""
Kanon,"""...Nggh..."""
,"Kanon capì tutto in meno di un battito di ciglia... Per la strega, il tipo dal volto caprino di un attimo prima non era che una pedina dal calibro di un pedone."
,"Tuttavia, il mobile appena evocato... aveva un valore da pedina notevolmente diverso."
Asmodeus,"""...Ma quanto sono fortunata per essermi stata concessa una preda così fantastica... Uhuhuhuhuh, hai paura? Che carinooo. Uhuhuhuhuhuhuh!"""
Kanon,"""...Avanti, mobile della strega... Non mi farò uccidere da te...!"""
Asmodeus,"""Uhuhuhuh! Ti dai tante arie per essere un lumacone incapace di prendermi..."""
Asmodeus,"""Ecco che arrivo, sei pronto...? Dimmi, dimmi, dove lo vuoi? Dove vorresti essere trafitto? Rispondimi, bambolino. Ti trafiggerò bene in fondo, ovunque tu vorrai...!! Uhuhuhuhuhuhuhuh, e su, rispondimi, bambolino...!"""
Kanon,"""N-Non chiamarmi bambolino!!!"""
Asmodeus,"""Kyahahahahah!! Sto arrivando, lumacone!! Su, prova a prendermi, occhi di talpa!! Kyaahaha{0}ha{0}ha{0}ha{0}ha{0}ha{0}hahah!!"""
Ushiromiya Jessica,"""Ughhh......!!"""
Kanon,"""...S-Signorina..."""
Ushiromiya Jessica,"""Eh... Non riuscivo a seguirla con lo sguardo... Ma la mia supposizione era esatta... Ben... ti sta, cazzo..."""
,Il bersaglio era la schiena di Kanon...{n}Ma Jessica lo aveva previsto.
,"Aveva previsto che la strega beffarda avrebbe mirato all'esatto opposto di un bersaglio onesto e leale... ossia, la sua schiena."
,Ma non aveva modo di difenderla...{n}Non aveva intenzione di fare la martire.{n}Credeva che non ci fosse altro modo per proteggere il dorso di Kanon...
,"Perciò, non le rimase altra scelta se non di incassare il colpo con la sua stessa schiena."
,"Il mobile della strega, che aveva mutato le proprie fattezze in un picchetto demoniaco, era conficcato in profondità nel dorso di Jessica... Era evidente che fosse una ferita fatale che aveva raggiunto i suoi polmoni."
,"Osservando la scena, la strega emise una fragorosa risata maligna."
,Perché {i:il punto previsto dalla strega} era stato colpito a segno...{n}Ogni singola cosa era andata come previsto!
{f:5:Beatrice},"""È tutto a posto, Kaaanooon...? Sbaglio o la signorina Jessica è stata uccisa prima di te??"""
{f:5:Beatrice},"""Kueheheheheh, sì, sì, eccola, eccola, è proprio quella, quella è la faccia che volevo vedere!! Kihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihihih!! Che piacere sublime!! Basta così, ora muori, muori, fammi ridere!!"""
{f:5:Beatrice},"""Orsù, pezzo dei Sette Picchetti del Purgatorio, sorgi, e perdona il peccato... dell'ira!!"""
Satan,"""...Satan, dell'Ira. Presente."""
{f:5:Beatrice},"""Questa preda è tua. Mangiala seduta stante, e caliamo il sipario su questo misero palco."""
{f:5:Beatrice},"""Se tu fossi stato un essere umano, avrei detto che questo è il momento di ritirarti, ma dato che sei un mobile, forse dovrei dire che è ora che l'attrezzista ti porti fuori scena!"""
Kanon,"""...Io... ho smesso di essere un mobile. E non dubiterò di ciò... mai più!"""
Satan,"""...Uhuhuhuh, ma cosa dici? Vuoi essere di nuovo ucciso da me?"""
Satan,"""Il tuo petto... è così caldo, ed è così piacevole da traffigere, sai...? Andiamo, fammelo assaporare di nuovo, va bene...? Fammi godere come si deve dentro al tuo petto caldo, e schizzami il tuo sangue così cocente..."""
Satan,"""Kyahahahahahahahahahahahahahahah!!!"""
Kanon,"""Ghh...!!"""
,Era impossibile bloccarla.
,Un rumore simile ad un picchio tamburellante permeò in tutta la stanza... e prima che potesse dire ‘ah’... lei si trovava già al centro del suo petto...
,"Secondo le regole degli scacchi, quando un pezzo viene mangiato, è impossibile che la pedina avversaria possa difendersi."
,"Per cui era un risultato scontato, determinato dalle regole del gioco."
,"Kanon si poggiò a terra con entrambe le ginocchia... Dopodiché, porse le sue scuse..."
,Non erano rivolte alla strega... E nemmeno alla ‘signorina’...
,Porse le sue scuse... a Jessica.
Kanon,"""...Mi dispiace... Non sono riuscito... a proteggerti..."""
Ushiromiya Jessica,"""...Non preoccuparti... Sei stato davvero... fantastico..."""
,"Infine, Kanon crollò al suolo... per poi cadere accanto a Jessica, e i due giacquero in una maniera reminescente la costellazione dei Gemelli."
Ushiromiya Jessica,"""...Sai, Kanon-kun... tu non sei più un mobile..."""
Kanon,"""...Sì... me ne sono... reso conto... troppo tardi..."""
Ushiromiya Jessica,"""Volevo chiederti... quale fosse il tuo vero nome..."""
Kanon,"""...Il mio... vero nome è... Ah... aaaaaah... ah..."""
,"Nei suoi ultimi istanti, Kanon avrebbe voluto dirle il suo vero nome... Ma ormai... Jessica era caduta in un sonno da cui non si sarebbe mai più risvegliata..."
,"Pertanto Kanon, che aveva difeso il suo vero nome fino a quel giorno... alla fine... non potè... rivelarlo a Jessica..."
Kanon,"""...Io... sono diventato un... u... ma..."""
,Quelle furono... le ultime parole lasciate da Kanon.
{f:5:Beatrice},"""Wahahahahahahahahah, kihihihihaha{0}ha{0}ha{0}ha{0}ha{0}hahah!! Non farmi ridere, mobile!!"""
{f:5:Beatrice},"""Potranno passare cent'anni, un mobile rimarrà sempre un mobile! Quale razza di idiota scaverebbe una tomba per un mobile quando lo getta via? Farà a pezzi il mobile per farci della legna da ardere, e tutto ciò che ne rimarrà sarà cenere!!"""
{f:5:Beatrice},"""Mhmhmhmhmh, proprio così, non esistono lapidi incise in onore a un mobile...! Sembra che tu creda che una volta morti, non si possa ricevere più alcuna umiliazione, ma è un ragionamento da sprovveduti... Ti insegnerò io... cosa significa oltraggiare i morti. Mhmhmhmhmh!!!"""
,"Dopo aver dato uno sbuffo alla sua pipa, la strega soffiò del fumo sul cadavere di Kanon..."
,"Così facendo, il corpo di Kanon si librò dolcemente in aria... e si volatilizzò, come se una bocca invisibile lo avesse divorato."
,"La strega era stata spregevole fino all'ultimo... Ai cadaveri dei due, che erano finalmente riusciti a intendersi, non fu concesso nemmeno di stare vicini..."
,"Se uno spettatore avesse assistito a ciò, probabilmente avrebbe disapprovato, definendolo un autentico oltraggio nei confronti di chi era morto..."
,"Tuttavia, {f:5:Beatrice} era di gran lunga più crudele di così...{n}Cosa che sarebbe diventata immediatamente chiara..."
