Speaker,Italian (IT)
Ushiromiya Rudolf,"""Ehi, Rosa. Sei in ritardo. Se l'aereo fosse stato puntuale, saresti a malapena arrivata in orario..."""
Ushiromiya Rosa,"""Scusate. Ci son stati problemi con le coincidenze dei treni. Ma come, stiamo ancora aspettando il controllo meteo?"""
Ushiromiya Eva,"""Oh, non frignare. Preferisco un viaggio in aereo di trenta minuti, piuttosto che fare su e giù su una barca per sei ore. Sarebbe più rapido anche se aspettassimo per un'altra ora."""
Ushiromiya Hideyoshi,"""Anche Maria-chan è cresciuta!! Quanto sei alta adesso?"""
Ushiromiya Maria,"""Uuh! Quanto sono alta adesso?!"""
,Maria-chan ripetè a pappagallo la domanda di zio Hideyoshi a sua madre.
,"Probabilmente non si ricordava bene quanto fosse alta. Forse, dato che era nel bel mezzo dello sviluppo, cresceva ogni mese in altezza."
,Poteva darsi che tra qualche anno sarebbe diventata di colpo una signorina.
Ushiromiya Rosa,"""Vediamo... quanto eri alta l'ultima volta che ti sei misurata? Cresci sempre di più. Vero?"""
Ushiromiya Maria,"""Uuh!"""
Ushiromiya Kyrie,"""Penso sia cresciuta molto di più rispetto all'anno scorso. Vediamo, ha compiuto nove anni quest'anno, vero?"""
Ushiromiya Maria,"""Nove anni. Uuh."""
Ushiromiya George,"""Esatto, hai nove anni. Son contento che stai bene, Maria-chan!"""
Ushiromiya George,"""Oh issa... Nnnggh... sei un po' troppo pesante ormai per giocare all'aereoplano..."""
Ushiromiya Battler,"""Fratellone George, che cosa scortese da dire ad una signorina. Su, lo farò io... Si vola...!"""
Ushiromiya Maria,"""...Uuh."""
,"Quando stetti per sollevarla al posto del fratellone, Maria irrigidì il proprio corpo come per rifiutare, guardandomi dritto in faccia con sospetto..."
,"Ah, ma certo. L'ultima volta che incontrai Maria era stato sei anni fa, e lei aveva solo tre anni."
,Non c'era modo che potesse ricordare la mia faccia.
Ushiromiya Kyrie,"""Maria-chan, non ti ricordi? È Battler-kun. Giocavate insieme, te ne sei dimenticata?"""
Ushiromiya Maria,"""...Uuh."""
Ushiromiya Rudolf,"""Non credo proprio. L'ultima volta che ha incontrato Battler aveva tre anni. Di norma non si hanno ricordi di quell'età."""
,"Probabilmente, dato che a parte me incontrava gli altri ogni anno, per lei erano tutte facce conosciute, ma io non avevo relazioni con la famiglia Ushiromiya da circa sei anni."
,"Quindi ci poteva stare che non si ricordasse di me, ora che aveva nove anni."
,"Per quanto mi riguardava, ricordavo solo vagamente che a tre anni lei fosse una piagnucolona."
Ushiromiya Rosa,"""Maria. Lui è il cugino Battler. Il figlio di mio fratello Rudolf... Hai capito?"""
Ushiromiya Maria,"""...Il figlio del fratello... Il fratello è il figlio...?! Uuuuuuh!!"""
,Probabilmente usava quell' ‘uuh’ per esasperazione quando non capiva una spiegazione complicata.
,Credo che fosse stata una spiegazione un po' confusionaria.
Ushiromiya George,"""Maria-chan. Lui è Battler-kun. È un cugino grande, come me."""
Ushiromiya Maria,"""...Come il cugino George...? Battler? Cugino grande...? Uuh."""
Ushiromiya George,"""Esatto. Hai capito bene."""
,"Io pensavo che il fratellone fosse molto bravo, per non dire maturo, in cose di questo tipo."
,"Per uno non sposato, era fin troppo bravo con i bambini. Sicuramente in futuro sarebbe stato un padre molto amorevole."
Ushiromiya Maria,"""...Cugino Battler?"""
,"Maria mi guardò dritto negli occhi, come per chiedermi se mi andasse bene il venire chiamato in quel modo."
Ushiromiya Battler,"""Sì, sono Battler. È bello vederti, Maria!"""
Ushiromiya Maria,"""Uuh! Battler!"""
Ushiromiya Rosa,"""Su, Maria! Non dovresti chiamarlo così, chiamalo cugino Battler...!"""
Ushiromiya Battler,"""Non fa niente, zia Rosa. Non far caso a questi dettagli. Ehi, Maria! Tra di noi possiamo chiamarci per nome, vero?!"""
Ushiromiya Maria,"""Battler, Battler, Battleeerrr! Uuh, uuh!"""
Ushiromiya Battler,"""Giusto! Maria, Maria, Mariaaa! Uuh, uuh!!"""
,Giocammo per un po' per rifarci dei sei anni in cui non ci siamo visti.
,"Immagino che per lei io fossi ancora il cuginone che vede per la prima volta, ma ciò sarebbe cambiato man mano nel tempo."
,Però ero sorpreso. Era esattamente come me la ricordavo sei anni fa.
,In fondo le persone non cambiano così tanto. Ero abbastanza contento che fosse rimasta la ragazza innocente delle mie memorie.
,Il suo nome si scrive così: {p:0:真里亞}... Riuscite a leggerlo? {p:0:真里亞} si pronuncia: ‘Maria’.Trovo di una certa classe il fatto che il terzo carattere ‘{p:0:亞}’ ricordi una croce.
,"Visto che non mostrava molto le sue emozioni, era difficile capire a cosa stesse pensando, ma in fondo era solo una questione di espressività. Se si va oltre le apparenze, non era diversa da una bambina tenera qualunque."
,"Poi c'era la madre di Maria, zia Rosa. È la sorella minore del mio vecchio."
,{ruby:Rouza:{p:0:楼座}} si pronuncia così: ‘Rosa’... Ecco un nome palesemente straniero.
,"Mi spiace dirlo, ma la ridicolezza del suo nome rivaleggia con quella del mio vecchio... Ad ogni modo, zia Rosa non era una degenerata. Al contrario del vecchio, era una persona fantastica..."
,"Ora che ci penso, tutti i nomi della mia famiglia hanno un tocco occidentale.Perché il nonno ha questi gusti?"
,"A causa sua, anche noi nipoti abbiamo problemi per questo. Inoltre, non trovate fastidioso che il suo nome sia perfettamente normale per un giapponese?"
,"Comunque, zia Rosa era più tranquilla, se paragonata agli altri parenti."
,"Il mio vecchiaccio e zia Eva avevano questa strana tendenza a stuzzicare e ridicolizzare le persone, ma zia Rosa, nonostante avesse il loro stesso sangue, non era della stessa pasta."
,"Tra i fratelli, era quella con più buon senso."
,"Come zio Hideyoshi, era una zia gentile che è sempre stata dalla parte dei bambini..."
,"D'altra parte è un peccato che fosse rigida nell'educazione, e che non fosse generosa con le paghette come zio Hideyoshi."
,"Bene. Con questo la famiglia era al completo, pronta a salire sull'aereo."
,"Con un tempismo fin troppo perfetto, nella lobby vi fu un annuncio."
,"""Ci scusiamo per l'attesa. Adesso inizierà l'imbarco per il volo 201 per Niijima. Chiediamo cortesemente ai passeggeri di formare due file dietro alla linea bianca di fronte al bancone."""
Ushiromiya Rudolf,"""Rosa, non hai ancora terminato le procedure d'imbarco? Sbrigati, su."""
Ushiromiya Rosa,"""Oh no...! Maria, vieni!"""
Ushiromiya Maria,"""Uuh!"""
,Prima di accedere alla pista d'atterraggio fummo sottoposti ad un'ispezione per oggetti metallici.
,"Il velivolo non era delle dimensioni adatte per rotte internazionali, ma anche se piccolo, era pur sempre un aereo. Un membro dello staff con un metal detector effettuò a tutti un body check."
,"Quando tutti noi superammo il controllo, raggiungemmo la pista con la guida di uno del personale."
,"Ma tu guarda, guardando la nostra fila c'erano solo membri della famiglia Ushiromiya."
,"Sembrava proprio un volo privato, riservato solo per noi."
,"La fila si fermò di fronte alla porta d'imbarco. L'addetto si voltò, e guardando una lista, disse:"
,"""Adesso l'imbarco avrà inizio. Leggerò ad alta voce l'elenco dei passeggeri, per cui vi preghiamo di occupare i sedili in ordine, dalla prima fila a destra, e poi a sinistra, dopodiché dalla fila seguente a destra, e poi a sinistra, e così via. Detto questo, chiamerò i vostri nomi ad alta voce. Il signor Hideyoshi Ushiromiya!"""
Ushiromiya Hideyoshi,"""Oh, sono il primo! Eccomi...! Ah giusto, Eva, hai delle caramelle? Sai, le sto cercando da un po', ma non le trovo."""
,"""La signora Eva Ushiromiya."""
Ushiromiya Eva,"""Sono nella borsetta. Le tirerò fuori quando saremo saliti."""
,Ho sentito dire che il rumore delle caramelle masticate sia un buon modo per proteggere le orecchie dal fastidio dovuto alle variazioni nella pressione atmosferica durante il decollo e l'atterraggio. Si staranno riferendo a questo.
Ushiromiya Battler,"""...Spero di beccare un posto vicino al finestrino!"""
Ushiromiya George,"""Ahahah, non preocuparti. Dopotutto, non ci sono altri posti."""
,"Come disse il fratellone George, sembrava che ci fossero solo due file di sedili."
,Come ci si aspetterebbe da un piccolo aereo... Ma siamo veramente sicuri che non oscillerà....?
,"""Il signor George Ushiromiya."""
Ushiromiya George,"""Eccomi. Non preoccuparti, Battler-kun. Non oscillerà molto."""
,"""Il signor Battler Ushiromiya."""
Ushiromiya Battler,"""F-Fratellone, che intendi con ‘non molto’?! Anche se cadessi da una barca starei bene, dato che so nuotare, ma se cadessi da un aereo per me sarebbe la fine!! Ma di sicuro c'è un paracadute nel nostro sedile, giusto? Aspetta, non c'è?!"""
,"""Il signor Rudolf Ushiromiya."""
Ushiromiya Rudolf,"""Forza, Battler, non farti impressionare e sbrigati ad andare in fondo alla fila."""
Ushiromiya Battler,"""Ahia! Papà! Non spingermi! Non c'è il paracadute!"""
,"""La signora Kirie Ushiromiya."""
Ushiromiya Kyrie,"""Su, fate i bravi. Muovetevi, su."""
Ushiromiya Rudolf,"""Ahia! Kirie! Non spingermi! Questa testa di rapa non si muove!"""
,"""La signorina Maria Ushiromiya."""
Ushiromiya Maria,"""Uuh! Muovetevi, su!"""
,"""La signora Rosa Ushiromiya."""
Ushiromiya Rosa,"""Dai, Maria! Calmati..."""
,"""Qui è il vostro pilota Kawabata. Vi ringraziamo per aver scelto il volo 201 di oggi della New Tokyo Airlines. Stimiamo un volo di 20 minuti per l'aeroporto di Niijima."""
,"""Ci è stata comunicata la presenza di turbolenze atmosferiche. Potrebbero verificarsi alcuni scossoni, perciò vi chiediamo di non slacciare le vostre cinture dopo il decollo."""
Ushiromiya Battler,"""F-Fratellone, cosa sono questi scossoni per cui non possiamo slacciarci le cinture?! Se fosse stato un jumbo jet avremmo potuto slacciarle dopo il decollo, giusto?! Quindi vibrerà così tanto che non potremo togliercele?!"""
Ushiromiya Battler,"""Maledetti, mi avete ingannato, ma quanto oscillerà?! Dove sono i paracadute?! Lo sapevo, avrei dovuto prendere la barcaaaaa!!"""
