Speaker,Italian (Ars Magica) (Old) (ITA)
Ushiromiya Ange,"""Ok, ok, mia padrona. In realtà anch'io voglio vedere cosa accadrà in seguito, dopotutto."""
,Ma che razza di collegamento hanno Onii-chan e Beatrice?
,... Capire ciò probabilmente mi darà un grosso indizio per trovare la verità di questo mondo.
,"Dopotutto, poiché se n'è ricordato, è stato in grado di raggiungere la verità."
Ushiromiya Battler,"""Beatrice...!!"""
Kumasawa Chiyo,"""Benvenuto, Padrone... Beatrice-sama la sta aspettando. Da questa parte, prego..."""
,Questo luogo era una villa disposta esclusivamente per Beatrice.
,"Era un luogo sacro per lei soltanto, costruito perché potesse passare i suoi giorni senza essere affetta dal mondo esterno."
,Il mio cuore iniziò a battere forte. ... Sono così contento che abbia potuto rivivere... e che tutto sia a posto...
,Beato è la personificazione delle regole.
,"Quindi, anche se è stata distrutta una volta, per lei è possibile rinascere..."
,"Battler era riuscito a far rivivere in fretta il corpo di Beato, ma aveva avuto dei problemi a rievocare la sua anima."
,"Tuttavia, durante il tempo che aveva passato immerse nella creazione del sesto gioco, si era svegliata. E questo era avvenuto tre giorni fa."
,Battler si fece condurre alla stanza da pranzo.
,La stanza da pranzo era stata preparata affinché Beato la usasse.
,"... Esisteva affinché potesse godersi del tè nero mentre parlavano della verità, ora che finalmente lui l'aveva raggiunta."
,Voglio dirglielo.
,Voglio dire a Beato che ho scoperto la verità.
,"Battler non poteva trattenere la sua eccitazione per questo miracolo che gli era stato concesso, il fatto che Beato lo stesse aspettando nella sala da pranzo per ascoltare ciò che aveva da dire..."
Ushiromiya Battler,"""Come sta Beatrice? È sempre la stessa? È eccitata?"""
Kumasawa Chiyo,"""Oh sì, ora è davvero eccitata. La sta aspettando da molto tempo, Padrone. Oh sì."""
Ushiromiya Battler,"""È nella sala da pranzo? Sta mangiando o cosa? Ah, va bene così, non mi importa...!"""
Kumasawa Chiyo,"""Hohoho, sarà sorpreso..."""
Ushiromiya Battler,"""Beatrice...!!"""
,Quando spalancò le porte della sala da pranzo... Battler fu accolto da una splendida vista.
,"Sebbene il cibo disposto sul tavolo non era particolarmente sensazionale, era stato messo splendidamente, e una bottiglia di champagne stava là, aspettando."
,... Poi... la persona vestita con quell'abito familiare dai bellissimi capelli dorati si inchinò profondamente nell'accoglierlo.
Ushiromiya Battler,"""... B... Beatrice..."""
{f:5:Beatrice},"""Ha la mia più sincera gratitudine per avermi donato tale forma."""
Ushiromiya Battler,"""Ha... hahahaha... andiamo, non preoccuparti... sono così felice... Beato..."""
,Battler corse da Beato e la abbracciò stretta.
,... Solo per accertarsi che il suo corpo non fosse di nebbia o un'illusione.
Ushiromiya Battler,"""... Io... ho risolto... il tuo enigma per te... ma poi, prima che te lo potessi dire, tu sei scomparsa..."""
{f:5:Beatrice},"""... Io sono proprio qui... non scomparirò..."""
Ushiromiya Battler,"""Va bene, puoi anche smetterla di parlare così. Non ho intenzione di chiederti qualcosa in cambio. ... Comunque, voglio scusarmi. E voglio parlare con te. ... Non so nemmeno da dove iniziare."""
{f:5:Beatrice},"""Non ha fatto nulla per cui si debba scusare, Padre. ... Sono grata del semplice fatto di esserle utile."""
Ushiromiya Battler,"""... Beato...?"""
{f:5:Beatrice},"""Beatrice è nata per il suo bene, Padre. La prego, lasci che l'appoggi. E, Padre. Congratulazioni per aver completato il sesto gioco."""
Ushiromiya Battler,"""Ti ho detto di smetterla di parlare così. Mi fai davvero paura."""
{f:5:Beatrice},"""... Trova questo modo di esprimermi sgradevole? La prego di scusare la mia rudezza..."""
Ushiromiya Battler,"""Beh, non è che lo trovi sgradevole, ma non è da te. Credo di preferire il modo in cui parli di solito."""
{f:5:Beatrice},"""..."""
,Beato sorrise in modo vago.
,"Per Battler, probabilmente sembrò come se stessero entrambi ridendo per lo stesso motivo."
,"... Però, il sorriso di Beato era seriamente vago e incerto."
,Dopotutto... non sapeva come dovesse parlare...
Ushiromiya Battler,"""Comunque, Beato. Che razza di scherzo è questo? Non dirmi che la grande Beatrice-sama ha deciso di cucinare per me...?"""
{f:5:Beatrice},"""Non appena ho sentito che ha completato il sesto gioco, ho voluto vedere se potessi preparare una modesta ricompensa per congratularmi con lei..."""
Kumasawa Chiyo,"""... Hohoho. Beatrice-sama ha lavorato davvero molto per fare ciò. Non ho avuto nemmeno bisogno di darle una mano, sul serio!"""
,Il cibo disposto sul tavolo era davvero mediocre e fatto senza esperienza.
,"Guardandolo, si poteva capire che Beato, che non era particolarmente abile in cucina, aveva dato del suo meglio per prepararlo..."
,"Però, segni di disagio e di irritazione iniziarono ad apparire sul volto di Battler..."
Ushiromiya Battler,"""... Perché... hai fatto tutto questo...?"""
Kumasawa Chiyo,"""Oh sì, come ha detto Beatrice-sama, ha deciso di volersi congratulare..."""
,Il sudore stava iniziando a mostrarsi sulla fronte di Kumasawa...
,... Si sentiva anche a disagio.
,"Quando se ne accorse, Battler capì che non era solo la sua immaginazione."
,Beato diede le spalle a Battler e infilò un cavatappi nella bottiglia di champagne.
,"In seguito, la mostrò a Battler."
{f:5:Beatrice},"""Padre, congratulazioni per il completamento del sesto gioco. Nella speranza che si dimostrerà trionfante sulla sua rivale di lunga data, Furudo Erika..."""
,*pop*
,"Con una bottiglia di champagne e un suono simile, ognuno penserebbe che la bottiglia sia stata stappata."
,Ma non era il tappo... era il fondo della bottiglia.
,Lo champagne di alta qualità che Beato si era procurata si sparse su tutto il pavimento e sul suo vestito.
,"In seguito, lo stesso suono si ripeté più volte."
,"... Ogni volta, uno dei piatti con del cibo sul tavolo fu lanciato per aria."
{f:5:Beatrice},"""P... Padre... ha trovato il cibo sgradevole...?"""
Ushiromiya Battler,"""Tu... chi sei...?"""
{f:5:Beatrice},"""... Io... io sono Beatrice. ... Sono stata concepita per il suo bene, Padre..."""
Ushiromiya Battler,"""Non è così..."""
{f:5:Beatrice},"""Eh...?"""
Ushiromiya Battler,"""Chi è questa qui?! Non è Beato...!! E comunque non chiamarmi Padre...!! {n}Che sta succedendo?! Cos'è tutto questo?! Non ho resuscitato Beato?! {n}Genji, cosa è tutto questo?!!"""
Ronoue Genji,"""... Mi perdoni, ma si tratta indubbiamente di Beatrice-sama."""
Ushiromiya Battler,"""Stai scherzando?! Com'è possibile che sia Beato?! È completamente diversa, è un falso!!"""
Ronoue Genji,"""No, è Beatrice-sama. È senza dubbio Beatrice-sama, che è nata secondo le regole della tavola da gioco."""
Ushiromiya Battler,"""No, non è per niente simile a lei...!! Beato parlerebbe sempre in un modo strano, riderebbe maleducatamente, e ancora di più...!!"""
Ronoue Genji,"""No, sicuramente non si tratta di altri che Beatrice-sama."""
Ushiromiya Battler,"""Allora perché parla in quel modo? Perché mi chiama Padre?!"""
Kumasawa Chiyo,"""B-Beatrice-sama è nata poco tempo fa... sarebbe troppo crudele aspettarsi che agisca come un tempo così presto..."""
Ushiromiya Battler,"""Stai dicendo che la sua memoria non è ancora tornata?"""
Ronoue Genji,"""... Padrone. Questa persona è assolutamente la stessa Beatrice-sama. Però, non è la Beatrice-sama che lei conosce così a fondo."""
Ushiromiya Battler,"""Che cosa significa...?! Io sono il Game Master, no?! Perché non posso far rivivere Beato...?!"""
Kumasawa Chiyo,"""Oh sì, di sicuro è resuscitata. Ma la precedente Beatrice-sama ha vissuto per mille anni. ... Questa Beatrice-sama, d'altro canto, è nata solamente poco tempo fa...! Se sembra una persona diversa, beh, non si può fare nulla...!"""
Ushiromiya Battler,"""Allora... come posso resuscitare quella Beato?! Il suo corpo è proprio qui! Come posso resuscitare la sua anima?!"""
Ronoue Genji,"""... Se vive nuovamente la stessa vita per mille anni, dovrebbe diventare la stessa Beatrice-sama che era in precedenza."""
Ushiromiya Battler,"""Quindi dovrei aspettare mille anni...?!"""
Kumasawa Chiyo,"""L-La personalità di una persona non è decisa solamente dalla nascita. {n}Può cambiare drasticamente a seconda di come si vive e delle proprie esperienze..."""
Hachijo Tohya,"""... Capisci? Nonostante sia la stessa Beato, non è la stessa."""
Ushiromiya Ange,"""Ho afferrato. ... Anche se ci fossero due versioni della stessa persona, cambierebbero enormemente a seconda della loro educazione."""
Hachijo Tohya,"""Sebbene all'inizio potrebbero essere lo stesso umano, la loro educazione potrebbe cambiarli talmente tanto che diventerebbero effettivamente due persone totalmente differenti. ... Di solito, usiamo il termine ‘persona’ per riferirci ad una persona, non alla sua personalità. Però, poiché gli umani riconoscono una persona dalla loro personalità, quelle due potrebbero anche essere persone diverse, da una prospettiva umana..."""
Amakusa Juuza,"""... Verissimo. Se dodici anni fa quella tragedia non fosse accaduta, questa Lady sarebbe una ragazza carina che riuscirebbe a sorridere senza sembrare strana."""
Ushiromiya Ange,"""Sei rude. Come se ora non fossi carina."""
,... Lo capisco.
,"Se la personalità è ciò che rende una persona tale ai nostri occhi... si potrebbe dire che una seconda personalità rappresenta una persona completamente differente, nonostante risieda nello stesso corpo di carne."
,Perlomeno... io sono una persona completamente differente da ciò che ero dodici anni fa.
,E se dodici anni fa la mia famiglia fosse tornata a casa... allora la Ange risultante sarebbe sicuramente una persona totalmente diversa da me.
,"Persino lo stesso umano può diventare persone diverse. Infatti, a seconda della loro educazione e delle infinite possibilità, può diventare un numero infinito di persone differenti tra loro."
,"... Perciò, solo perché questa è la stessa Beato... non è garantito che sarà la Beato che Onii-chan conosce molto bene."
Ushiromiya Ange,"""E soprattutto, Beatrice è una strega che ha vissuto mille anni. ... Le persone possono morire o rinascere in soli tre giorni. Mille anni... sono troppo lunghi."""
Hachijo Tohya,"""... Sembri essere una lettrice esperta. ... Per la maggior parte dei miei lettori, sarebbe necessario spendere diverse centinaia di pagine per spiegare come una singola persona possa diventare tante persone diverse a seconda della propria educazione e con il tempo."""
Ushiromiya Ange,"""Non sottovalutare i tuoi lettori. Non stiamo solo leggendo. {n}Leggiamo... e pensiamo."""
Hachijo Tohya,"""... Se lo faccio leggere a 100 persone, solo 90 riusciranno a farlo veramente. {n}Ma solo 50 capiranno a fondo il suo significato. E meno di 20 ci penseranno oltre. ... E tutto ciò che chiedo è che ci pensino un po'. ... Nient'altro. *giggle*"""
Hachijo Tohya,"""Però, sembra che ‘tu’ sia una di quei preziosi 20 lettori... ecco perché ti ho invitato qui, figlia dell'uomo..."""
,"Era difficile gradire questa persona, Hachijo Tohya."
,"... Comunque, sebbene questo falso che aveva scritto era ancora nelle prime fasi... sembrava assolutamente come se avesse qualcosa di molto simile ai racconti in quei messaggi in bottiglia."
,Parlando metaforicamente... si potrebbe chiamare profumo.
,Un'atmosfera indescrivibilmente austera... come una soffocante biblioteca.
,La ‘Beatrice’ che ha scritto i messaggi in bottiglia e Hachijo Tohya sono persone diverse.
,"... Ciononostante, ha lo stesso profumo di quei racconti..."
,... Capisco. Ecco perché qualcuno di quei curiosi Witch Hunters sono così intensamente devoti a lei...
,Il loro acuto senso olfattivo è riuscito a fiutare quel profumo familiare...
Hachijo Tohya,"""Molto bene. ... Continua a leggere, per favore. Non ci potrebbe essere nulla di più interessante di guardare la tua espressione mentre guardi le parole. {n}E poi, parlare con te..."""
Ushiromiya Ange,"""Credo sia vero che gli scrittori siano affamati di opinioni sui loro lavori. {n}Però, mi dispiace deluderti. Non ho il tempo per leggere tutto questo spesso manoscritto. E, cosa più importante..."""
Hachijo Tohya,"""... Eppure, di tempo ce n'è in abbondanza..."""
,Sia la lancetta dei secondi sia il pendolo dell'orologio ornato dietro Hachijo si erano mosse per tutto il tempo.
,Però... per qualche momento non era assolutamente passato del tempo.
,Se ne erano andati solo tre minuti circa dal momento in cui era entrata nella stanza...
Hachijo Tohya,"""Vedi? Il tempo è qualcosa di cui non ti devi preoccupare. ... Una volta finito di leggere, il tuo tempo non sarà esaurito..."""
Ushiromiya Ange,"""..."""
Amakusa Juuza,"""La pagina seguente, Lady, la pagina seguente."""
,Amakusa mi tormentava dicendomi di girare pagina... perciò ritornai un'altra volta al mondo del racconto.
,... Chissà perché il suo racconto ha lo stesso profumo di quello di Beatrice...
,"Forse perché... ha realmente raggiunto la verità, come lei sostiene?"
,Ciò significa che chiunque conosca la verità può creare un numero infinito di messaggi in bottiglia?
,... È questo ciò in cui consiste il mondo della scatola del gatto...?
,Ora capisco. ... Credo che potrebbe anche essere una Strega dell'Infinito.
,Infatti... forse chiunque conosca la verità può essere chiamato Strega dell'Infinito.
,"Un racconto infinito, creato da Streghe Infinite. I due giorni che iniziano dal 4 ottobre del 1986, in cui la mia famiglia è trattata infinitamente come un giocattolo."
,... Devo concluderla.
,Devo trovare un indizio di verità dall'interno di questa storia... e concluderla.
Ushiromiya Battler,"""Che ne pensi, Beato? Com'è questo sesto gioco che ho creato?"""
{f:5:Beatrice},"""..."""
Ushiromiya Battler,"""Beh, in ogni caso non è da te farmi un complimento sincero, vero...? Probabilmente diresti qualcosa del tipo ‘non male per un folle incompetente come te’."""
{f:5:Beatrice},"""*cackle*cackle* Non male per un folle incompetente come te."""
Ushiromiya Battler,"""Heh. Ora che ho capito cosa significa essere un Game Master, comprendo tutto. ... Hai dovuto lavorare davvero duro per ogni singolo gioco."""
{f:5:Beatrice},"""..."""
Ushiromiya Battler,"""Creare un gioco non è una cosa tanto semplice. Pensare che sarebbe venuto il giorno in cui ci saremmo congratulati l'una con l'altro in questo modo."""
{f:5:Beatrice},"""Creare un gioco non è una cosa tanto semplice. Pensare che sarebbe venuto il giorno in cui ci saremmo congratulati l'una con l'altro in questo modo."""
Ushiromiya Battler,"""..."""
{f:5:Beatrice},"""..."""
Ushiromiya Battler,"""... È tutto sbagliato... questa... non è Beato..."""
,"Battler colpì duramente il tavolo, ma la pedina Beato non mostrò alcuna reazione."
,"... Dopotutto, Battler non le aveva ordinato di reagire."
,Era facile far rivivere quella Beato come una pedina. Ma si sarebbe mossa solamente a seconda dei comandi di Battler.
,... Fare una conversazione con lei... era proprio come parlare a se stesso...
,"Il Game Master poteva evocare ogni tipo di pedina. Poteva muovere quelle pedine in qualunque modo volesse, regnando come un dio assoluto."
,... Ma proprio per quel motivo... erano semplicemente pedine.
,Ciò lo rendeva incredibilmente solitario... e triste.
Ushiromiya Battler,"""... In passato hai creato molti mobili, così come molti racconti. ... Quando ti ho visto... ero sicuro che ti divertivi un mondo nel farlo."""
,"""‘Ma non è così. ’"""
Ushiromiya Battler,"""Eri... incredibilmente solitaria."""
,"""‘Per te, dev'essere stato un grande sollievo avere me come avversario, che nelle nostre battaglie metteva tutto sè stesso. Ora ne sono dolorosamente conscio.’"""
Ushiromiya Battler,"""... Quella strana, gentile Beato... eri tu, giusto? ... Il modo in cui eri mille anni fa."""
,"""‘Però... è un'altra persona. ’"""
Ushiromiya Battler,"""Ciò che non riesco ad accettare è il fatto che sembri proprio come te...! {n}Non lo sopporto..."""
,"""‘Ciononostante, non è una pedina, perciò può andare contro il mio volere. ’"""
Ushiromiya Battler,"""A differenza della pedina che tu eri, quella Beato è molto più viva. Questo lo riconosco! Ma è tutto sbagliato!! Non sei tu! È una persona completamente differente, come una Sorella minore che si è persa da tempo, o una cosa del genere! Ed ecco perché... non posso accettarla...!!"""
,... Proprio come odiava questa Beato pedina...
,Battler sentiva un'antipatia ancora più forte... per la Beato ‘pulcina’.
,Persino dopo mille anni... non sarebbe diventata la Beato originale.
,Anche se venisse comandata di agire come la Beato originale... sarebbe solamente un'imitazione.
,"Questa era una persona molto simile ma differente, e non la stessa Beato."
,... Perciò... nel gioco precedente... Beato scomparve davvero per l'eternità...
,Persino dopo essere diventato il Game Master... non c'era un modo per resuscitarla...
Ushiromiya Battler,"""... Ridi. Ridi per la mia pateticità."""
{f:5:Beatrice},"""... Heheheheh, *cackle*cackle*. Pfft, hya hah hahahahahhahahaaaaah!!"""
,Sta' zitta...
,Sei solo un'illusione che non ride a meno che non te lo ordini... e che non può continuare a ridere a meno che non continui ad ordinartelo... sparisci!!
