Speaker,Italian (Majotachi no Sub) (New) (IT)
{f:5:Beatrice},"""Io sto giocando una partita con te. In una partita, le regole sono sacre!! Chi le prende alla leggera non è degno di partecipare!!"""
Ushiromiya Battler,"""D'accordo, ci sto, accetterò quella regola!! Anche un bambino delle elementari può discutere all'infinito e appigliarsi a cavilli."""
Ushiromiya Battler,"""Allora ripartiamo subito, e continuiamo da dove eravamo rimasti. Lo ripeterò un'altra volta: ‘Per entrare nella cappella, papà e gli altri hanno usato una porta nascosta, oppure vi ci sono stati portati’!"""
{f:5:Beatrice},"""Allora anch'io mi ripeterò: ""{p:1:È irrilevante se fossero vive o morte. Dalla porta sono entrate davvero sei persone}""!"""
Ushiromiya Battler,"""...H-Hai delle prove?!"""
{f:5:Beatrice},"""Stop!! Applicherò un'integrazione alla regola..."""
{f:5:Beatrice},"""Quando dirò il vero, userò il rosso, {i:ma non avrò il dovere di dimostrarlo mediante delle prove}! Sarà meramente un dato di fatto!!"""
{f:5:Beatrice},"""Il motivo è semplice: ho eseguito tutti i delitti per mezzo della magia. Pertanto, a fronte di qualsiasi crimine impossibile, mi basterebbe agitare una bacchetta magica davanti ai tuoi occhi."""
{f:5:Beatrice},"""Ma così non sarebbe una partita! Sarebbe un gesto incivile, equivalente ad infischiarsi dell'esito di una partita di scacchi per poi tirare un pugno all'avversario!"""
Ushiromiya Battler,"""E-Effettivamente hai ragione... Se tu sei una strega, {i:non hai bisogno di mostrare prove}... Perché con la magia potresti fare di tutto, ma è assurdo... Che partita sleale...!"""
{f:5:Beatrice},"""Ricominciamo da capo allora, va bene? Sei persone sono entrate davvero dalla porta. Ho aperto la serratura con la magia... Come fronteggerai questo incantesimo e questa camera chiusa?!"""
Ushiromiya Battler,"""L-La chiave! Genji-san e gli altri hanno detto che c'è solo una chiave, ma questo è impossibile da dimostrare! Il colpevole ha creato di nascosto un duplicato...!"""
{f:5:Beatrice},"""Kuahahahahahah! {p:1:Esiste solo un esemplare della chiave della cappella}!"""
Ushiromiya Battler,"""Argh... A-Allora questo. Il colpevole ha usato qualcosa di diverso da una vera e propria chiave per aprirla! Non so cosa, ma potrebbe essere un fil di ferro! Un arnese da scasso!!"""
{f:5:Beatrice},"""Che mossa da sempliciotto è mai questa? {p:1:Senza la chiave della cappella è impossibile sbloccarne la serratura}!! Ma con il potere della magia sarebbe apribile, no...?"""
Ushiromiya Battler,"""Allora questo!! C'è qualcosa che non va con la porta stessa! C'è un meccanismo per passarci attraverso anche quando rimane chiusa a chiave...! Posso pensare a diverse spiegazioni!"""
Ushiromiya Battler,"""Magari c'era un'ulteriore porta, come le grandi porte dei castelli che sono provviste di un'ingresso più piccolo! È anche plausibile che siano entrati rimuovendo i cardini, e in seguito la porta nella sua interezza!!"""
{f:5:Beatrice},"""Wahahahahahahahahahah! È {i:questo} il livello di intelligenza acquisito dagli umani in un secolo, Battleeeeeeer?! {p:1:Quando la porta della cappella è chiusa a chiave, viene precluso ogni metodo di entrata o di uscita}!!"""
{f:5:Beatrice},"""A meno che non si usi la magia, no...? Mhmhmh! È già ora dello scacco matto?!"""
Ushiromiya Battler,"""Neanche per sogno!! Hai detto che le sei persone sono entrate da una porta, ma non hai detto che fosse la porta principale! Potrebbero essere entrati da un'altra porta nascosta!!"""
{f:5:Beatrice},"""Parli troppo, incapace. Perciò fammi proseguire con la mia mossa precedente. {p:1:Le sei persone sono entrate davvero dalla {i:porta principale}!!"""
Ushiromiya Battler,"""Non ha senso!! Era chiusa a chiave, era impossibile sbloccarla senza quella singola chiave, eppure sei persone sono entrate dalla porta?!?! Come hanno fatto?!! Vorresti dirmi che è stata una magia?! Cazzo, cazzo cazzo cazzo cazzo cazzo!!!"""
{f:5:Beatrice},"""Wahahahahahaaah!! I limiti degli esseri umani sono stati rivelati così presto?"""
{f:5:Beatrice},"""Allora grida un ‘mi arrendo’!! È usanza che, quando qualcuno abbandona la partita e lo urla, il suo re venga sconfitto. Avanti, ti arrendi?! Allora proclama la tua capitolazione e inginocchiati, così che il tuo re venga battuto!!"""
{f:5:Beatrice},"""Dopodiché, dovrai baciarmi le scarpe! Non esiste gioia più grande di forzare uomini come te a leccarmi le scarpe, kuahahahahahah, kahahahahahahahahahahah!!"""
,"...Dannazioneeeee... È inutile, inutile, inutile...{n}Allora non posso vincere contro la strega...?!"
,"Questi non sono affatto scacchi, sono soltanto stato messo dal lato del perdente in un problema di scacchi...! Cavillare sulla più piccola minuzia per giungere a un pareggio è il meglio che posso fare...?"
{f:5:Beatrice},"""Stai certo che non accadrà...! O cederò io, o sarai tu a farlo!! Non vi saranno altre conclusioni!! Dov'è finita l'audacia che avevi quando avevi descritto questa partita come una tortura reciproca?!"""
{f:5:Beatrice},"""Oh oh oh oh, che delusione, che delusione, non trovi che sia scoraggiante? Battler Ushiromiyaaaaaaaa...????"""
,"Cazzooooooooo, cosa devo fare, che cosa?!! Riesco a vederlo, riesco a vedere il momento dello scacco matto...!!"
,"Aaaaaaaaah, è inutile, inutile! Tutte le mosse con cui avevo lottato duramente non erano nient'altro che disperati tentativi di muovere il mio re per scampare dallo scacco..."
," Non importa per quante mosse scapperò, non posso fuggire dallo scacco. E nel mio futuro riesco a vedere uno scacco matto, senza dover anticipare altre mosse!! Aaaaaaaaaaaaaaah, dannazioneeeeeeeeeeee...!!"
,Fra qualche altra mossa... sarebbe arrivato... il momento dello scacco matto...?
,...
,"Non mollare, Battler Ushiromiya.{n}Se vedo che sto venendo messo all'angolo..."
,"Rigirando la scacchiera... potrei prevedere la sua prossima mossa, giusto...?"
,"Kirie‐san mi aveva detto questo... Che, quando si riflette su qualcosa, più la vera fase finale si avvicina... più diventa facile anticipare cosa avverrà."
,La rigirerò...{n}Rigirerò la scacchiera...!!
Ushiromiya Battler,"""..."""
{f:5:Beatrice},"""...Cos'hai? Ad un tratto ti sei azzittito. Non preoccuparti. Arrendersi è una vergogna transitoria. Tutto quello che ti aspetta sarà il piacere che si prova nell'abbandonarsi..."""
{f:5:Beatrice},"""Kueheheheheheheh!! Forza, urla la tua resa... Non ti sento, però. Dillo a gran voce e in modo chiaro."""
Ushiromiya Battler,"""...Sei intontita dal sonno. Non mi stai ascoltando affatto... Per cui te lo dirò un'altra volta... Non mi arrenderò... Continuiamo. Riprendiamo la partita."""
{f:5:Beatrice},"""...Oh. Molto bene. Dopotutto, è il tuo turno... Mhmhmhmh."""
Ushiromiya Battler,"""Mi ero fatto l'idea che questa regola da te creata fosse la tua arma... Tuttavia, ho realizzato che può diventare un'arma anche per me... In breve, le cose stanno così."""
{f:5:Beatrice},"""Tenta pure."""
Ushiromiya Battler,"""Ho passato tutto il tempo ad arrovellarmi su come avrebbero potuto entrare nella camera chiusa della cappella... Pensare in quel modo è stato inutile."""
Ushiromiya Battler,"""Aah, inutile, è tutto inutile... Rigiriamo la scacchiera..."""
Ushiromiya Battler,"""Già. Stavo ragionando al contrario... Ecco come dovrei riflettere... Come è stato fatto in modo che la cappella, la quale in principio non era una camera chiusa, sembrasse tale?"""
{f:5:Beatrice},"""Eccolo qui... Il sistema di pensiero a cui gli umani hanno dato vita dopo un secolo. Fai pure un tentativo, kuahahah!!"""
Ushiromiya Battler,"""...Dillo in rosso per me. Se ti è impossibile, rifiutati... Ora vado."""
,...Quest'uomo... vuole abbondonare la sua posizione difensiva?{n}Impudente...
Ushiromiya Battler,"""Ho capito che si può entrare nella cappella solo tramite la porta, e che esiste soltanto una chiave... Ma fammi finire... La domanda è se la chiave sia davvero finita o meno nelle mani di Maria prima di mezzogiorno di ieri."""
{f:5:Beatrice},"""...Troppo lungo. Vai al sodo."""
Ushiromiya Battler,"""È qualcosa del genere... Noi riteniamo che da mezzogiorno di ieri in poi, la chiave fosse inutilizzabile. Per questo crediamo che da lì fino a stamattina questa fosse una camera chiusa!"""
Ushiromiya Battler,"""Voglio che tu proclami che questa non è soltanto una nostra convinzione, ma un fatto lampante."""
{f:5:Beatrice},"""Interessante... Ora il punto in discussione non è la porta, ma la chiave?"""
Ushiromiya Battler,"""Ieri, Maria ha ricevuto da te una busta. Lei non l'ha aperta, ma tastandola avrebbe potuto capire che dentro c'era una chiave... Ma non avrebbe potuto confermare in maniera inequivocabile che fosse la chiave per la cappella..."""
Ushiromiya Battler,"""In breve, le cose stanno così... All'interno della busta consegnata a Maria c'era un falso."""
{f:5:Beatrice},"""...Che sciocchezza hai tirato fuori. {p:1:Stamattina, Rosa ha davvero preso una lettera dalla borsetta di Maria,} {p:1:ottenendo così la vera chiave della cappella}... Non è affatto un falso."""
Ushiromiya Battler,"""Eheh... Quello lo avevo capito. Ora proseguo..."""
Ushiromiya Battler,""" Allora non ci sono dubbi sul fatto che, quando Maria ha ricevuto la busta, al suo interno ci fosse la medesima chiave della cappella, no?"""
{f:5:Beatrice},"""...Oh."""
Ushiromiya Battler,"""In pratica, voglio dire questo... Ieri, a mezzogiorno, hai consegnato a Maria una busta con dentro una chiave. Dicendole di non aprirla per nessun motivo... E Maria probabilmente si è accorta che dentro c'era una chiave."""
Ushiromiya Battler,"""E poiché zia Rosa ha aperto la porta della cappella con il suo contenuto, {i:abbiamo presupposto che fosse la chiave per la cappella}. Questa è la parte sospetta!"""
{f:5:Beatrice},"""...Vuoi insinuare questo? Che, nel momento in cui ho affidato la chiave a Maria, quella fosse un falso? E che poi, è stata scambiata con quella vera prima che Rosa prendesse la chiave...?"""
Ushiromiya Battler,"""Sì, giusto... Qualcosa non va, o grande {f:5:Beatrice}? È da un po' che non ha una bella cera, sa...?"""
{f:5:Beatrice},"""...Le persone a me care mi chiamano anche ‘Beato’. Beato andrà bene."""
Ushiromiya Battler,"""È il tuo turno, Beato."""
Ushiromiya Battler,"""{i:Turn of the Golden Witch}...! Vediamo come ribatterai."""
{f:5:Beatrice},"""...Molto bene... {p:1:La chiave della cappella era davvero l'oggetto contenuto nella busta che ho affidato a Maria}."""
Ushiromiya Battler,"""Ti incalzerò... Puoi ripeterlo in rosso...? ‘Fino all'apertura della busta da parte di zia Rosa, essa è sempre stata sotto la supervisione di Maria’."""
{f:5:Beatrice},"""..."""
Ushiromiya Battler,"""...Se ti è impossibile, allora dichiara di rifiutarti. Scacco."""
{f:5:Beatrice},"""...Grr... mi rifiuto."""
Ushiromiya Battler,"""Ho ribaltato la situazione con questa singola mossa... Ora è il tuo turno di far scappare il re, Beato."""
{f:5:Beatrice},"""...Hmph, c'è una ragione per il mio rifiuto. È la definizione dell'espressione ‘sotto la supervisione’... Se dovessi seguire il significato più autentico, Maria avrebbe dovuto tenere gli occhi aperti giorno e notte..."""
{f:5:Beatrice},"""Ma Maria non è arrivata fino a tal punto. Probabilmente, quando l'aveva fuori dalla sua borsetta era sotto la sua supervisione costante, ma dopo averla messa dentro, è sparita dal suo campo visivo... Non ho potuto usare il rosso solamente perché in tale accezione, la locuzione ‘sotto la supervisione’ è inappropriata... Nngh..."""
Ushiromiya Battler,"""...Mi sa che è stata una mossa travagliata. Dalla tua faccia capisco che hai intuito la mia prossima mossa."""
Ushiromiya Battler,"""È colpa mia. Con le donne sono di buon cuore. Non ferisco i loro sentimenti.{n}{i:E non deludo le loro aspettative}...!"""
Ushiromiya Battler,"""Prova a ripeterlo in rosso per me, se ci riesci: ‘Finché zia Rosa non ha tirato fuori la busta dal suo interno, nessuno è riuscito a toccare la borsetta di Maria’."""
{f:5:Beatrice},"""...Mi rifuto... di dire anche questo... Non spiegherò il motivo."""
Ushiromiya Battler,"""Ti sbagli... Non è che non vuoi spiegarti. È che non puoi farlo... Con questa mossa siamo allo scacco matto...?"""
{f:5:Beatrice},"""...Grr..."""
Ushiromiya Battler,"""Se non puoi spiegarlo, allora sarò io a farlo... La chiave della cappella era davvero nella busta che hai consegnato a Maria... Dopodiché, lei l'ha messa nella sua borsetta, e il mattino dopo, zia Rosa l'ha presa e ha aperto il lucchetto."""
Ushiromiya Battler,"""...Tuttavia! La borsetta non era sotto la supervisione costante di Maria! La magia non serve. È un trucco con una camera chiusa realizzabile da un umano!"""
Ushiromiya Battler,"""Il colpevole {i:umano} ha consegnato a Maria la chiave, e facendola usare a zia Rosa il mattino seguente, ha costruito l'illusione che, in quel lasso di tempo, ci fosse una camera chiusa."""
Ushiromiya Battler,"""Non si può negare la possibilità che nel frattempo, il colpevole abbia preso la chiave dalla borsetta di Maria e che l'abbia usata, per poi rimetterla al suo posto entro la mattina!!"""
Ushiromiya Battler,"""Puoi dirlo in rosso?!"""
Ushiromiya Battler,"""Ripetilo per me, se puoi dirlo, allora sputa l'osso!! Di nuovo scacco!!!"""
{f:5:Beatrice},"""...N-Non ancora. Scacco annullato... La busta con dentro la chiave dovrebbe essere sigillata con della ceralacca...! Rosa l'ha presa da una busta chiusa—"""
Ushiromiya Battler,"""Sul serio? Allora sputa l'osso!!"""
Ushiromiya Battler,"""Ripetilo per me!! ‘La busta consegnata ieri a mezzogiorno è la stessa busta che è stata aperta da zia Rosa’."""
{f:5:Beatrice},"""Q-Questo posso ripeterlo. {p:1:La busta che ho consegnato a Maria ieri a mezzogiorno è la stessa busta che è stata aperta da Rosa}!!"""
Ushiromiya Battler,"""...Uff...! Aaaaah, è inutile, è tutto inutile. Ormai non ha più alcuna importanza..."""
Ushiromiya Battler,"""Da te mi aspettavo di meglio... Se ti fossi arresa seduta stante, avrei potuto considerarti una abbastanza capace di prevedere cosa sta per arrivare... Perciò sono amareggiato... {i:Hai deluso le mie aspettative}."""
{f:5:Beatrice},"""C-Co... saaaaa...?!!"""
Ushiromiya Battler,"""Non è importante che la busta sia la stessa... Perché i sigilli in ceralacca possono essere apposti più di una volta! È la chiave all'interno quello che conta."""
{f:5:Beatrice},"""...G... Grrrrrr..."""
Ushiromiya Battler,"""E con questo, qui abbiamo finito, Strega Dorata. È scacco matto per davvero... Te lo chiedo ancora una volta, ripetilo per me!! Se puoi dirlo, allora sputa l'osso!"""
Ushiromiya Battler,"""‘Finché zia Rosa non ha aperto la busta ricevuta da Maria, la chiave della cappella all'interno di quella busta non è mai stata usata’!!"""
{f:5:Beatrice},"""...N... Nngh... Come...! Come ho... p‐potuto... contro un misero umano...!!"""
Ushiromiya Battler,"""Continuerò all'infinito, {f:5:Beatrice}!!!"""
Ushiromiya Battler,"""Ripetilo per me!! ‘Finché zia Rosa non ha aperto la busta ricevuta da Maria, la chiave della cappella all'interno di quella busta non è mai stata usata’!!"""
{f:5:Beatrice},"""...Urgh, nngh... Uoooooooooooooooooh!!!"""
Ushiromiya Battler,"""Se vuoi urlare qualcosa, allora di': ‘mi arrendo’! La questione è chiusa!! La verità è questa."""
Ushiromiya Battler,"""La chiave di Maria è passata per le mani di qualcun altro, in un momento che precede l'impossessamento da parte di zia Rosa."""
Ushiromiya Battler,"""Dopodiché ha usato la chiave e l'ha sigillata, riponendola nella borsetta di Maria per far credere che non fosse mai stata usata!"""
Ushiromiya Battler,"""Assumere che la chiave non fosse stata usata per via del sigillo in ceralacca integro è un trucchetto fallace da quattro soldi!!"""
Ushiromiya Battler,"""Scacco matto!! Non c'è alcuna magia, non è nient'altro che un trucco realizzabile da un umano!!"""
{f:5:Beatrice},"""I-In tal caso... chi è che avrebbe rubato la chiave?! Vediamo se saprai rispondere! Adesso sarai tu a ripetere...!"""
Ushiromiya Battler,"""Giusto, sto facendo ripetere le cose solo a te. Suppongo che ogni tanto dovrò rispondere..."""
Ushiromiya Battler,"""{i:Ma mi rifiuto}!! La mia condizione per la vittoria è negare l'esistenza delle streghe. Arriverò a dimostrare che i tuoi crimini irrealizzabili con la magia sono realizzabili per mano umana!!"""
Ushiromiya Battler,"""Ho distrutto la tua camera chiusa con qualcosa realizzabile anche da un umano. Tuttavia, ho già detto che non indagherò su chi sia l'effettivo colpevole."""
Ushiromiya Battler,"""Perché io credo negli umani!! E non accetterò che tra di noi ci sia qualcuno che ruberebbe la chiave da Maria e la userebbe per compiere un atto così orribile, mai e poi maiii!!"""
{f:5:Beatrice},"""Eh, eheheheheheh, ahahahahahahahah!!! Ci rinuncio, mi arrendo! Per questa sessione di gioco getto la spugna... Ma rimani comunque uno sprovveduto, Battler."""
Ushiromiya Battler,"""Le minacce finali sono una prerogativa del perdente. Datti pure alla pazza gioia."""
{f:5:Beatrice},"""...Nnngh...! Continuando a negare la mia esistenza, prima o poi finirai con le spalle al muro..."""
{f:5:Beatrice},"""Dopotutto, visto che mi neghi, non avrai altra scelta se non di sospettare di quei parenti a cui vuoi tanto bene...! Alla fine, quando sarai costretto a dubitare di chi ti sta a cuore, sicuramente accetterai la mia esistenza...!!"""
{f:5:Beatrice},"""Mhmhmhmh, ti sarai anche aggiudicato questa sfida... ma l'ingenuità della tua logica ti porterà senz'altro alla rovina... D'altronde, non puoi vincere contro di me!! Battler Ushiromiyaaaaaaaaaaaaaaaaaaaa!!"""
