Speaker,Italian (Majotachi no Sub) (New) (IT)
Kanon,"""...La signorina... mi piaceva...!! E dopo aver visto quel giorno il suo aspetto, mi sono innamorato di lei sempre di più...! E quando ho capito che anch'io le piacevo, ero davvero felice...!! Ma io sono un mobile... e non posso accettare i suoi sentimenti!!"""
Shannon,"""...Ti sbagli... Potremmo essere dei mobili. Potremmo essere subumani... Ma non significa che non abbiamo la capacità di amare."""
Kanon,"""Credevo che, se il nostro amore non sarebbe potuto durare, allora avrei fatto meglio a farne a meno!! Avevo dato per assodato che un giorno sarebbe avvenuta la mia dipartita, e che ciò l'avrebbe sicuramente ferita... ma cosa dico!!"""
Kanon,"""Avevo solamente paura!! Solamente paura, perché... se tale amore non poteva essere eterno, era meglio non aver mai amato!!"""
Shannon,"""...Si dice che nel corso della loro vita, le cicale si infatuano per poi spirare nel breve arco di qualche settimana... Non credo che esistano cicale che non si innamorano solo perché il loro amore avrà fine dopo qualche settimana."""
Kanon,"""Uuuuuuuuuuughhh!! Uuuuu{0}u{0}u{0}u{0}u{0}u{0}u{0}u{0}u{0}u{0}u{0}u{0}u{0}u{0}u{0}uughhh!!"""
,"Sembrava che Kanon stesse ancora esprimendo i suoi rimpianti, ma oramai, le sue parole si erano ingarbugliate nei suoi singhiozzi..."
Kanon,"""...Come detesto la strega...!! Perché... ha piantato in me questi sentimenti...?!{n}Se solo lei, se solo lei non si fosse mai presa gioco di me in questo modo, non mi sarei mai interessato alla signorina...!!!"""
Shannon,"""...{f:5:Beatrice}‐sama è senza cuore... Ha giocato con il tuo fato per farti piangere lacrime amare... Ma probabilmente, le aspettative della strega non si sono realizzate... Dopotutto—"""
,Conoscere l'amore non è un rimpianto che ti tiene attaccato alla vita. È un traguardo da raggiungere lungo le strade che percorriamo nella nostra esistenza...
{f:5:Beatrice},"Sai cosa vuol dire, Kanon.{n}La promessa per cui hai lavorato così duramente è andata in fumo.{n}Kuahahahahahahahahahah!"
{f:5:Beatrice},"Dunque, dunque. Con questo, tutti i pezzi hanno raggiunto gli stessi requisiti.{n}Diciotto pedine! Tredici verranno offerte come sacrifici!{n}Chi saranno i cinque che rimarranno in vita?"
{f:5:Beatrice},...Oppure...{n}Riuscirà qualcuno a sventare questa cerimonia?{n}Chi sarà?!! E come ci riuscirà?!
{f:5:Beatrice},Fuhahahahahahahahahahahahahahahahahah!!
{f:5:Beatrice},Questo non è un problema scacchistico. È una partita ad armi pari.{n}Non sarà uno scontro unilaterale.
{f:5:Beatrice},"Potrai continuare a smaniarti per sfuggire alla mia chiusura finale, e ottenere così un pareggio che invaliderebbe la partita."
{f:5:Beatrice},"Beh, il meglio che potrai fare è far sì che ciò si ripeta all'infinito."
{f:5:Beatrice},Ed è plausibile che non sarà molto difficile per te.
{f:5:Beatrice},"Tuttavia, le partite annullate proseguiranno per l'eternità, e presto o tardi consumeranno la tua anima fino ad ucciderla."
{f:5:Beatrice},"Giunto quel momento, accetterai la tua sconfitta, e ti arrenderai dinanzi a me!!"
{f:5:Beatrice},La ragione per cui ho detto che sarà una partita ad armi pari...
{f:5:Beatrice},"È perché anch'io ho delle condizioni per la mia sconfitta.{n}Non c'è niente di più noioso di una partita in cui non puoi perdere, dico bene?"
{f:5:Beatrice},"Il modo per sconfiggermi...{n}Risiede nell'epigrafe, redatta in tributo al mio ritratto."
{f:5:Beatrice},"Essa è il mezzo per aprire la porta per la Terra Dorata, ed è al contempo la chiave per sventare il rituale."
{f:5:Beatrice},"Io dovrò completare la cerimonia secondo l'epigrafe.{n}Tu dovrai risolvere l'enigma dell'epigrafe, sventare il rituale e sconfiggermi...!"
{f:5:Beatrice},"Risolvi l'enigma celato nell'epigrafe, e rivela la locazione in cui si trova la vasta quantità d'oro che cedetti a Kinzo!!"
{f:5:Beatrice},"Come si concluderà questa partita?!{n}Mi aspetto che tu ci metta il massimo, d'accordo?"
{f:5:Beatrice},"Fammi divertire, Battler Ushiromiyaaaaaaa!!"
Ushiromiya Natsuhi,"""..."""
Ushiromiya Krauss,"""...Non abbiamo obiezioni... Io e Natushi ne prendiamo atto."""
Ushiromiya Natsuhi,"""...Ggh... Non posso... e non voglio crederci, ma... questa... è la verità, non è così...?"""
Ushiromiya Krauss,"""...Natsuhi. Scegli le tue parole con un po' più d'attenzione... Lei è la più importante ospite d'onore di questa famiglia."""
Ushiromiya Hideyoshi,"""...A-Anch'io ne prendo atto... Non ho nulla da ribattere."""
Ushiromiya Eva,"""Sì. Ne prendo atto... Non ho neanche uno straccio di obiezione.... Non posso credere che tu sia davvero... Onestamente, provo rispetto nei tuoi confronti."""
Ushiromiya Rosa,"""Anch'io... È incredibile. Hai il mio sincero rispetto... Per cui, non posso che prenderne atto."""
Ushiromiya Rudolf,"""Ne prendo atto anch'io... Ancora adesso non riesco a crederci... Eppure... che cosa posso farci? {i:Hai compiuto una probatio diabolica!} La vittoria è tua...!"""
{f:5:Beatrice},"""Kuahahahah...! La probatio diabolica era un comodo pretesto per rendere indimostrabili a vostro piacimento le prove... ma vi si è ritorta contro, non è così?"""
Ushiromiya Rudolf,"""...Non affliggermi, o somma strega... Ho già preso atto che esisti. Mi arrendo."""
Ushiromiya Kyrie,"""..."""
{f:5:Beatrice},"""...Kirie. Hai ancora qualcosa da obiettare...? Ho bisogno che tutti siano unanimi. Se sei la sola a non prendere atto della mia esistenza..."""
,"Quando la strega rise in maniera sprezzante, i fratelli cominciarono ad agitarsi...{n}Avevano paura di indisporre la strega."
,"Kirie abbassò leggermente le palpebre... e dopo essere rimasta in silenzio per un po', aprì bocca."
Ushiromiya Kyrie,"""...Le mie scuse... Mi arrendo."""
,Solo Kirie aveva guardato con severità la strega fino alla fine...
,"Tuttavia, la portò solo a rifiutarsi di accettare la realtà dei fatti per un breve lasso di tempo."
,"Non poteva negare quell'essere, così come la verità davanti ai suoi occhi.{n}{i:Era stata compiuta una probatio diabolica}...!"
Ushiromiya Kyrie,"""...Anch'io... ne prendo atto... Tu sei {f:5:Beatrice}. La consulente in alchimia della famiglia Ushiromiya... E un'adoperatrice di potenti magie... Non posso far altro che prendere atto che tu sei una strega...!"""
