Speaker,Italian (Majotachi no Sub) (New) (IT)
Ushiromiya Jessica,"""Sono così gelosa dei tuoi genitori, cugino George. I miei sono così freddi. Però quando si tratta dei miei voti vanno d'amore e d'accordo."""
,"Tutte le stanze sembravano essere per due persone. E menomale, ero grato di non essere costretto, con la scusa di essere una famiglia, a dividere col vecchiaccio la stessa stanza."
,"Non credo che i miei genitori si sarebbero potuti divertire con me in mezzo, ihihih."
Ushiromiya Kyrie,"""Perché quel ghigno? Stai pensando a qualcosa di sconcio, vero?"""
Ushiromiya Battler,"""Ihihihih! Qualcosa di sconciooo? Certo che nooo! Prego, godetevi pure il soggiornooo!"""
Ushiromiya Battler,"""Ahiahiahiahi! Mi fai male, vecchiaccio!"""
,"Dietro di me, papà mi tirò nuovamente per l'orecchio."
Ushiromiya Rudolf,"""Piantala con le idiozie. Già ho lo stomaco che mi fa un male cane, non sono dell'umore. Stavolta sei un ospite d'onore. Comportati bene con mio padre e con gli altri parenti..."""
Ushiromiya Rudolf,"""Stai almeno attento a cosa dici di fronte a papà, capito? Con lui non serve a niente scherzare... Jessica-chan, di che umore è ultimamente il nostro capofamiglia?"""
Ushiromiya Jessica,"""...Mmh... Suppongo lo stesso dell'anno scorso... Dicono che gli rimangono tre mesi di vita, ma nonostante questo è arzillo, scorbutico, e irascibile come sempre."""
Ushiromiya Rosa,"""Il che significa che anche quest'anno è di cattivo umore come al suo solito... L'unico che riesce a prendersi cura di lui è sempre Genji-san?"""
Kumasawa Chiyo,"""Pare che il padrone si apra solo nei confronti di Genji-san. Ultimamente, a stento convoca noi umili servitori..."""
Ushiromiya Jessica,"""Si sarà di nuovo chiuso nel suo studio, assorto in quella sua strana magia nera. Può fare quello che gli pare con i suoi passatempi, ma vorrei che la smettesse di infestare casa con il suo tanfo... e che rimanesse nel suo studio per sempre. Eheheh!"""
Ushiromiya George,"""Non parlare in questo modo dei più anziani. Sii più riconoscente, siamo tutti in debito con lui per aver ricostruito la famiglia Ushiromiya."""
Ushiromiya Jessica,"""Mmh... beh... Scusate."""
,"Dopo essere stata rimproverata dal fratellone George, Jessica non potè fare altro che rimangiarsi le sue parole offensive."
,"La famiglia Ushiromiya navigava nell'oro, ma ciò ovviamente voleva dire che era composta da persone eccentriche e completamente fuori dal mondo."
,"Trovandosi al vertice, il capofamiglia, ovvero nostro nonno, sembrava essere il più eccentrico e terribile tra tutti."
,"Papà prima aveva detto... che lo stomaco gli faceva un male cane, ma penso che tutti gli adulti venuti qui provassero la stessa identica sensazione."
,Erano senz'altro invidiosi dei nipoti che giocavano e ridacchiavano.
,"Da quello che mi raccontava il vecchio, il capofamiglia era un uomo violento che adoperava punizioni corporali in ogni occasione, e li colpiva crudelmente con una spada di legno, senza fare distinzione tra figlio o figlia."
,"Se era così tradizionalista con i suoi bambini, perché non lo è stato un po' di più anche con i loro nomi?"
,"Per colpa sua, anche i suoi nipoti portavano questo fardello..."
,"Beh, non mi stupiva affatto questo suo ritratto terrificante."
,"Io non ricordo di averlo incontrato molte volte, ma mi sembrava che fosse un nonno estremamente scorbutico, che faceva atterrire con uno sguardo tagliente chi si trovava in sua presenza."
,"Ricordo anche che quando c'era il nonno, l'atmosfera nella stanza diventava così opprimente, che a stento si riusciva a respirare."
,"Ciò che disse papà in quel momento, a proposito di essere l'ospite d'onore, mi faceva rivivere quel peso."
Ushiromiya Battler,"""...Sei anni fa ero alle elementari, ma ora effettivamente sono un liceale. Se mi comportassi male potrei finire nei guai... Oooh, che paura."""
Ushiromiya George,"""Sicuramente è irruento, ma non è così severo da risultare spaventoso. Di certo non si può dire che sia ingiusto. È una persona ragionevole che semplicemente non sa esprimersi a parole."""
Ushiromiya Jessica,"""Ma cugino George, tu sei sempre stato il cocco della famiglia per via dei tuoi ottimi voti. Noi veniamo trattati dal nonno in maniera completamente diversa!"""
Ushiromiya Jessica,"""Ad esempio, io sono stata sculacciata con una spada di legno. Il mio sederino! Il mio candido sederino di fanciulla!"""
Ushiromiya George,"""Jessica-chan, dopotutto tu sei la figlia erede del ramo principale della famiglia.{n}Il nonno ha un occhio di riguardo per te. Considera la sua severità come un riflesso delle sue alte aspettative."""
Ushiromiya Jessica,"""Ma chi prendi in giro... Ti cederei volentieri il titolo di erede, cugino George.{n}È un fardello piuttosto pesante da sopportare."""
,"Mi pare di averla già introdotta, ma Jessica era la figlia erede del ramo principale della famiglia. Come cugini appartenenti a rami cadetti, le pressioni che sopportiamo saranno diverse."
Ushiromiya Maria,"""...Uuh? Cugina Jessica, è pesante? Sarebbe più leggero se lo tenesse Maria?"""
Ushiromiya Jessica,"""Mmh? Ahahahahah, grazie. Stai tranquilla, non ho intenzione di addossarlo a te, Maria-chan..."""
Ushiromiya Jessica,"""Porterò questa croce fino alla tomba... Non preoccuparti."""
,"Jessica era riconoscente per la considerazione ingenua di Maria, ma nell'espressione di Jessica permaneva un'ansia per il futuro che difficilmente sarebbe svanita..."
,"Eravamo sulla stessa barca? All'avvicinarsi degli esami, qualsiasi studente delle superiori non riuscirebbe a nascondere la propria ansia per il futuro."
Ushiromiya Rosa,"""Vieni qui, Maria. La mamma e Maria staranno in questa stanza."""
Ushiromiya George,"""Battler-kun, io e te staremo in questa stanza."""
Ushiromiya Battler,"""Oh? Cavolo, che gran sorpresa! Wow, è più grande di quella dei nostri genitori!"""
Ushiromiya Jessica,"""Sapete, ho pensato che tra cugini si dovrebbe stare insieme, quindi ho chiesto di prepararci una stanza più grande."""
Ushiromiya Maria,"""Uuh! Anche a Maria piace di più questa!! Qui è meglio che stare con mamma! Uuh, uuh!"""
Ushiromiya Battler,"""Oh, anche a te piace di più stare qui, Maria?! Bene, questa stanza è mia e del fratellone George, ma ti daremo il permesso speciale di entrare e uscire a piacimento! Tienilo segreto da tua mamma, d'accordo?"""
Ushiromiya Maria,"""Uuh! Segreto!"""
,"Sua madre, zia Rosa, era proprio dietro di noi, ma Maria rispose entusiasta, alzando i pugni trionfante."
,"Dopo che i nostri genitori depositarono i bagagli nelle camere, ci riunimmo nuovamente in corridoio."
Ushiromiya Rudolf,"""Ehi, marmocchi, voi che fate? Resterete qui a chiaccherare fra cugini?"""
,Pare che stessero per andare alla villa per annunciare il loro arrivo...
,"Normalmente avremmo dovuto seguirli e presentarci tutti quanti insieme, ma in quel caso, il vecchio avrebbe semplicemente detto un ‘venite anche voi!’, e avrebbe chiuso il discorso."
,"Ci stava dicendo che anche se non fossimo venuti sarebbe andata bene, quindi che dovremmo fare?"
Ushiromiya Hideyoshi,"""In ogni caso, tra poco sarà ora di pranzo. Meglio che i ragazzi si rilassino qui.{n}E poi, se il tempo dovesse peggiorare, questa potrebbe essere la loro ultima occasione per giocare fuori."""
Ushiromiya Maria,"""Uuh! Viene anche Maria!"""
Ushiromiya Rosa,"""Maria, tu rimani qui a casa, va bene? Fai la brava e aspetta qui."""
Ushiromiya Maria,"""...Uuh."""
,"Non potevamo andarcene e lasciarla sola, dato che era stato detto a Maria di sorvegliare la casa."
,"Il fratellone George lo capì subito, e a nome dei cugini diede una risposta decisa."
Ushiromiya George,"""Bene, noi approfitteremo dell'occasione e resteremo in casa. Avremmo un sacco di storie da raccontarci, visto che è passato un anno."""
Ushiromiya Kyrie,"""Che cosa bella. E Battler-kun ha ben sei anni da recuperare, no?"""
Ushiromiya Battler,"""Eh, sì. Resterò in casa come un bravo bambino."""
Ushiromiya Jessica,"""Kumasawa-san, anche io resterò qui! Noi ragazzi romperemo i ranghi e lasceremo il resto agli adulti, eheheh!"""
Kumasawa Chiyo,"""Magnifico, ohohoh. Lo riferirò alla madame..."""
Gohda Toshiro,"""Bene, signori, lasciate che vi guidi verso la villa. Prego, da questa parte."""
Ushiromiya Eva,"""...Per gli altri ragazzi è un conto, ma George sta diventando un adulto, non sarebbe meglio se venisse con noi?"""
Ushiromiya Hideyoshi,"""Così il povero George si sentirà escluso. Anche interagire fra cugini è importante. Bene, allora noi andiamo!"""
,"Uno dopo l'altro, gli adulti uscirono fuori."
,"Gouda-san era a capo della fila, e Kumasawa-san era nelle retrovie, come quando ci avevano condotti fuori dal porto."
,"Una volta che ci riunimmo nella stanza assegnata a noi cugini, il fratellone George ci chiese di scusarlo un momento, dopodiché corse verso Kumasawa-san, che stava seguendo gli adulti che stavano man mano uscendo, apparentemente con qualcosa da chiederle."
,"Avendo avuto subito la sua risposta, ritornò indietro."
Ushiromiya Battler,"""Tutto a posto, fratellone?"""
Ushiromiya George,"""Ah, nulla. Volevo solo chiedere una cosa."""
Ushiromiya Maria,"""Uuh! Anche Maria vuole sentirlo! Anche Maria vuole sentirlo!"""
Ushiromiya Jessica,"""...Mmh? Uhuhuhuh. Cosa potrà mai chiedere il cugino George a Kumasawa-san e non a me? Ah, non ne ho la più pallida idea!"""
Ushiromiya George,"""No, devi aver frainteso...! Non so cosa stia pensando Jessica-chan, però...!"""
,Il fratellone stava cominciando a farfugliare.
,"Sembrava che avesse la coscienza sporca, e che Jessica lo tenesse in pugno per questo..."
,"In ogni caso, non è divertente se Jessica sa qualcosa che io non so!"
Ushiromiya Battler,"""Beh, Maria, sembra che gli unici ad essere esclusi siamo noi, vero? Vogliamo sentire cosa dicono?!"""
Ushiromiya Maria,"""Uuh! Battler e Maria vogliono sentire! Battler e Maria vogliono sentire!"""
,"""""Uuh, uuh, uuh, uuh!!!"""""
,"Io e Maria intonammo un ‘uuh, uuh’ insieme."
Ushiromiya George,"""No, è che... non è niente di che, ahahahah..."""
Ushiromiya Battler,"""Bugiardo! Fratellone, non sai dire bugie, confessa! Maria, fagli il solletico all'ascella destra, io penserò a quella sinistra!"""
Ushiromiya Maria,"""Uuh! Maria all'ascella destra, Battler all'ascella sinistra! Uuh!"""
Ushiromiya George,"""Aspettate!! Smettetela voi due...!! Ahahahah, fermi, ahahahahahahah!!"""
,"Maria ed io inseguivamo scherzosamente il fratellone, che cercava di scappare rotolando sopra il letto."
,"Arrivati alle superiori credo che non si dovrebbe più fare la peste, ma in fondo mi mancava giocare in questa maniera."
,Un modo caloroso per divertirsi.
Ushiromiya Jessica,"""Ahahahahahah, che avevi chiesto a Kumasawa-san, cugino George? Mmh?{n}Ah, capisco, è per quello. È passato un anno da quando sei venuto a trovarci.{n}In questo periodo sono andati e venuti vari domestici, e tu volevi presentarti a loro o qualcosa del genere, giusto?"""
Ushiromiya Maria,"""...Uuh? Presentarsi, anche Maria si presenterà!"""
Ushiromiya Battler,"""Che diamine, non c'è nulla di cui vergognarsi, fratellone... Mmmh? O non era per quello?! Non farti ingannare Maria, cosa sta nascondendo il fratellone? Riprendiamo la tortura!! Woaaaaaah!!"""
Ushiromiya George,"""S-Smettetela, dico sul serio! Aahahahahahah! Maria-chan, anche tu, finiscila!!"""
Ushiromiya Maria,"""Aahahahahahah, ahhahahahahahah! Kyahah, kyahah!!"""
Ushiromiya Jessica,"""Probabilmente è impegnata con le pulizie o i preparativi per il pranzo. Tranquillo, passerà a salutarci più tardi. Scommetto che all'accoglienza di quell'invadente di Gouda avresti preferito quella di Shannon, vero? Eheheh!"""
Ushiromiya Battler,"""Shannon...? Shannon... Aaaaaaaaahh... Mi ricordo di quella ragazza! È ancora una domestica? Come sta?!"""
Ushiromiya Hideyoshi,"""Comunque, Natsuhi-san. Come va il tuo mal di testa? L'ultima volta sembrava farti molto male."""
Ushiromiya Natsuhi,"""...Ultimamente sto molto meglio, grazie al cielo. Grazie per essertene preoccupato."""
Ushiromiya Rosa,"""Oh, giusto, tieni. È un pensierino per te, Natsuhi-san."""
Ushiromiya Natsuhi,"""...Grazie di tutto. Ricevo sempre qualcosa da parte tua... È del tè nero?"""
Ushiromiya Rosa,"""È una tisana con menta piperita ed erba cedrina. È una miscela di un negozio famoso, e dicono sia ottima per le emicranie. Ho pensato che potesse esserti utile."""
,Rosa è sempre stata una donna coscienziosa...
,"Probabilmente, essendo la più giovane dei quattro fratelli e molto più piccola in confronto agli altri tre, era riuscita a crescere senza covare la velenosità dei suoi fratelli e sorelle."
,"La sua accortezza fece rilassare per un attimo il volto di Natsuhi, ma non era abbastanza per sciogliere la sua espressione indifferente, irrigiditasi a causa dei lunghi anni di forte stress."
Ushiromiya Eva,"""A proposito, hai sempre detto di avere mal di testa. Perché non ti riprendi? Jessica-chan ha gli esami quest'anno, no? Questa è una svolta cruciale nella sua vita. Non può contare su sua madre se sei in queste condizioni, vero? E poi, Natsuhi-san, sei più giovane di me di tre anni. Perché non ti dai un po' di contegno?"""
Ushiromiya Natsuhi,"""...Mi dispiace. Soffro da sempre di queste emicranie."""
,"Eva talvolta non sceglieva con cura le sue parole, ma i commenti che rivolgeva a Natsuhi contenevano tracce di palese malizia, anche se le nascondeva con un sorriso."
,"Ovviamente, Natsuhi non se le lasciava sfuggire."
,"Mentre conteneva quanto più poteva il desiderio di rivolgerle una faccia disgustata, si comportò come se la stesse ascoltando distrattamente."
Ushiromiya Kyrie,"""Anche il nostro Battler-kun avrà gli esami quest'anno, vero? Rudolf-san, non dovresti interessartene un po' anche tu? Prendila con più serietà al punto da avere emicranie come Natsuhi-san, è per il bene di tuo figlio."""
Ushiromiya Rudolf,"""Se dico qualcosa lui protesta sempre. Quindi come dovrei parlargli? Dirgli il contrario, che dovrebbe passare il tempo a bighellonare?""""Sarebbe l'unico modo con cui mi ascolterebbe senza fiatare."
Ushiromiya Rudolf,"Hideyoshi-san, tuo figlio è andato molto bene negli esami, vero? Ti prego, insegnami il segreto infallibile per educare i propri figli."""
Ushiromiya Hideyoshi,"""Mmh, beh... Forse era perché gli ho detto per cosa si deve studiare! Lo studio non serve a nulla da solo."""
Ushiromiya Hideyoshi,"""Giusto, lo studiare è una pratica in cui si apprende cercando ciò che non si sa!{n}Se non ci riesci, non puoi essere utile per la società! Non parlo di saper scrivere o saper fare i conti. Si tratta di imparare come studiare e apprendere!"""
Ushiromiya Natsuhi,"""...Che discorso esemplare. Sarebbe bello se potesse capirlo anche la nostra Jessica. Ora come ora non ci siamo, ma per essere l'erede della famiglia Ushiromiya—"""
Ushiromiya Eva,"""Suvvia, devi proprio costringerla a diventare l'erede? Dopotutto, una donna deve trovare la propria felicità. I genitori non dovrebbero imporre cose del genere, non credi?"""
Ushiromiya Hideyoshi,"""Finiscila, Eva. Ogni famiglia ha il proprio modo di crescere i propri figli.{n}Non insistere."""
Ushiromiya Eva,"""Vi chiedo scusa. Anche a te, Natsuhi-san, non prendertela, ok?"""
Ushiromiya Natsuhi,"""..."""
,"Nonostante il tempo nuvoloso, la luce filtrata dalla finestra portava con sé tepore, eppure all'interno della stanza l'aria ristagnava... e ciò faceva venire forti mal di testa anche agli altri, oltre a Natsuhi."
,"Per cercare di spazzare via quell'atmosfera, Kirie diede un allegro spunto di conversazione a tutti i presenti."
Ushiromiya Kyrie,"""Comunque, è un tè nero dall'aroma davvero ottimo. Beviamolo subito.{n}Di sicuro un tè nero di Leopold del genere in Giappone può essere comprato solo a Ginza, vero?"""
Ushiromiya Rosa,"""Sei ben informata, Kirie-san. Ne è valsa la pena andare ad acquistarlo."""
,Kirie e Rosa si alzarono dalle loro sedie per andare a preparare il tè nero.{n}Ma Natsuhi le anticipò.
Ushiromiya Natsuhi,"""...Vi ringrazio entrambe. Beviamolo più tardi. Uno dei nostri domestici arriverà presto a portare del tè, perciò vi prego di accomodarvi."""
Ushiromiya Rudolf,"""Lasciatelo per dopo, voi due. Godiamoci questo drink di benvenuto."""
,"Con sguardo disinvolto, Rudolf diede loro un segnale di tornare alle loro sedie...Kirie e Rosa capirono immediatamente, e tornarono ai loro posti senza fiatare."
,"Dato che gli ospiti erano stati ricevuti, bisognava subito preparare del tè per loro..."
,"Il fatto che il tè fosse talmente in ritardo, che gli ospiti avevano incominciato a dire di preparselo da soli, stava facendo fare una pessima figura ai padroni di casa."
,"Natsuhi si morse il labbro, frustrata dall'inettitudine dei domestici che stavano impiegando troppo tempo per portare il tè..."
,"Vedendo la sua faccia, Eva iniziò a ridacchiare senza esitazione..."
,"Ovviamente, Shannon non poteva sapere cosa stava succedendo nel salotto."
,"Entrò spingendo un portavivande con sopra delle tazzine da tè, e senza motivo apparente, ricevette un'occhiataccia da Natsuhi, non potendo fare altro che tentennare senza sapere cosa avesse fatto."
Shannon,"""...S-Scusatemi. I preparativi del tè sono terminati."""
Ushiromiya Hideyoshi,"""Oh, Shannon-chan, da quanto tempo! Ti stai facendo sempre più carina!"""
Shannon,"""...Oh... ecco... grazie..."""
Ushiromiya Natsuhi,"""Potrai chiacchierare dopo che avrai preparato la tavola. Si raffredderà il tè."""
Shannon,"""...M-Mi scuso, madame."""
,"Durante le sue scuse simili a quelle di un animaletto impaurito, urtò contro il portavivande, facendo cadere diversi cucchiaini da tè, e causando un gran fracasso."
,"La sua goffaggine rese l'espressione di Natsuhi ancor più severa, la quale fece aumentare sempre di più lo sgomento di Shannon."
Ushiromiya Eva,"""È tutto a posto, Natsuhi-san. Non c'è niente di male nello scambiare quattro chiacchiere. Abbiamo aspettato così a lungo, il tè si sarà già raffreddato. Uhuhuhuh."""
Shannon,"""N-Non si preoccupi... Non è ancora freddo..."""
Ushiromiya Natsuhi,"""...Shannon, termina subito i preparativi per la tavola."""
Shannon,"""M-Mi dispiace, madame..."""
,Era chiaro che Natsuhi si stesse innervosendo...
,"L'inettitudine che aveva fatto ritardare il tè, la goffaggine della domestica, tutto puntava alle tipiche incapacità gestionali di Natsuhi, facendole perdere la faccia."
,"Esporre questa incompetenza, in un evento che avviene solo una volta all'anno, era senza dubbio un'enorme umiliazione per una persona responsabile delle finanze del ramo principale della famiglia Ushiromiya."
Ushiromiya Rudolf,"""Lasciala stare, Natsuhi-san. Non pensi che sia ingiusto maltrattare Shannon-chan se sta facendo del suo meglio?"""
Ushiromiya Natsuhi,"""Non sto maltrattando nessuno...!"""
Ushiromiya Kyrie,"""Che buon profumo. Posso chiedere la marca di questo tè?"""
Shannon,"""...Ecco... Io... sono mortificata... La cercherò più tardi..."""
,"Kirie intendeva essere premurosa nei suoi confronti, volendo alleggerire quell'atmosfera tesa..."
,"Tuttavia, Shannon aveva al contrario assunto un comportamento disdicevole, incupendo il volto di Natsuhi e l'atmosfera della stanza."
,"In quel momento, tutti sentirono chiaramente la grassa risata di Eva."
Ushiromiya Eva,"""Che coooosa? Shannon-chan, non sai neanche cosa stavi per versarci?{n}Non va bene, non dovresti servire qualcosa di così sospetto agli ospiti.{n}Avremmo bisogno di un cucchiaino d'argento per questo tè?"""
Shannon,"""...M-Mi dispiace... Vado immediatamente a prenderne uno..."""
Ushiromiya Eva,"""Shannon-chan. Sai a cosa servono i cucchiaini d'argento? O perché devono essere d'argento? Lo sai il motivo?"""
Shannon,"""...No... ehm..."""
,"Sfoggiando un sorriso malizioso, Eva scrutò Shannon che preparava la tavola..."
,"Ad osservarla, l'espressione di Eva sembrava avere un fascino diabolico."
,"Tuttavia, le parole che uscivano dalle sue labbra erano senza dubbio affilate come le lame di un rasoio."
,"Shannon provò con tutte le sue forze ad evitare lo sguardo di Eva, che la fissava continuamente negli occhi."
,"Realizzando che Shannon avesse difficoltà a rispondere, Rosa accorse prontamente in suo aiuto."
Ushiromiya Rosa,"""Si dice che l'argento diventa opaco se entra a contatto con del veleno... Uhuhuh, hai imparato qualcosa di nuovo, vero, Shannon-chan?"""
,Lo ritenevano un tè che non si poteva bere senza assicurarsi che fosse avvelenato.
,"Per Natsuhi era come insultare sia il tè, sia lei che lo stava offrendo."
,"Con una risatina in volto, Rudolf diede una pacca sulla spalla ad Eva."
Ushiromiya Rudolf,"""Ahah, con te non c'è bisogno di argenteria, sorellona. Con la tua lingua velenosa, una sola leccata renderebbe nero come la pece anche un piatto d'argento."""
Ushiromiya Hideyoshi,"""Wahahahahah! Dato che ascolto questa lingua velenosa ogni giorno, ormai dovrei essere immune al veleno! Eva, non mi importa se la usi con me, ma moderati con chi non ha sviluppato una resistenza! Wahahahahah!"""
Ushiromiya Eva,"""Cielo, quanto siete crudeli. Ho solamente impartito a Shannon-chan qualche conoscenza sul tè. Uhuhuh."""
,"Tutti sorrisero, anche se con una punta di amarezza, come per unirsi alla risata sguaiata di Hideyoshi."
,"Solo Natsuhi non si aggiunse a loro, ma almeno per il momento, la conversazione nel salotto era scambiabile per una chiacchierata allegra e amichevole."
,"Quando Shannon finalmente finì di apparecchiare il tavolo da tè e cercò di andarsene, Kirie si scusò a bassa voce con lei per non essere stata in grado di aiutarla..."
,Shannon fece un piccolo inchino e si ritirò rapidamente...
,"Shannon spingeva il portavivande lungo il corridoio, tenendo lo sguardo basso..."
,"Dal suo aspetto sofferente, era facile supporre che fosse stata maltrattata in quel modo."
Kanon,"""...Non buttarti giù. Non hai fatto niente di male, sorella."""
Shannon,"""...Mi stavi osservando."""
Kanon,"""Questo è il mio dovere."""
Shannon,"""..."""
Kanon,"""Che vadano all'inferno, sia la madame che la signora Eva... ma il peggior codardo è lui."""
,Kanon volse uno sguardo pregno d'odio nella direzione opposta al salotto.
,I preparativi per il tè erano stati ritardati da alcuni grossi problemi in cucina.
,Questi problemi non erano stati causati da Shannon. In realtà era stato Gouda a commettere un grande sbaglio.
,"Dopotutto, era impossibile che un esibizionista come Gouda rinunciasse ad un compito appariscente come il portare il tè nel luogo in cui si erano radunati gli ospiti."
,"Arrivò a preparare il tè una seconda volta, sprecando tempo inutilmente."
,"Rendendosi conto che non ne avrebbe giovato in termini di reputazione, affidò il compito di preparare la tavola a Shannon, che passava di lì per caso..."
,"Si poteva definirla una mossa molto furba da parte sua, ma rimaneva comunque un atto di codardia."
Shannon,"""...Va tutto bene, Kanon-kun, ti ringrazio... Non mi dà fastidio, davvero..."""
Kanon,"""..."""
,Il silenzio di Kanon mostrava chiaramente che le parole di Shannon non fossero sincere.
Shannon,"""...Grazie. Mi sento un po' meglio, ora che almeno tu capisci cosa provo."""
Kanon,"""...Reprimi troppo i tuoi sentimenti, sorella... Sii meno dura con te stessa di tanto in tanto."""
Shannon,"""Sì... grazie."""
,"Ad un tratto entrambi percepirono la presenza di qualcuno, e si girarono di scatto."
,"Videro la figura di un uomo di mezz'età. Era Genji, il capo dei domestici."
Ronoue Genji,"""...Cosa state facendo qui...? Shannon, torna immediatamente in cucina."""
Shannon,"""S-Sì... Vogliate scusarmi..."""
Kanon,"""..."""
,"Shannon ubbidì prontamente, e spinse subito il portavivande, facendo per andarsene."
,"Ma Kanon covava qualcosa nei suoi occhi che non poteva esprimere a parole, attirando senza dire nulla l'attenzione di Genji."
Ronoue Genji,"""...Cosa c'è? È successo qualcosa...?"""
Kanon,"""...S-Shannon non ha fatto nulla di male. Ma quella gente..."""
Shannon,"""Smettila, Kanon-kun..."""
Shannon,"""Con permesso. Torno subito al lavoro. Torna anche tu al tuo posto, Kanon-kun... Ti prego."""
Kanon,"""...Se lo dici tu, sorella."""
Ronoue Genji,"""...Se questo è tutto, allora va'."""
Kanon,"""...Sì... Vogliate scusarmi."""
,"Nelle ombre del corridoio, una vecchia donna che indossava un grembiule osservava la scena. Era Kumasawa..."
Kumasawa Chiyo,"...Oh, Shannon-san, Kanon-san, mi si strugge il cuore...{n}Non c'è ragione di prendersela con voi due...{n}Ma è innegabile che Gouda-san vi detesti..."
Kumasawa Chiyo,"Pare che Gouda-san, prima che venisse assunto dalla famiglia Ushiromiya, lavorasse in un certo hotel di lusso."
Kumasawa Chiyo,Penso che il metodo lavorativo che aveva imparato lì fosse alquanto impressionante.
Kumasawa Chiyo,È solo che Gouda-san è il domestico che lavora qui da meno tempo di tutti...{n}Credo che sia orgoglioso dell'esperienza accumulata sin da allora.
Kumasawa Chiyo,"Alla prima occasione, prende di mira Shannon-san e Kanon-san, che lavorano da più tempo qui alla villa, ma non hanno molta esperienza di vita, e non sono ancora maturati..."
Kumasawa Chiyo,"E inoltre... anche se mi rincresce molto, sono odiati anche da madame Natsuhi..."
Kumasawa Chiyo,"Certo, parlando per mia esperienza, la madame fa parte di questa famiglia da molto più tempo."
Kumasawa Chiyo,Eppure... questo è un punto su cui non riesco a simpatizzare con lei...
Kumasawa Chiyo,Anche il padrone sa essere davvero perfido...
Kumasawa Chiyo,Come fa a non capire che le sue insulse pretese hanno causato alla madame degli enormi complessi di inferiorità...
Kumasawa Chiyo,"Naturalmente, all'interno del suo cuore, la madame è perfettamente consapevole che non ha motivi per trattare quei due così duramente..."
Kumasawa Chiyo,"Comunque sia, anche se la mente sa cosa deve essere fatto, il cuore ha le sue ragioni che la mente non conosce..."
Kumasawa Chiyo,"Aah, mi si strugge il cuore..."
Kumasawa Chiyo,Non posso fare altro se non vegliare di nascosto su di loro...
