Speaker,Italian (Majotachi no Sub) (New) (IT)
{f:5:Beatrice},"""...Mhmhmh. Che uomo interessante. Mi ricorderò di questa tua promessa...{n}Le streghe deboli baciano il deretano dei demoni per ottenere potere.{n}Questo perché non esiste un patto di sottomissione peggiore. Soltanto sentirmelo dire mi fa venire voglia di piegarti a me... Mhmhmhmh...!"""
,"{f:5:Beatrice} agitò nuovamente la sua pipa dorata, non prestando attenzione all'invettiva inopportuna di Battler..."
,"Proprio così, quella pipa dorata era la sua preziosa bacchetta magica."
{f:5:Beatrice},"""Orsù, uscite fuori, bambine mie. Io sarò la vostra guida lungo il purgatorio. Perdonate i sette peccati capitali, e brandite i sette picchetti."""
,"Si radunarono sette picchetti, guidati da quelle parole magiche celebratorie...Erano i picchetti con sopra sette demoni, rappresentanti i sette peccati capitali di coloro che hanno perso la retta via."
{f:5:Beatrice},"""Beelzebub, Asmodeus. Orsù, perdonate i peccati. Liberate le anime dei peccatori...!"""
Ushiromiya Battler,"""Cos...?!"""
,Alla chiamata di {f:5:Beatrice} risposero i picchetti di Beelzebub e Asmodeus.
,"I due picchetti demoniaci vennero risucchiati nello spiraglio della porta, lanciandosi come se fossero palle da biliardo colpite da una stecca."
,"Dopodiché, sulle pareti della stanza si sparpagliarono diversi rumori, simili al beccare di un picchio."
,"E infine, si sentì un suono gradevole alle orecchie..."
,"Era un suono molto gratificante, che avrebbe ricordato un momento in cui si sta tagliando della legna da ardere e si fa cadere giù un'ascia, la quale trancia il legno di netto e con facilità."
,"Era il rumore dei due picchetti, che si conficcarono in profondità nelle fronti di rispettivamente Eva e Hideyoshi."
{f:5:Beatrice},"""...Al centro della fronte. Vuoi dare un'occhiata...?"""
,Si poteva indubbiamente sentire il suono di due fronti che venivano fracassate.
,"Battler, che si trovava dall'altra parte della porta, non riuscì neanche a vederli, ma loro due erano morti di nuovo, collassando per una seconda volta nello stesso identico modo, e formando le stesse chiazze di sangue."
Ushiromiya Battler,"""...B-Bastarda... È-È una follia...! N-Non puoi ucciderli come se nulla fosse!!!"""
{f:5:Beatrice},"""Certo che posso... Posso ucciderli in questo modo quanto mi pare...! Mhmhmhmhmhmhmhmh!"""
,"Ad un tratto, non si trovarono più nel corridoio, ma nel tea party in cui erano all'inizio..."
,"Ad eccezione di Battler, erano tutti seduti con mansuetudine... ma Kanon stava gemendo, con del sangue fresco che gli colava dalla bocca. Che gesto maleducato da compiere ad un tea party."
,Sul suo petto era conficcato in profondità il picchetto di Satan.
Kanon,"""...Uh... Gah..."""
Ushiromiya Battler,"""K-Kanon-kun... Kanon-kun!! C-Cazzooooo!!"""
,Battler era l'unico ad essere indignato.
,"George, Jessica e Shannon... stavano umilmente a capo chino, come degli studenti sgridati dal proprio insegnante."
{f:5:Beatrice},"""...Kanon-kun, colto da una futile rabbia, ha tentato di disturbare il mio banchetto... Il tuo peccato capitale è diventare con facilità preda dell'ira.Purificati, pentiti e ricomincia da capo."""
Kanon,"""...{f:5:a}... {f:5:trice}... sa... ma..."""
Shannon,"""B-{f:5:Beatrice}-sama... La prego, lo perdoni... Penso che Kanon-kun si sia pentito a sufficienza...!"""
{f:5:Beatrice},"""Bene. Sono generosa con chi mi rispetta... Mhmhmhmhmh...!"""
Ushiromiya Battler,"""Non prenderci in giro!!! Pensi che questa tua ridicola farsa mi farà riconoscere la tua esistenza?! Ma quale strega millenaria! I tuoi trucchi non hanno mille anni, sono al massimo una raccolta di cent'anni di convenzioni del genere giallo!"""
Ushiromiya Battler,"""Non ci sono cose come la magia!! Assolutamente no!! Tutti gli avvenimenti di questo caso possono essere spiegati {i:con trucchi umani}!!"""
{f:5:Beatrice},"""Mhmhmhmh! Vorresti paragonare i miei mille anni ad un secolo umano...? Magnifico, è proprio per questo che mi piaci...!"""
Ushiromiya Maria,"""...Sciocco Battler... Kihihihihihihihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihih...!"""
Ushiromiya George,"""...Smettila, Battler-kun... Non puoi opporti a... {f:5:Beatrice}... sama..."""
Shannon,"""...Nngh... uh... uh..."""
,"Shannon iniziò a gemere, tenendosi la guancia... Forse aveva un mal di denti."
,"Ma a quanto pareva, non era quello il caso... Un lieve rossore si diffuse lungo tutta la guancia che Shannon stava coprendo con la mano."
,Quel rossore sembrava starle causando un dolore insopportabile...
,"La mano con cui si reggeva la guancia arrivò a conficcarci le unghie senza rendersene conto, e su tutto il suo corpo comparvero gocce di sudore..."
Ushiromiya George,"""...Shannon... Shannon...!! Resisti... Resisti!"""
Ushiromiya Battler,"""Cosa sta succedendo?! Merda, cosa diavolo è quella roba rossa...?!"""
,"Il rossore si espanse rapidamente, coprendo metà del viso di Shannon..."
,"E in quel momento, lo sciocco, stolto Battler, finalmente capì..."
Ushiromiya George,"""T-Ti scongiuro, Battler-kun...! Credi in {f:5:Beatrice}-sama...! Ti supplico...!! Aaaaaaah, tu non ci credi, tu non ci credi, perciò, aaaaaahhhhh... la magia si sta... la magia si sta dissolvendoooooooooo!!"""
,Per la prima volta nella sua vita... Battler sentì il suono di una melagrana spaccarsi.
,Gli schizzi rossi arrivarono perfino sul suo volto...
,"Metà del viso della povera Shannon era stata fracassata... e i suoi ultimi, orribili momenti all'interno del magazzino, si ripeterono per un'altra volta."
Ushiromiya George,"""U-Uwaaaaaaaaaaaaaaaaaaaaaaaaahh, Shannon, Shannon!! Uwaaaaaaaaaaaaaaaaaaahh!!!"""
Ushiromiya Battler,"""C... Uuuugh, cazzo, cazzoooooo!! Smettila, smettila smettila!! Non mancare di rispetto ai morti, non mancare di rispetto ai mortiiiiiiiiii!!"""
Ushiromiya George,"""Uuhuuh... guh... eeeggh!!"""
,"Questa volta, il rossore si propagò su tutto il corpo di George..."
,"La sua forma era quella di una bellissima nuvoletta, che il latte compone quando viene versato nel tè nero. Si estese gradualmente, fino a ricoprirlo..."
,"Più esso si inscuriva, più sembrava conferire a George un dolore sempre maggiore."
,"Rimirando questo spettacolo singolare... Battler rimase pietrificato, e in preda alla disperazione, rifletteva, con la sua immaginazione pietosamente scarsa, su quale bizzarra fine George e gli altri fossero andati incontro..."
,Alla fine... quel rossore raggiunse anche la vicina Jessica...
Ushiromiya Jessica,"""Gah... iih... ack...!!"""
Ushiromiya Battler,"""S-Smettila smettila smettila!!! Cos'ha fatto George, cos'ha fatto Jessica, ti ho detto di SMETTERLAAAAAAAAAAAAAAAAA!!!"""
Ushiromiya Jessica,"""...B-Battler... n-non lasciare che la strega... ti faccia perdere d'animo...! Negala, disintegrala... F-Finché ci sarà anche solo una persona a negarla, rimarrà un'illusione che non può esistere...! Aaaaahhhh, guuhhh!!"""
Ushiromiya Battler,"""S-Stai bene, Jessica?!! Waaah, f-fratellone?!?!"""
,"George non ricordava più un essere umano... Assomigliava ad un ammasso di scarti raschiati via dalla carne buona, in modo da poterla poi cucinare..."
,Le sole tracce umane rimaste erano un frammento di una mandibola e la forma di una cassa toracica.
,"Ed era chiaro che Jessica, il cui rossore si stava facendo sempre più scuro, stava per subire lo stesso destino."
Ushiromiya Maria,"""...Uuh... Battler... Svelto, credi in {f:5:Beatrice}... Se non lo farai... la nostra magia... si dissolverà..."""
Ushiromiya Battler,"""M-Maria, è-è anche su tutto il tuo corpo...!!!"""
{f:5:Beatrice},"""Con la mia magia ho riportato tutti i morti in vita... Ma finché tu non crederai, quella magia non avrà veramente effetto. Mhmhmhmhmhmh! Ma sono certa che un uomo come te non si piegherà per una cosa del genere, vero...?"""
Ushiromiya Jessica,"""B-Battler...! Noi... Non volevamo dubitare dei nostri parenti... Ci siamo rifiutati di guardare in faccia la realtà... e abbiamo ceduto alla strega...! Ma... Battler... Battler... non cedere all'idea delle streghe...! Gggh, ggghh... Gggggghhkkkkkkk!!!"""
Ushiromiya Battler,"""Jessica, JESSICAAAA, waaaaaaaaaaaahhhhhhh!!"""
,"La povera Jessica fece la stessa fine... Divenne degli avanzi di un macellaio, proprio come George."
,"Erano così spappolati, disciolti e mescolati insieme tra loro, che era impossibile distinguere dove finisse Jessica, e dove iniziasse George."
Ushiromiya Maria,"""...Battler. Non piangere... {f:5:Beatrice} resusciterà i morti ancora e ancora.{n}Perciò, non essere triste... Perciò... anche se moriremo, andrà tutto... be... ne..."""
,"Il rossore divorò man mano l'intero corpo di Maria... Vedendo ciò, lo sciocco Battler gridò:"
Ushiromiya Battler,"""Non ti perdonerò, non ti perdonerò mai!! Ma quali streghe, ma quali magie!!{n}Io ti negherò, dovessi mettere in gioco il mio corpo e la mia anima...!!{n}Non ti riconoscerò mai, costi quel che costi!! Ora che ti sei spinta a tanto per rendermi tuo nemico, non ti perdonerò mai e poi mai!!"""
Ushiromiya Battler,"""Non ti perdonerò, non ti perdonerò, stai certa che non ti perdonerò!!Rimpiangerai di esserti inimicata Battler Ushiromiya!! Ti negherò ad ogni costo!! Non importa quante cose inspiegabili avverranno, le spiegherò tutte con {i:gli umani}!!! Spazzerò via da questo mondo ogni singola cellula che ti componeee!!!"""
{f:5:Beatrice},"""Ben detto, Battler, o come cavolo ti chiami! Questo è proprio ciò che mi serve per alleviare la mia noia millenaria!"""
{f:5:Beatrice},"""Avanti, spiega pure. Prova a spiegare tutto con i tuoi cosiddetti {i:trucchi umani}!{n}E impara qual è il posto degli esseri umani!! Vediamo se ciò che l'umanità è riuscita a costruire in un secolo potrà contendere contro i miei mille anni!!{n}Tutto ciò mi fa venire ancora più voglia di sottometterti...!!"""
{f:5:Beatrice},"""Allora dimmi, ‘Battler’! Che mi dici della lettera di Maria? Come sono stati uccisi i sei? E la saracinesca? E il sigillo dello scontrino? E la camera chiusa con la catenella? E Kanon nella sala caldaie? E Genji e gli altri nel salotto?! E il suicidio di Natsuhi?! E l'enigma dell'epigrafe?! E l'ubicazione dell'oro nascosto?!"""
{f:5:Beatrice},"""Avanti, ‘Battler’, perché non mi mostri il potere degli {i:umani}?!{n}Fuhahahahaha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}hahah!!!"""
Ushiromiya Battler,"""Waaaaaaaaaaaaaaaaaaahhhhhhhhhhhhh!!!"""
