Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Turkish (TR)
,"...Though, he failed to give any thought for what Maria would have to go through, making it a pretty shitty thing to do... ","......Paying no heed, though, to the trouble it would cause Maria, or the rest of us.","......Failing to consider how much Maria was troubled would trouble her even more, but...",……真里亞の迷惑を顧みず、迷惑なことこの上ないが。,[=JP],"......Неспособность осознать, как огорчена была Мария, может принести ей ещё больше горя, но...","......Mas sem pensar no problema que isso causaria para Maria, nem para o resto de nós.",……對給真里亞添的麻煩毫不在意，惹事生非盡添亂。,……对给真里亚添的麻烦毫不在意，惹事生非尽添乱。,"... Non riuscendo a considerare quanto Maria fosse preoccupata, ci preoccupammo maggiormente, ma...",......mektubu kendisiyle aynı hobiyi paylaşan Maria'ya teslim etmek için dramatik bir yol seçerek kendince eğlenmesinden ibaretti.
Ushiromiya Battler,"""Seriously. Messing around with Maria's pure heart... It doesn't matter who handed the letter over. Maria says she got it from {f:5:Beatrice}, so let's treat it that way."" ","""Seriously. Messing around with Maria's pure heart... It doesn't matter who handed the letter over. Maria says that she got it from {f:5:Beatrice}, so let's treat it that way.""","""Seriously. Messing around with Maria's pure heart... It doesn't matter who handed the letter over. Maria says that she got it from Beatrice, so let's treat it that way.""",「ったく。真里亞の純真な心を弄びやがって…。手紙を渡したのが誰でもいいさ。真里亞がベアトリーチェにもらったって言うんだから、そういうことにしてやろうぜ。」,「ったく。真里亞の純真な心を弄びやがって…。手紙を渡したのが誰でもいいさ。真里亞がベアトリーチェにもらったって言うんだから、そういうことにしてやろうぜ」,"""Твою налево! Так цинично воспользоваться чистым сердцем Марии... Неважно, кто передал письмо. Мария утверждает, что получила его от {f:5:Беатриче}, поэтому давайте будем относиться к нему как к таковому.""","""Sério, brincando com o puro coração da Maria... Não importa quem entregou a carta. A Maria disse que recebeu ela da {f:5:Beatrice}, então vamos aceitar que foi isso.""",「可惡。竟然玩弄真里亞的純真心靈…。管他是誰給的信。既然真里亞說了，是從貝阿朵莉切那裡拿到的，那就當做是這樣好了。」,「可恶。竟然玩弄真里亚的纯真心灵…。管他是谁给的信。既然真里亚说了，是从贝阿朵莉切那里拿到的，那就当做是这样好了。」,"""Sul serio. Prendere in giro il cuore puro di Maria... non importa chi le abbia consegnato la lettera. Maria dice che l'ha ricevuta da Beatrice, quindi pensiamola in questo modo.""","""Cidden. Maria'nın saf kalbiyle oynamak... Mektubu kimin verdiği önemli değil. Maria {f:5:Beatrice}'den aldığını söylüyorsa, bu şekilde değerlendirelim."""
Ushiromiya George,"""I agree. Let's do that. To Maria-chan, {f:5:Beatrice} is kind of like what Santa Claus is to most kids."" ","""I agree. Let's do that. To Maria‐chan, {f:5:Beatrice} is kinda like what Santa Claus is to most kids.""","""I agree. Let's do that. To Maria-chan, Beatrice is kinda like what Santa Claus is to most kids.""",「同感だよ。そうしよう。子どもにとってのサンタクロースみたいな存在が、真里亞ちゃんにとってはベアトリーチェなんだろうね。」,「同感だよ。そうしよう。子どもにとってのサンタクロースみたいな存在が、真里亞ちゃんにとってはベアトリーチェなんだろうね」,"""Я согласен. Давайте так и поступим. Для Марии‐чан {f:5:Беатриче} — это практически как Санта‐Клаус для большинства детей.""","""Eu concordo. Vamos fazer isso. Para a Maria‐chan, a {f:5:Beatrice} é tipo o que o Papai Noel é para a maioria das crianças.""",「同感喲。就這麼辦吧。小孩子們心目中的，像聖誕老人那樣的存在，對小真里亞來說，應該就是貝阿朵莉切吧。」,「同感哟。就这么办吧。小孩子们心目中的，像圣诞老人那样的存在，对小真里亚来说，应该就是贝阿朵莉切吧。」,"""Concordo. Facciamolo. Per Maria-chan, Beatrice è simile a Babbo Natale.""","""Katılıyorum. Öyle yapalım. Birçok çocuk için Noel Baba nasılsa, Maria-chan için de {f:5:Beatrice} öyle bir şey."""
Ushiromiya Battler,"""Whether we're dealing with some nonexistent 19th person or Santa Claus, as long as we all acknowledge them, they'll at least ""exist"" inside Maria. ...I see, guess it can be important to lie to a child to protect their dreams."" ","""Whether it be a non‐existent 19th person or Santa Claus, as long as we accept that they exist, they will at least ""exist"" inside Maria. ...I see, it's important to lie to a child to protect their dreams.""","""As long as we accept that there is some non-existant 19th person or Santa Claus, they will at least 'exist' inside Maria. ...I see, it's important to lie to a child to protect their dreams.",「いない１９人目もサンタクロースも、俺たちが認めてやれば、それは少なくとも真里亞の中では“い”るということになるわけだ。…なるほど、子どもの夢を守るためのウソって大事だなぁ。,「いない１９人目もサンタクロースも、俺たちが認めてやれば、それは少なくとも真里亞の中では“い”るということになるわけだ。…なるほど、子どもの夢を守るためのウソって大事だなぁ」,"""Пока мы признаем, что есть несуществующий 19‐й человек или Санта‐Клаус, они, по крайней мере, 'будут' внутри Марии. ...Понимаю, ребёнку всё‐таки важно врать, чтобы защитить его мечты.""","""Sendo uma 19ª pessoa inexistente ou o Papai Noel, contanto que nós aceitamos que ela exista, ao menos ela vai ""existir"" dentro da Maria. ...Entendi, também é importante mentir para uma criança para proteger os seus sonhos.""",「不存在的第十九人也好，聖誕老人也好，只要我們承認，那他就至少在真里亞的心中是“有”的。…原來如此，為了保護孩子們的夢想，謊言可是很重要啊。」,「不存在的第十九人也好，圣诞老人也好，只要我们承认，那他就至少在真里亚的心中是“有”的。…原来如此，为了保护孩子们的梦想，谎言可是很重要啊。」,"""Finché accetteremo che c'è un'inesistente diciannovesima persona o Babbo Natale, ‘esisterà’ per lo meno nella mente di Maria. ... Capisco, è importante dire bugie ad un bambino, per proteggere i suoi sogni.","""İster var olmayan bir 19. kişi olsun, ister Noel Baba olsun, var olduğunu kabul ettiğimiz sürece, en azından Maria'nın içinde ""var"" olacaktır. ...Anlıyorum, bir çocuğun hayallerini korumak için ona yalan söylemek gerekir."""
Ushiromiya Battler,"""......Hmm? What's up, Jessica? Are you still angry?"" ","""............Hmm? What's up, Jessica? Are you still angry?""","............Hmm? What's up, Jessica? Are you still angry?""",…………ん？　どうしたんだよ朱志香。まだ腹を立ててるのかよ。」,「…………ん？　どうしたんだよ朱志香。まだ腹を立ててるのかよ」,"""............Хм‐м? Что случилось, Джессика? Ты всё ещё сердишься?""","""............Hmm? O que foi, Jessica? Ainda está zangada?""",「…………嗯？怎麼了，朱志香。還在慪氣啊。」,「…………嗯？怎么了，朱志香。还在怄气啊。」,"... Hmm? Che c'è, Jessica? Sei ancora arrabbiata?""","""............Hmm? Ne oldu, Jessica? Hâlâ kızgın mısın?"""
,"Jessica had her hand on her chin, as though there was something that she just couldn't understand. ","Jessica had her hand on her chin, as though there was something that she just couldn't understand.",[=UP],朱志香は、顎に手を当てて、何か腑に落ちないことでもあるかのようだった。,[=JP],"Джессика положила руку на подбородок, словно размышляя над чем‐то, чего просто не могла понять.","Jessica levou sua mão ao queixo, como se tivesse algo que ela não conseguisse entender.",朱志香用手托著下巴，像是有什麼事想不通的樣子。,朱志香用手托着下巴，像是有什么事想不通的样子。,"Jessica teneva la testa sul mento, come se ci fosse qualcosa che proprio non riusciva a capire.",Jessica sanki anlayamadığı bir şey varmış gibi eliyle çenesini tutuyordu.
,"When I called out to her, she came to her senses. ","When I called out to her, she came to her senses."," When I called out to her, she came to her senses.",俺に声を掛けられ、我に帰る。,俺に声を掛けられ、我に返る。,"Когда я позвал её, она пришла в себя.","Quando eu a chamei, ela voltou à realidade.",被我一叫，回過了神來。,被我一叫，回过了神来。,"Quando la chiamai, cadde dalle nuvole.",Ona seslendiğimde kendine geldi.
Ushiromiya Jessica,"""Aah, ...sorry. Well, ...actually, ...I was wondering if Maria might've actually met {f:5:Beatrice}."" ","""Aah, ......sorry. Well, ......actually, ......I was wondering if it was possible that Maria actually met {f:5:Beatrice}.""","""Aah, ......sorry. Well, ......actually, ......I was wondering if it was possible that Maria actually met Beatrice.""",「あぁ、……ごめん。いやさ、……実は。……真里亞が会ったのは、本当にベアトリーチェだったってことがあるんじゃないかな。」,「あぁ、……ごめん。いやさ、……実は。……真里亞が会ったのは、本当にベアトリーチェだったってことがあるんじゃないかな」,"""А‐ах... прости. Ну... просто... я тут подумала, а возможно ли, что Мария на самом деле встретила {f:5:Беатриче}.""","""Aah, ......desculpa. Bem, ......na verdade, ......eu estava pensando se é possível que a Maria tenha se encontrado mesmo com a {f:5:Beatrice}.""",「啊啊，……抱歉。呀那個，……老實說。……真里亞遇見的，會不會真的是貝阿朵莉切呢？」,「啊啊，……抱歉。呀那个，……老实说。……真里亚遇见的，会不会真的是贝阿朵莉切呢？」,"""Aah... scusa. Beh... in realtà... mi stavo chiedendo se fosse possibile che Maria abbia veramente incontrato Beatrice.""","""Aah, ......pardon. Şey, ......aslında, ......Maria'nın {f:5:Beatrice} ile gerçekten karşılaşmış olmasının mümkün olup olmadığını merak ediyordum."""
Ushiromiya Battler,"""...What do you mean by that? Are you saying there's a 19th person on this island?"" ","""...What do you mean by that? Are you saying that there's a 19th person on this island?""",[=UP],「…そりゃどういう意味だよ。この島に１９人目の人間がいるって言いたいのか？」,[=JP],"""...Что ты имеешь в виду? Хочешь сказать, что на острове находится 19‐й человек?""","""...O que quer dizer com isso? Está dizendo que tem uma 19ª pessoa nesta ilha?""",「…這話又是什麼意思啊。要說這個島上有第十九人嗎？」,「…这话又是什么意思啊。要说这个岛上有第十九人吗？」,"""... Cosa vuoi dire? Stai dicendo che in quest'isola c'è una diciannovesima persona?""","""...Ne demek istiyorsun? Bu adada 19. bir kişi olduğunu mu söylüyorsun?"""
Ushiromiya George,"""If you truly take Maria-chan's words to heart, then you would arrive at that answer."" ","""If we take what Maria‐chan said to heart, then we do arrive at that answer.""","""If we take what Maria-chan said to heart, then we do arrive at that answer.""",「真里亞ちゃんの言うことを心から信じたなら、そういう答えに行き着くだろうね。」,「真里亞ちゃんの言うことを心から信じたなら、そういう答えに行き着くだろうね」,"""Если мы примем сказанное Марией‐чан сердцем, то придём именно к этому ответу.""","""Se acreditarmos com o coração no que a Maria‐chan disse, então nós chegamos a essa resposta.""",「如果發自內心地相信真里亞所說的話，就會得出這個答案呢。」,「如果发自内心地相信真里亚所说的话，就会得出这个答案呢。」,"""Se prendiamo sul serio ciò che ha detto Maria-chan, allora arriviamo a quella risposta.""","""Maria-chan'ın söylediklerini ciddiye alırsak, o zaman bu sonuca ulaşabiliriz."""
Ushiromiya Jessica,"""No, that's not what I mean. ...I'm talking about the story that someone we don't know has been living on this island since long ago."" ","""No, that's not what I mean. ......I'm talking about the story that someone we don't know has been living on this island since long ago.""",[=UP],「いや、そういうのじゃなくて。……昔っからこの島には、俺たちの知らない誰かが住んでるんじゃないかって話はあったんだよな。」,「いや、そういうのじゃなくて。……昔っからこの島には、私たちの知らない誰かが住んでるんじゃないかって話はあったんだよな」,"""Нет, это не то, что я имею в виду. ......Я говорю о той истории про кое‐какую особу, проживающую на этом острове уже очень давно.""","""Não, não é o que eu quero dizer. ......Eu estou falando sobre a história de alguém que não conhecemos estar morando nesta ilha há muito tempo.""",「不，不是指這個。……從很久以前起就有傳言，這個島上，會不會還住著我們不知道的別的誰。」,「不，不是指这个。……从很久以前起就有传言，这个岛上，会不会还住着我们不知道的别的谁。」,"""No, non voglio dire quello. ... Sto parlando della storia secondo la quale qualcuno che non conosciamo stia vivendo sull'isola da molto tempo.""","""Hayır, demek istediğim o değil. ......Bilmediğimiz birinin uzun zamandan beri bu adada yaşadığına dair hikayeden bahsediyorum."""
Ushiromiya Battler,"""Living, you say? Where?"" ","""Living, you say. Where?""",[=UP],「住んでるって、どこに。」,「住んでるって、どこに」,"""Проживающую, говоришь. И где же?""","""Vivendo.... Onde?""",「住著？住哪兒啊。」,「住着？住哪儿啊。」,"""Vivendo, dici. Dove?""","""Yaşamak derken, nerede?"""
Ushiromiya Jessica,"""...In the forest."" ","""...In the forest.""",[=UP],「…森の中にさ。」,「…森の中にさ」,"""...В лесу.""","""...No meio da floresta.""",「…森林裡呀。」,「…森林里呀。」,"""... Nella foresta.""","""...Ormanın içinde."""
,"The adults were gathered in the dining hall, spending a very long time continuing the discussion that had been started by {f:5:Beatrice}'s letter... ","The adults were gathered in the dining hall, spending a very long time continuing the discussion that had been started by {f:5:Beatrice}'s letter...","The adults were gathered in the dining hall, spending a very long time continuing the discussion that had been started by Beatrice's letter...",食堂には、大人たちが集まり、ベアトリーチェの手紙に端を発する議論に延々と明け暮れていた…。,[=JP],"Взрослые собрались в обеденном зале, продолжая длившееся уже очень долго обсуждение, начатое письмом {f:5:Беатриче}...","Os adultos estavam reunidos na sala de jantar, passando um longo tempo dando continuidade ao que começou com a leitura da carta de {f:5:Beatrice}...",餐廳中，大人們聚在一起，徹夜進行著因貝阿朵莉切的信引發的爭論…。,餐厅中，大人们聚在一起，彻夜进行着因贝阿朵莉切的信引发的争论…。,"Gli adulti erano riuniti nella sala da pranzo, spendendo un sacco di tempo nella discussione che avevano iniziato a causa della lettera di Beatrice...","Yetişkinler yemek salonunda toplanmış, {f:5:Beatrice}'in mektubuyla başlayan tartışmayı sürdürerek çok uzun zaman harcıyorlardı..."
,"Krauss strongly claimed that the letter was a simple prank, but he couldn't overturn the claim that Kinzo's failure to deny the letter was answer enough. ","Krauss strongly claimed that the letter was a simple prank, but he couldn't overturn the claim that Kinzo's failure to deny the letter was answer enough."," Krauss strongly claimed that the letter was a simple prank, but he couldn't overturn the claim that Kinzo's failure to deny the letter was answer enough.",蔵臼は、手紙はただの悪戯であると強く主張したが、金蔵が否定しないことこそ答えであるとの主張を覆せなかった。,[=JP],"Краусс решительно утверждал, что письмо было обыкновенным розыгрышем, но его неспособность оспорить факт того, что Кинзо не стал опровергать письмо, была достаточным ответом на его аргумент.","Krauss afirmou com firmeza que a carta não passava de uma brincadeira, mas ele não era capaz de revogar a afirmação de que a incapacidade de Kinzo negar a carta, era uma resposta suficiente.",雖然藏臼強烈主張，那封信僅僅是惡作劇，但是，他的話無法顛覆“金藏的不否定即是明確的回答”的論點。,虽然藏臼强烈主张，那封信仅仅是恶作剧，但是，他的话无法颠覆“金藏的不否定即是明确的回答”的论点。,"Krauss affermava con veemenza che quella lettera era solo uno scherzo, ma non poté rovesciare l'affermazione che il fatto che Kinzo non avesse negato la lettera era una risposta sufficiente.","Krauss mektubun basit bir şaka olduğunu iddia etse de, Kinzo'nun mektubu inkâr etmemesinin yeterli bir cevap olduğu iddiasına karşılık veremedi."
,"Judging by Kinzo's character, if he knew that a letter had been written in his name, he would be mad with rage. ","Judging by Kinzo's character, if he knew that a letter had been written by someone else in his name, he would be mad with rage."," Judging by Kinzo's character, if he knew that a letter had been written which faked his name, he would be mad with rage.",金蔵の性分を考えれば、自分の名を騙る手紙の存在を知れば怒り狂うはずなのだ。,金蔵の性分を考えれば、自分の名を騙る手紙の存在を知れば怒りくるうはずなのだ。,"Исходя из характера Кинзо, прознай он о поддельном письме от его имени, он бы обезумел от ярости.","Julgando pela personalidade de Kinzo, se ele souber que a carta foi escrita por alguém além dele, ele ficaria enfurecido",按金藏的脾氣來想，若是知道了有假冒自己名字的信，理應會勃然大怒。,按金藏的脾气来想，若是知道了有假冒自己名字的信，理应会勃然大怒。,"Conoscendo il carattere di Kinzo, se egli avesse saputo che fosse stata scritta una lettera con il suo nome falsificato sarebbe pieno di rabbia.","Kinzo'nun karakteri göz önüne alındığında, bir başkası tarafından kendi adıyla bir mektup yazıldığını bilseydi, öfkeden küplere binerdi."
,"Since all of the siblings knew that, Krauss had no choice but to withdraw his claim. ","Since all of the siblings knew that, Krauss had no choice but to withdraw his claim."," Since all of the siblings knew that, Krauss had no choice but to withdraw his claim.",それを兄弟の誰もが知るからこそ、もはや蔵臼は自分の主張を収めるしかなかった。,[=JP],"Так как все братья и сёстры знали это, у Краусса не было иного выбора, кроме как признать своё заявление несостоятельным.","Como todos os irmãos sabiam disso, Krauss não teve escolha além de retirar sua reivindicação.",正因兄妹們全都清楚這點，所以藏臼只好收回了自己的主張。,正因兄妹们全都清楚这点，所以藏臼只好收回了自己的主张。,"Poiché tutti i fratelli lo sapevano, Krauss non aveva altra scelta che quella di ritirare la sua affermazione.","Tüm kardeşler bunu bildiği için, Krauss'un kendi iddiasını geri çekmekten başka çaresi yoktu."
,"Without even having to summarize it, the contents of the letter were simple. ","Without even having to summarize it, the contents of the letter were simple."," Without even having to summarize it, the contents of the letter were simple.",要約するまでもなく、この手紙の内容はシンプルだ。,[=JP],Содержание письма было простым даже без подведения итогов.,"Mesmo sem resumi‐lo, o conteúdo da carta era simples.",都用不著歸納，這封信的內容十分單純。,都用不着归纳，这封信的内容十分单纯。,"Senza nemmeno doverli riassumere, i contenuti della lettera erano semplici.",Mektubun içeriği özetlemeye bile gerek kalmayacak kadar basitti.
,The person who could solve the witch's epitaph would receive the Headship and assets. ,The person who solved the witch's epitaph would receive the headship and assets., The person who could solve the witch's epitaph would receive the inheritance and assets.,魔女の碑文を解いた者が、家督と財産を受け継ぐ。,[=JP],"Человек, который сможет разгадать эпитафию ведьмы, получит наследство и имущество.",A pessoa que resolver o epitáfio da bruxa receberia a liderança da família e os ativos da família.,解開魔女的碑文之人，繼承家督與財產。,解开魔女的碑文之人，继承家督与财产。,La persona che sarebbe riuscita a risolvere l'epigrafe avrebbe ricevuto l'eredità e i beni.,Cadının kitabesini çözen kişi reisliği ve mal varlığını alacaktı.
,"This did a lot of damage to Krauss, who had been sure that he would receive the Headship, and was better news than the rest of them, who had already given up, could have hoped for. ","This did a lot of damage to Krauss, who was thought to have been guaranteed the succession, and for everyone else, who had given up on that long ago, it was better news than they could ever have hoped for."," This did a lot of damage to Krauss, who had been sure that he would receive the inheritance, and was better news than the rest of them, who had already given up, could have hoped for.",これは、家督を継ぐことが確定していると思われた蔵臼にとっては最大のダメージであり、元々諦めていた蔵臼以外にとって望外の朗報であった。,[=JP],"Это нанесло огромный урон Крауссу, который был уверен, что получит наследство, а для тех, кто уже сдался, это стало доброй вестью, о которой можно было только мечтать.","Isso causou muitos danos a Krauss, que pensou estar com a sucessão garantida, e para todos os outros, que já haviam desistido há muito tempo atrás — foram as boas notícias que eles nunca esperaram que teriam.",這既是對一直以為，鐵定會由自己繼承家督的藏臼的最大打擊，也是對早就死心了的其他幾個兄妹的意外喜訊。,这既是对一直以为，铁定会由自己继承家督的藏臼的最大打击，也是对早就死心了的其他几个兄妹的意外喜讯。,"Questo danneggiò molto Krauss, che era sicuro di ricevere l'eredità, ed erano buone notizie in cui gli altri speravano, quando si erano già arresi.","Bu durum, halefliği garantilediği düşünülen Krauss'a çok büyük bir darbe vurdu, ve uzun zaman önce bu ihtimalden ümidini kesmiş olan diğerleri için de olabilecek en iyi haberdi."
,"However, there were some points that worried them. ","However, there were some points that worried them."," However, there were some points that worried them.",しかし、気になる点もある。,[=JP],"Однако имелось несколько пунктов, тревожащих их.","Entretanto, havia alguns pontos que os preocupavam.",然而，還有一點令人在意。,然而，还有一点令人在意。,"Comunque, c'erano dei punti che li preoccupavano.","Ancak, onları endişelendiren bazı noktalar da vardı."
,"""The person who solved the epitaph"" was not limited to a member of the Ushiromiya family. ","""The person who solved the epitaph"" was not limited to a member of the Ushiromiya family.",'The person who solved the epitaph' was not limited to a member of the Ushiromiya family.,“碑文を解いた者”が、右代宮家に連なる人間に限定されていない点だ。,[=JP],"'Круг людей, которым дозволялось разгадать эпитафию', не ограничивался лишь членами семьи Уширомия.","""A pessoa que resolver o epitáfio"" não fica limitado apenas aos membros da família Ushiromiya.",“解開碑文之人”，並沒有限定為必須是右代宮家的成員。,“解开碑文之人”，并没有限定为必须是右代宫家的成员。,‘La persona che avrebbe risolto l'epigrafe’ non era limitata ad un membro della famiglia Ushiromiya.,"""Kitabeyi çözen kişi"" ifadesi, Ushiromiya ailesinin bir üyesiyle sınırlı değildi."
,"Taken literally, anyone, no matter how doubtful their origin, might receive the Headship. ","Taken literally, anyone, no matter how doubtful their origin, could succeed to the Ushiromiya family."," Taken literally, anyone, no matter how doubtful their origin, could receive the inheritance of the Ushiromiya family.",原文通りなら、謎を解いた人間がどこの馬の骨であっても、右代宮家の家督を継承できることになってしまう。,[=JP],"Согласно буквальному толкованию, любой, неважно, каким бы сомнительным ни было его происхождение, мог получить наследство семьи Уширомия.","Assumindo isso literalmente, qualquer um, não importa o quão duvidosa seja a origem, poderia assumir a liderança da família Ushiromiya.",按原文所說，就算解開這個謎的人是不知從哪冒出來的傢伙，也可以繼承右代宮家的家督。,按原文所说，就算解开这个谜的人是不知从哪冒出来的家伙，也可以继承右代宫家的家督。,"Prendendola letteralmente, chiunque, non importa quanto le sue origini fossero dubbie, avrebbe potuto ricevere l'eredità della famiglia Ushiromiya.","Tam manasıyla ele alındığında, kim olursa olsun, kökeni ne kadar şüpheli olursa olsun, Ushiromiya ailesinin başına geçebilirdi."
,"And furthermore, this meant there was a chance that all of the Ushiromiya family's assets would be stolen by some unknown person. ","And furthermore, this meant there was a chance that all of the Ushiromiya family's assets could be stolen by some unknown person."," And furthermore, this meant there was a chance that all of the Ushiromiya family's assets could be stolen by some unknown person.",いや、それどころか、右代宮家の全ての財産を何者かに奪われてしまう可能性だってあるのだ。,[=JP],"И более того, это означало наличие вероятности того, что всё имущество семьи Уширомия может быть украдено неизвестной личностью.","E mais do que isso, significa uma chance de que todos os ativos da família Ushiromiya sejam tomados por uma pessoa desconhecida.",不，豈止如此，右代宮家的全部財產都被他人奪走的可能性也是有的。,不，岂止如此，右代宫家的全部财产都被他人夺走的可能性也是有的。,"E inoltre, ciò significava che vi era la possibilità che tutti i beni della famiglia Ushiromiya sarebbero potuti essere rubati da uno sconosciuto.","Ayrıca bu, Ushiromiya ailesinin tüm mal varlığının bilinmeyen bir kişi tarafından çalınma ihtimalinin olduğu anlamına geliyordu."
,"In that sense, it was definitely not a situation where even the other siblings could afford to lower their guard. ","In that sense, it was definitely not a situation where anyone could lower their guard, even the siblings other than Krauss."," In that sense, it was definitely not a situation where even the other siblings could afford to lower their guard.",その意味においては、蔵臼以外の兄弟たちも、気が許せる状況では断じてなかった。,[=JP],"В этом смысле, это была определённо не та ситуация, где остальные братья и сёстры могли позволить себе потерять бдительность.","Nesse sentido, não era de forma alguma uma situação onde qualquer um pudesse baixar a guarda, nem os irmãos, e muito menos Krauss.",從這種意義上來說，現狀對除藏臼以外的幾位兄妹而言，同樣也絕非可以鬆口氣的狀況。,从这种意义上来说，现状对除藏臼以外的几位兄妹而言，同样也绝非可以松口气的状况。,"In quel senso, era una situazione in cui nemmeno gli altri fratelli potevano abbassare la guardia.","Bu açıdan bakıldığında, Krauss dışındaki kardeşler de dahil olmak üzere hiç kimse için gardını düşürebileceği bir durum söz konusu değildi."
,"Had this letter come from an assassin sent by Kinzo, calling themselves {f:5:Beatrice}? ...Or was this the scheme of some unknown person trying to steal the Ushiromiya family's wealth? They still didn't know the truth. ",Had this letter come from a saboteur sent by Kinzo who called themselves {f:5:Beatrice}? ...Or was this the scheme of some unknown person trying to steal the Ushiromiya family's wealth? They still didn't know the truth., Had this letter come from an assassin sent by Kinzo who called themselves Beatrice? ...Or was this the scheme of some unknown person trying to steal the Ushiromiya family's wealth? They still didn't know the truth.,この手紙はベアトリーチェを名乗る金蔵の刺客からなのか。…それとも、右代宮家から財産を奪い取ろうとする何者かの謀略なのか。真相は未だわからない。,[=JP],"Было ли это письмо прислано Кинзо убийцей, называющей себя {f:5:Беатриче}? ...Или это был план какой‐то неизвестной особы, пытающейся украсть богатство семьи Уширомия? Они ещё не знали правды.","Teria essa carta vindo de um sabotador, enviado por Kinzo, que chama a si mesmo de {f:5:Beatrice}? ...Ou seria um plano de alguma pessoa desconhecida para roubar toda a riqueza da família Ushiromiya? Eles ainda não sabem a verdade.",這封信是出自那自稱貝阿朵莉切的，金藏派來的攪局者之手呢？…還是出於想奪取右代宮家財產的某人的計謀呢？真相還是未知數。,这封信是出自那自称贝阿朵莉切的，金藏派来的搅局者之手呢？…还是出于想夺取右代宫家财产的某人的计谋呢？真相还是未知数。,Questa lettera veniva da un assassino inviato da Kinzo che chiamava se stesso Beatrice? ... O era il piano di una persona sconosciuta che provava a rubare le ricchezze della famiglia Ushiromiya? Ancora non conoscevano la verità.,"Bu mektup Kinzo tarafından gönderilen ve kendilerine {f:5:Beatrice} adını veren bir casustan mı gelmişti? ...Yoksa bu, Ushiromiya ailesinin servetini çalmaya çalışan bilinmeyen bir kişinin planı mıydı? Hâlâ gerçeği bilmiyorlardı."
,...But they could say one thing for certain. ,...But they could say one thing for certain.,[=UP],…しかし、ひとつだけ言えることがある。,[=JP],...Но одну вещь они могли сказать наверняка.,...Mas podiam dizer apenas uma coisa com certeza.,…不過，有一句話是可以講的。,…不过，有一句话是可以讲的。,... Ma potevano dire con certezza una cosa.,...Ama kesin olarak söyleyebilecekleri bir şey vardı.
,"Maria had received this problematic letter... received this problematic letter... today, on this island. ","Maria had received this problematic letter...today, on this island."," Maria had, received this problematic letter, today, on this island.",　真里亞が問題の手紙を、今日、この島で受け取ったということだ。,真里亞が問題の手紙を、今日、この島で受け取ったということだ。,"Мария получила это сулящее беды письмо сегодня, на этом острове.","Maria havia recebido essa problemática carta...hoje, nesta ilha.",作為當下問題的那封信，是真里亞今天在這座島上拿到的。,作为当下问题的那封信，是真里亚今天在这座岛上拿到的。,"Maria aveva, ricevuto questa lettera problematica, oggi, su quest'isola.","Maria bu sorunlu mektubu...bugün, bu adada almıştı."
,"In other words, someone planning something to do with that letter was on this island today. ","In other words, someone who was planning something related to that letter was on this island today."," In other words, someone who was planning something related to that letter was on this island today.",つまり、あの手紙について策謀を巡らせた人間が、今日、まだこの島にいるということなのだ。,[=JP],"Другими словами, некто, планировавший что‐то, связанное с этим письмом, сегодня находился на острове.","Em outras palavras, alguém que está tramando algo relacionado à carta, está nesta ilha, no dia de hoje.",也就是說，以那封信搞陰謀詭計的人，今天、此刻，還在這座島上。,也就是说，以那封信搞阴谋诡计的人，今天、此刻，还在这座岛上。,"In altre parole, oggi sull'isola vi era qualcuno che pianificava qualcosa correlato a quella lettera.","Başka bir deyişle, o mektupla ilgili bir şeyler planlayan biri bugün bu adadaydı."
,"...Had it been set up by Kinzo, one of the four siblings, or maybe some unknown person? ","......Was the person who set it up Kinzo, one of the four siblings, or maybe some unknown person?","......Was the person who set it up Kinzo, one of the four siblings, or maybe some unknown person? ",……仕掛け人は、金蔵なのか、それとも４兄弟の誰かなのか。あるいは未知の何者かなのか。,[=JP],"......Был ли человеком, провернувшим это, Кинзо, кто‐то из братьев и сестёр, или, быть может, кто‐то неизвестный?","......Seria essa pessoa alguém sob as ordens de Kinzo, um dos quatro irmãos, ou talvez uma pessoa desconhecida?",……設局之人是金藏嗎？是四兄妹中的誰嗎？還是未知的其他人呢？,……设局之人是金藏吗？是四兄妹中的谁吗？还是未知的其他人呢？,"... Colui che l'aveva progettato era Kinzo, uno dei quattro fratelli, o forse un'altra persona?","......Bunu ayarlayan kişi Kinzo muydu, dört kardeşten biri miydi, yoksa bilinmeyen biri miydi?"
,"No matter how much they suspected each other, they couldn't reach a conclusion. ","No matter how much they suspected each other, they couldn't reach a conclusion.",[=UP],互いをいくら疑い合えど、結論など出るわけもない。,[=JP],"Но сколько бы они ни подозревали друг друга, они не могли прийти к выводу.","Não importa o quanto suspeitassem uns dos outros, eles não conseguiam chegar a uma conclusão.",不論怎麼互相猜疑，都是得不出結論的。,不论怎么互相猜疑，都是得不出结论的。,"Non importa quanto si sospettassero l'un l'altro, non poterono giungere ad una conclusione.","Birbirlerinden ne kadar şüphelenseler de, bir sonuca varamıyorlardı."
