Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Spanish (ES),Arabic (AR)
,A black silhouette was suddenly standing behind Maria.{n}......It was the silhouette of an adult.,"Behind Maria's back, a black silhouette had appeared. ...It was the silhouette of an adult. ","Behind Maria's back, a black silhouette had appeared.......It was the silhouette of an adult.",真里亞の後に、いつの間にか黒い人影が立っている。……大人の人影だった。,真里亞の後に、いつの間にか黒い人影が立っている。{n}……大人の人影だった。,И тут позади Марии возник тёмный силуэт.{n}......Это был силуэт взрослой девушки.,Uma silhueta negra apareceu repentinamente atrás da Maria.{n}......Era a silhueta de um adulto.,在真里亚的身后，不知不觉间多了个站着的黑色人影。{n}……那是个大人的人影。,在真里亞的身後，不知不覺間多了個站著的黑色人影。{n}……那是個大人的人影。,Dietro la schiena di Maria era apparsa una sagoma nera. ... Era la sagoma di un adulto.,"Detrás de María, apareció una silueta.{n}... Era la silueta de un adulto.",ﻛﺎﻥ ﻫﻨﺎﻙ ﺧﻴﺎﻝ ﺃﺳﻮﺩ ﻳﻘﻒ ﻓﺠﺄﺓ ﺧﻠﻒ ﻣﺎﺭﻳﺎ.{n}......ﻟﻘﺪ ﻛﺎﻥ ﺧﻴﺎﻝ ﺷﺨﺺ ﺑﺎﻟﻎ.
,............Who?!,......Who?! ,"............Who?!",…………誰？！,[=JP],............Кто?!,............Quem?!,…………谁？！,[=JP],... Chi?!,... ¡¿Quién?!,............ﻣﻦ؟!
{f:5:Beatrice},""".........Since an arm can pat a daughter's head, flip through a picture book, and make warm meals, ......I thought it might be alright to leave them.""","""...If she'd used those hands for patting her daughter's head, flipping through picture books, or making warm meals, ...it may have been worth leaving them on."" ",""".........Since an arm could pat her daughter's head, flip through a picture book, and make warm meals, ......I thought it might be alright to leave it.""",「………娘の頭を撫で、絵本をめくり、温かい食事を作ることの出来る腕ならば、……残しても良いかと考えた。」,「………娘の頭を撫で、絵本をめくり、温かい食事を作ることの出来る腕ならば、……残しても良いかと考えた」,""".........Поскольку рука может гладить дочь по голове, листать книжку с картинками и готовить тёплые обеды... Я подумала, что правильнее будет оставить её.""",""".........Já que um braço é capaz de fazer carinho na cabeça de um filho, passar as páginas de um livro ilustrado e preparar refeições deliciosas, ......eu pensei que estaria tudo bem em deixá‐los.""",「………如果是一双能够抚摸女儿的头，翻开图书，烹制热乎乎的饭菜的手的话，留着倒也无妨……」,「………如果是一雙能夠撫摸女兒的頭，翻開圖書，烹制熱乎乎的飯菜的手的話，留著倒也無妨……」,"""... Dato che un braccio può accarezzare la testa della propria figlia, sfogliare un libro illustrato e preparare pasti caldi... penso che possa andar bene farlo rimanere.""","""... Como un brazo puede acariciar la cabeza de su hija, pasar las páginas de un libro, y hacer comidas llenas de amor... pensé que podría estar bien dejarlo.""",""".........ﻟﻮ ﻛﺎﻧﺖ ﻫﺬﻩ ﺍﻷﺫﺭﻉ ﺗﺼﻠﺢ ﻟﺘﺮﺑﻴﺖ ﺭﺃﺳﻬﺎ، ﺃﻭ ﺗﻘﻠﻴﺐ ﺻﻔﺤﺎﺕ ﻗﺼﺼﻬﺎ، ﺃﻭ ﻹﻋﺪﺍﺩ ﻃﻌﺎﻡٍ ﺩﺍﻓﺊ ﻟﻬﺎ، ......ﻟﺘﺮﻛﺘﻬﺎ."""
Ushiromiya Maria,"""Mama hits my head more than she pats it. ......She doesn't turn the pages of a picture book. She doesn't even make food. ......I go to buy it myself.""","""Mama hit my head more than she patted it. ...She never opens picture books. She doesn't even make me food. ...I go to buy it myself."" ","""Mama hit Maria's head more than she patted it.  ......She doesn't turn the pages of a picture book.  She doesn't even make food.  ......Maria goes to buy it herself.",「ママは真里亞の頭を撫でるより、叩く方が多いよ。……絵本なんかめくってくれない。ご飯だって作ってくれない。……真里亞が自分で買いに行くの。,「ママは真里亞の頭を撫でるより、叩く方が多いよ。……絵本なんかめくってくれない。ご飯だって作ってくれない。……真里亞が自分で買いに行くの」,"""Мама била Марию по голове чаще, чем гладила. ......Она не листала страницы книжки с картинками. Она даже не готовит. ......Мария сама ходит покупать себе еду.""","""A mamãe bate mais na cabeça da Maria do que faz carinho. ......Ela não vira as páginas dos livros ilustrados. Ela nem mesmo faz comida. ......A Maria que tem que sair para comprar.""",「妈妈比起摸真里亚的头，打的次数要更多。……图书也不会去翻。饭也不会去做。……都是真里亚自己去买的。」,「媽媽比起摸真里亞的頭，打的次數要更多。……圖書也不會去翻。飯也不會去做。……都是真里亞自己去買的。」,"""La Mamma ha colpito la testa di Maria più di quanto l'abbia accarezzata. {n}Non volta le pagine di un libro illustrato. Non prepara neanche del cibo. ... Maria va a comprarselo da sola.","""Mamá golpea la cabeza de María más de lo que la acaricia... Ella no voltea las páginas de ningún libro ilustrado. Ni siquiera cocina... María va a comprar sola su comida.""","""ﻣﺎﻣﺎ ﺗﻀﺮﺏ ﺭﺃﺳﻲ ﺃﻛﺜﺮ ﻣﻤﺎ ﺗﺮﺑﺖ ﻋﻠﻴﻪ. ......ﻭﻻ ﺗﻘﻠﺐ ﺻﻔﺤﺎﺕ ﻛﺘﺒﻲ ﺍﻟﻤﺼﻮﺭﺓ. ﻭﻻ ﺗﻌﺪ ﺍﻟﻄﻌﺎﻡ ﺣﺘﻰ. ......ﺃﻧﺎ ﻣﻦ ﻳﺬﻫﺐ ﻟﺸﺮﺍﺋﻪ ﺑﻨﻔﺴﻲ."""
Ushiromiya Maria,"""......But I'm not allowed to go to the same store over and over, not allowed to have my face remembered, not allowed to talk to policemen... .........Why? Why is that? Did I do something wrong?""","""...But I mustn't go to the same store more than once, mustn't have my face remembered, mustn't talk to the policeman... ......Why? Why is that? Is it my fault?"" ","......But Maria must not go to the same store multiple times, must not have her face remembered, must not talk to the policeman............Why?  Why's that?  Did Maria do something wrong?",……でも、同じお店に何度も行っちゃいけないし、顔を覚えられてもいけない、お巡りさんに話しかけてもいけない…。………何で？　どうして？　真里亞が悪いの？,「……でも、同じお店に何度も行っちゃいけないし、顔を覚えられてもいけない、お巡りさんに話しかけてもいけない…。………何で？　どうして？　真里亞が悪いの？」,"""......Но Марии не разрешают ходить в один и тот же магазин много раз, не должна дать запомнить своё лицо, нельзя разговаривать с полицейским............Почему? С чего вдруг? Разве Мария сделала что‐то плохое?""","""......Mas não permitirei que a mesma história continue a se repetir, sem poder deixar que lembrem do seu rosto, sem poder conversar com o policial... .........Como? Por quê? A Maria fez algo de errado?""",「……可是，不能老去同一家店，不能被人记住脸，不能与警察叔叔说话…。………为什么？为什么？是真里亚不好吗？」,「……可是，不能老去同一家店，不能被人記住臉，不能與警察叔叔說話…。………為什麼？為什麼？是真里亞不好嗎？」,"... Ma Maria non deve andare più volte nello stesso negozio, deve fare in modo che la sua faccia non sia ricordata, non deve parlare ai poliziotti... Perché? {n}Perché questo? Maria ha fatto qualcosa di sbagliato?","""... Pero María no debe ir a la misma tienda varias veces, no debe dejar que recuerden su cara, no debe hablar con los policías... ¿Por qué? ¿Por qué es así? ¿Hizo María algo malo?""","""......ﻭﺗﻘﻮﻝ ﻟﻲ ﺃﻻ ﺃﺗﺮﺩﺩ ﻋﻠﻰ ﺍﻟﻤﺘﺠﺮ ﺫﺍﺗﻪ ﻣﺮﺍﺭﺍً، ﻭﻻ ﻳﺠﺐ ﺃﻥ ﺗُﻌﺮﻑ ﻣﻼﻣﺤﻲ، ﻭﻻ ﻳﺠﺐ ﺃﻥ ﺃﺗﺤﺪﺙ ﻣﻊ ﺍﻟﺸﺮﻃﺔ... .........ﻟﻤﺎﺫﺍ؟ ﻟﻤﺎﺫﺍ ﻫﺬﺍ؟ ﻫﻞ ﻓﻌﻠﺖ ﺷﻴﺌﺎً ﺧﺎﻃﺌﺎً؟"""
Ushiromiya Maria,"""Am I not allowed to have you pat my head, have picture books read to me, eat dinner together with you...? Why? Why?!""","""Am I not allowed to have Mama pat my head, have picture books read to me, or eat dinner with Mama...? Why not? Why not?! ","Is Maria not supposed to have Mama pat her head, have picture books read to her, eat dinner together with Mama...?  Why?  Why?!  ",真里亞はママに撫でてもらったり、絵本を読んでもらったり、一緒にご飯を食べたりしちゃいけないの…？　どうして？　どうして？！,「真里亞はママに撫でてもらったり、絵本を読んでもらったり、一緒にご飯を食べたりしちゃいけないの…？　どうして？　どうして？！」,"""Разве мама не должна гладить Марию по голове, читать ей книжку с картинками, вместе с ней кушать обед? Почему? Почему?!""","""Por que a mamãe não pode fazer carinho na cabeça da Maria, não pode ler livros ilustrados para ela, não pode jantar com ela...? Por quê? Por quê?!""",「真里亚不可以被妈妈抚摸，听妈妈念图书，与妈妈一起吃饭吗…？为什么？为什么？！」,「真里亞不可以被媽媽撫摸，聽媽媽念圖書，與媽媽一起吃飯嗎…？為什麼？為什麼？！」,"Maria non deve ricevere carezze sulla testa dalla Mamma, farsi leggere un libro da lei, mangiare la cena insieme alla Mamma...? Perché? Perché?!","""¿No se supone que mamá debe acariciar la cabeza de María, leerle un libro con dibujos, cenar junto a ella?... ¿Por qué? ¡¿Por qué?!""","""ﺃﻻ ﻳُﺴﻤﺢ ﻟﻲ ﺑﺄﻥ ﺗﺮﺑﺘﻲ ﻋﻠﻰ ﺭﺃﺳﻲ، ﻭﺃﻥ ﺗﻘﺮﺋﻲ ﻟﻲ ﻛﺘﺒﺎً ﻣﺼﻮﺭﺓ، ﻭﺃﻥ ﻧﺄﻛﻞ ﺍﻟﻌﺸﺎﺀ ﻣﻌﺎً...؟ ﻟﻤﺎﺫﺍ؟ ﻟﻤﺎﺫﺍ؟!"""
Ushiromiya Maria,"""It's NOT my fault!! Not my fault, yours!! YOUR fault!!""","I didn't do anything wrong!! It isn't my fault, it's Mama's!! Mama's fault!!"" ","Maria didn't do anything wrong!!  Not Maria's fault, Mama's!!  Mama's fault!!""",真里亞、悪くないよッ！！　真里亞悪くない、ママが悪い！！　ママが悪いッ！！」,「真里亞、悪くないよッ！！　真里亞悪くない、ママが悪い！！　ママが悪いッ！！」,"""Мария не сделала ничего плохого! Виновата не Мария, а мама! Мама виновата!!!""","""Não é culpa da Maria!! Não é culpa da Maria, é culpa da mamãe!! {b:Sua} culpa!!""",「不是真里亚不好！！不是真里亚不好，是妈妈不好！！妈妈不好！！」,「不是真里亞不好！！不是真里亞不好，是媽媽不好！！媽媽不好！！」,"Maria non ha fatto niente di sbagliato!! Non é colpa di Maria, ma della Mamma!! Colpa della Mamma!!""","""¡¡María no hizo nada malo!! ¡¡No es culpa de María, sino de mamá!! ¡¡Es culpa de MAMÁ!!""","""ﺇﻧﻪ ﻟﻴﺲ ﺧﻄﺌﻲ!! ﻟﻴﺲ ﺧﻄﺌﻲ، ﺑﻞ ﺧﻄﺆﻙِ!! ﺧﻄﺆﻙِ ﺃﻧﺖِ!!"""
Ushiromiya Maria,"""You don't play with me, but Sakutaro did!""","""Mama wouldn't play with me, but Sakutaro did! ","""Mama wouldn't play with Maria, but Sakutaro did!  ",「ママは一緒に遊んでくれないけど、さくたろは一緒に遊んでくれた！,「ママは一緒に遊んでくれないけど、さくたろは一緒に遊んでくれた！」,"""Мама не играла с Марией, а Сакутаро играл!""","""Você não brinca com a Maria, mas o Sakutaro brincava!""",「虽然妈妈不陪真里亚玩，但樱太郎会陪真里亚玩！」,「雖然媽媽不陪真里亞玩，但櫻太郎會陪真里亞玩！」,"""La Mamma non voleva giocare con Maria, ma Sakutarou l'ha fatto!","""Mamá no jugaba con María, ¡pero Sakutaro sí!""","""ﺃﻧﺖِ ﻻ ﺗﻠﻌﺒﻴﻦ ﻣﻌﻲ، ﺑﻞ ﺳﺎﻛﻮﺗﺎﺭﻭ ﻣﻦ ﻳﻔﻌﻞ!"""
Ushiromiya Maria,"""He read books with me, watched TV with me, ate meals with me!! He was a much, MUCH more important friend than YOU!!!""","He even read books, watched TV and ate meals with me!! He was a much, much better friend than Mama was!!!"" ","He even read books, watched TV and ate meals with Maria!!  He was a much, much more important friend than Mama was!!!""",本も読んでくれた、テレビも見てくれた、一緒にご飯も食べてくれた！！　ママよりッ、もっともっと大切な友達だったのにッ！！！」,「本も読んでくれた、テレビも見てくれた、一緒にご飯も食べてくれた！！　ママよりッ、もっともっと大切な友達だったのにッ！！！」,"""Он даже читал книги, смотрел телевизор и кушал вместе с Марией! Он был мне гораздо больше, гораздо более дорогим другом, чем мама!!!""","""Ele lia livros comigo, assistia televisão comigo, comia junto comigo!! Ele era um amigo muito, {b:muito} mais importante que {b:você}!!!""",「他会念书给真里亚听，陪真里亚看电视，还陪真里亚吃饭！！他明明是我的，比妈妈都要重要好多好多的朋友！！！」,「他會念書給真里亞聽，陪真里亞看電視，還陪真里亞吃飯！！他明明是我的，比媽媽都要重要好多好多的朋友！！！」,"Lui ha letto anche i libri, ha guardato la TV e mangiato con Maria!! Lui è stato un amico molto, molto più importante di quanto non sia stata la Mamma!!!""","""¡¡Incluso leía libros, veía televisión y comía junto a María!! ¡¡¡Era un amigo mucho, mucho más importante que MAMÁ!!!""","""ﻗﺮﺃ ﺍﻟﻜﺘﺐ ﻣﻌﻲ، ﻭﺷﺎﻫﺪ ﺍﻟﺘﻠﻔﺎﺯ ﻣﻌﻲ، ﻭﺃﻛﻞ ﺍﻟﻮﺟﺒﺎﺕ ﻣﻌﻲ!! ﻟﻘﺪ ﻛﺎﻥ ﺻﺪﻳﻘﺎً ﺃﻫﻢ ﺑﻜﺜﻴﺮٍ ﻣﻨﻚ!!!"""
Ushiromiya Rosa,"""...I, ......I'm not proud of it...! Bu‐but it can't be helped, can it?! Mama's busy with work—work!! You know that Mama's busy with work, right?! What am I supposed to do?!! There's nothing I can do!!""","""...I-I'm not proud of it...! B-But what am I supposed to do?! I'm busy with work, work I tell you!! You know that, right?! It was unavoidable!! There's nothing I can do!!"" ","""...I, ......I'm not proud of it...!  B, but what am I supposed to do?!  Mama's busy with work, work!!  You know that Mama's busy with work, right?!  What am I supposed to do?!!  There's nothing I can do!!""",「…わ、……悪かったと思ってるわ…！でッ、でも仕方ないでしょ？！　ママは仕事で忙しいのよ、仕事で！！　ママの仕事が忙しいのは知ってるでしょ？！　仕方ないのよ！！　仕方ないッ！！」,「…わ、……悪かったと思ってるわ…！　でッ、でも仕方ないでしょ？！　ママは仕事で忙しいのよ、仕事で！！　ママの仕事が忙しいのは知ってるでしょ？！　仕方ないのよ！！　仕方ないッ！！」,"""...Я... я не горжусь этим! Н‐но что мне оставалось делать?! Мама занята на работе, по уши! Ты же знаешь, что мама занята на работе, так?! Так что прикажешь мне делать?!! Я ничего не могу тут поделать!!!""","""...Eu, ......eu não me orgulho disso...! M‐Mas eu não podia fazer nada, podia?!{n}A mamãe estava ocupado trabalhando muito!! Você sabe que a mamãe estava ocupada com o trabalho, não sabe?! O que eu deveria fazer?! Não tinha nada que eu pudesse fazer!!""",「…我、……我也觉得很抱歉…！但、但这是没办法的事吧？！妈妈工作很忙，很忙！！你是知道妈妈工作很忙的吧？！没办法的事呀！！没办法的事啊！！」,「…我、……我也覺得很抱歉…！但、但這是沒辦法的事吧？！媽媽工作很忙，很忙！！你是知道媽媽工作很忙的吧？！沒辦法的事呀！！沒辦法的事啊！！」,"""... Io... io non sono fiera di ciò...! M-Ma che cosa avrei dovuto fare?! {n}La Mamma è occupata col lavoro, lavoro!! Tu lo sai che la Mamma è impegnata col lavoro, vero?! Che cosa avrei dovuto fare?!! Non c'è niente che io possa fare!!""","""... Yo... ¡no estoy orgullosa de ello!... ¡¿Pe-Pero qué se supone que debería hacer?! Mamá está ocupada con el trabajo, ¡¡trabajo!! Sabes que Mamá está ocupada con el trabajo, ¡¿cierto?! ¡¡¿Qué se supone que debería hacer?!! ¡¡No hay nada que pueda hacer!!""","""...ﺃﻧﺎ، ......ﺃﻧﺎ ﻟﺴﺖ ﻓﺨﻮﺭﺓ ﺑﺬﻟﻚ...! ﻟـ-ﻟﻜﻦ ﻻ ﺣﻴﻠﺔ ﻟﻲ ﻓﻲ ﺫﻟﻚ. ﻣﺎﻣﺎ ﻣﺸﻐﻮﻟﺔ ﺑﺎﻟﻌﻤﻞ، ﺍﻟﻌﻤﻞ!! ﺃﻧﺖِ ﺗﻌﺮﻓﻴﻦ ﻛﻢ ﺃﻥ ﻣﺎﻣﺎ ﻣﺸﻐﻮﻟﺔ ﺑﻌﻤﻠﻬﺎ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟! ﻓﻤﺎﺫﺍ ﻳﻔﺘﺮﺽ ﺑﻲ ﺃﻥ ﺃﻓﻌﻞ؟!! ﻻ ﺣﻴﻠﺔ ﻟﻲ ﻣﻄﻠﻘًﺎ!!"""
{f:5:Beatrice},"""That is true. There is nothing to be done. Nothing to be done about injuring your daughter, tearing her heart apart, and making her tears run with blood...! Then there's nothing to be done about the same thing happening again, right here, right now...!!""","""True enough. It was unavoidable. Unavoidable that you'd injure your daughter, tearing her heart apart and making her tears run with blood...! In that case, there's no avoiding the same thing happening again, right here, right now...!!"" ","""That is true.  There is nothing to be done.  Nothing to be done about injuring your daughter, tearing her heart apart, and making her tears run with blood...!  Then there's nothing to be done about the same thing happening again, right here, right now...!!",「そうだ。これは仕方なきこと。そなたの娘が傷つき、心を引き裂かれ、涙に血を浮かべることさえ、これは仕方なきこと…！　なれば今この場にてこのようなることになるもまた、全ては仕方なきこと…！！,「そうだ。これは仕方なきこと。そなたの娘が傷つき、心を引き裂かれ、涙に血を浮かべることさえ、これは仕方なきこと…！　なれば今この場にてこのようなることになるもまた、全ては仕方なきこと…！！」,"""Это правда. Тут поделать ничего нельзя. Ничего не поделать с тем, что ты изранила свою дочь, разорвала ей сердце и заставила плакать кровавыми слезами! И ничего не поделать с тем, что то же самое повторяется вновь, прямо здесь и прямо сейчас!""","""Isso é verdade. Não havia nada há ser feito. Não podia fazer nada quanto a machucar sua filha, partir seu coração e fazê‐la chorar lágrimas de sangue...!{n}Não há nada para ser feito com a mesma coisa que está acontecendo aqui, bem aqui, neste instante...!!""",「对。这是没办法的事。伤害汝的女儿，撕开她的心，就连令其泪中掺血都是没办法的事…！那么，现在这种事于此发生，也全部都是没办法的事…！！」,「對。這是沒辦法的事。傷害汝的女兒，撕開她的心，就連令其淚中摻血都是沒辦法的事…！那麼，現在這種事於此發生，也全部都是沒辦法的事…！！」,"""Questo è vero. Non c'è niente da fare. Niente da fare riguardo al ferire tua figlia, fare a pezzi il suo cuore e far scorrere le sue lacrime col sangue...! Allora non c'è niente da fare se la stessa cosa accade ancora, qui e ora...!!","""Es verdad. No hay nada que hacer. ¡No hay nada que hacer tras herir a tu hija, arruinar su corazón, y hacer correr lágrimas de sangre por su rostro!... Entonces no hay nada que hacer si lo mismo ocurre de nuevo, ¡¡justo aquí y ahora!!...""","""ﻫﺬﺍ ﺻﺤﻴﺢ. ﻻ ﺣﻴﻠﺔ ﻟﻚِ. ﻻ ﺣﻴﻠﺔ ﻟﻚِ ﺣﻴﺎﻝ ﺇﻳﺬﺍﺀ ﺍﺑﻨﺘﻚ، ﻭﺇﻳﺬﺍﺀ ﻣﺸﺎﻋﺮﻫﺎ، ﻭﺟﻌﻞِ ﺩﻣﻮﻋﻬﺎ ﺗﺠﺮﻱ ﺩﻣﺎً...! ﺇﺫﻥ ﻻ ﺣﻴﻠﺔ ﻭﻻ ﻋُﺬﺭ ﻟﻚِ ﻟﻮ ﻓُﻌِﻞَ ﺑﻚِ ﺍﻟﺸﻲﺀ ﺫﺍﺗﻪ، ﻫﻨﺎ ﻭﺍﻵﻥ...!!"""
{f:5:Beatrice},"""Come, {f:5:Maria}...! That is enough for the excuses of the woman who calls herself a mother. Can you forgive her, or not...?! Is she innocent, or else guilty?!?!""","""Come, {f:5:Maria}...! Enough of the excuses from a woman who calls herself a mother. Can you forgive her, or not...?! Is she innocent...or guilty?!?!"" ","Come, MARIA...!  That is enough for the excuses of the woman who calls herself a mother.  Can you forgive her, or not...?!  Is she innocent, or else guilty?!?!""",さぁ、マリア…！　母を名乗った女の言い分は以上だぞ。許せるか、否か…？！　無罪か、はたまた有罪かッ？！？！」,「さぁ、マリア…！　母を名乗った女の言い分は以上だぞ。許せるか、否か…？！　無罪か、はたまた有罪かッ？！？！」,"""Давай, {f:5:Мария}! Хватит с нас оправданий женщины, называющей себя матерью. В силах ли ты её простить или нет?! Невиновна она или же виновата?!""","""Vamos, {f:5:Maria}...! Já basta de desculpas dessa mulher que se diz ser uma mãe. Você pode perdoá‐la ou não...?! Ela é inocente ou culpada?!?!""",「来，玛利亚…！自称是汝母亲的女人的辩解如上所述。要原谅，还是不原谅…？！是无罪，还是有罪？！？！」,「來，瑪利亞…！自稱是汝母親的女人的辯解如上所述。要原諒，還是不原諒…？！是無罪，還是有罪？！？！」,"Vieni, MARIA...! Questo è più che sufficiente per le scuse di una donna che definisce se stessa una Madre. La puoi perdonare, o no...?! Lei è innocente, o colpevole?!?!""","""¡Vamos, {f:5:María}!... Suficientes excusas de la mujer que se llama a sí misma madre. ¡¿Puedes perdonarla, o no?!... ¡¿¡¿Es ella inocente o culpable?!?!""","""ﻫﻠﻤِّﻲ ﻳﺎ {f:7:ﻣﺎﺭﻳﺎ}...! ﻳﻜﻔﻲ ﻣﻦ ﺃﻋﺬﺍﺭ ﻫﺬﻩ ﺍﻟﻤﺮﺃﺓ ﻣُﺪَّﻋِﻴَﺔ ﺍﻷﻣﻮﻣﺔ. ﻫﻞ ﻳﻤﻜﻨﻚِ ﻣﺴﺎﻣﺤﺘﻬﺎ ﺃﻡ ﻻ...؟! ﻫﻞ ﻫﻲ ﺑﺮﻳﺌﺔ، ﺃﻡ ﻣُﺪﺍﻧﺔ؟!؟! """
Ushiromiya Maria,"""Can't forgive her!! Mama is guilty!! I'll make the same thing happen to Mama that she did to Sakutaro...!! Take Mama, ......and rip her from the seam at the neck, ......rip her apart, and throw the cotton inside her everywhere!!""","""I won't forgive her!! Mama's guilty!! I'll make Mama meet the same fate she gave to Sakutaro...!! Take Mama...from the seam at the neck... and tear her apart, so we can see the cotton inside her!!"" ","""Won't forgive her!!  Mama is guilty!!  I'll make Mama meet the same fate she gave to Sakutaro...!!  Take Mama, ......from the seam at the neck, ......and tear her apart, exposing the cotton within!!""",「許せないッ！！　ママは有罪だッ！！　さくたろにママがしたのと、同じ目に遭わせてやる…！！　ママを、……首の縫い目のところから、……引き裂いて、中の綿をぶちまけてやるッ！！」,[=JP],"""Не прощу её! Мама виновна! Я заставлю маму испытать ту же судьбу, что она устроила Сакутаро! Возьми маму... за шов на шее... и разорви пополам, обнажив весь хлопок внутри!""","""Imperdoável!! A mamãe é culpada!! Farei com a mamãe o mesmo que ela fez com o Sakutaro...!! Pegue ela, ......e rasgue a costura em seu pescoço, ......rasgue ao meio e espalhe o algodão que está dentro por todo lugar!!""",「不原谅！！妈妈有罪！！真里亚要让妈妈尝尝，妈妈对樱太郎所做的一切…！！我要，……撕开她脖子上的接缝处，……掏出里面的棉花！！」,「不原諒！！媽媽有罪！！真里亞要讓媽媽嘗嘗，媽媽對櫻太郎所做的一切…！！我要，……撕開她脖子上的接縫處，……掏出裡面的棉花！！」,"""Non la perdonerò!! La Mamma è colpevole!! Farò in modo che la Mamma incontri lo stesso destino che lei ha dato a Sakutarou...!! Prendi la Mamma... dalla cucitura sul collo... e strappala, mostrando il cotone che c'è dentro!!""","""¡¡No la perdonaré!! ¡¡Mamá es culpable!! ¡¡Haré que mamá sufra el mismo destino que le dio a Sakutaro!!... Toma a Mamá... por la costura del cuello... y rásgala, ¡¡saca todo ese algodón!!""","""ﻻ ﺃﺳﺘﻄﻴﻊ ﻣﺴﺎﻣﺤﺘﻬﺎ!! ﻣﺎﻣﺎ ﻣُﺪﺍﻧﺔ!! ﺳﺄﺫﻳﻖ ﻣﺎﻣﺎ ﺍﻟﻤﺼﻴﺮ ﺫﺍﺗﻪ ﺍﻟﺬﻱ ﺃﺫﺍﻗﺘﻪ ﻟﺴﺎﻛﻮﺗﺎﺭﻭ..!! ﺧﺬﻭﺍ ﻣﺎﻣﺎ، ......ﻭﺃﻣﺴﻜﻮﻫﺎ ﻣﻦ ﺧﻂ ﺍﻟﺨﻴﺎﻃﺔ ﻋﻨﺪ ﺭﻗﺒﺘﻬﺎ، ......ﺛﻢ ﻣﺰﻗﻮﻫﺎ ﺇﺭﺑﺎً، ﻭﺍﻧﺜﺮﻭﺍ ﺍﻟﻘﻄﻦ ﺍﻟﺬﻱ ﺑﺪﺍﺧﻠﻬﺎ ﻓﻲ ﻛﻞ ﻣﻜﺎﻥ!!"""
,......Maria's eyes ominously flashed blue.,...Maria's eyes ominously flashed blue. ,"......Maria's eyes ominously flashed blue.",……真里亞の瞳が、青く、禍々しく光った。,[=JP],......Глаза Марии полыхнули зловещим синим светом.,......Os olhos de Maria brilharam rapidamente com uma ominosa luz azul.,……真里亚的瞳孔中放出了蓝色的祸光。,……真里亞的瞳孔中放出了藍色的禍光。,"... Gli occhi di Maria brillarono di blu, inquietanti.",... Los ojos de María brillaron con un azul siniestro.,......ﺃﻭﻣﻀﺖ ﻋﻴﻨﺎ ﻣﺎﺭﻳﺎ ﺑﺎﻟﻠﻮﻥ ﺍﻷﺯﺭﻕ ﺷﺆﻣًﺎ.
,"In that instant, invisible, massive arms stuck their fingernails out and grasped Rosa's entire body tightly.","In that instant, invisible, massive arms stuck their fingernails out and tightly grasped Rosa's entire body. ","In that instant, invisible, massive arms stuck their fingernails out and tightly grasped Rosa's entire body.",その瞬間、目に見えぬ巨大な腕が爪を立てて楼座の全身を強く握り締めた。,[=JP],И в этот момент невидимые массивные руки выпустили ногти и крепко ухватили всё тело Розы.,"No mesmo instante, grandes braços invisíveis expuseram suas unhas e agarraram vigorosamente o corpo de Rosa.",在那一瞬间，眼睛所看不到的巨大手臂竖起指甲握紧了楼座的身体，拧了起来。,在那一瞬間，眼睛所看不到的巨大手臂豎起指甲握緊了樓座的身體，擰了起來。,"In quell'istante, invisibile, un enorme braccio sporse le proprie unghie e afferrò strettamente l'intero corpo di Rosa.","En ese momento, brazos enormes e invisibles clavaron sus uñas y apretaron fuertemente el cuerpo de Rosa.",ﻓﻲ ﺗﻠﻚ ﺍﻟﻠﺤﻈﺔ، ﻇﻬﺮﺕ ﺃﺫﺭﻉٌ ﺿﺨﻤﺔ ﻻ ﺗُﺮﻯ ﺛﻢ ﺃﺑﺮﺯﺕ ﺃﻇﺎﻓﺮﻫﺎ ﻭﺃﻣﺴﻜﺖ ﺭﻭﺯﺍ ﺑﺈﺣﻜﺎﻡ.
