Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
Ushiromiya Jessica,"""...Sounds just like my dad, so greedy that he'd take something like this so seriously. He may laugh at Grandfather's black magic obsession, but he'd still believe this story about the hidden gold. It just sounds so good."" ","""...Bet it's my dad who's taking this nonsense at face value, his greed exposed to the world. Even though he laughs at Grandfather's black magic hobby, he'll still believe this story about the hidden gold. He's all talk.""","""...Sounds just like my dad, so greedy that he takes something like this so seriously. Even though he laughs at Grandfather's black magic hobby, he'll still believe this story about the hidden gold. It just sounds so good.""",「…欲の皮が突っ張ってる、うちの親父辺りだろうぜ、こんな世迷言を真に受けてるなんてよ。祖父さまの黒魔術趣味は馬鹿にしてるくせに、この隠し黄金の話だけは信じてやがる。調子のいい話さ。」,「…欲の皮が突っ張ってる、うちの親父辺りだろうぜ、こんな世迷言を真に受けてるなんてよ。祖父さまの黒魔術趣味は馬鹿にしてるくせに、この隠し黄金の話だけは信じてやがる。調子のいい話さ」,"""...Как похоже на моего папу, жадного до такой степени, что принимает это всерьёз. Хотя он и смеётся над дедушкиным увлечением тёмной магией, он всё равно верит в эту историю о спрятанном золоте. Просто в ней всё так хорошо описано.""","""...Aposto que meu pai está levando esta loucura ao pé da letra, expondo sua ganância para o mundo todo. Mesmo rindo do hobby do vovô, ele ainda acredita sobre a história do ouro escondido. É uma boa história.""",「利欲熏心，說的就是我爸這類人嘞，居然會把這種胡話當真。明明鄙視爺爺的黑魔術興趣，藏金卻信了。還真會“隨機應變”。」,「利欲熏心，说的就是我爸这类人嘞，居然会把这种胡话当真。明明鄙视爷爷的黑魔术兴趣，藏金却信了。还真会“随机应变”。」,"""...Pasti ayahku yang menganggap serius omong kosong ini, keserakahannya terbuka lebar. Meski menertawakan hobi sihir hitam Kakek, dia masih percaya cerita emas tersembunyi ini. Omong doang.""","""... Sembra proprio come mio Padre, così avido da prendere seriamente in considerazione qualcosa del genere. Nonostante rida dell'hobby per la magia nera del Nonno, crede a questa storia dell'oro nascosto. Sembra così bello.""","""...Prendere sul serio cavolate del genere è tipico di quell'ingordo di mio padre. Prende in giro l'hobby per la magia nera del nonno, ma alla storia dell'oro nascosto invece ci crede. Ha catturato la sua attenzione.""","""...Bahse girerim bu saçmalığı olduğu gibi kabul eden tek kişi babamdır, böyle bir şeyi bu kadar ciddiye alabilecek kadar açgözlü. Büyükbabamın kara büyü hobisine gülse bile, bu saklı altın hikayesine inanıyordur. Kulağa çok hoş geliyor."""
Ushiromiya George,"""......Well, it's certainly not a realistic story. At that time, when Grandfather was still nameless and had no connections, there was no way anyone would just lend him a massive quantity of gold bars for free. ......If such a person actually did exist, it's not unthinkable that Grandfather would call such a sponsor a witch."" ","""......Well, it's certainly not a realistic story. At that time, when Grandfather was still nameless without any connections, there's no way anyone would have just lent him a massive quantity of gold bars for free. ......Although, it's not unthinkable to suggest that's exactly why Grandfather called his sponsor a witch.""","""......Well, it's certainly not a realistic story. At that time, when Grandfather was still nameless without any connections, there was no way anyone would just lend him a massive quantity of gold bars for free. ......Because of that, it's not unthinkable that Grandfather would call his sponsor a witch.""",「……確かに現実的な話じゃないよね。当時、無名で何のコネクションもなかったお祖父さまに、無償で莫大な金塊を融資する人物なんているわけがない。……それがいたからこそ、お祖父さまはそのスポンサーを魔女と呼んだ、というのなら考えられない話じゃないけど。」,「……確かに現実的な話じゃないよね。当時、無名で何のコネクションもなかったお祖父さまに、無償で莫大な金塊を融資する人物なんているわけがない。……それがいたからこそ、お祖父さまはそのスポンサーを魔女と呼んだ、というなら考えられない話じゃないけど」,"""......Ну, разумеется, эту историю трудно назвать реалистичной. В то время, когда дедушка был ещё никому не известен и не имел каких‐либо связей, никто не стал бы предоставлять ему задаром такую кучу золота в слитках. ......Стоит ли удивляться, что дедушка назвал в качестве своего спонсора ведьму.""","""......Bem, certamente não é uma história realista. Ao mesmo tempo, enquanto o vovô ainda era um desconhecido sem nenhuma conexão, não tem como alguém ter dado tamanha quantidade de barras de ouro de graça. ......Embora não seja impensável sugerir que é exatamente por isso que ele fala que seu patrocinador foi uma bruxa.""",「……確實很不現實呢。當時是不可能會有人把這麼些巨額金塊，無償借予既沒名氣又沒關係的爺爺的。……但要是認為“正因有這麼個出資者，所以爺爺才把她稱為了魔女”，那倒也不是沒有可能。」,「……确实很不现实呢。当时是不可能会有人把这么些巨额金块，无偿借予既没名气又没关系的爷爷的。……但要是认为“正因有这么个出资者，所以爷爷才把她称为了魔女”，那倒也不是没有可能。」,"""......Yah, ceritanya memang tidak realistis. Saat itu, ketika Kakek masih tidak dikenal tanpa koneksi, tidak mungkin ada yang meminjamkan berton-ton emas padanya secara gratis. ......Tapi, tidak mustahil itu alasan Kakek menyebut penyandang dananya sebagai penyihir.""","""... Beh, certamente non è una storia realistica. A quel tempo, quando il Nonno era ancora uno sconosciuto senza alcun aggancio, non era possibile che qualcuno gli prestasse denaro senza alcuna garanzia. ... Per questo motivo, è certamente credibile che il Nonno abbia definito ‘strega’ il suo finanziatore.""","""...Beh, di certo non è una storia realistica. Non è possibile che a quei tempi esistesse una persona che avrebbe prestato senza garanzie un'enorme quantità di lingotti d'oro al nonno, che era uno sconosciuto senza alcun aggancio...{n}Perciò non sarebbe inconcepibile che, se ciò fosse davvero avvenuto, il nonno avrebbe definito una ‘strega’ la sua finanziatrice.""","""......Pekala, bu kesinlikle gerçekçi bir hikâye değil. Büyükbabanın henüz tanınmadığı ve hiçbir bağlantısının bulunmadığı o dönemde, kimsenin ona bedavaya yüklü miktarda külçe altın ödünç vermesinin imkanı yok. ......Yine de, böyle bir kişi gerçekten var olsaydı, Büyükbabanın böyle bir sponsora cadı demesi mantıksız olmazdı."""
Ushiromiya Battler,"""Yeah, but it's 10 tons. 10 tons! If you cashed that in, how much would it come to? I mean, it'd have to be a ridiculous amount, right?!"" ","""Yeah, but, it's ten tons, ten tons! If you traded that for money, how much would that come to? Anyway, it'd have to be a ridiculous amount, right?!""","""Yeah, but, it's 10 tons. 10 tons! If you traded that for money, how much would that come to? Anyway, it'd have to be a ridiculous amount, right?!""",「でもよぅ、１０ｔだぜ、１０ｔ。一体、現金に直したらいくらくらいになるんだ？　っていうか、とんでもない量になるはずだぜ？！」,[=JP],"""Так‐то оно так, но вдумайся — 10 тонн. Целых 10 тонн! Если обменять их на деньги, представляешь, сколько бы ты получил? В любом случае, это была бы умопомрачительная сумма, верно?!""","""Sim, mas, são dez toneladas, dez toneladas! Se converter isso em dinheiro, quanto seria? De qualquer forma, seria uma quantia absurda, certo?!""",「但是，是十吨啊，十吨。換成現金到底會是多少啊？倒是這黃金的數量也太離譜了吧？！」,「但是，是十吨啊，十吨。换成现金到底会是多少啊？倒是这黄金的数量也太离谱了吧？！」,"""Ya, tapi, sepuluh ton, sepuluh ton! Jika ditukar uang, berapa nilainya? Pokoknya pasti jumlah gila-gilaan, kan?!""","""Sì, ma sono 10 tonnellate. 10 tonnellate! Se le cambiassi in denaro, a quanto ammonterebbero? Ad ogni modo, sarebbe una cifra assurda, giusto?!""","""Sì, ma sono dieci tonnellate, ben dieci tonnellate! Quanto varrebbero se le convertissi in denaro? Dovrebbe essere una cifra esorbitante, giusto?!""","""Evet, ama bu 10 ton. 10 ton! Bunu nakite çevirseydin, ne kadar ederdi? Gülünç bir miktar olmalı, değil mi?!"""
Ushiromiya George,"""......It certainly would be a ridiculous amount. They say that the total amount of gold mined by humankind since the dawn of history is 100,000 metric tons, at most. That 1/10,000 of all of the gold humankind has obtained throughout history should belong to just one person is just insane. ",""".........It would be a ridiculous amount. They say that the total amount of gold mined by humankind since the dawn of history is at most 100,000 tons. That one ten‐thousandth of all of the gold humankind has obtained throughout history should belong to just one person is just insane.""","""......It would be a ridiculous amount. They say that the total amount of gold mined by humankind since the dawn of history is　at most 100,000 tons. That 1/10,000 of all of the gold humankind has obtained throughout history should belong to just one person is just insane.",「………とんでもない量だよ。人類が有史以来、採掘した黄金はせいぜい１０万ｔって言われてる。人類の歴史が手にした黄金の、１万分の１を個人が手にしているっていうのは、とてつもないことだよ。,「………とんでもない量だよ。人類が有史以来、発掘した黄金はせいぜい１０万ｔって言われてる。人類の歴史が手にした黄金の、１万分の１を個人が手にしているっていうのは、とてつもないことだよ」,"""......Это была бы астрономически‐заоблачная сумма. Известно, что общая сумма золота, добытая человечеством от начала своей истории и до наших дней, составляет более 100000 тонн. Это 1/10000 золота, добытого человечеством за всю его историю. И факт, что такое количество принадлежит одному человеку, звучит безумно.""",""".........Seria uma quantia absurda. Dizem que a quantidade total de ouro já extraída pelo homem é de 100.000 toneladas. E pensar que um décimo de milésimo de todo ouro que a humanidade já obteve através da história pertence a apenas uma pessoa é algo insano.""",「……確實是離譜的數量呢。據說人類有史以來，已採掘的黃金充其量只有十萬吨。人類歷史裡開採的所有黃金中的一萬分之一都到了一個人手上，這可了不得啊。」,「……确实是离谱的数量呢。据说人类有史以来，已采掘的黄金充其量只有十万吨。人类历史里开采的所有黄金中的一万分之一都到了一个人手上，这可了不得啊。」,""".........Akan menjadi jumlah gila-gilaan. Katanya total emas yang ditambang manusia sepanjang sejarah paling banyak 100.000 ton. Sepersepuluh ribu dari semua emas yang pernah didapat manusia seharusnya dimiliki satu orang? Gila.""","""... Sarebbe una cifra assurda. Dicono che l'oro totale estratto dall'umanità sin dall'alba dei tempi ammonti a circa 100'000 tonnellate. Il fatto che 1/10'000 di tutto l'oro che l'umanità ha ottenuto durante tutta la sua storia appartenga ad una singola persona è semplicemente insensato.","""...Sì, sarebbe una cifra esorbitante. Si dice che l'oro totale estratto nel corso della storia dell'umanità equivalga a circa 100.000 tonnellate. Sarebbe incredibile se un decimillesimo di tutto l'oro che l'umanità ha ottenuto nel corso della sua storia appartenesse ad un singolo individuo...""",""".........Kesinlikle absürt bir miktar olurdu. Tarihin başlangıcından bu yana insanoğlu tarafından çıkarılan toplam altın miktarının en fazla 100,000 ton olduğu söyleniyor. İnsanlık tarihi boyunca elde edilen tüm altının 1/10,000'inin tek bir kişiye ait olması delilik."""
Ushiromiya George,"...On top of that, this ""witch"" supposedly had all that gold collected in one place and was able to lend it to Grandfather just like that. We're not talking about any ordinary person."" ","""...And that it should all be in one place, and that there should be a ""witch"" who could just lend it to Grandfather as if it was nothing. ......That would be no ordinary person."""," ...And that all of that was collected in one place and that there was a witch who could just 'poof' lend it to Grandfather. That would be no ordinary person.""",…それが一箇所にあり、しかもそれをお祖父さまにポンと貸し出せるような『魔女』。……只者じゃないね。」,「…それが一箇所にあり、しかもそれをお祖父さまにポンと貸し出せるような『魔女』。……只者じゃないね」,"""...Тут ещё стоит учесть, что оно спрятано в одном месте, и было предоставлено ведьмой, взявшей его чёрте‐знает откуда. Она однозначно не простой человек.""","""...E que tudo isso está em um mesmo lugar, e que foi uma ""bruxa"" que emprestou isso para ele, como se não fosse nada. ......Não pode ser uma pessoa normal.""",「…那位把這麼多黃金聚集在一個地方，並一口氣貸給爺爺的『魔女』。……絕非尋常之輩。」,「…那位把这么多黄金聚集在一个地方，并一口气贷给爷爷的『魔女』。……绝非寻常之辈。」,"""...Dan bahwa semuanya ada di satu tempat, dan ada ""penyihir"" yang bisa meminjamkannya pada Kakek seperti bukan apa-apa. ......Itu pasti bukan orang biasa.""","... E che tutto quello sia raccolto in un solo posto e che ci sia stata una strega che potesse ‘poof’ prestarlo al Nonno. Non sarebbe una persona ordinaria.""","""Senza contare che questa ‘strega’ apparentemente aveva radunato l'oro in un unico posto, ed era stata in grado di prestarlo al nonno con grande generosità.Non si tratterebbe di una persona qualunque.""","""...Ve hepsinin tek bir yerde olması ve sanki çok basit bir şeymiş gibi dedeme ödünç verebilecek bir ""cadı"" olması. ......Bu sıradan bir insan olamaz."""
Ushiromiya Jessica,"""Well, to me, that ""10 tons"" number seems pretty fishy. After all, no one's actually seen it except Grandfather, right? Even if we assume that some generous witch existed and lent him some gold, maybe it was closer to 10 kilograms than 10 tons. Even 10 kilograms would be a pretty incredible sum, right?"" ","""As for me, I think that that number ""ten tons"" sounds totally fake. In the first place, has anyone other than Grandfather ever even seen it? And even if some generous witch lent him some actual gold, couldn't that ""ten"" be right but actually be mistaken from ten kilos? Even ten kilos would be a pretty incredible sum, right?""","""As for me, I think that that number '10 tons' sounds totally fake. In the first place, has anyone other than Grandfather ever even seen it? And even if some generous witch lent him some actual gold, couldn't that 10 be right but actually be mistaken from 10 kilograms? Even 10 kilograms would be a pretty incredible sum, right?""",「私はよぅ、その１０ｔって数字ももはや嘘くさいと思ってるぜ？　第一よ、祖父さま以外に見たヤツはいないんだろ？　仮に気前のいい魔女が実在して黄金を貸したとしても、それは１０は１０でも１０ｋｇぐらいの間違いじゃねぇのか？　１０ｋｇでも相当いい金額になるはずだぜ？」,[=JP],"""А по мне число '10 тонн' звучит слишком уж неправдоподобно. В первую очередь кроме дедушки его кто‐нибудь ещё видел? И даже если какая‐нибудь щедрая ведьма вдруг и предоставила ему немного золота, эти 10 могли быть перепутаны, тогда как на самом деле могло оказаться 10 килограмм. Ведь даже 10 килограмм золота — уже невероятная сумма, так ведь?""","""Pra mim, esse número de ""dez toneladas"" parece completamente falso.{n}Afinal, mais alguém além dele já o viu? E mesmo que alguma pessoa tão generosa emprestasse o ouro, não poderia ser dez quilos em vez de dez toneladas? Mesmo dez quilos já seria uma quantia incrível, não?""",「我倒是覺得啊，這十吨的數字無論怎麼看都很假嘞。首先，它除了爺爺根本沒人見過吧？就算真有這麼慷慨的魔女肯貸給他黃金，這個十就算是十，也只是十公斤才對吧？十公斤也已經很值錢嘞？」,「我倒是觉得啊，这十吨的数字无论怎么看都很假嘞。首先，它除了爷爷根本没人见过吧？就算真有这么慷慨的魔女肯贷给他黄金，这个十就算是十，也只是十公斤才对吧？十公斤也已经很值钱嘞？」,"""Menurutku, angka ""sepuluh ton"" itu terdengar palsu. Lagipula, apakah ada selain Kakek yang pernah melihatnya? Dan bahkan jika penyihir dermawan meminjamkan emas, mungkin ""sepuluh"" itu bukan ton tapi kilo? Sepuluh kilo pun jumlah yang luar biasa, kan?""","""Lo stesso vale per me, penso che quella quantità di ‘10 tonnellate’ suoni decisamente falsa. In primo luogo, oltre al Nonno c'è qualcuno che l'abbia mai visto? E anche se qualche strega generosa gli ha prestato dell'oro, non può essere che quel 10 sia stato semplicemente confuso da 10 chilogrammi? Anche 10 chilogrammi sarebbe comunque una quantità incredibile, giusto?""","""Beh, io penso che dieci tonnellate siano una quantità fin troppo esagerata, non trovate? Tanto per cominciare, c'è qualcuno che l'abbia mai vista oltre al nonno?E anche supponendo che sia esistita una strega molto generosa che gli prestò dell'oro, forse erano dieci chilogrammi invece che dieci tonnellate, no? Anche dieci chili sarebbero comunque un enorme ammontare di soldi, giusto?""","""Bana kalırsa, bence ""10 ton"" sayısı tamamen uydurma gibi. Her şeyden önce, Büyükbaba dışında onu gören biri var mı? Ve cömert bir cadı ona biraz gerçek altın ödünç vermiş olsa bile, bu ""10"" doğru olabilir ama aslında 10 kilo ile karıştırılmış olamaz mı? 10 kilo bile inanılmaz bir meblağ olurdu, değil mi?"""
Ushiromiya Maria,"""Uu-. ...10 kilograms of gold is how much?"" ","""Uu. ...Ten kilos of gold is how much?""","""Uu-. ...10 kilograms of gold is how much?""",「うー。…１０ｋｇの黄金っていくら？」,[=JP],"""У‐у... 10 килограмм золота это сколько?""","""Uu. ...Dez quilos de ouro é muito?""",「嗚——。…十公斤的黃金值多少？」,「呜——。…十公斤的黄金值多少？」,"""Uu. ...Sepuluh kilo emas berapa ya?""","""Uu-. ... Quanti sono 10 chilogrammi d'oro??""","""Uuh... Quanto valgono dieci chili d'oro?""","""Uu-. ...10 kilo altın ne kadar eder?"""
,"Maria, who wasn't following the story and felt like she was being spoken to in riddles, finally found a place where she could ask us a question. ","Maria, who couldn't keep up and felt like she was being spoken to in riddles, finally found a place where she could ask us a question.","Maria, who wasn't following the story and felt like she was being spoken to in riddles, finally found a place where she could ask us a question.",話についていけず、すっかり煙に巻かれていた真里亞が、ようやく質問できる場所を得て俺たちに問い掛ける。,[=JP],"Мария, которая не следила за историей и для которой мы изъяснялись загадками, наконец, подобрала момент, чтобы задать нам вопрос.","Maria, que não conseguia se conter quando falavam de enigmas, finalmente encontrou uma oportunidade para fazer uma pergunta.",搭不上話，完全被搞得莫名其妙的真里亞，總算找到了可以提問的地方。,搭不上话，完全被搞得莫名其妙的真里亚，总算找到了可以提问的地方。,"Maria, yang tidak mengerti dan merasa diajak bicara dengan teka-teki, akhirnya menemukan kesempatan bertanya.","Maria, che non stava seguendo la storia e che si sentiva come se le parlassero per indovinelli, finalmente trovò una parte dove potesse farci una domanda.","Maria, che per quanto era confusa non riusciva a seguire la conversazione, trovò finalmente una parte dove poteva rivolgerci una domanda.",Hızımıza yetişemeyen ve kendisiyle bilmece gibi konuşulduğunu hisseden Maria sonunda bize soru sorabileceği bir açıklık buldu.
,It was a question I also wanted answered right then. ,A question which I also wanted to ask right then., A question which I also wanted to know right then.,その質問は俺もしたいと思ってたところだ。,[=JP],"Тот вопрос, который я сам хотел задать.",Uma pergunta que eu também gostaria de fazer.,這個問題剛好我也想問。,这个问题刚好我也想问。,Pertanyaan yang juga ingin kutunggu jawabannya.,Una domanda a cui anche io volevo conoscere la risposta.,Una domanda che stavo per fare anch'io.,Bu benim de o anda cevaplanmasını istediğim bir soruydu.
,"Whether it was 10 kilograms or 10 tons, it still felt like a huge amount, but I had no idea exactly how huge. ","Whether I hear ten kilos or ten tons, I know that it's an incredible amount, but I couldn't put a number on exactly how incredible."," Whether I hear 10 kilograms or 10 tons, I know that it's an incredible amount, but I couldn't guess exactly how incredible each one is.",黄金が１０ｋｇだの１０ｔだのと言われても、すげぇ量だとは思うが、どのくらいすごいのか価値がわからない。,[=JP],"По мне хоть 10 килограмм, хоть 10 тонн, я знаю только, что это баснословная сумма, но я даже предположить не мог, насколько именно.","Mesmo sendo dez quilos ou dez toneladas, eu sei que é uma quantia incrível, mas eu não consegui colocar em números exatos o quão incrível era.",雖然黃金不管是十吨還是十公斤，我都知道那是非同小可的數量，但我不清楚其中具體有多麼厲害的價值。,虽然黄金不管是十吨还是十公斤，我都知道那是非同小可的数量，但我不清楚其中具体有多么厉害的价值。,"Entah sepuluh kilo atau sepuluh ton, aku tahu itu jumlah besar, tapi tidak bisa membayangkan seberapa besar.","Che siano 10 chili o 10 tonnellate, so che comunque è una quantità incredibile, ma non riesco ad immaginarmi quanto esattamente possa essere incredibile sia ognuna.","Che si stesse parlando di dieci chilogrammi o di dieci tonnellate d'oro, mi sembrava comunque una quantità enorme, ma non sapevo quanto lo fosse con esattezza.","İster 10 kilo ister 10 ton olsun, yine de çok büyük bir miktar gibi geliyordu ama tam olarak ne kadar büyük olduğu hakkında hiçbir fikrim yoktu."
,George-aniki folded his arms and tried to remember the market price of gold. ,George‐aniki folded his arms and tried to remember the market price of gold., George-aniki folded his arms and tried to remember the market price of gold.,譲治の兄貴が腕組をしながら金相場を思い出している。,[=JP],Джордж‐аники сложил руки на груди и попытался вспомнить рыночную цену на золото.,O George‐aniki cruzou seus braços e tentou lembrar o preço do ouro no mercado.,讓治大哥一邊抱著胳膊一邊回憶起黃金市場的行情。,让治大哥一边抱着胳膊一边回忆起黄金市场的行情。,George-aniki menyilangkan tangan dan mencoba mengingat harga pasar emas.,George-aniki si mise a braccia conserte e provò a ricordarsi il prezzo di mercato dell'oro.,"Il fratellone George si mise a braccia conserte, e richiamò alla memoria il prezzo di mercato dell'oro.",George-aniki kollarını kavuşturdu ve altının piyasa fiyatını hatırlamaya çalıştı.
Ushiromiya George,"""......Well, even the value of gold is affected by the market, and the value of physical gold can change depending on its purity and the trustworthiness of the foundry. You'd also need to pay handling fees to cash it in. However, that doesn't change the fact that it's a precious metal, and some people estimate that humanity will mine all the world's gold within half a century if gold mining continues at its current rate. ",""".........Well. Gold is affected by speculation, and its price can also change depending on its purity and the trustworthiness of the foundry. You would also need to pay a commission to turn it into money. Still, it is definitely a precious metal, and some people estimate that if gold mining continues at its current rate, within half a century, we will have mined all of it.""","""......Well. Gold is also affected by speculation. Its price can also change depending on its purity and the trustworthiness of the foundry. You would also need to pay a commission to turn it into money. Still, it is definitely a precious metal, and some people estimate that if gold mining continues at its current rate, within half of a century, humankind will have mined all of it.",「………さぁ。金も相場の影響を受けるから何とも言えないし、純度や鋳造先の信用によっても変わってくる。換金に手数料も掛かるし。ただ、希少金属であることは間違いなくて、このまま採掘が進めば人類はあと半世紀ほどで全てを掘り尽くしてしまうんじゃないかって憶測もある。,「………さぁ。金も相場の影響を受けるから何とも言えないし、純度や鋳造先の信用によっても変わってくる。換金に手数料も掛かるし。ただ、希少金属であることは間違いなくて、このまま採掘が進めば人類はあと半世紀ほどで全てを掘り尽くしてしまうんじゃないかって憶測もある」,"""......Ну. Золото очень зависит от спекуляций на рынке. Его цена зависит от пробы и солидности литейного завода. Вам также придётся оплатить комиссию, чтобы перевести его в деньги. Тем не менее, это весьма ценный металл, и если добыча золота будет продолжаться такими темпами, как сегодня, то через половину столетия человечество исчерпает все его месторождения.""",""".........Bem. O ouro é afetado por especulações, e seu preço depende de sua pureza e a confiabilidade da fundição. Você também precisa pagar uma comissão para transformá‐lo em dinheiro. Ainda assim, é definitivamente um metal precioso, e algumas pessoas estimam que se a mineração continuar nesse ritmo, em meio século, ele vai acabar.""",「………這個嘛。黃金的價值會受行情影響所以還真沒法說，而且它的匯率，也會隨著純度和鑄造地的信用不斷變化。換成現金還要手續費。只是，黃金是稀少金屬這點絕對沒錯，曾有人揣測過，人類這麼採掘下去再過半世紀就會全部挖盡。」,「………这个嘛。黄金的价值会受行情影响所以还真没法说，而且它的汇率，也会随着纯度和铸造地的信用不断变化。换成现金还要手续费。只是，黄金是稀少金属这点绝对没错，曾有人揣测过，人类这么采掘下去再过半世纪就会全部挖尽。」,""".........Yah. Emas dipengaruhi spekulasi, dan harganya bisa berubah tergantung kemurnian dan kepercayaan terhadap peleburannya. Juga perlu membayar komisi untuk menukarnya jadi uang. Tapi ini logam mulia, dan beberapa orang memperkirakan jika penambangan emas terus seperti sekarang, dalam setengah abad kita akan menambang semuanya.""","""... Beh. L'oro è influenzato anche dalla speculazione. Il suo prezzo può anche cambiare in base alla sua purezza e all'affidabilità della fonderia. Bisognerebbe anche pagare una commissione per renderlo in denaro contante. Nonostante questo, è certamente un metallo prezioso, e certa gente ritiene che, se l'estrazione dell'oro continuasse di questo passo, entro metà secolo, l'umanità l'avrà estratto tutto.","""...Dunque. È difficile determinarlo, visto che anche l'oro è influenzato dalle speculazioni di mercato, e la purezza del materiale e la reputazione creditizia della fucina possono influenzarne il valore. Per convertirlo in contanti si pagano anche delle commissioni. Ma è sicuramente un metallo raro, e si ritiene che se la sua estrazione mineraria proseguirà a questi ritmi, entro cinquant'anni l'umanità avrà estratto tutto l'oro del mondo...""",""".........Pekala, altının değeri bile piyasadan etkilenir ve fiziksel altının değeri saflığına ve dökümhanenin güvenilirliğine bağlı olarak değişebilir. Ayrıca onu paraya dönüştürmek için bir komisyon ödemeniz gerekir. Ancak bu durum altının değerli bir metal olduğu gerçeğini değiştirmiyor ve bazı insanlar altın madenciliğinin mevcut hızıyla devam etmesi halinde insanlığın yarım yüzyıl içinde dünyadaki tüm altını çıkaracağını tahmin ediyor."""
Ushiromiya George,"............Just guessing haphazardly, ......I think you could expect a price of about 2 million yen per kilogram."" ","""............Just guessing haphazardly, ......for one kilo, I think maybe a price of 2 million yen.""","............Just guessing haphazardly, ......For one kilogram, I think maybe a price of 2 million yen.""",…………でたらめに言って、……１ｋｇ当たり、２００万円程度の価値はあるんじゃないかと思うね。」,「…………でたらめに言って、……１ｋｇ当たり、２００万円程度の価値はあるんじゃないかと思うね」,"""............Число, которое сейчас назову, крайне приблизительно, но... За один килограмм, я полагаю, цена будет около 2 миллионов йен.""","""............Dando um chute, ......um quilo deve ser cerca de 2 milhões de ienes.""",「…………隨口估算一下的話，……一公斤，大概有兩百萬日元的價值吧。」,「…………随口估算一下的话，……一公斤，大概有两百万日元的价值吧。」,"""............Sekira-kira saja, ......satu kilo mungkin sekitar 2 juta yen.""","... Ipotizzando a casaccio... per un chilo, penso forse ad un valore di 2 milioni di yen.""","""Facendo un'analisi approssimativa... penso ci si possa aspettare un valore di circa due milioni di yen al chilo.""","""............Sadece kafamdan tahmin ediyorum, ......sanırım her kilo için, 2 milyon yen gibi bir fiyat."""
Ushiromiya Jessica,"""Whoa...! ......Just now, I randomly said 10 kilograms since it sounded smaller, ...but even that would be worth 20 million yen, wouldn't it?!"" ","""Whoa... .........I know I just plucked that ten kilos figure out of thin air... ...But even that would be worth 20 million yen!""","""WHAAaa.........I know I just randomly said that 10 kilograms would be a humble amount......but even that would be worth 20 million yen, wouldn't it!?""",「ひゅうッ…。………私よ、１０ｋｇってのは今、適当に言った控えめな数字なんだけどよ…。…それでも、２千万円の価値があるってことになるじゃねぇかよ！」,[=JP],"""Чего‐о?.. Я всего лишь наугад брякнула, что 10 килограмм это скромный объём... Но даже столько стоит 20 миллионов йен?! Ну и ну!""","""Ehhh... .........Eu sei que eu falei o valor de dez quilos por falar... ...Mas mesmo assim, seriam 20 milhões de ienes!""",「咻…！………我說的十公斤是隨便說說的保守數字嘞…。……即使如此，也還有兩千萬日元的價值啊！」,「咻…！………我说的十公斤是随便说说的保守数字嘞…。……即使如此，也还有两千万日元的价值啊！」,"""Wah... .........Aku hanya asal sebut sepuluh kilo tadi... ...Tapi itu berarti 20 juta yen!""","""WHAAaa... so di aver detto tanto per dire che 10 chili sarebbero una modesta quantità... ma anche così varrebbero 20 milioni di yen, giusto!?""","""Woow...! Dieci chili erano un numero basso che avevo detto tanto per...{n}ma varrebbero comunque venti milioni di yen!""","""Vay be...! .........az önce kulağa daha küçük geldiği için rastgele 10 kilogram dedim, ...ama bu bile 20 milyon yen ediyor!"""
Ushiromiya Maria,"""Uu-? I weigh 28 kilograms."" ","""Uu? I weigh 28 kg.""","""Uu-? Maria weighs 28 kilograms.""",「うー？　真里亞、体重２８ｋｇ。」,「うー？　真里亞、体重２８ｋｇ」,"""У‐у? Мария весит 28 килограмм.""","""Uu? A Maria pesa 28 kg.""",「嗚——？真里亞，體重二十八公斤。」,「呜——？真里亚，体重二十八公斤。」,"""Uu? Aku beratnya 28 kg.""","""Uu-? Maria pesa 28 chili.""","""Uuh? Maria pesa ventotto chili.""","""Uu-? Ben 28 kiloyum."""
