Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
,...Can you believe it...? That shrill laugh of Beato's...will never be heard again. ,......It seemed unbelievable. That shrill laugh of Beato's...would never be heard again.,......Can it be believed...? That shrill laugh of Beato's...will never be heard again.,……信じられるだろうか…？もうベアトから、あの黄色い笑い声を聞くことは、……ないのだ。,……信じられるだろうか…？　もうベアトから、あの黄色い笑い声を聞くことは、……ないのだ。,......Можно ли верить?.. Тот пронзительный смех Беато... никогда больше не будет услышан.,......Parece inacreditável. Aquela risada estridente da Beato...nunca mais será ouvida.,……能相信嗎…？那煩人的奸笑聲，已再也沒法從貝阿朵口中，……聽到了。,……能相信吗…？那烦人的奸笑声，已再也没法从贝阿朵口中，……听到了。,... Ci si può credere...? Quella stridula risata di Beato... non verrà ascoltata mai più.
,"However, even if she couldn't answer, his voice surely reached her. ...That was what Battler believed as he said these words. So he said it again... ","However, even if she couldn't answer, his voice was surely reaching her.{n}......Battler was talking to her because he believed this.{n}So he said the same thing one more time..."," However, even if she couldn't answer, his voice surely reached her.......Battler had spoken because he believed this. So he said the same thing one more time...",しかし、応えることは出来なくても、きっと声は届いてる。……そう信じて、戦人は声を掛ける。だから、もう一度、同じことを口にする…。,しかし、応えることは出来なくても、きっと声は届いてる。{n}……そう信じて、戦人は声を掛ける。{n}だから、もう一度、同じことを口にする…。,"Но даже если она не могла ответить, его голос непременно достиг её.{n}......Баттлер говорил потому, что верил в это.{n}Поэтому он сказал то же самое ещё раз...","Mas, mesmo se ela não puder responder, a voz dele certamente chegava até ela.{n}......Battler estava falando com Beato porque acreditava que isso fosse verdade.{n}Por isso, ele repetiu aquilo mais uma vez...",不過，雖然不會作出反應，但聲音一定傳入了耳中。{n}……正因如此相信著，戰人才在對她說話。{n}所以，他又一次地將同樣的話，說出了口…。,不过，虽然不会作出反应，但声音一定传入了耳中。{n}……正因如此相信着，战人才在对她说话。{n}所以，他又一次地将同样的话，说出了口…。,"Tuttavia, anche se lei non poteva rispondere, la sua voce sicuramente la raggiungeva. ... Battler aveva parlato perché credeva in questo. Quindi disse la stessa cosa ancora una volta..."
Ushiromiya Battler,"""How did you decide on this move in this situation? I don't get it at all. I don't understand your moves."" ","""What led you to make this move in this situation? I don't get it at all. I don't understand your moves.""","""How did you decide on this move in this situation? I don't get it at all. I don't understand your moves.""",「どうやったら、この局面でこの指し手になるわけだ？　わけがわからねぇぜ。お前の指し手はよ。」,「どうやったら、この局面でこの指し手になるわけだ？　わけがわからねぇぜ。お前の指し手はよ」,"""Как ты решилась на этот ход в такой ситуации? Я совсем не понимаю... твоих ходов.""","""O que a levou a fazer esse movimento naquela ocasião? Eu não consigo entender nada. Eu não entendo seus movimentos.""",「要怎麼樣，才會在這種局面下下出這樣的棋啊？一點都搞不懂啊。你所下之棋。」,「要怎么样，才会在这种局面下下出这样的棋啊？一点都搞不懂啊。你所下之棋。」,"""Come hai deciso questa mossa in questa situazione? Non lo capisco proprio. Non capisco le tue mosse."""
{f:5:Virgilia},"""............ ...So, you don't understand what this child is thinking?"" ","""............ ......So, her thoughts don't make any sense to you?""","""..................So, you don't understand what this child is thinking?""",「……………。……この子の考えることは、わけがわかりませんか。」,「……………。……この子の考えることは、わけがわかりませんか」,"""..................Так ты не понимаешь о чём она думает?""","""............ ......Então, os pensamentos dela não fazem sentido para você?""",「……………。……您一點都搞不懂，這孩子的想法嗎？」,「……………。……您一点都搞不懂，这孩子的想法吗？」,"""... Quindi, non capisci cosa stia pensando questa bambina?"""
,{f:5:Virgilia} answered in her disciple's stead. ,{f:5:Virgilia} answered in her disciple's stead.,Virgilia answered in her disciple's stead.,ワルギリアが、弟子に代わって返事する。,[=JP],Ответила {f:5:Вергилия} вместо своей ученицы.,{f:5:Virgilia} respondeu na posição de sua discípula.,瓦爾基莉亞代徒弟作出了回答。,瓦尔基莉亚代徒弟作出了回答。,Virgilia aveva risposto al posto della sua allieva.
,"Up to this point, she had done her best to avoid speaking for Beato. After all, there was a chance that Beato would respond in some way, and {f:5:Virgilia} didn't want to be the one to steal that chance. ","Up to this point, she had done her best to avoid speaking for Beato.{n}After all, there was a chance that Beato would respond in some way, and {f:5:Virgilia} didn't want to be the one to take that opportunity away from her."," Up to this point, she had done her best to avoid speaking for Beato. After all, there was a chance that Beato would respond in some way, and Virgilia didn't want to be the one to steal that chance away.",彼女は、極力、ベアトに代わって応えないようにしてきた。なぜなら、ベアトが何かの返事をするかもしれない、その機会を、自分が奪わないためだ。,彼女は、極力、ベアトに代わって応えないようにしてきた。{n}なぜなら、ベアトが何かの返事をするかもしれない、その機会を、自分が奪わないためだ。,"До этого момента она старалась не говорить за Беато.{n}Ведь был шанс, что та каким‐то образом ответит, и {f:5:Вергилия} не хотела отнимать его.","Até então, ela fez todo possível para evitar falar por Beato.{n}Afinal, havia a chance de que Beato respondesse de alguma forma, e {f:5:Virgilia} não queria ser aquela a tomar dela essa oportunidade.",之前，她一直在極力避免代替貝阿朵答話。{n}要問為什麼的話，這是因為，貝阿朵搞不好會自己作出些什麼回答，她不想奪走這個機會。,之前，她一直在极力避免代替贝阿朵答话。{n}要问为什么的话，这是因为，贝阿朵搞不好会自己作出些什么回答，她不想夺走这个机会。,"Fino a questo punto, aveva fatto del suo meglio per evitare di rispondere al posto di Beato. Dopotutto, c'era una possibilità che Beato rispondesse in qualche modo, e Virgilia non voleva essere colei che avrebbe rubato quell'occasione."
,"...So, Battler was going to have to bear with this silence... ...until Beato herself answered. ",......Which meant that Battler was being forced to bear with this silence......until Beato herself answered.,"......So, Battler would have to bear with this silence......until Beato herself answered.",……だから戦人は、ベアトが応えてくれるまで、……いつまでも沈黙に耐えねばならない。,[=JP],"......Баттлер должен был терпеть тишину...... до тех пор, пока Беато не ответит сама.",......O que significa que Battler estava sendo forçado a suportar aquele silêncio......até que Beato respondesse por si.,……所以，戰人在貝阿朵回答之前，……不得不承受著那了無止境的沉默。,……所以，战人在贝阿朵回答之前，……不得不承受着那了无止境的沉默。,"... Quindi, Battler avrebbe dovuto sopportare questo silenzio... finché Beato stessa non avesse risposto."
,{f:5:Virgilia} could no longer bear to watch Battler like this... ,{f:5:Virgilia} could no longer bear to watch him like this..., Virgilia could no longer bear to watch Battler like this...,ワルギリアはもう、…そんな戦人を見る辛さに耐えかねたのだ…。,[=JP],{f:5:Вергилия} больше не могла на это смотреть...,{f:5:Virgilia} não conseguia mais suportar vê‐la naquele estado...,瓦爾基莉亞，…已不忍心再看到這樣的戰人了…。,瓦尔基莉亚，…已不忍心再看到这样的战人了…。,Virgilia non poteva più sopportare di vedere Battler in quello stato...
,"Besides, Battler also wanted to hear what {f:5:Virgilia} had to say. He believed that conversation would reach Beato's heart... ","And Battler, too, wanted to have a conversation with {f:5:Virgilia}, with faith that their words would reach Beato's heart......"," Furthermore, Battler wanted to have a conversation with Virgilia. They believed that this would reach Beato's heart......",そして戦人も、ワルギリアと会話することを望む。それらがベアトの心に届くと信じて……。,そして戦人も、ワルギリアと会話することを望む。{n}それらがベアトの心に届くと信じて……。,"Кроме того, Баттлер хотел поговорить с ней.{n}Они верили, что смогут достучаться до сердца Беато......","E Battler também queria conversar com {f:5:Virgilia}, na esperança de que suas palavras chegasse ao coração de Beato......",而戰人也希望，能與瓦爾基莉亞談話。{n}他相信，這能傳到貝阿朵的心中……。,而战人也希望，能与瓦尔基莉亚谈话。{n}他相信，这能传到贝阿朵的心中……。,"Inoltre, Battler voleva conversare con Virgilia. Pensavano che questo avrebbe raggiunto il cuore di Beato..."
Ushiromiya Battler,"""Yep. I don't have a clue. ...The more I try standing in Beato's shoes and moving the pieces like this, the less I understand."" ","""Yep. I don't have a clue. ......The more I try standing in Beato's shoes and moving the pieces like this, the less I understand.""",[=UP],「あぁ。さっぱりだな。……ベアトの立場になって、こうして駒を動かせば動かすほどに、わからなくなる。」,「あぁ。さっぱりだな。……ベアトの立場になって、こうして駒を動かせば動かすほどに、わからなくなる」,"""Да. Понятия не имею. ......Чем больше я влезаю в её шкуру и передвигаю так фигуры, тем меньше понимаю.""","""Sim. Não faço a menor ideia. ......Quanto mais eu tento ficar na posição da Beato e mover as peças dessa forma, menos eu compreendo.""",「啊啊。全都搞不懂啊。……站在貝阿朵的立場上，越是像這樣一步步落子，就越是不明白了。」,「啊啊。全都搞不懂啊。……站在贝阿朵的立场上，越是像这样一步步落子，就越是不明白了。」,"""Già. Non ne ho la più pallida idea. ... Più provo a mettermi nei panni di Beato e muovere i pezzi in questa maniera, meno capisco."""
,"A serial murder following an epitaph. With that as a victory condition, I tried reconstructing the games from the witch's side, ...but I never ended up making the moves Beato did. ","The successful execution of a serial murder following an epitaph. He was stepping through the games from the witch side with that as the victory condition, ......but he just couldn't make it fit with Beato's moves.","A serial murder following an epitaph. With that as a victory condition, I tried reconstructing the arrangement from the perspective of the witch's side, ......but I just couldn't make it fit with Beato's moves.",碑文に沿った連続殺人。それを勝利目標に、魔女側の立場から譜面を再現するのだが、……どうしてもベアトと同じ指し手にならない。,[=JP],"Серийное убийство согласно эпитафии. Приняв его за условие победы, я хотел восстановить расстановку с точки зрения стороны ведьмы....... но никак не смог соотнести её с ходами Беато.","A apoteótica execução de um assassinato em série seguindo um epitáfio.{n}Ele estava refazendo seus passos através dos jogos pela perspectiva do lado das bruxas em sua condição de vitoriosa, ......mas não era capaz de fazer com que isto se adequasse aos movimentos de Beato.",依照碑文的連續殺人。雖然在以此為勝利目標，從魔女方的立場再現著棋譜，……但自己就是無論如何都下不出與貝阿朵相同的棋。,依照碑文的连续杀人。虽然在以此为胜利目标，从魔女方的立场再现着棋谱，……但自己就是无论如何都下不出与贝阿朵相同的棋。,"Un omicidio seriale che seguiva un'epigrafe. Con quella come condizione di vittoria, ho provato a ricostruire la disposizione dalla prospettiva della fazione delle streghe... ma non sono riuscito ad adattarla alle mosse di Beato."
,"In those games, I could find several incomprehensible moves that clearly worked against that victory condition... ",He could see several incomprehensible moves in the records of their past games that clearly conflicted with that victory condition...," In past arrangements, I could see several incomprehensible moves that clearly conflicted with that victory condition...",明らかに勝利目標と相反する、理解できない指し手が、過去の譜面にいくつも散見できるのだ…。,[=JP],"В прошлых расстановках я видел несколько непостижимых ходов, явно противоречащих условию победы...","Ele podia ver diversos movimentos incompreensíveis nos registros de seus jogos anteriores, que claramente conflitavam com aquela condição de vitória...",過去的棋譜上，存在著好幾步明顯與勝利目標相反的，無法理解的棋…。,过去的棋谱上，存在着好几步明显与胜利目标相反的，无法理解的棋…。,"Negli schieramenti precedenti, ho potuto vedere diverse mosse incomprensibili che erano in chiaro conflitto con quelle condizioni di vittoria..."
Ushiromiya Battler,"""...I don't get it at all. This journey through her thoughts is just too rugged."" ","""......I don't get it at all. This journey through her thinking process is just too rugged.""",[=UP],「……さっぱりわからねぇ。こいつの思考を探る旅路は、あまりに険し過ぎるぜ。」,「……さっぱりわからねぇ。こいつの思考を探る旅路は、あまりに険し過ぎるぜ」,"""......Ничего не понимаю. Дорога сквозь ход её мыслей слишком запутана.""","""......Eu não consigo entender nada. Essa jornada através do processo de pensamento dela é abrupta demais.""",「……一點都搞不明白。探尋這傢伙思考的旅途，實在是過於崎嶇難行。」,「……一点都搞不明白。探寻这家伙思考的旅途，实在是过于崎岖难行。」,"""... Non ci capisco nulla. Questo viaggio attraverso il suo modo di pensare è troppo irregolare."""
{f:5:Virgilia},"""Even so, you won't give up, will you?"" ","""Even so, you won't give up, will you.""",[=UP],「でも、あなたは投げ出さないのですね。」,「でも、あなたは投げ出さないのですね」,"""Но ты всё равно не сдашься.""","""Mesmo assim, você não irá desistir, irá?""",「但是，您是不會拋下不管的吧。」,「但是，您是不会抛下不管的吧。」,"""Eppure, non ti arrenderai, vero?"""
Ushiromiya Battler,"""I won't. ......I promised."" ","""Yeah. .........I promised.""",[=UP],「あぁ。………約束した。」,「あぁ。………約束した」,"""Да. .........Я обещал.""","""Não. .........Eu prometo.""",「啊啊。………我保證過的。」,「啊啊。………我保证过的。」,"""Già. ... Ho promesso."""
,{a:c: Kill...me. ......Let me die......} ,{a:c:Kill...me. ......Let me die......},[=UP],{a:c:妾を、殺して。……死なせて……。},[=JP],{a:c: Убей... меня. ...Дай мне умереть......},{a:c:Me...mate. ......Me deixe morrer......},{a:c:殺死，妾身。……讓我死掉吧……。},{a:c:杀死，妾身。……让我死掉吧……。},{a:c: Uccidi... mi. .. Lasciami morire... }
Ushiromiya Battler,"""I promised to let her die peacefully. ......And I'm the only one who can do it."" ","""I promised to let her die peacefully. ......And I'm the only one who can do that.""",[=UP],「俺はこいつを、安らかに死なせてやると約束した。……そしてそれは、俺にしか出来ない。」,「俺はこいつを、安らかに死なせてやると約束した。……そしてそれは、俺にしか出来ない」,"""Я обещал дать ей обрести покой. ......И только я могу сделать это.""","""Eu prometi que a deixaria morrer pacificamente. ......E eu sou o único que pode fazer isso.""",「我保證過，要讓她安寧地死去。……而這，只有我做得到。」,「我保证过，要让她安宁地死去。……而这，只有我做得到。」,"""Ho promesso di lasciare che morisse in pace. ... E sono il solo che può farlo."""
,"...Beato's right ankle was bound with a heavy, cold, steel shackle. ","...Beato's right ankle was bound with a heavy, cold, steel shackle.",[=UP],…ベアトの右の足首には、重く冷たい、鋼鉄の足枷が括られている。,[=JP],"...Правую лодыжку Беато сковала тяжёлая, холодная стальная цепь.",...O calcanhar direito de Beato estava atado com um pesado e frio grilhão de aço.,…貝阿朵的右腳腕被又重又冰冷的鋼鐵腳鐐鎖著。,…贝阿朵的右脚腕被又重又冰冷的钢铁脚镣锁着。,"... La caviglia destra di Beato era bloccata da una grande, fredda catena d'acciaio."
,"It wasn't tied to anything, so it didn't restrict her movement. ","It wasn't tied to anything, so it didn't restrict her movement."," It wasn't tied to anything, so it didn't restrict her movement.",それは何かに縛り付けているわけではないから、彼女を拘束するものにはなっていない。,[=JP],Она не была ни к чему привязана и потому не сковывала её движений.,"Não estava preso a nada, então não restringia seus movimentos.",由於這並非是與什麼連在一起的，所以它並沒有鎖住她。,由于这并非是与什么连在一起的，所以它并没有锁住她。,"Non era legata a niente, quindi non le impediva i movimenti."
,"However, it symbolized restriction. It was a visualization of the bonds...that prevented her from leaving the game until she either won or lost... ","However, it symbolized restriction. It was a visualization of the restriction that prevented her from leaving the game without either victory or loss..."," However, it symbolized restriction. It was a visualization of the restriction that prevented her from leaving the game without either victory or loss...",しかしそれは、拘束を意味するもの。勝つか負けるかなくして、ゲームを降りることは出来ないという、拘束を、視覚化したものなのだ…。,[=JP],"Однако эта цепь была символом. Проявлением ограничения, не позволяющего ей покинуть игру без победы или поражения...",Mas simbolizava uma restrição. Era uma visualização da restrição que a prevenia de deixar o jogo sem uma vitória ou derrota...,不過，此物意味著束縛。它是將“要麼輸、要麼贏，除此之外是無法退出遊戲的”的這一束縛，視覺化後的產物…。,不过，此物意味着束缚。它是将“要么输、要么赢，除此之外是无法退出游戏的”的这一束缚，视觉化后的产物…。,"Tuttavia, era il simbolo di una restrizione. Era una visualizzazione della restrizione che le impediva di lasciare il gioco senza una vittoria o una sconfitta..."
,"And, ...the shackle was probably hurting her. The mercilessly cold shackle... tormented her over and over inside her waking dream. ",And...the shackle was probably hurting her.{n}The mercilessly cold steel shackle...was tormenting her over and over inside her waking dream.," And, the shackle was probably...hurting her. The mercilessly cold shackle tormented her over and over inside her waking dream.",そして、その足枷は恐らく、彼女を苦しめているだろう。その無慈悲なまでに冷たい鋼鉄の枷は、彼女をまどろみの中の白昼で繰り返し何度も何度も、苛んでいる。,そして、その足枷は恐らく、彼女を苦しめているだろう。{n}その無慈悲なまでに冷たい鋼鉄の枷は、彼女をまどろみの中の白昼で繰り返し何度も何度も、苛んでいる。,"И, вероятно, эти кандалы причиняли ей боль.{n}Беспощадно холодные, они снова и снова мучили её во сне наяву.",E...aquele grilhão provavelmente estava machucando ela.{n}O impiedoso e gélido grilhão de aço...estava atormentando‐a incontáveis vezes dentro de seus sonhos despertos.,另外，這副腳鐐，恐怕是在令她受苦吧。{n}冰冷到無情的鋼鐵鐐銬，在似睡非睡、似醒非醒中的白晝中，反反覆覆一遍又一遍地折磨著她。,另外，这副脚镣，恐怕是在令她受苦吧。{n}冰冷到无情的钢铁镣铐，在似睡非睡、似醒非醒中的白昼中，反反复复一遍又一遍地折磨着她。,"E poi, la catena le stava probabilmente... facendo male. La fredda catena senza pietà la tormentava ancora e ancora nel suo sogno a occhi aperti."
{f:5:Beatrice},""".........Ghh.........ah..."" ","""............Ghh............ah...""",[=UP],「………………………ふ……、……ぁ…。」,「………………………ふ……、……ぁ…」,"""............Гх‐х............ а...""",[=UP],「………………………呼……、……啊…」,[=CHT],"""... Ghh... ah..."""
,"So, there was never any sign of relief in her empty expression. Her eyelids would sometimes tremble like she was having a nightmare, ...and every once in a while, she would let out a pained gasp. ","So there was never any relief in her empty expression.{n}Her eyelids would sometimes tremble like she was having a bad dream, ...and every once in a while, she would let out a pained gasp.","So no relief appeared in her empty expression. Her eyelids would sometimes tremble like she was having a bad dream, ...and every once in a while, she would let out a pained gasp.",だから、彼女の虚ろな表情に安堵が浮かぶことはない。時折、うなされるかのように瞼を震わせ、…あるいは辛い吐息を漏らす。,だから、彼女の虚ろな表情に安堵が浮かぶことはない。{n}時折、うなされるかのように瞼を震わせ、…あるいは辛い吐息を漏らす。,"Поэтому в её пустом выражении не было облегчения.{n}Её веки иногда подрагивали, будто она видела дурной сон... и время от времени она мучительно вздыхала.","Por isso nunca se viu alívio em sua expressão vazia.{n}As suas pálpebras às vezes tremiam, como se ela estivesse tendo um sonho ruim, ...de tempos em tempos, ela deixava um fraco suspiro escapar.",所以，她那虛無的表情，不會浮現出一絲的放鬆。{n}時不時地，如做惡夢般地顫動眼瞼，…或難受地吐出一口氣。,所以，她那虚无的表情，不会浮现出一丝的放松。{n}时不时地，如做恶梦般地颤动眼睑，…或难受地吐出一口气。,"Perciò non appariva alcun sollievo nella sua vuota espressione. Le sue palpebre a volte tremavano come se stesse facendo un brutto sogno... e ogni tanto, si lasciava sfuggire un sospiro affannato dal dolore."
,"Unless I win, ...Beato will never be released from the curse that prevents her from sleeping peacefully... ","Unless I win, ......Beato will never be released from the curse that prevents her from resting in peace..."," Unless I win, ......Beato will never be released from the curse that prevents her from sleeping peacefully...",俺が勝利しない限り、……ベアトは、安らかに眠ることが許されない呪いから、永遠に解放されないのだ…。,[=JP],"Если я не выиграю...... Беато никогда не освободится от проклятия, не позволяющего ей обрести покой......","A não ser que eu vença, ......a Beato nunca será libertada dessa maldição que a impede de descansar em paz...",只要我還沒取勝，……貝阿朵就永遠都沒法從連安寧入眠都不被允許的詛咒中，得到解放…。,只要我还没取胜，……贝阿朵就永远都没法从连安宁入眠都不被允许的诅咒中，得到解放…。,Finché non vinco... Beato non verrà mai liberata dalla maledizione che le impedisce un sonno tranquillo...
{f:5:Virgilia},"""...Are you sure you want to be doing this? It seems the 5th game has already started."" ","""...Are you not in a hurry? It seems that the fifth game has already started.""","""...Are you not in a hurry? It seems that the 5th game has already started.""",「…良いのですか。第５のゲームはもう、始まっているようですよ。」,「…良いのですか。第５のゲームはもう、始まっているようですよ」,"""...Ты не торопишься? Пятая игра уже началась.""","""...Você não está com pressa? Parece que o quinto jogo já começou.""",「…這樣好嗎？第 5 盤遊戲，好像已經開始了哦。」,「…这样好吗？第 5 盘游戏，好像已经开始了哦。」,"""... Non hai fretta? Sembra che il quinto gioco sia già iniziato."""
Ushiromiya Battler,"""............ ...Not interested."" ","""............ ......I'm not interested.""","""..................I'm not interested.""",「……………。……興味ねえ。」,「……………。……興味ねえ」,"""..................Мне всё равно.""","""............ ......Não estou interessado.""",「……………。……沒興趣。」,「……………。……没兴趣。」,"""... Non sono interessato."""
,"Why should I take part in any game unless Beato is my opponent...? If that's the only alternative, then it's a much better use of my time to reconstruct previous games while taking a journey in search of Beato's thought process... ","Why should I take part in any game without Beato as an opponent...?{n}If that's the only alternative, then stepping through past games on a journey in search of Beato's thought process is a much better use of my time......","Why should I take part in any game without Beato as an opponent...? If that's the only alternative, then reconstructing previous arrangements while taking a journey in search of Beato's thought process is a much better use of my time......",ベアト以外と対局するゲームに、何の意味もあるものか。それならばこうして。過去の譜面を再現しながら、ベアトの思考を探る旅の方が、よほど有意義だ……。,ベアト以外と対局するゲームに、何の意味もあるものか。{n}それならばこうして。過去の譜面を再現しながら、ベアトの思考を探る旅の方が、よほど有意義だ……。,"Почему я должен принимать участие в игре без Беато в роли моего противника?..{n}Если это единственная альтернатива, тогда восстанавливать предыдущие расстановки, путешествуя в поисках мыслей Беато, куда более полезное занятие......","Por que eu deveria fazer parte de um jogo onde a Beato não é minha oponente...?{n}Se essa é a única alternativa, então refazer os passos dela nos jogos anteriores em uma busca pelo processo de pensamento da Beato é uma forma muito melhor de passar meu tempo......",去跟除貝阿朵外的人對局的遊戲，哪會有任何的意義。{n}與其去對局，還不如像這樣，邊再現過去的棋譜，邊進行探尋貝阿朵思考的旅途，要有意義得多……。,去跟除贝阿朵外的人对局的游戏，哪会有任何的意义。{n}与其去对局，还不如像这样，边再现过去的棋谱，边进行探寻贝阿朵思考的旅途，要有意义得多……。,"Perché dovrei prendere parte a un gioco dove Beato non è la mia avversaria...? {n}Se questa è la sola alternativa, allora ricostruire gli schemi precedenti mentre compio il viaggio alla ricerca dei processi logici di Beato è un uso molto migliore del mio tempo..."
{f:5:Lambdadelta},"""I'll be the next Game Master. Any objections? You've got none, right?"" ","""I'll be the next Game Master. Any objections? You have none, right?""","""I'll be the next Game Master. Any objections? You've got none, right?""",「次のゲームマスターは私がやるわ。異存ある？　ないわよねぇ？」,[=JP],"""Я буду следующим Владельцем игры. Возражения? У тебя же их нет?""","""Eu serei a próxima Game Master. Alguma objeção? Não tem nenhuma, né?""",「下一盤的 {ruby:Game Master:GM} 由我來。有異議嗎？沒有吧？」,「下一盘的 {ruby:Game Master:GM} 由我来。有异议吗？没有吧？」,"""Sarò io il prossimo Game Master. Obiezioni? Nessuna, vero?"""
{f:5:Bernkastel},"""...I've got nothing but objections. Beato conceded the fight and is unconscious. Isn't this a loss by default and ""game over"" for her...?"" ","""......I have tons. Beato has abandoned the fight and lost consciousness. Isn't this loss by default and game over for her...?""","""......I have tons of them. Beato conceded the fight and is unconscious. Isn't this loss by default and 'game over' for her...?""",「……異存だらけよ。ベアトは戦いを放棄して人事不省。ベアトの不戦敗でゲームオーバーでしょ…？」,[=JP],"""......У меня их тонны. Беато признала поражение, и сейчас она без сознания. Разве она не проиграла по умолчанию и для неё не наступил 'game over'?..""","""......Tenho muitas. A Beato abandonou a luta e perdeu a consciência. Não deveria ser uma derrota por W.O e o fim do jogo pra ela...?""",「……有一大堆異議喲。貝阿朵放棄了對戰，不省人事。這該算貝阿朵的不戰而敗，GAME OVER 吧…？」,「……有一大堆异议哟。贝阿朵放弃了对战，不省人事。这该算贝阿朵的不战而败，GAME OVER 吧…？」,"""... Ne ho un sacco. Beato si è arresa ed è priva di sensi. Non è una sconfitta a tavolino e ‘game over’ per lei...?"""
{f:5:Lambdadelta},"""I'll admit a lot's happened to Beato, and she's basically been KO'ed for now. But that doesn't mean she's lost the will to fight. That's why I'm acting as her assistant. Get it?"" ","""I'll admit a lot's happened to Beato, and it feels a teensy bit like she's been knocked out right now. But that doesn't mean she's lost the will to fight. That's why I'm acting as her assistant. Get it?""","""I'll admit that a lot's happened to Beato, and it feels like she's been knocked out right now. But that doesn't mean she's lost the will to fight. That's why I'm acting as her assistant. Get it?""",「確かに、ベアトは色々とあったんで、今はちょっぴりノックアウト気味。でも戦う気力を失ったわけじゃない。だからつまり、私は介助役ってわけ。わかるぅ？」,[=JP],"""Признаю, с Беато случилось много всего, и кажется, будто она сейчас в нокауте. Но это не значит, что она потеряла желание бороться. Вот почему я веду себя как её помощник. Дошло?""","""Eu admito que muitas coisas aconteceram com a Beato, e parece que ela está ligeiramente nocauteada agora. Mas isso não significa que ela perdeu a vontade de lutar. Por isso estou atuando como assistente dela. Consegue entender?""",「的確，貝阿朵身上發生了不少事，現在有點被 KO 了的感覺。不過，她並沒有失去戰下去的勁頭哦。所以也就是說，我來當輔佐人。明白不？」,「的确，贝阿朵身上发生了不少事，现在有点被 KO 了的感觉。不过，她并没有失去战下去的劲头哦。所以也就是说，我来当辅佐人。明白不？」,"""Ammetto che sono successe tante cose a Beato, e sembra che ora sia fuori combattimento. Ma ciò non significa che abbia perso la volontà di combattere. Ecco perché sto facendo le sue veci. Capito?"""
,"Beato was lying down on a deck chair, almost as though she was sleeping. ","Beato was lying down on a deck chair, almost as though she was sleeping.","Beato was lying down on the deck chair, almost as though she was sleeping.",ベアトはデッキチェアで、まるで眠っているかのように、横になっている。,[=JP],"Беато лежала в кресле почти так, будто спала.","Beato estava recostada na espreguiçadeira, quase como se estivesse dormindo.",貝阿朵宛如睡著了般地躺在躺椅上。,贝阿朵宛如睡着了般地躺在躺椅上。,"Beato era appoggiata alla sedia, come se stesse dormendo."
,"However, she wasn't sleeping, ...and she wasn't awake either. ","However, she wasn't sleeping, ......and she wasn't awake either."," However, she wasn't sleeping, ......and she wasn't awake either.",しかし、眠っているわけでもなく、……そして、起きているわけでもない。,[=JP],Но она не спала...... и не бодрствовала.,"Porém, ela não estava dormindo, ......e tampouco estava acordada.",不過，並非是睡著了，……而且，也不是醒著。,不过，并非是睡着了，……而且，也不是醒着。,"Tuttavia, non stava dormendo... e non era nemmeno sveglia."
,"She was nothing more than a living doll that had given up on victory, who had asked Battler to perform her last rites, and who had surrendered everything... ","She was nothing more than a living doll who had given up on victory, asked Battler to perform her last rites, and entrusted everything to him..."," She was nothing more than a living doll that had given up on victory, who had asked Battler to perform her last rites, and who had surrendered everything...",勝利を諦め、戦人に自らへの引導を頼み、全てを委ねただけの、生きた人形…。,[=JP],"Она была не более чем живой куклой, которая отказалась от победы, попросила Баттлера провести её последние обряды и всё бросила...","Ela não era nada mais do que uma boneca viva que havia desistido da vitória, pedindo a Battler para performar seu último rito, e confiando tudo a ele...",她僅僅是一具，放棄了勝利，拜託戰人給她一個痛快，將一切交給了他人的，活著的人偶…。,她仅仅是一具，放弃了胜利，拜托战人给她一个痛快，将一切交给了他人的，活着的人偶…。,"Non era altro che una bambola vivente che aveva rinunciato alla vittoria, che aveva chiesto a Battler di provvedere al suo requiem, e che si era arresa a tutto..."
,"Of course, if everyone just sat around, the next game...the 5th game would never be made ready. ","Of course, no fifth game would ever be prepared if everyone just sat around."," Of course, if everyone just sat around, the next game...the 5th game would not be prepared.",当然、いつまで待てども、次なる第５のゲームが用意されることはない。,[=JP],"Естественно, если все просто соберутся вместе, следующая игра... пятая игра не будет готова.","É claro, nenhum quinto jogo será preparado se todos só ficarem sentados.",當然，不管等多久，第 5 盤遊戲都不會被籌備好。,当然，不管等多久，第 5 盘游戏都不会被筹备好。,"Ovviamente, se tutti quanti fossero rimasti fermi, il prossimo gioco... il quinto gioco non sarebbe stato preparato."
