Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR)
Ushiromiya Eva,"""Rudolf, who asked you to chip in?!""","""Rudolf, are you trying to interrupt Father?!"" ","""Rudolf, are you trying to interrupt Father?!""",「留弗夫、お父様の話に口を挟む気？！」,[=JP],"""Рудольф, ты собираешься перечить отцу?!""","""Rudolf, quem disse que pode interromper o pai?!""",「留弗夫，你要跟爸顶嘴？！」,「留弗夫，你要跟爸頂嘴？！」,"""Rudolf, stai cercando di interrompere nostro Padre?!""",[=UP],"""Rudolf, ¡¿intentas interrumpir a padre?!""","""ﺭﻭﺩﻭﻟﻒ، ﻣﻦ ﻃﻠﺐ ﻣﻨﻚ ﺃﻥ ﺗﺘﺪﺧﻞ؟!"""
Ushiromiya Rudolf,"""What are you talking about, Aneki?! You think I'm gonna sit here nodding my head at this, are you nuts?!""","""What are you talking about, Aneki?! You expect me to listen to something that shady and say ""Oh, really?""?!"" ","""What are you talking about, Aneki?!  You expect me to listen to something that shady and say 'Oh, really?'?!""",「何言ってんだ、姉貴！　こんな物騒な話に、はいそうですかで頷けるわけねぇだろ？！」,[=JP],"""Что ты несёшь, Анеки?! Ты ожидаешь, будто я спокойно выслушаю нечто столь сомнительное и скажу: 'О, правда?'?!""","""Do que você está falando, aneki?! Acha mesmo que eu vou ficar sentado aqui concordando com toda essa história?!""",「你在说什么呢，大姐！这种骇人的事，没可能去“嗯，这样啊”地点头同意吧？！」,「你在說什麼呢，大姐！這種駭人的事，沒可能去“嗯，這樣啊”地點頭同意吧？！」,"""Che cosa stai dicendo, Aneki?! Ti aspetti che io ascolti qualcosa di così losco e dica ‘oh, davvero?’""",[=UP],"""¡¿De qué estás hablando, Aneki?! ¡¿Esperas que escuche algo así y esté de acuerdo?!""","""ﻋﻤﺎ ﺗﺘﺤﺪﺛﻴﻦ ﻳﺎ ﺃﺧﺘﻲ؟! ﻫﻞ ﺗﻈﻨﻴﻦ ﺃﻧﻨﻲ ﺳﺄﺟﻠﺲ ﻫﻨﺎ ﺃﻭﻣﺊ ﺑﺮﺃﺳﻲ ﻣﻮﺍﻓﻘﺎً ﻋﻠﻰ ﻫﺬﺍ، ﺃﺟﻨﻨﺖِ؟!"""
,"Was the ""ritual"" Kinzo had mentioned literally the frightening thing it seemed to be, or was it some kind of test to choose his successor?","Was the ""ceremony"" Kinzo had mentioned literally something disturbing, or was it some kind of test to choose the Successor? ","Was the 'ceremony' Kinzo had mentioned literally something disturbing, or was it some kind of test to choose the next head?",金蔵の口にする“儀式”が、言葉通りの物騒なものなのか、次期当主を選ぶための何らかの試練なのか。,[=JP],"Был ли упомянутый Кинзо ""ритуал"" в буквальном смысле чем‐то ужасным, либо же это было какое‐то испытание для выбора следующего главы?","Seria o ""ritual"" que Kinzo mencionou literalmente a coisa mais assustadora, ou seria algum tipo de teste para escolher seu sucessor?",金藏口中所说的“仪式”，是如字面意思的骇人之事，还是为选出下任当主的某种考验呢？,金藏口中所說的“儀式”，是如字面意思的駭人之事，還是為選出下任當主的某種考驗呢？,"La ‘cerimonia’ che Kinzo aveva nominato era davvero qualcosa di disturbante, o era qualche tipo di test per scegliere il prossimo capo?",[=UP],"¿Realmente era la ""ceremonia"" mencionada por Kinzo algo tan perturbador, o era alguna prueba para escoger al siguiente líder?","ﻫﻞ ﻛﺎﻥ ""ﺍﻟﻄﻘﺲ"" ﺍﻟﺬﻱ ﺫﻛﺮﻩ ﻛﻴﻨﺰﻭ ﻫﻮ ﺍﻟﺸﻲﺀ ﺍﻟﻤﺨﻴﻒ ﺍﻟﺬﻱ ﺑﺪﺍ ﻋﻠﻴﻪ ﺣﺮﻓﻴﺎً، ﺃﻡ ﺃﻧﻪ ﻛﺎﻥ ﻧﻮﻋﺎً ﻣﻦ ﺍﻻﺧﺘﺒﺎﺭ ﻻﺧﺘﻴﺎﺭ ﺧﻠﻴﻔﺘﻪ؟"
,"It seemed that Rudolf had taken it at its disturbing face value, but Eva apparently still believed that it was something like a trial, or examination, to find the proper next head.","It seemed that Rudolf had taken it literally, but Eva apparently still believed that it was something like a test or examination to find a proper Successor. ","It seemed that Rudolf had taken it literally, but Eva apparently still believed that it was something like a test or examination to find the proper next head.",留弗夫は言葉通りの物騒なものとして受け取ったようだが、絵羽はそれでも、これは次期当主を見極めるための、試練や審査のようなものだと信じているようだった。,[=JP],"Рудольф, похоже, воспринял слова Кинзо буквально, но Ева всё ещё верила, что это было нечто вроде испытания или проверки для определения надлежащего следующего главы.","Parecia que Rudolf havia assumido aquela conversa perturbadora de forma literal, mas Eva aparentava ainda acreditar que aquilo era algum tipo de provação ou exame, para decidir o próximo chefe da família.",虽然留弗夫将此照字面意思理解成了骇人的仪式，但绘羽貌似还相信着，这是为了看清谁适合当下任当主的，考验或审查之类的玩意儿。,雖然留弗夫將此照字面意思理解成了駭人的儀式，但繪羽貌似還相信著，這是為了看清誰適合當下任當主的，考驗或審查之類的玩意兒。,"Sembrava che Rudolf l'avesse presa alla lettera, ma Eva apparentemente credeva ancora che fosse qualcosa come un test o esame... per trovare il prossimo capofamiglia adatto.",[=UP],"Rudolf parecía tomárselo literalmente, pero Eva parecía creer que era algo así como una prueba o examen... para encontrar al sucesor adecuado.",ﺑﺪﺍ ﺃﻥ ﺭﻭﺩﻭﻟﻒ ﻗﺪ ﺃﺧﺬ ﺍﻷﻣﺮ ﻋﻠﻰ ﻇﺎﻫﺮﻩ ﺍﻟﻤﺰﻋﺞ، ﻟﻜﻦ ﺇﻳﻔﺎ ﻋﻠﻰ ﻣﺎ ﻳﺒﺪﻭ ﻛﺎﻧﺖ ﻻ ﺗﺰﺍﻝ ﺗﻌﺘﻘﺪ ﺃﻧﻪ ﺷﻲﺀ ﻣﺜﻞ ﻣﺤﺎﻛﻤﺔ ﺃﻭ ﺍﺧﺘﺒﺎﺭ، ﻹﻳﺠﺎﺩ ﺧﻠﻴﻔﺔ ﺍﻟﻌﺎﺋﻠﺔ ﺍﻟﻘﺎﺩﻡ ﺍﻟﻤﻨﺎﺳﺐ.
,But Kinzo's response to this was clear.,But Kinzo responded with a clear smile. ,"But Kinzo responded to that with a clear smile.",しかし金蔵はそれに対し、明快な答えを返す。,[=JP],Но Кинзо ответил на это ясной улыбкой.,Mas a resposta de Kinzo foi clara.,然后，金藏对此给予了明快的回答。,然後，金藏對此給予了明快的回答。,Ma Kinzo rispose loro con un chiaro sorriso.,[=UP],Pero Kinzo respondió con una clara sonrisa.,ﻟﻜﻦ ﺭﺩ ﻛﻴﻨﺰﻭ ﻋﻠﻰ ﻫﺬﺍ ﻛﺎﻥ ﻭﺍﺿﺤﺎً.
Ushiromiya Kinzo,"""Well, that is all I have to say. Nooo objections or viewpoints are necessary...!!""","""Well then, that is all I have to say. Nooo objections or opinions are necessary from you...!! ","""Well then, that is all I have to say.  Nooo objections or viewpoints are necessary...!!",「さて、私からの話は以上だ。異議も意見もなァんにも必要はなぁい…！！,「さて、私からの話は以上だ。異議も意見もなァんにも必要はなぁい…！！」,"""Что ж, это всё, что я хотел сказать. Возражения и посторонние мнения не принимаются!""","""Bem, isto é tudo o que eu tinha a dizer. Nenhuma objeção ou ponto de vista é necessárioooo...!!""",「我的话，到此为止。异议也好意见也罢，什么都不需要…！！」,「我的話，到此為止。異議也好意見也罷，什麼都不需要…！！」,"""Bene allora, questo è tutto ciò che avevo da dire. Nessunaaaa obiezione o punto di vista è necessario...!!",[=UP],"""Muy bien, no tengo nada más que decir. ¡¡Nooo necesito objeciones ni opiniones!!...""","""ﺣﺴﻨﺎً، ﻫﺬﺍ ﻛﻞ ﻣﺎ ﻟﺪﻱ ﻷﻗﻮﻟﻪ. ﻻ ﺣﺎﺟﺔ ﻷﻱ ﺍﻋﺘﺮﺍﺿﺎﺍﺍﺍﺕ ﺃﻭ ﻭﺟﻬﺎﺕ ﻧﻈﺮ...!!"""
Ushiromiya Kinzo,"""I will simply awaken from my dream in which I have four failures for children. To all of you, what will occur now before your very eyes will no doubt seem like a dream, an illusion, an unearthly world that defies understanding.""","I will simply awaken from my dream of having four unsuccessful children. To all of you, what will occur now before your very eyes may seem like a dream, an illusion, something that couldn't conceivably be of this world, and a world that defies understanding."" ","  I will simply awaken from my dream of having four unsuccessful children.  To all of you, what will occur now before your very eyes may seem like a dream, an illusion, something that couldn't conceivably be of this world, and a world that defies understanding.",　４人の不出来なる息子たちがいたという私の夢が覚めるだけの話なのだ。お前たちにとって、これより目の前で起こることはまさに夢、幻、あるいはこの世のものと思えぬ理解に及ばぬ世界だろう。,「４人の不出来なる息子たちがいたという私の夢が覚めるだけの話なのだ。お前たちにとって、これより目の前で起こることはまさに夢、幻、あるいはこの世のものと思えぬ理解に及ばぬ世界だろう」,"""Я просто очнусь ото сна, в котором у меня есть никчёмные неудачливые дети. То, что сейчас произойдёт у вас перед глазами, может показаться вам сном, иллюзией, чем‐то не принадлежащим к этому миру и миром, отрицающим понимание и познание.""","""Eu simplesmente irei despertar do sonho no qual tive quatro filhos fracassados. Para todos vocês, o que vai ocorrer diante de seus olhos certamente irá parecer um sonho, uma ilusão, um mundo sobrenatural que desafia a compreensão.""",「也就仅仅是，我会从有四个废柴儿女的梦中醒来罢了。对你们来说，接下来要在你们眼前发生的正是梦境、幻觉，又或许会是不属于这个世界的无法理解的世界吧。」,「也就僅僅是，我會從有四個廢柴兒女的夢中醒來罷了。對你們來說，接下來要在你們眼前發生的正是夢境、幻覺，又或許會是不屬於這個世界的無法理解的世界吧。」,"Semplicemente mi sveglierò dal mio sogno di avere quattro figli falliti. Per tutti voi, quello che accadrà ora potrà sembrare un sogno, un illusione, qualcosa che non può essere assolutamente di questo mondo, e un mondo che sfida la comprensione.",[=UP],"""Simplemente me despertaré de mi sueño de tener cuatro hijos fracasados. Para todos ustedes, lo que está a punto de ocurrir les parecerá un sueño, una ilusión, algo que no puede ser de este mundo, algo de un mundo que desafía su propio entendimiento.""","""ﺳﺄﺳﺘﻴﻘﻆ ﺑﺒﺴﺎﻃﺔ ﻣﻦ ﺣﻠﻤﻲ ﺍﻟﺬﻱ ﻟﺪﻱ ﻓﻴﻪ ﺃﺭﺑﻌﺔ ﺃﻃﻔﺎﻝ ﻓﺎﺷﻠﻴﻦ. ﺑﺎﻟﻨﺴﺒﺔ ﻟﻜﻢ ﺟﻤﻴﻌﺎً، ﻣﺎ ﺳﻴﺤﺪﺙ ﺍﻵﻥ ﺃﻣﺎﻡ ﺃﻋﻴﻨﻜﻢ ﺳﻴﺒﺪﻭ ﺑﻼ ﺷﻚ ﻛﺤﻠﻢ، ﻛﻮﻫﻢ، ﻛﻌﺎﻟﻢ ﻏﻴﺮ ﺃﺭﺿﻲ ﻳﺘﺤﺪﻯ ﺍﻟﻔﻬﻢ."""
Ushiromiya Kinzo,"""But that itself is my reality!! Now, I will finally awaken from the fleeting and useless dream that all of you are!!""","""But that itself is my reality!! Now, I will finally awaken from the shallow, useless dream that all of you are!!"" ","But that itself is my reality!!  Now, I will finally awaken from the shallow, useless dream that all of you are!!",しかしそれこそが我が現実！！　お前たちという出来の悪き浅い夢は今こそようやく覚めるのだッ！！,「しかしそれこそが我が現実！！　お前たちという出来の悪き浅い夢は今こそようやく覚めるのだッ！！」,"""Но это и есть сама реальность! Теперь‐то я, наконец, проснусь от никчёмного, бесполезного сна, коим все вы являетесь!""","""Mas isto em si é a minha realidade!! Agora, eu finalmente despertarei deste efêmero e inútil sonho onde todos vocês aparecem!!""",「不过，这即是吾之真实！！我总算要于此刻，从你们这个糟透了的浅梦中醒来了！！」,「不過，這即是吾之真實！！我總算要於此刻，從你們這個糟透了的淺夢中醒來了！！」,"Ma questa è proprio la mia realtà!! Ora, finalmente mi sveglierò dal vuoto, inutile sogno che tutti voi siete!!",[=UP],"""¡¡Pero esa es mi realidad!! ¡Al fin me despertaré del superficial, e inútil sueño que son todos ustedes!!""","""ﻟﻜﻦ ﻫﺬﺍ ﺑﺤﺪ ﺫﺍﺗﻪ ﻫﻮ ﻭﺍﻗﻌﻲ!! ﺍﻵﻥ، ﺳﺄﺳﺘﻴﻘﻆ ﺃﺧﻴﺮﺍً ﻣﻦ ﺍﻟﺤﻠﻢ ﺍﻟﻌﺎﺑﺮ ﻭﺍﻟﻌﺪﻳﻢ ﺍﻟﻔﺎﺋﺪﺓ ﺍﻟﺬﻱ ﻫﻮ ﺃﻧﺘﻢ ﺟﻤﻴﻌﺎً!!"""
Ushiromiya Kinzo,"""Come, the game has already begun! With this many of you here, I hardly know whose life I should take first...!!""","""Come, the game has already begun, see? With this many of you here, I can take lives starting with anyone...!! ","Come, the game has already begun, see?  With this many of you here, I can take lives starting with anyone...!!  ",さぁ、もうゲームは始まっているぞ？　これだけいては、誰から命を奪えばいいものやら…！！,「さぁ、もうゲームは始まっているぞ？　これだけいては、誰から命を奪えばいいものやら…！！」,"""Ну же, игра уже началась, вам понятно? Со всеми собравшимися здесь я могу забрать жизни, начиная с кого угодно!""","""Vamos, o jogo já começou! Com tantos de vocês aqui, fica até difícil decidir qual vida tomarei primeiro...!!""",「来，游戏已经开始了哦？有这么多个，从哪个开始夺命好呢…？！！」,「來，遊戲已經開始了哦？有這麼多個，從哪個開始奪命好呢…？！！」,"Venite, il gioco è già iniziato, sapete? Con così tanti di voi qua, posso prendere vite iniziando da chiunque...!!",[=UP],"""Vengan, el juego ya ha comenzado, ¿lo ven? ¡¡Con todos ustedes aquí, puedo comenzar a quitar vidas empezando con quien desee!!...""","""ﻫﻴﺎ، ﻟﻘﺪ ﺑﺪﺃﺕ ﺍﻟﻠﻌﺒﺔ ﺑﺎﻟﻔﻌﻞ! ﻣﻊ ﻫﺬﺍ ﺍﻟﻌﺪﺩ ﺍﻟﻜﺒﻴﺮ ﻣﻨﻜﻢ ﻫﻨﺎ، ﺑﺎﻟﻜﺎﺩ ﺃﻋﺮﻑ ﺣﻴﺎﺓ ﻣﻦ ﻳﺠﺐ ﺃﻥ ﺁﺧﺬ ﺃﻭﻻً...!!"""
Ushiromiya Kinzo,"""Good‐bye, my bungling sons and daughters. And for the final and only time in your lives, be of use to me, for my ritual...!! Arise, Pendragon Memorial Troops...!!""","So long, my unsuccessful children. And for the final and only time in your lives, be useful...for my ceremony...!! Arise, Pendragon's Memorial Troops...!!"" ","Good bye, my unsuccessful children.  And for the final and only time in your lives, be useful, for my ceremony...!!  Arise, Pendragon's Memorial Troops...!!""",さらばだ、出来の悪き息子たちよ。そして生涯でただ一度、そして最後に、私の儀式のために役に立て…！！出でよ、ペンドラゴンの記念兵たちよ…！！」,「さらばだ、出来の悪き息子たちよ。そして生涯でただ一度、そして最後に、私の儀式のために役に立て…！！　出でよ、ペンドラゴンの記念兵たちよ…！！」,"""Прощайте, мои неудачливые дети. И в окончательный и последний раз в вашей жизни будьте полезными для моего ритуала! Предстаньте передо мной, Мемориальные солдаты Пендрагона!""","""Adeus, meus incompetentes filhos. E neste que é o último e único momento de suas vidas, sejam úteis para mim, para o meu ritual...!!{n}Apareça, Tropa Memorial de Pendragon...!!""",「再见了，我的废柴儿女。在你们一生中，既是唯一一次，又是最后一次地，为我的仪式尽份力吧…！！出来吧，潘德拉贡的纪念兵哟…！！」,「再見了，我的廢柴兒女。在你們一生中，既是唯一一次，又是最後一次地，為我的儀式盡份力吧…！！出來吧，潘德拉貢的紀念兵喲…！！」,"Addio, miei figli falliti. E per l'unica e ultima volta, siate utili, per la mia cerimonia...!! Sorgete, Truppe Commemorative di Pendragon...!!""",[=UP],"""Adiós, mis fracasados hijos. ¡¡Y por última y única vez, sean útiles, para mi ceremonia!!... ¡¡Levántense, Tropas Conmemorativas de Pendragón!!...""","""ﻭﺩﺍﻋﺎً ﻳﺎ ﺃﺑﻨﺎﺋﻲ ﻭﺑﻨﺎﺗﻲ ﺍﻟﺨﺮﻗﺎﺀ. ﻭﻟﻠﻤﺮﺓ ﺍﻷﺧﻴﺮﺓ ﻭﺍﻟﻮﺣﻴﺪﺓ ﻓﻲ ﺣﻴﺎﺗﻜﻢ، ﻛﻮﻧﻮﺍ ﻟﻲ ﻋﻮﻧﺎً، ﻣﻦ ﺃﺟﻞ ﻃﻘﺴﻲ...!! ﺗﻌﺎﻟﻲ ﻳﺎ ﻗﻮﺍﺕ ﺑﻨﺪﺭﺍﻏﻮﻥ ﺍﻟﺸﺮﻓﻴﺔ...!!"""
,"As Kinzo raised his arms high like an opera singer, and yelled those words as though towards a packed audience...","When Kinzo raised his arms high like an opera singer and yelled as though towards a packed audience, ","When Kinzo raised his arms high like an opera singer, and yelled as though towards a packed audience, ",金蔵がオペラ歌手のように両手を高く掲げて、まるで満場の観客にそう叫ぶように言うと、,[=JP],"Когда Кинзо как оперный певец высоко поднял руки и прокричал, словно битком набитому залу...","Quando Kinzo ergueu seus braços, como se fosse um tenor de ópera, e proferiu aquelas palavras como se estivesse diante de uma grande plateia...",金藏如歌剧院歌手般高高举起双臂，如同面对满场观众地如此高呼，,金藏如歌劇院歌手般高高舉起雙臂，如同面對滿場觀眾地如此高呼，,"Quando Kinzo sollevò le braccia come un cantante d'opera, e urlò come verso un pubblico gremito,",[=UP],"Cuando Kinzo alzó sus brazos como un cantante de ópera, y gritó como si se dirigiera a una audiencia,",ﺑﻴﻨﻤﺎ ﺭﻓﻊ ﻛﻴﻨﺰﻭ ﺫﺭﺍﻋﻴﻪ ﻋﺎﻟﻴﺎً ﻛﻤﻐﻨﻲ ﺃﻭﺑﺮﺍ، ﻭﺻﺮﺥ ﺑﺘﻠﻚ ﺍﻟﻜﻠﻤﺎﺕ ﻭﻛﺄﻧﻪ ﻳﻮﺟﻬﻬﺎ ﻟﺠﻤﻬﻮﺭ ﻏﻔﻴﺮ...
,"...the air shattered like glass, .........and the figures of three people who hadn't been invited to this island appeared regardless......","the air shattered like glass, ......and the outlines of three people who supposedly hadn't been invited to this island appeared... ","the air shattered like glass, .........and the outlines of three people who supposedly hadn't been invited to this island appeared......",空間がガラスのように割れ、………この島に招かれていないはずの人影が、３人もそこに姿を現す……。,[=JP],"...Воздух раскололся подобно стеклу... И появились три особы, которых вроде как никто не приглашал на остров...","...o espaço ao redor se despedaçou como vidro, .........e a forma de três pessoas que não haviam sido convidadas para esta ilha, surgiram......",空间就像玻璃一样碎裂，………在那出现了三位，原本并未被邀至岛上之人……。,空間就像玻璃一樣碎裂，………在那出現了三位，原本並未被邀至島上之人……。,l'aria si frammentò come vetro... e le sagome di tre persone che in teoria non sarebbero dovute essere invitate su quest'isola apparvero...,[=UP], el aire se hizo añicos como un cristal... y apareció la figura de tres personas que supuestamente no habían sido invitadas a esta isla...,...ﺗﻬﺸﻢ ﺍﻟﻬﻮﺍﺀ ﻛﺎﻟﺰﺟﺎﺝ، .........ﻭﻇﻬﺮﺕ ﻫﻴﺌﺎﺕ ﺛﻼﺛﺔ ﺃﺷﺨﺎﺹ ﻟﻢ ﺗﺘﻢ ﺩﻋﻮﺗﻬﻢ ﺇﻟﻰ ﻫﺬﻩ ﺍﻟﺠﺰﻳﺮﺓ ﻋﻠﻰ ﺃﻱ ﺣﺎﻝ......
Chiester45,"""Chiester{ruby:forty‐five:45}, right here...!""","""Chiester {ruby:forty‐five:45}, right here...!"" ","""Siesta 45, right here...!""",「シエスタ４５、ここに…！」,[=JP],"""Чиеста {ruby:сорок пять:45}, на месте!""","""Chiester{ruby:yonjuugo:45}, está aqui...!""",「谢丝塔 45，在此…！」,「謝絲塔 45，在此…！」,"""Chiester 45, presente...!""",[=UP],"""¡Siesta{ruby:Cuarenta-y-cinco:45}, presente!""","""ﺷﻴﺎﺳﺘﺮ {ruby:ﺧﻤﺴﺔ ﻭﺃﺭﺑﻌﻮﻥ:54}، ﺣﺎﺿﺮﺓ...!"""
Chiester410,"""Chiester{ruby:four‐one‐zero:410}, right heere!""","""Chiester {ruby:four‐one‐zero:410}, right heere!"" ","""Siesta 410, right heere!""",「シエスタ４１０、ここにぃ！」,[=JP],"""Чиеста {ruby:четыре один ноль:410}, на ме‐есте!""","""Chiester{ruby:yonichimaru:410}, está aqui!""",「谢丝塔 410，在此！」,「謝絲塔 410，在此！」,"""Chiester 410, presente!""",[=UP],"""¡Siesta{ruby:Cuatrocientos‐diez:410}, presente!""","""ﺷﻴﺎﺳﺘﺮ {ruby:ﺃﺭﺑﻌﻤﺌﺔ ﻭﻋﺸﺮﺓ:014}، ﺣﺎﺿﺮﺓ ﻫﻨﺎﺍﺍ!"""
Chiester00,"""Chiester{ruby:double‐oh:00}, right here, sir.""","""Chiester {ruby:double‐oh:00}, right here, sir."" ","""Siesta 00, right here sir.""",「シエスタ００、ここにであります。」,「シエスタ００、ここにであります」,"""Чиеста {ruby:двойное о:00}, на месте, сир.""","""Chiester{ruby:double‐oh:00}, está aqui, senhor.""",「谢丝塔 00，在此。」,「謝絲塔 00，在此。」,"""Chiester 00, presente signore.""",[=UP],"""¡Siesta{ruby:Cero‐cero:00}, presente, señor.""","""ﺷﻴﺎﺳﺘﺮ {ruby:ﺻﻔﺮﺍﻥ:00}، ﺣﺎﺿﺮﺓ، ﺳﻴﺪﻱ."""
,Three girls with bizarre forms suddenly appeared behind Kinzo.,Three girls with strange forms suddenly appeared behind Kinzo. ,"Three girls with strange forms suddenly appeared behind Kinzo.",３人の奇怪なる姿の少女たちが金蔵の後に突如、現れる。,[=JP],"Позади Кинзо внезапно возникли три девушки, одетые в странную униформу.",Três garotas de aparência bizarra apareceram atrás de Kinzo.,三名奇装异服的少女在金藏身后突然现身。,三名奇裝異服的少女在金藏身後突然現身。,Tre ragazze dalle sagome strane apparvero improvvisamente dietro Kinzo.,[=UP],Tres chicas de formas extrañas aparecieron de repente tras Kinzo.,ﻇﻬﺮﺕ ﺛﻼﺙ ﻓﺘﻴﺎﺕ ﺑﻬﻴﺌﺎﺕ ﻏﺮﻳﺒﺔ ﻓﺠﺄﺓ ﺧﻠﻒ ﻛﻴﻨﺰﻭ.
,Where from? When? Who? Who are they??,Where from? When? Who? Who were they?? ,"Where from?  When?  Who?  Who are they??",どこから？　いつの間に？　誰？　どちら様？？,[=JP],Откуда? Когда? Кто? Кто они???,De onde elas vieram? Quando? Como? Quem são elas??,哪来的？什么时候来的？是谁？是哪位？？,哪來的？什麼時候來的？是誰？是哪位？？,Da dove? Quando? Chi? Chi sono loro??,[=UP],¿De dónde? ¿Cuándo? ¿Quiénes? ¿¿Quiénes son??,ﻣﻦ ﺃﻳﻦ؟ ﻣﺘﻰ؟ ﻣﻦ؟ ﻣﻦ ﻫﻦ؟؟
,"......The {y:0:Human}{n:0:human}s were thrown off balance and their minds went blank.{n}And because they wasted time with such thoughts, they lost their last chance to survive.","...The Humans were thrown off balance, and their minds went blank. Because they spent all that time thinking, they lost their last chance to survive. ","......The humans were thrown off balance and their minds went blank.Because they had spent all that time thinking, they had lost their last chance to survive.",……ニンゲンたちは目を白黒させて頭を真っ白にする。そんな思考に時間を費やしたため、彼らは生き残る最後のチャンスを失った。,……ニンゲンたちは目を白黒させて頭を真っ白にする。{n}そんな思考に時間を費やしたため、彼らは生き残る最後のチャンスを失った。,"......Люди оказались выбитыми из колеи, и их разумы затуманились.{n}И поскольку они потратили всё это время на размышления, они лишились последнего шанса выжить.","......Os {y:0:Humanos}{n:0:humanos} ficaram atônitos e suas mentes brancas.{n}E por terem desperdiçado seu tempo com tais pensamentos, eles perderam a última chance de sobreviver.",……人类们眼花缭乱，大脑一片空白。{n}由于把时间浪费在了这种思考上，所以他们丧失了逃生的最后的机会。,……人類們眼花繚亂，大腦一片空白。{n}由於把時間浪費在了這種思考上，所以他們喪失了逃生的最後的機會。,"... Gli umani furono presi alla sprovvista e le loro menti si svuotarono. {n}Dato che avevano trascorso tutto quel tempo a pensare, avevano perso la loro ultima possibilità di sopravvivenza.",[=UP],"... Los {y:0:Humanos}{n:0:humanos} se desmoronaron y sus mentes quedaron en blanco.{n}Por malgastar ese tiempo pensando, derrocharon su última posibilidad de sobrevivir.",......ﻓﻘﺪ {y:0:ﺍﻟﺒﺸﺮ}{n:0:ﺍﻟﺒﺸﺮ} ﺗﻮﺍﺯﻧﻬﻢ ﻭﺃﺻﺒﺤﺖ ﻋﻘﻮﻟﻬﻢ ﻓﺎﺭﻏﺔ.{n}ﻭﻷﻧﻬﻢ ﺃﺿﺎﻋﻮﺍ ﺍﻟﻮﻗﺖ ﻓﻲ ﻣﺜﻞ ﻫﺬﻩ ﺍﻷﻓﻜﺎﺭ، ﻓﻘﺪﻭﺍ ﻓﺮﺻﺘﻬﻢ ﺍﻷﺧﻴﺮﺓ ﻟﻠﻨﺠﺎﺓ.
Ushiromiya Kinzo,"""I grant you permission to shoot six people to death. You have free choice of targets. Begin attacking.""","""You have permission to shoot six to death. I leave the choice of targets up to you. Begin your attack."" ","""You have permission to shoot six people to death.  The targets are up to you.  Begin attacking.""",「お前たちには６人の射殺を許可する。標的は自由だ。攻撃開始。」,「お前たちには６人の射殺を許可する。標的は自由だ。攻撃開始」,"""Вам дано разрешение застрелить и убить шесть человек. Цели на ваше усмотрение. Открывайте огонь.""","""Eu garanto a vocês permissão para atiraram e matarem seis pessoas. Vocês são livres para escolherem seus alvos. Comecem o ataque.""",「准许你们射杀六人。目标随便选。开始攻击。」,「准許你們射殺六人。目標隨便選。開始攻擊。」,"""Avete il permesso di sparare a morte sei persone. I bersagli decideteli voi. Iniziate l'attacco.""",[=UP],"""Tienen mi permiso para disparar a 6 personas y acabar con sus vidas. Ustedes decidirán el objetivo. Comiencen a atacar.""","""ﺃﻣﻨﺤﻜﻦ ﺍﻹﺫﻥ ﺑﺈﻃﻼﻕ ﺍﻟﻨﺎﺭ ﻋﻠﻰ ﺳﺘﺔ ﺃﺷﺨﺎﺹ ﺣﺘﻰ ﺍﻟﻤﻮﺕ. ﻟﺪﻳﻜﻦ ﺣﺮﻳﺔ ﺍﺧﺘﻴﺎﺭ ﺍﻷﻫﺪﺍﻑ. ﺍﺑﺪﺃﻥ ﺍﻟﻬﺠﻮﻡ."""
Chiester00,"""Unrestricted firing understood, sir. Thank you for the good targets. All units, commence unrestricted firing.""","""Unrestricted Firing, understood, sir. Thank you for granting us such excellent targets. Everyone, Commence Unrestricted Firing."" ","""Unrestricted Firing Understood, sir.  Thank you for the good targets.  Everyone, Commence Unrestricted Firing.""",「自由射撃了解であります。良き標的に感謝。各個、自由射撃開始。」,「自由射撃了解であります。良き標的に感謝。各個、自由射撃開始」,"""Приказ о ведении свободного огня принят, сир. Благодарим вас за хорошие цели. Итак, открывайте свободный огонь.""","""Disparo irrestrito assimilador, senhor. Eu agradeço pelos ótimos alvos. Todas as unidades, comecem a atirar sem restrições.""",「自由射击，了解。感谢您赐予不错的靶子。各自，开始自由射击。」,「自由射擊，了解。感謝您賜予不錯的靶子。各自，開始自由射擊。」,"""Permesso di Attacco Senza Restrizioni Ricevuto, signore. La ringrazio per gli ottimi bersagli. Tutti quanti, Inizio Attacco Senza Restrizioni.""",[=UP],"""Orden de Fusilamiento Sin Restricciones Comprendida, señor. Gracias por tan buenos objetivos. Comiencen Fusilamiento Sin Restricciones.""","""ﺇﻃﻼﻕ ﺣﺮ، ﻋُﻠِﻢ، ﺳﻴﺪﻱ. ﺷﻜﺮﺍً ﻋﻠﻰ ﺍﻷﻫﺪﺍﻑ ﺍﻟﺠﻴﺪﺓ. ﺟﻤﻴﻊ ﺍﻟﻮﺣﺪﺍﺕ، ﺍﺑﺪﺃﻥ ﺇﻃﻼﻕ ﺍﻟﻨﺎﺭ ﺍﻟﺤﺮ."""
