Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
{f:5:Bernkastel},"""Yes, good luck. ......When you're done, make sure you put everything back in the bag.""","""Yeah, good luck. ...When you're done, make sure you put everything back in the bag."" ",[=UP],「えぇ、がんばってね。……終わったら、ちゃんと袋に戻しておくのよ。」,「えぇ、がんばってね。……終わったら、ちゃんと袋に戻しておくのよ」,"""Да, удачи. ......Когда закончишь, не забудь положить всё обратно в сумку.""","""Sim, boa sorte. ......Quando terminar, não esqueça de colocar tudo no saco.""",[=UP],「嗯，要加油啊。……弄完後，要好好放回袋子裡去哦。」,「嗯，要加油啊。……弄完后，要好好放回袋子里去哦。」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},""".........Are you still bullying her like that?""","""......Are you still bullying her like that?"" ",[=UP],「………あんた、またそーゆーことしてイジメてんの？」,[=JP],""".........Ты до сих пор так над ней издеваешься?""",""".........Ainda está maltratando ela?""",[=UP],「………你還在這麼欺負人啊？」,「………你还在这么欺负人啊？」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""How rude. I'm playing with her. .........Ah, yes, Erika. The mailman just came by with a letter addressed to you.""","""How rude. I'm playing with her. ......Ah, yes, Erika. The mailman just came by with a letter addressed to you."" ",[=UP],「遊んでるのよ。失礼ね。………そうそう、ヱリカ。さっき郵便屋が来て、あんた宛の手紙を置いていったわ。」,「遊んでるのよ。失礼ね。………そうそう、ヱリカ。さっき郵便配達が来て、あんた宛の手紙を置いていったわ」,"""Как грубо. Я играю с ней. .........Ах да, Эрика. Только что пришёл почтальон с письмом, адресованным тебе.""","""Mas que rude da sua parte. Eu estou brincando com ela. .........Ah, sim, Erika.{n}O carteiro passou aqui e deixou uma carta para você.""",[=UP],「我是在玩啊。真失禮呢。………對了對了，繪梨花。剛才郵遞員來過，把給你的信放在那裡了。」,「我是在玩啊。真失礼呢。………对了对了，绘梨花。刚才邮递员来过，把给你的信放在那里了。」,[=UP],[=UP],[=UP]
Furudo Erika,"""A letter?! I sense a crime calling to me. Don't tell me, I'll guess who sent it!""","""A letter?! I sense a crime calling to me. Don't tell me, I'll guess who sent it!"" ",[=UP],「手紙？！　事件の予感がしますッ。言わないでっ、私が差出人を当てます！」,[=JP],"""Письмо?! Чую, преступление зовёт меня. Не говорите, я угадаю, кто его отправил!""","""Uma carta?! Sinto um crime me chamando. Não me diga! Irei adivinhar quem enviou!""",[=UP],「信？！有案件的預感。別說，我來猜猜寄信人！」,「信？！有案件的预感。别说，我来猜猜寄信人！」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},""".........The postmark is from Heaven. It's probably from Dlanor or someone. I'm surprised you're still in touch. ......All it takes is the presence of this postmark, and a deduction like this becomes trivial for {f:5:Bernkastel}.""","""......The postmark is from Heaven. It's probably from Dlanor or someone. I'm surprised you're still in touch. ...Just by the presence of this postmark, see how far {f:5:Bernkastel}'s reasoning has taken her."" ",""".........The postmark is from Heaven. It's probably from Dlanor or someone. I'm surprised you're still in touch. ......Just by the presence of this postmark, see how far Bernkastel's reasoning has taken her.""",「………消印は天界ね。ドラノール辺りじゃない？　あんたたち、まだ親交があったのね、驚きだわ。……ただ消印があるだけで。ベルンカステルにはこの程度の推理が可能です。」,「………消印は天界ね。ドラノール辺りじゃない？　あんたたち、まだ親交があったのね、驚きだわ。……ただ消印があるだけで。ベルンカステルにはこの程度の推理が可能です」,""".........Почтовая марка с Небес. Наверное, от Дланор. Не думала, что вы ещё общаетесь. ......Одна лишь эта почтовая марка, и посмотрите, как далеко зашла {f:5:Бернкастель} в своих рассуждениях.""",""".........O carimbo postal é dos Céus. Provavelmente é da Dlanor ou alguma delas. Fico surpresa em saber que ainda mantêm contato. ......Tendo como presente apenas este selo postal, uma dedução como esta é algo trivial para {f:5:Bernkastel}.""",[=UP],「………郵戳是天界呢。是德拉諾爾那邊吧？你們之間居然還有交情啊，真令人吃驚。……僅憑郵戳，貝倫卡斯泰露便可得出這種程度的推理。」,「………邮戳是天界呢。是德拉诺尔那边吧？你们之间居然还有交情啊，真令人吃惊。……仅凭邮戳，贝伦卡斯泰露便可得出这种程度的推理。」,[=UP],[=UP],[=UP]
Furudo Erika,"""Hey!! You can't do that, my master! Van Dine's Rule #9! It's forbidden to have multiple detectives!""","""Hey!! You can't do that, my master! Van Dine's 9th! It's forbidden to have multiple detectives!"" ","""Hey!! You can't do that, my master! Van Dine's 9th! It's forbidden to have multiple detectives!""",「ピピピー！！　駄目です、我が主ぃ！ヴァンダイン第９則！　探偵が複数あることを禁ズ！」,「ピピピー！！　駄目です、我が主ぃ！　ヴァンダイン第９則！　探偵が複数あることを禁ズ！」,"""Эй! Вам нельзя, госпожа! 9‐й Ван Дайн! Может быть только один детектив!""","""Pipipii!! Você não pode fazer isso, minha mentora! 9ª Regra de Van Dine!{n}É proibido ter múltiplos detetives!""",[=UP],「噼噼噼——！！這可不行，我主！范達因第 9 則！禁止偵探有多個！」,「噼噼噼——！！这可不行，我主！范达因第 9 则！禁止侦探有多个！」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""......Then you'd better get out. So long, Great Detective Erika.""","""...Then you'd better get out. So long, Great Detective Erika."" ",[=UP],「……じゃあ、あんたが出てけばいいわけだわ。またね、名探偵ヱリカ。」,「……じゃあ、あんたが出てけばいいわけだわ。またね、名探偵ヱリカ」,"""......Тогда тебе лучше уйти. Пока, великий детектив Эрика.""","""......Então é melhor ir embora. Adeus, Grande Detetive Erika.""",[=UP],「……那，你就出去好了。再見了，名偵探繪梨花。」,「……那，你就出去好了。再见了，名侦探绘梨花。」,[=UP],[=UP],[=UP]
Furudo Erika,"""Nooooo, my masteeeer!! {f:5:Erika}, Witch of Truth, is here to serve!""","""My master, how could you?!! I'm {f:5:Erika}, Witch of Truth!"" ","""My master, how could you?!! I'm Erika, Witch of Truth!""",「そんなぁああぁ、我が主ぃいいぃ、真実の魔女ヱリカ、ここにぃ！」,[=JP],"""Госпожа, как вы могли?!! Я — {f:5:Эрика}, ведьма правды!""","""Nãooooo, minha mentoraaaa!! {f:5:Erika}, a Bruxa da Verdade, está bem aqui para servi‐la!""",[=UP],「別這樣————，我主————，真實的魔女艾莉卡，在此！」,「别这样————，我主————，真实的魔女艾莉卡，在此！」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""............I still can't tell if you two like each other or hate each other.""","""...I still can't tell if you two like each other or hate each other."" ","""......I still can't tell if you two like each other or hate each other.""",「…………あんたらって、仲いいのか悪いのか、未だによくわかんないわ。」,「…………あんたらって、仲いいのか悪いのか、未だによくわかんないわ」,"""......До сих пор не понимаю, любите вы друг друга или же ненавидите.""","""............Ainda não sei dizer se vocês se gostam ou se odeiam.""",[=UP],「…………你們兩個關係到底是好還是差，我到現在還沒搞清楚。」,「…………你们两个关系到底是好还是差，我到现在还没搞清楚。」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""Of course we hate each other. You're the only one I love.""","""Of course we hate each other. You're the only one I love."" ",[=UP],「悪いに決まってるでしょ。私が愛してるのはあんただけよ。」,「悪いに決まってるでしょ。私が愛してるのはあんただけよ」,"""Ненавидим, конечно же. Ты единственная, кого я люблю.""","""É claro que nos odiamos. Você é a única que eu amo.""",[=UP],「當然是差了。我愛著的只有你哦。」,「当然是差了。我爱着的只有你哦。」,[=UP],[=UP],[=UP]
Furudo Erika,"""H‐how could you, my master!! Lady {f:5:Lambdadelta}! It looks like there's not enough room for the two of us!""","""H-How could you, my master?!! Lady {f:5:Lambdadelta}! It looks like there's not enough room for the two of us!"" ","""H, how could you, my master!! Lady Lambdadelta! It looks like there's not enough room for the two of us!""",「そ、そんなぁああぁあ、我が主ぃいいいぃい！！ラムダデルタ卿！　やはり私とあなたは相容れないようですね！」,「そ、そんなぁああぁあ、我が主ぃいいいぃい！！　ラムダデルタ卿！　やはり私とあなたは相容れないようですね！」,"""Ка... как вы можете, госпожа?! Леди {f:5:Лямбдадельта}! Здесь слишком мало места для нас двоих!""","""C‐Como pôde, minha mentora!! Lady {f:5:Lambdadelta}! Parece que não há espaço para nós duas!""",[=UP],「怎、怎麼這樣啊啊啊，我主——————！！拉姆達戴露塔卿！果然我和你是無法相容的呢！」,「怎、怎么这样啊啊啊，我主——————！！拉姆达戴露塔卿！果然我和你是无法相容的呢！」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""Are you serious? ......Are you challenging the great {f:5:Lambdadelta}?""","""Are you serious? ...Are you challenging the great {f:5:Lambdadelta}?"" ","""Are you serious? ......Are you challenging the great Lambdadelta?""",「何よ、あんた。……この大ラムダデルタを相手に、勝負する気ぃ？」,[=JP],"""Ты серьёзно? ......Бросаешь вызов великой {f:5:Лямбдадельте}?""","""Tá falando sério? ......Está desafiando a Grande {f:5:Lambdadelta}?""",[=UP],「幹嘛啊你。……想與我這大拉姆達戴露塔一決勝負嗎？」,「干嘛啊你。……想与我这大拉姆达戴露塔一决胜负吗？」,[=UP],[=UP],[=UP]
,Erika grinned and grabbed {f:5:Lambdadelta}'s left arm that was walking around the bed.,"Erika grinned and grabbed {f:5:Lambdadelta}'s left arm, which had been walking around the bed. ",Erika grinned and grabbed Lambdadelta's left arm that was walking around the bed.,ヱリカは、にかっと笑い、ベッドの上を歩き回っていたラムダデルタの左腕を捕まえる。,[=JP],"Эрика ухмыльнулась и схватила левую руку {f:5:Лямбдадельты}, блуждающую на кровати.","Erika sorriu e agarrou o braço esquerdo de {f:5:Lambdadelta}, que ainda estava passeando por cima da cama.",[=UP],繪梨花嘿嘿笑著，抓住了在床上來回走的拉姆達戴露塔的左手。,绘梨花嘿嘿笑着，抓住了在床上来回走的拉姆达戴露塔的左手。,[=UP],[=UP],[=UP]
Furudo Erika,"""Here is Lady {f:5:Lambdadelta}'s arm. And here is the sliced‐open end of her arm.""","""I have here Lady {f:5:Lambdadelta}'s arm. And here is the sliced-open end of her arm."" ","""Here is Lady Lambdadelta's arm. And here is the sliced-open end of her arm.""",「ここにラムダデルタ卿の腕があります。そしてここは、断面です。」,「ここにラムダデルタ卿の腕があります。そしてここは、断面です」,"""Вот рука леди {f:5:Лямбдадельты}. А вот открытый конец её руки.""","""Aqui está o braço da Lady {f:5:Lambdadelta}. E aqui está seu corte transversal.""",[=UP],「這是拉姆達戴露塔卿的手臂。然後這裡是，斷面。」,「这是拉姆达戴露塔卿的手臂。然后这里是，断面。」,[=UP],[=UP],[=UP]
,Erika grinned and wiggled her fingers menacingly.,Erika grinned and wiggled her fingers menacingly. ,[=UP],ヱリカはにやにや笑いながら、指をわきわきさせる。,[=JP],Эрика усмехнулась и угрожающе пошевелила пальцами.,Erika sorriu maliciosamente e mexeu seus dedos de forma ameaçadora.,[=UP],繪梨花壞笑著，手指作出咯吱的動作。,绘梨花坏笑着，手指作出咯吱的动作。,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""Wait, ......you aren't thinking.........""","""Wait, ...you aren't thinking......"" ",[=UP],「ちょ、……まさか、あんた………、」,[=JP],"""Стой...... ты же не.........""","""Espera, ......não está pensando em.........""",[=UP],「等、……難道，你………，」,「等、……难道，你………，」,[=UP],[=UP],[=UP]
Furudo Erika,"""Let's see if my rival can handle this.""","""Let's see if my rival can handle this."" ",[=UP],「私のライバルには、こぉんなことが出来ます。」,「私のライバルには、こぉんなことが出来ます」,"""Посмотрим, сможет ли мой соперник справиться с этим.""","""Vejamos se minha rival consegue lidar com isso.""",[=UP],「我對競爭對手，會這～麼做。」,「我对竞争对手，会这～么做。」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""Gyah, gyah{0}ha{0}ha{0}ha{0}ha{0}ha{0}haa{0}haha, ahh{0}hya{0}ha{0}ha{0}haha, stoppii{-}i{-}i{-}i{-}it that tickle{-}e{-}e{-}e{-}e{-}es!!""","""Gyah, gyahhahahahahahaahaha, ahhhyahahahaha, stoppit that tickleeeeeees!!"" ","""Gyah, gyahhahahahahahaahaha, ahhhyahahahaha, stoppit that tickles!!""",「ぎゃッ、ぎゃわっはははっはっははははは、あひゃーひゃっひゃっひゃ、やぁめてぇえええぇくすぐったいいぃいいいぃ！！」,[=JP],"""Гья, гья‐ха‐ха‐ха‐ха‐ха‐ха, а‐хья‐ха‐ха‐ха, прекрати щекотать!!!""","""Gyah, gyah{0}ha{0}ha{0}ha{0}ha{0}ha{0}haa{0}haha, ahh{0}hya{0}ha{0}ha{0}haha, paraa{‐}a{‐}a{‐}a{‐}aa, isso faz cócega{‐}a{‐}a{‐}a{‐}a{‐}as!!""",[=UP],「呀、哈哇哈哈哈哈哈哈哈哈哈哈，啊哈哈哈哈，住手呀啊啊啊好癢好癢——————————！！」,「呀、哈哇哈哈哈哈哈哈哈哈哈哈，啊哈哈哈哈，住手呀啊啊啊好痒好痒——————————！！」,[=UP],[=UP],[=UP]
,"......She tickled the open end of {f:5:Lambdadelta}'s left arm. Apparently, she was extremely ticklish there.","...She tickled the inside of {f:5:Lambdadelta}'s left arm. Apparently, she was extremely ticklish there. ","......She tickled the inside of Lambdadelta's left arm. Apparently, she was extremely ticklish there.",……ラムダデルタの左腕の断面をこちょこちょとくすぐる。どうやらそれは、ものすごいくすぐったいことらしかった。,[=JP],"......Эрика защекотала внутри левую руку {f:5:Лямбдадельты}. Видимо, было очень щекотно.","......Ela fez cosquinha na abertura localizada na extremidade do braço esquerdo de {f:5:Lambdadelta}. Pelo que parece, esse é um de seus pontos sensíveis.",[=UP],……繪梨花撓著拉姆達戴露塔的左手的斷面。看來這麼做，會讓她特別癢。,……绘梨花挠着拉姆达戴露塔的左手的断面。看来这么做，会让她特别痒。,[=UP],[=UP],[=UP]
,"Incidentally, the open end of {f:5:Lambdadelta}'s arm was cute and fluffy with white cotton candy poking out.","Incidentally, the open end of {f:5:Lambdadelta}'s arm had cute, fluffy, white cotton candy poking out. "," Incidentally, the open end of Lambdadelta's arm had cute, fluffy, white cotton candy poking out.",ちなみに、ラムダデルタのその断面は、綿飴の白いふわふわがはみ出した可愛いものだ。,[=JP],"Между прочим, из открытого конца руки {f:5:Лямбдадельты} торчала милая, пушистая, белая сахарная вата.","A propósito, a extremidade aberta do braço de {f:5:Lambdadelta} era adorável e fofinha, com algodão‐doce branco saindo para fora.",[=UP],另外，拉姆達戴露塔的這個斷面，是像棉花糖一樣又白又軟的可愛東西。,另外，拉姆达戴露塔的这个断面，是像棉花糖一样又白又软的可爱东西。,[=UP],[=UP],[=UP]
,"Apparently, her body was made out of sweet candy, with a bit of spice thrown in.","Apparently, her body was made out of sweet candy, with a bit of spice thrown in. "," Apparently, her body was made out of sweet candy, with a bit of spice thrown in.",何しろ彼女の体は、甘いお菓子とちょっぴりのスパイスで出来ているのだから。,[=JP],"Похоже, её тело было сделано из сладкой конфеты и щепотки специй.","Aparentemente, seu corpo é feito de doces, com um pouco de tempero misturado no meio.",[=UP],畢竟她的身體，是用甜零食和香料做成的。,毕竟她的身体，是用甜零食和香料做成的。,[=UP],[=UP],[=UP]
,"Put your mind at ease, as there is nothing remotely terrifying about her severed arm.","Put your mind at ease, as there is nothing remotely terrifying about this scene. "," Put your mind at ease, as there is nothing remotely terrifying about this scene.",断面は、決して怖いものではないのでご安心を。,[=JP],"Но успокойтесь, в этой сцене не было ничего даже отдалённо ужасающего.","Pode ficar tranquilo, não há nada minimamente assustador no braço amputado dela.",[=UP],那斷面一點都不恐怖，請安心。,那断面一点都不恐怖，请安心。,[=UP],[=UP],[=UP]
,"Erika ran around, screaming ""I've defeated Lady {f:5:Lambdadelta} all by myself, just like my master!"" {f:5:Lambdadelta} growled and hissed at her. {f:5:Bernkastel} kept on sewing, an exasperated look on her face.","Erika ran around, screaming ""I've defeated Lady {f:5:Lambdadelta} all by myself, just like my master!"" {f:5:Lambdadelta} growled and hissed at her. {f:5:Bernkastel} kept on sewing, an exasperated look on her face. "," Erika ran around, screaming 'I've defeated Lady Lambdadelta all by myself, just like my master!'. Lambdadelta growled and hissed at her. Bernkastel kept on sewing, an exasperated look on her face.",我が主に続き、私もラムダデルタ卿に単機で勝ちました！　そう叫びながら飛び回るヱリカに、がるるるるると吼えて威嚇するラムダデルタ。呆れながらも、ちくちくと親友を縫うベルンカステル。,[=JP],"Эрика бегала, крича: «Я победила леди {f:5:Лямбдадельту} сама, как моя госпожа!». {f:5:Лямбдадельта} зарычала и зашипела на неё. {f:5:Бернкастель} продолжала шить с сердитым видом.","Erika ficou se gabando e gritando ""Eu derrotei a Lady {f:5:Lambdadelta} sozinha, assim como a minha mentora fez!"". {f:5:Lambdadelta} rugiu e gruniu para ela. {f:5:Bernkastel} continuou costurando, com uma expressão exasperada em sua face.",[=UP],繼我主之後，我也單挑拉姆達戴露塔卿取勝啦！對這樣喊著四處跑的繪梨花，拉姆達戴露塔像老虎一樣低吼著威脅。為此而吃驚著，也依舊在縫著摯友的貝倫卡斯泰露。,继我主之后，我也单挑拉姆达戴露塔卿取胜啦！对这样喊着四处跑的绘梨花，拉姆达戴露塔像老虎一样低吼着威胁。为此而吃惊着，也依旧在缝着挚友的贝伦卡斯泰露。,[=UP],[=UP],[=UP]
,It was a very peaceful scene...,It was a very peaceful scene... , It was a very peaceful scene...,それはとても和やかな風景だった…。,[=JP],Эта сцена была очень мирной...,Foi uma cena muito reconfortante...,[=UP],這是何等和平的風景…。,这是何等和平的风景…。,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""So? What does the letter say?""","""So? What does the letter say?"" ",[=UP],「それで？　手紙には何て？」,[=JP],"""И? Что говорится в письме?""","""Então? O que a carta diz?""",[=UP],「於是？信到底是什麼？」,「于是？信到底是什么？」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""Is there anything about how Dlanor and the others have been doing?""","""Anything about what Dlanor and the others have been up to?"" ",[=UP],「ドラノールたちの近況でも書いてあんの？」,[=JP],"""Там о том, как дела у Дланор и других?""","""Fala algo sobre o que a Dlanor e suas subordinadas estão fazendo?""",[=UP],「是寫了德拉諾爾她們的近況麼？」,「是写了德拉诺尔她们的近况么？」,[=UP],[=UP],[=UP]
Furudo Erika,"""Gertrude‐san has been promoted to a full Inquisitor or something. Hip hip hooray, I guess. ......Ooh, in addition to her cat, she now has a {ruby:wanyan:meowoof} too.""","""Gertrude-san has been promoted to a full Inquisitor or something. Well, good for her, yay. ...Ooh, in addition to her cat, she's got a {ruby:wanyan:meowoof} now too."" ","""Gertrude-san has been promoted to a full Inquisitor or something. Well, good for her, yay. ......Ooh, in addition to her cat, she now has a meowoof too.""",「ガートルードさんは異端審問官に昇進したとか。そりゃーオメデトウゴザイマス、ぱちぱち。……へー、最近、猫に続いて、わにゃんを飼い始めたとか。」,「ガートルードさんは異端審問官に昇進したとか。そりゃーオメデトウゴザイマス、ぱちぱち。……へー、最近、猫に続いて、わにゃんを飼い始めたとか」,"""Гертруду повысили до полноценного инквизитора. Ну, поздравляю, ура. ......О‐о, кстати, у её кошки теперь тоже есть мяугав.""","""A Gertrude‐san parece ter sido promovida para uma Inquisidora integral ou algo assim. Creio que seja algo bom, palmas pra ela. ......Ooh, e sobre seu gato, parece que ela tem um miauauau agora.""",[=UP],「格德魯特小姐似乎晉升為異端審問官了。這可真是恭喜恭喜，啪唧啪唧。……哦？最近，繼貓之後，又開始養了汪喵。」,「格德鲁特小姐似乎晋升为异端审问官了。这可真是恭喜恭喜，啪唧啪唧。……哦？最近，继猫之后，又开始养了汪喵。」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""............What's a meowoof...?""","""......What's a meowoof...?"" ",[=UP],「…………わにゃんって何…？」,[=JP],"""............Какой мяугав?..""","""............O que é um miauauau...?""",[=UP],「…………汪喵是什麼…？」,「…………汪喵是什么…？」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""What, you don't know?! You're so out of touch! They've been all the rage lately! Even I got a female meowoof a few days back. They make awesome konpeitou too!""","""What, you don't know?! You're so out of touch! They've been all the rage lately! Even I got a female meowoof a few days back. You can make awesome konpeitou with them too!"" ",[=UP],「えー、ベルン知らないの？！　遅れてるぅ〜！　最近、ブームじゃないっ！　最近、私もメスのわにゃんを飼い出したのよ。金平糖も美味しく作れて最高よ？！」,[=JP],"""Что, ты не знаешь?! Ты так отстала от жизни! Они сейчас последний писк моды! Даже мне пару дней назад пришёл женский мяугав. Они ещё и делают прекрасные компейто!""","""Pera, você não sabe?! Que desatualizada! Estão súper na moda recentemente! Até eu estou criando uma miauauau, sabia? Eles também fazem konpeitous incríveis!""",[=UP],「誒，貝倫不知道嗎？！太落伍了～！最近，超流行的！我最近也養了母的汪喵喲。還能做成好吃的金平糖可棒了呢？！」,「诶，贝伦不知道吗？！太落伍了～！最近，超流行的！我最近也养了母的汪喵哟。还能做成好吃的金平糖可棒了呢？！」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""......I'm totally lost, but I'll make sure I stay far away from your homemade food in the future...""","""...I'm totally lost, but I'll make sure I stay far away from your homemade food in the future..."" ",[=UP],「……よくわかんないけど、今度からあんたの手作り菓子を食べるのは遠慮するようにするわ…。」,「……よくわかんないけど、今度からあんたの手作り菓子を食べるのは遠慮するようにするわ…」,"""......Ничего не поняла, но в будущем буду держаться подальше от твоей стряпни...""","""......Não sei se entendi direito, mas irei evitar suas comidas caseiras no futuro...""",[=UP],「……雖然不太清楚，不過下次我就不吃你親手做的甜食了……」,「……虽然不太清楚，不过下次我就不吃你亲手做的甜食了……」,[=UP],[=UP],[=UP]
Furudo Erika,"""Cornelia‐san is.........oooh. She learned that being good at martial arts gives you an edge in the Inquisitor exams, so she's started combat training. Pretty hard to imagine her doing that, right?""","""Cornelia-san is......oooh. During an inquisitor exam, she found that she's really good at fighting, so she's started combat training. Pretty hard to imagine her doing that, right?"" ","""Cornelia-san is.........oooh. During an inquisitor exam, she found that she's really good at fighting, so she's started combat training. Pretty hard to imagine her doing that, right?""",「コーネリアさんは、………へー。審問官選考に格闘技段位が有利と知って、最近は格闘技を始めたとかっ。全然、想像がつきませんねー。」,「コーネリアさんは、………へー。審問官選考に格闘技段位が有利と知って、最近は格闘技を始めたとかっ。全然、想像がつきませんねー」,"""Корнелия......... о‐о‐о. Во время экзамена на инквизитора она поняла, что очень хороша в сражениях, и начала боевую подготовку. Трудно представить, правда?""","""A Cornelia‐san está.........oooh. Ela aprendeu que ser boa em artes marciais faz com que você avance nos exames de Inquisidor, por isso começo a treinar também. Difícil imaginar ela fazendo isso, não?""",[=UP],「柯內莉亞小姐是，………嘿。得知格闘技的段位對審問官選拔考試很有利，最近開始練習格闘技了。完全想像不出來呢。」,「柯内莉亚小姐是，………嘿。得知格斗技的段位对审问官选拔考试很有利，最近开始练习格斗技了。完全想象不出来呢。」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""Well, there's all kinds of combat training. What's she doing?""","""Well, there's all kinds of combat training. What's she doing?"" ",[=UP],「格闘技ったって色々あるわよ。何、始めたの？」,[=JP],"""Ну, есть много видов боевой подготовки. Чем она занимается?""","""Bem, existem todo tipo de treinamento de combate. O que ela está fazendo?""",[=UP],「格闘技有好多種啊。開始練什麼了？」,「格斗技有好多种啊。开始练什么了？」,[=UP],[=UP],[=UP]
Furudo Erika,"""Looks like kickboxing and Chinese Kenpo. Could that be Eva's influence?""","""Looks like kickboxing and Chinese Kenpo. Could that be Eva's influence?"" ",[=UP],「キックボクシングに中国拳法だとか。絵羽の影響ですかね？」,[=JP],"""Кикбоксингом и китайским кэмпо. Неужели влияние Евы?""","""Parece ser kickboxing e kenpou chinês. Será que é influência da Eva?""",[=UP],「踢拳還有中國拳法。是受繪羽的影響嗎？」,「踢拳还有中国拳法。是受绘羽的影响吗？」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},""".........Doesn't she look like she'd fight pretty good standing on one leg?""","""......I'll bet she'd fight pretty good standing on one leg."" ",[=UP],「………片足で立って戦いそうなイメージない？」,[=JP],""".........Наверное, она бы отлично боролась, стоя на одной ноге.""",""".........Ela não me pareceu muito boa em lutar com apenas uma perna.""",[=UP],「………感覺都像是會單腳站著戰鬥？」,「………感觉都像是会单脚站着战斗？」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""Good point. A certain someone must've toughened her up by making her stand on one leg all the time.""","""Good point. After all, she's been trained pretty well by a certain someone already."" ",[=UP],「そうよねぇ。誰かさんが、片足立ちをずいぶん鍛えたもんねぇ。」,「そうよねぇ。誰かさんが、片足立ちをずいぶん鍛えたもんねぇ」,"""Точно подмечено. Кое‐кто явно ужесточил её, заставив столько времени простоять на одной ноге.""","""Bom ponto. Uma certa pessoa deve ter fortalecido ela fazendo‐a ficar o tempo todo em uma perna.""",[=UP],「是呢。畢竟是被某人好好鍛鍊過單腳站立嘛。」,「是呢。毕竟是被某人好好锻炼过单脚站立嘛。」,[=UP],[=UP],[=UP]
Furudo Erika,"""It also talks about Will‐san. Ah, that's a surprise! Looks like Will‐san hit it big on the foreign exchange, and he's now living a life of leisure on the income from his real estate investments...! Sounds like he's started playing badminton lately too.""","""It also mentions Will-san. Ah, there's a surprise! Looks like Will-san hit it big on the foreign exchange market, and he's now living a life of leisure on the income from his real estate investments...! Sounds like he's started playing badminton lately too."" ","""It also talks about Will-san. Ah, that's a surprise! Looks like Will-san hit it big on the foreign exchange, and he's now living a life of leisure on the income from his real estate investments...! Sounds like he's started playing badminton lately too.""",「ウィルさんの近況も書いてありますよ。えー、意外ー！ウィルさん、ＦＸで一山当てたらしくて、それで不動産買って、今は不動産収入で悠々自適だとか…！最近はバドミントンやってるんですってー。」,「ウィルさんの近況も書いてありますよ。えー、意外ー！　ウィルさん、ＦＸで一山当てたらしくて、それで不動産買って、今は不動産収入で悠々自適だとか…！　最近はバドミントンやってるんですってー」,"""Здесь говорится и о Уилле. А, вот так сюрприз! Уилл разбогател на иностранной валюте и теперь живёт без забот на доходы от своих вкладов в недвижимость!.. В последнее время он ещё начал играть в бадминтон.""","""Também menciona o Will‐san. Ora, que surpresa! Parece que o Will‐san acertou em cheio na {f:5:FOREX} e agora está vivendo uma vida tranquila com os rendimentos dos seus investimentos imobiliários...! Parece que ele também começou a jogar badminton.""",[=UP],「還有威爾先生的近況呢。誒，真意外！威爾先生好像炒外匯大賺了一筆，用這筆錢買了不動產，現在就靠不動產收入悠閑自得中…！還說最近開始打羽毛球了。」,「还有威尔先生的近况呢。诶，真意外！威尔先生好像炒外汇大赚了一笔，用这笔钱买了不动产，现在就靠不动产收入悠闲自得中…！还说最近开始打羽毛球了。」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""......I'll bet he has a hellish coach.""","""...I'll bet he has a hellish coach."" ",[=UP],「……コーチが厳しそうね。」,「……コーチが厳しそうね」,"""......Сдаётся мне, у него адский тренер.""","""......Aposto que o treinador é bem rigoroso.""",[=UP],「……教練會很嚴厲呢。」,「……教练会很严厉呢。」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""His butt's probably swollen by now.""","""His butt's probably swollen by now."" ",[=UP],「きっとおしりが腫れ上がってるわよ。」,「きっとおしりが腫れ上がってるわよ」,"""Его зад, наверное, уже опух.""","""Certo que já deve estar com a bunda inchada.""",[=UP],「肯定屁股都腫起來了。」,「肯定屁股都肿起来了。」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""So, what about Dlanor?""","""So, what about Dlanor?"" ",[=UP],「で、ドラノールは？」,[=JP],"""А Дланор?""","""E quanto a Dlanor?""",[=UP],「那，德拉諾爾呢？」,「那，德拉诺尔呢？」,[=UP],[=UP],[=UP]
