Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT)
,"Krauss and Rudolf's group was in the hall, talking about what should be done next... ","Krauss and Rudolf were in the hall, talking about what should be done next..."," Krauss and Rudolf were in the hall, talking about what should be done next...",蔵臼と留弗夫たちは、ホールで今後をどうするか話し合っている…。,[=JP],Краусс и Рудольф в холле обсуждали дальнейшие действия...,"Krauss e Rudolf estavam no hall, conversando sobre o que deveriam fazer a seguir...",藏臼與留弗夫他們，在門廳商量今後要怎麼辦…。,藏臼与留弗夫他们，在门厅商量今后要怎么办…。,"Krauss e Rudolf erano nel salone, parlando di cosa avrebbero dovuto fare successivamente...",[=UP]
,"During a short gap in this chaos, ......Erika dashed all about the mansion. ","During a short gap in this chaos, .........Erika dashed all about the mansion."," During a short gap in this chaos, .........Erika dashed all about the mansion.",その混乱の一瞬の空白をついて、………ヱリカは屋敷中を駆け回っていた。,[=JP],За короткий промежуток в этом хаосе...... Эрика пробежала по всему особняку.,"Durante um curto instante em meio ao caos, .........Erika correu por toda a mansão.",抓住這混亂中一瞬的空檔，………繪梨花在大屋中跑到東跑到西。,抓住这混乱中一瞬的空档，………绘梨花在大屋中跑到东跑到西。,Durante un piccolo momento nel caos... Erika sfrecciò per tutta la villa.,[=UP]
,She was checking the crime scenes. ,She was checking the crime scenes., She was checking the crime scenes.,殺人現場を確認するためである。,[=JP],Проверяла места преступлений.,Ela estava conferindo as cenas dos crimes.,這是為了，檢視殺人現場。,这是为了，检视杀人现场。,Stava controllando le scene del crimine.,[=UP]
,"Normally, with the detective's authority, Erika had the right to openly investigate the crime scenes to her heart's content. ","Normally, with the detective's authority, Erika had the right to openly investigate the crime scenes to her heart's content."," Normally, with the detective's authority, Erika had the right to openly investigate the crime scenes to her heart's content.",本来ならば、探偵権限を持つヱリカは、堂々と心行くまで現場を検証する権利を持つ。,[=JP],Обычно с полномочием детектива Эрика имела право открыто исследовать места преступлений до полного удовлетворения.,"Normalmente, com sua autoridade do detetive, Erika teria o direito de investigar abertamente as cenas dos crimes o quanto quisesse.",本來的話，擁有偵探權限的繪梨花，有權光明正大盡情地勘察現場。,本来的话，拥有侦探权限的绘梨花，有权光明正大尽情地勘察现场。,"Normalmente, grazie all'autorità del detective, Erika avrebbe avuto il diritto di investigare apertamente le scene del crimine fin quanto voleva.",[=UP]
,"However, this time, she hadn't yet made use of that authority. ...She was a guest and an outsider, so there was little to no chance that she would be allowed to investigate. ","However, this time, she hadn't yet invoked that authority. ......Because of that, and with her being a guest and an outsider, there was little to no chance that she would be allowed to investigate."," However, this time, she hadn't yet made use of that authority. ......Because of that, and with her being a guest and an outsider, there was little to no chance that she would be allowed to investigate.",しかし今回は、その探偵権限をまだ行使していない。……その為、客人という名の部外者に、殺人現場の検証が許されるわけがないのだ。,[=JP],"Но в этот раз она ещё не ввела это полномочие. ......Из‐за этого, а также из‐за её положения гостьи и посторонней ей вряд ли позволят вести расследование.","Entretanto, desta vez, ela ainda não havia invocado sua autoridade. ......Por causa disso, e por sua existência ser a de uma convidada e também uma intrusa, praticamente não haviam oportunidades que a permitissem investigar as coisas.",不過本次，她尚未行使這個偵探權限。……因此，叫做客人的外人，不可能被允許勘察殺人現場。,不过本次，她尚未行使这个侦探权限。……因此，叫做客人的外人，不可能被允许勘察杀人现场。,"Tuttavia, stavolta, non aveva ancora sfruttato quell'autorità. ... A causa di ciò, e anche perché si trattava di un'ospite e di un'estranea, c'erano scarse possibilità che le fosse permesso di investigare.",[=UP]
,"So, she was forced to quickly check all of the crime scenes now, while she could still run about as she pleased. ","So, she was forced to quickly check all of the crime scenes now, while she could still run about as she pleased."," So, she was forced to quickly check all of the crime scenes now, while she could still run about as she pleased.",だから、自由に動き回れる今の内に、大急ぎで全ての現場を確認しなければならない。,[=JP],"Поэтому ей пришлось быстро проверить все места преступлений сейчас, пока она ещё могла бегать где вздумается.","Por isso, ela se forçou a verificar todas as cenas dos crimes agora, enquanto ainda podia correr pelo local o quanto quisesse.",所以，自由行動僅限此刻，必須十萬火急地去檢視所有的現場。,所以，自由行动仅限此刻，必须十万火急地去检视所有的现场。,"Perciò, era costretta a controllare velocemente ora tutte le scene del crimine, mentre poteva ancora scorrazzare come le pareva.",[=UP]
,"In the servant room, there had been a clear folder containing a sketch of the mansion's interior. ","In the servant room, there had been a clear folder containing a plan of the mansion's interior."," In the servant room, there had been a clear folder containing a sketch of the mansion's interior.",使用人室に、クリアフォルダに入った屋敷内の見取り図があった。,[=JP],В комнате слуг была прозрачная папка с макетом особняка.,Na sala dos serviçais havia uma pasta transparente que continha uma planta do interior da mansão.,在傭人室的透明文件夾裡，裝著大屋內部的示意圖。,在佣人室的透明文件夹里，装着大屋内部的示意图。,"Nella camera dei domestici, c'era una cartella trasparente che conteneva un abbozzo dell'interno della villa.",[=UP]
,"Because she had borrowed that, she knew the locations of all the rooms... ","Because she had borrowed that, she knew the location of every room in the mansion..."," Because she had borrowed that, she knew the location of all rooms in the mansion...",それを拝借した為、全ての部屋の場所はわかっている…。,[=JP],"Позаимствовав её, она узнала расположение всех комнат в особняке...","Por ter pegado a planta emprestada, ela sabia a localização de cada quarto da mansão...",由於將此借來一用，所以她清楚所有房間的位置…。,由于将此借来一用，所以她清楚所有房间的位置…。,"Poiché se l'era presa con sé, era a conoscenza dell'ubicazione di tutte le stanze nella residenza...",[=UP]
,"Erika skillfully made her way through the mansion, dashing into each crime scene in turn... ","Erika efficiently made her way through the mansion, dashing into each crime scene in turn..."," Erika skillfully made her way through the mansion, dashing into each crime scene in turn...",ヱリカは手際よく屋敷内を回り、次々に犯行現場に飛び込んでいく…。,[=JP],"Эрика умело кралась по особняку, по очереди обегая места преступлений...","Erika eficientemente foi percorrendo a mansão, correndo diretamente para cada uma das cenas dos crimes...",繪梨花駕輕就熟地在大屋裡繞來繞去，跑進一個又一個犯案現場…。,绘梨花驾轻就熟地在大屋里绕来绕去，跑进一个又一个犯案现场…。,"Erika si fece strada nella residenza con abilità, correndo a turno verso ogni scena del crimine...",[=UP]
Dlanor,"""Lady {f:5:Erika}, ...I believe you know, but allow me to warn you just in {f:5:case}."" ","""Lady {f:5:Erika}, ......I believe you know, but allow me to warn you just in {f:5:case}.""","""Lady Erika, ......I believe you know, but allow me to warn you just in CASE.""",「ヱリカ卿、……ご存知とは思いますが、念の為、ご忠告をいたしマス。」,「ヱリカ卿、……ご存知とは思いますが、念の為、ご忠告をいたしマス」,"""Леди {f:5:Эрика}...... думаю, вы знаете, но позвольте на всякий {f:5:случай} предупредить вас.""","""Lady {f:5:Erika}, ......eu acredito que esteja ciente, mas permita‐me alertá‐la, apenas por {f:5:precaução}.""",「艾莉卡卿，……雖然我想您是知道的，但小心為上，還是忠告您一下。」,「艾莉卡卿，……虽然我想您是知道的，但小心为上，还是忠告您一下。」,"""Lady Erika... ritengo che lei lo sappia, ma mi permetta di avvertirla COMUNQUE.""",[=UP]
Furudo Erika,"""Yes? What is it?"" ","""Yes? What is it?""",[=UP],「はい？　何です？」,[=JP],"""Да? В чём дело?""","""Sim? O que seria?""",「嗯？什麼事？」,「嗯？什么事？」,"""Sì? Cosa c'è?""",[=UP]
Dlanor,"""It is true that you have an incredible photographic {f:5:memory}, Lady {f:5:Erika}. ...That, combined with the detective proclamation, is what made it possible for you to avoid being deceived by {f:5:anything}."" ","""It is true that you have an incredible photographic {f:5:memory}. ......When you combine that with the detective's proclamation, it becomes impossible for you to be fooled by {f:5:anything}.""","""It is true that you have an incredible photographic memory, Lady Erika. ......By combining that with the detective's proclamation, it is impossible for you to be fooled by ANYTHING.""",「ヱリカ卿は、確かに写真並みの驚くべき記憶力をお持ちデス。……それは探偵権限と組み合わさることで、何物にも欺かれぬものと成り得マシタ。」,「ヱリカ卿は、確かに写真並みの驚くべき記憶力をお持ちデス。……それは探偵権限と組み合わさることで、何物にも欺かれぬものと成り得マシタ」,"""У вас действительно невероятная фотографическая {f:5:память}, леди {f:5:Эрика}. ......Если объединить её с полномочием детектива, вас невозможно одурачить.""","""É verdade que você possui uma incrível memória {f:5:fotográfica}. ......Quando combina isso com a sua proclamação do detetive, se torna impossível que alguma coisa a {f:5:engane}.""",「艾莉卡卿，您的確是擁有著相當於照片的驚人的記憶力。……它通過與偵探權限相結合，成為了不會被任何東西所欺的能力。」,「艾莉卡卿，您的确是拥有着相当于照片的惊人的记忆力。……它通过与侦探权限相结合，成为了不会被任何东西所欺的能力。」,"""È vero che possiede un'incredibile memoria fotografica, Lady Erika. ... Combinando ciò con la proclamazione del detective, è impossibile che qualcosa la tragga in INGANNO.""",[=UP]
Furudo Erika,"""Yeah, I get it. ...Since no detective proclamation has been made about me, even my photographic memory doesn't count as foolproof evidence. Of course, I understand that. ...Still, that doesn't mean I can afford to miss viewing the crime scenes directly."" ","""Oh, I know what you're going to say. ......Since I haven't made the detective proclamation, even my photographic memory could potentially be fooled. Of course, I understand that. ......Still, that doesn't mean I can afford to go without viewing the crime scenes directly.""","""Yeah, I get it. ......Since no detective proclamation has been made about me, even my photographic memory doesn't count as foolproof evidence. Of course, I understand that. ......Still, that doesn't mean I can afford to miss viewing the crime scenes directly.""",「あぁ、わかってます。……探偵宣言をしていない私は、写真並みの記憶力を持っていても、欺かれない保証はないってわけですね。もちろん、理解していますとも。……かといって、現場を直接視認しないわけには行きませんから。」,「あぁ、わかってます。……探偵宣言をしていない私は、写真並みの記憶力を持っていても、欺かれない保証はないってわけですね。もちろん、理解していますとも。……かといって、現場を直接視認しないわけには行きませんから」,"""Да, знаю. ......Пока я не провозглашена детективом, даже моя фотографическая память не считается надёжным доказательством. Разумеется, я понимаю. ......И всё же, это не значит, что можно не осматривать места преступлений напрямую.""","""Ah, já sei onde quer chegar. ......Já que eu não fiz uma proclamação do detetive, até mesmo minha memória fotográfica poderia ser potencialmente enganada. É claro, eu entendo. ......Ainda assim, isso não significa que eu não possa ir analisar as cenas dos crimes diretamente.""",「啊，明白。……沒進行偵探宣言的我，縱然擁有相當於照片的記憶力，也沒法打保票說不會受騙。我當然有理解這一點。……不過話雖如此，我可不能不去直接視察現場。」,「啊，明白。……没进行侦探宣言的我，纵然拥有相当于照片的记忆力，也没法打保票说不会受骗。我当然有理解这一点。……不过话虽如此，我可不能不去直接视察现场。」,"""Sì, ho capito. ... Poiché non ho fatto nessuna proclamazione del detective, persino la mia memoria fotografica non può contare come prova infallibile. Ovviamente, comprendo appieno. ... Però, ciò non significa che mi possa permettere di evitare l'osservazione delle scene del crimine in modo diretto.""",[=UP]
Furudo Erika,"""...After all, in the last game, my pride in that regard led me to a truly miserable failure."" ","""......After all, in the last game, my pride in that regard led me to commit a truly agonizing blunder.""","""......After all, in the last game, my pride in that regard led me to a truly miserable failure.""",「……前回のゲームでは、そこに慢心し、悔やみ切れぬ失態を犯しましたから。」,「……前回のゲームでは、そこに慢心し、悔やみ切れぬ失態を犯しましたから」,"""......В конце концов, в прошлой игре моя заносчивость в этом деле привела к поистине досадной ошибке.""","""......Afinal, no último jogo, meu orgulho disso acabou me levando a cometer um erro verdadeiramente agoniante.""",「……畢竟，在上盤遊戲中，我就是在這事上麻痹大意，才犯下了悔都悔不盡的失態。」,「……毕竟，在上盘游戏中，我就是在这事上麻痹大意，才犯下了悔都悔不尽的失态。」,"""... Dopotutto, nel gioco precedente, il mio orgoglio riguardo ciò mi ha portato ad un fallimento davvero patetico.""",[=UP]
Dlanor,"""For example, by this argument, no matter how well you examine a person's corpse, you could not even guarantee that they were not faking their death with absolute {f:5:certainty}. Most probably, features of this situation must be individually confirmed by telling Battler to repeat them in {f:5:red}."" ","""To take an extreme case, no matter how well you examine a person's corpse right now, the possibility will always remain that they were faking their {f:5:death}. It will probably be necessary to give Battler repetition requests to confirm the details of each situation {f:5:individually}.""","""For example, by this argument, no matter how well you examine a person's corpse, you could not even guarantee that they were not faking their death with absolute CERTAINTY. Most probably, features of this situation must be individually confirmed by telling Battler to repeat them in red.""",「極論、今のヱリカ卿は、どれほど検死をしようとも、死んだフリを見破れない可能性が常に残るということです。全ての状況を個別に確定させるためにも、戦人に復唱要求をする必要があるでしょう。」,「極論、今のヱリカ卿は、どれほど検死をしようとも、死んだフリを見破れない可能性が常に残るということです。全ての状況を個別に確定させるためにも、戦人に復唱要求をする必要があるでしょう」,"""К примеру, как бы вы ни осматривали труп человека, вы даже не можете с абсолютной точностью гарантировать, что он не подделал свою {f:5:смерть}. Видимо, придётся просить Баттлера повторить красным {f:5:особенности} ситуации.""","""Considerando um caso extremo, não importa o quanto você examine o cadáver de uma pessoa agora, sempre vai existir a possibilidade de que estavam fingindo suas {f:5:mortes}. Provavelmente será necessário fazer um pedido de repetição requisitada ao Battler para confirmar os detalhes de cada ocorrência {f:5:individualmente}.""",「極端地講，不論現在的艾莉卡卿驗多少次屍，都是永遠存在著未能識破裝死的可能性。要個別確定所有的狀況，也必須依靠對戰人的複述要求吧？」,「极端地讲，不论现在的艾莉卡卿验多少次尸，都是永远存在着未能识破装死的可能性。要个别确定所有的状况，也必须依靠对战人的复述要求吧？」,"""Per esempio, a causa di ciò, per quanto esamini bene il cadavere di una persona, non può nemmeno garantire con assoluta certezza che non stava fingendo di essere MORTA. Molto probabilmente, i particolari di questa situazione dovranno essere confermati individualmente chiedendo a Battler di ripeterli in rosso.""",[=UP]
Furudo Erika,"""And I'll need to use the blue truth liberally in order to make him. ...I understand. Let's start with the basics. ...The lack of the detective's authority is no handicap. It simply means that I'm fighting under the same conditions Battler once was."" ","""And I'll need to use the blue truth liberally in order to draw those out of him. ......I know that. Let's start with the basics. ......The lack of the detective's authority is no handicap. It simply means that I'm fighting under the same conditions Battler once was.""","""And I'll need to use the blue truth liberally in order to make him. ......I understand. Let's start with the basics. ......The lack of the detective's authority is no handicap. It simply means that I'm fighting under the same conditions Battler once was.""",「それを引き出すために、青き真実を駆使しなくてはなりませんね。……わかってます。基礎を充分に、基本から攻めましょう。……探偵権限などなくてもハンデにはなりません。かつての戦人と同じ条件で戦っているだけなんですからっ。」,「それを引き出すために、青き真実を駆使しなくてはなりませんね。……わかってます。基礎を充分に、基本から攻めましょう。……探偵権限などなくてもハンデにはなりません。かつての戦人と同じ条件で戦っているだけなんですからっ」,"""А чтобы заставить его, мне нужно будет не скупясь использовать синюю правду. ......Знаю. Начнём с основ. ......Отсутствие полномочия детектива не помеха. Это всего лишь означает, что я борюсь в тех же условиях, что и Баттлер когда‐то.""","""E vou precisar usar a verdade azul de forma liberal para conseguir tirar isso dele. ......Eu sei disso. Vamos começar com o básico. ......A falta da autoridade do detetive não é uma colher de chá. Simplesmente significa que eu estou lutando sob as mesmas condições que o Battler lutou no passado.""",「而要誘他爆料，乃是必須去運用藍色真實。……明白。奠定足夠的基礎，從基本來進攻吧。……哪怕沒有偵探權限什麼的玩意，也是算不上障礙的。畢竟，也就僅僅是在以跟往昔戰人相同的條件地戰罷了。」,「而要诱他爆料，乃是必须去运用蓝色真实。……明白。奠定足够的基础，从基本来进攻吧。……哪怕没有侦探权限什么的玩意，也是算不上障碍的。毕竟，也就仅仅是在以跟往昔战人相同的条件地战罢了。」,"""Ed io dovrò generosamente usare la verità blu per fare in modo che li ripeta. ... Capisco. Iniziamo dalle basi. ... Il non possedere l'autorità del detective non è assolutamente uno svantaggio. Significa semplicemente che sto combattendo nelle stesse condizioni in cui si trovava Battler una volta.""",[=UP]
,Yes. This fight...is retracing the old days when Battler and Beato fought so fiercely. ,Yes. This fight......is retracing the old days when Battler and Beato fought so fiercely.,[=UP],そう。この戦いは、……かつて、ベアトと戦人が激しく戦った日々を、再びなぞっているのだ。,[=JP],Да. Эта битва...... напоминание былых времён яростного сражения Беато и Баттлера.,"Sim. Esta luta......está retraçando os velhos tempos, quando Battler e Beato lutavam ferozmente.",對。這一戰乃是在重新依循，……往昔，貝阿朵與戰人激烈論戰的那段日子。,对。这一战乃是在重新依循，……往昔，贝阿朵与战人激烈论战的那段日子。,Già. Questo combattimento... sta ripercorrendo i lontani giorni in cui Battler e Beato lottavano fieramente.,[=UP]
,I have nothing as convenient as the detective's authority. ,I have no conveniences such as the detective's authority., I have no conveniences such as the detective's authority.,探偵権限などという便利なものはない。,[=JP],У меня нет привилегий вроде полномочия детектива.,Eu não tenho nenhuma conveniência parecida com a autoridade do detetive.,沒有偵探權限什麼的方便的玩意。,没有侦探权限什么的方便的玩意。,"Non ho alcun vantaggio, come l'autorità del detective.",[=UP]
,...I just have to truly fight the same way the old Battler fought. ,......I truly do just have to fight the same way the old Battler fought.,......I just have to truly fight the same way the old Battler fought.,……本当に、かつての日々の戦人と同じ戦い方をしなければならないだけなのだ。,[=JP],"......Мне просто нужно бороться так же, как боролся прежний Баттлер.",......Eu tenho unicamente que lutar da mesma maneira que o velho Battler lutaria.,……真的只是，必須採取與昔日戰人相同的戰鬥方式罷了。,……真的只是，必须采取与昔日战人相同的战斗方式罢了。,... Devo solo combattere proprio nello stesso modo in cui lo faceva Battler.,[=UP]
,"Thinking of it this way, it may be true that I was given quite a favorable, unfair position last game, just as my master has said... ","Thinking of it this way, it may be true that I was in a very blessed, unfair position last game, just as my master said..."," Thinking of it this way, it may be true that I was in a very blessed, unfair position last game, just as my master has said...",その意味においては、我が主の言うように、確かに前回の自分はかなり恵まれた、アンフェアな立場だったかもしれない…。,[=JP],"Если так подумать, я и вправду в прошлой игре была в очень счастливом, несправедливом положении, как и сказала госпожа...","Pensando dessa forma, pode até ser verdade que eu estava em uma posição muito abençoada e injusta no último jogo, assim como a minha mentora disse...",從這意義上講，一如我主所言，上次的自己確實是受到了相當大的眷顧，站在了不公平的立場上也說不定…。,从这意义上讲，一如我主所言，上次的自己确实是受到了相当大的眷顾，站在了不公平的立场上也说不定…。,"Pensandola in questo modo, potrebbe essere vero che mi trovassi in una posizione fortunata e ingiusta nel gioco precedente, come ha detto la mia padrona...",[=UP]
,"It may be difficult without the detective's authority, which is also my pride and honor as a detective. ","It may be difficult without the detective's authority, which also holds my honor as a detective."," It may be difficult without the detective's authority, which also holds my honor as a detective.",確かに、探偵としての名誉でもある、探偵権限がないのは辛い。,[=JP],"Без полномочия детектива, также дарующего мне честь детектива, может быть непросто.","Pode ser mais difícil sem a autoridade do detetive, que também implica na minha honra como detetive.",的確，沒有同時還作為偵探的榮譽的偵探權限，很不好辦。,的确，没有同时还作为侦探的荣誉的侦探权限，很不好办。,"Potrebbe essere difficile senza l'autorità del detective, che detiene anche il mio onore come detective.",[=UP]
,But I won't let that be a handicap. ,But I won't let that be a handicap., But I won't let that be a handicap.,しかしそれしき、ハンデになってたまるものか。,[=JP],Но я не дам этому помешать мне.,Mas não deixarei que isso seja uma colher de chá.,但是，哪能讓這點小事，就成為障礙。,但是，哪能让这点小事，就成为障碍。,Ma non permetterò che questo sia uno svantaggio.,[=UP]
,"I know what magic is, and I'm fully aware of how to fight with the red and blue truths. ","I know what magic is, and I'm fully aware of how to fight with the red and blue truths."," I know what magic is, and I'm fully aware of how to fight with the red and blue truths.",私は魔法の何たるかを理解し、赤と青の真実でどう戦えばいいかを熟知している。,[=JP],"Я знаю, что такое магия, и полностью осознаю, как бороться синей и красной правдой.","Eu sei o que é a magia, eu estou totalmente ciente de como lutar com as verdades vermelha e azul.",我明白魔法是什麼東西，熟知該怎麼用紅與藍的真實進行論戰。,我明白魔法是什么东西，熟知该怎么用红与蓝的真实进行论战。,"So cosa è la magia, e so perfettamente come combattere con le verità blu e rosse.",[=UP]
,I know the way to fight in this game many times better than the old Battler did... ,I know the way to fight in this game many times better than the old Battler did......, I know the way to fight in this game many times better than the old Battler did......,かつての戦人よりも何倍も、戦い方というものを心得ているのだ……。,[=JP],"Я знаю, как сражаться в этой игре, гораздо лучше прежнего Баттлера......",Eu conheço muito melhor do que o velho Battler a forma correta de se lutar este jogo......,我比往昔的戰人懂好幾倍，該怎麼戰……。,我比往昔的战人懂好几倍，该怎么战……。,Conosco il modo di combattere in questo gioco diverse volte meglio del vecchio Battler...,[=UP]
,"I quickly visited the VIP room, Krauss's study, and Natsuhi's room on the second floor, as well as the parlor and the guest room on the first floor, this time checking with my own eyes, as I had failed to do in the last game... ","I quickly visited the VIP room, Krauss's study, and Natsuhi's room on the second floor, as well as the parlor and the guest room on the first floor, this time checking with my own eyes, as I had neglected to do in the last game..."," I quickly visited the VIP room, Krauss's study, and Natsuhi's room on the second floor, as well as the parlor and the guest room on the first floor, this time checking with my own eyes, as I had failed to do in the last game...",私は、２階の貴賓室、蔵臼の書斎、夏妃の自室、そして１階の客室、客間の全ての現場を足早に訪れ、前回、疎かにした自らの目での確認を終える…。,[=JP],"Я быстро посетила почётную комнату, кабинет Краусса и комнату Нацухи на втором этаже, а также гостиную и гостевую комнату на первом этаже, в этот раз проверяя всё своими глазами, чего я не сделала в прошлой игре...","Eu rapidamente visitei o quarto VIP, o escritório de Krauss, e o quarto de Natsuhi no segundo andar, assim como a sala de visitas e o quarto de hóspedes do primeiro andar, desta vez conferindo tudo com os meus próprios olhos, já que no jogo anterior eu acabei sendo negligente sobre isso...",我迅速地走遍 2 樓的貴賓室、藏臼的書房、夏妃自己的房間，以及 1 樓客房、客廳，所有的現場，以上次疏於使用的自己的眼睛，完成了查看…。,我迅速地走遍 2 楼的贵宾室、藏臼的书房、夏妃自己的房间，以及 1 楼客房、客厅，所有的现场，以上次疏于使用的自己的眼睛，完成了查看…。,"Visitai in fretta la stanza degli ospiti di riguardo, lo studio di Krauss e la camera di Natsuhi al primo piano, così come il salotto e la stanza degli ospiti al piano terra, stavolta controllando con i miei occhi, poiché non l'avevo fatto nel gioco precedente...",[=UP]
,"First off, all of the scenes were made to look like closed rooms. ","First off, all of the scenes were made to look like locked rooms."," First off, all of the scenes were made to look like closed rooms.",まず、全ての現場は密室が主張されていた。,[=JP],"Во‐первых, все места сделаны похожими на закрытые комнаты.","Primeiro de tudo, todas as cenas foram feitas para se parecerem com quartos fechados.",首先，所有現場都被主張為密室。,首先，所有现场都被主张为密室。,"Innanzitutto, ogni scena è stata preparata in modo che sembri una camera chiusa.",[=UP]
,Probably of special note was the fact that the master keys could have had nothing to do with the trick. ,Probably of special note is the fact that the master keys have no relation to the tricks this time., Probably of special note was the fact that the master keys had no relation to the tricks this time.,特筆すべきは、マスターキーがトリックにまったく関与しない点だろう。,[=JP],"Особенно следует отметить то, что на этот раз универсальные ключи никак не связаны с хитростями.",O que se vale mencionar é o fato de que as chaves mestras não possuem nenhuma relação com os truques de agora.,當特別一提的是，總鑰匙完全與詭計無關的這一點吧？,当特别一提的是，总钥匙完全与诡计无关的这一点吧？,Forse è da notare che questa volta i passepartout non siano collegati agli inganni.,[=UP]
,The closed rooms were all made without relying on any elements that could be locked or unlocked from the outside by a master key or something else. ,The locked rooms were all constructed......without relying on any elements that could be locked or unlocked from the outside by a master key or something else., The closed rooms were all made without relying on any elements that could be locked or unlocked from the outside by a master key or something else.,室内は全て内側から、マスターキーなどの外部から施錠開錠できる手段と無関係な方法で、密室となっていたのだ。,[=JP],"Все закрытые комнаты созданы без опоры на элементы, которые можно отпереть или запереть извне универсальными ключами и тому подобным.",Os quartos fechados foram todos construídos......sem depender de nenhum elemento que poderia ser trancado ou destrancado por fora com uma chave mestra ou algo parecido.,室內全是從內側，以與總鑰匙等能從外面開鎖上鎖的手段完全無關的方法，構成了密室。,室内全是从内侧，以与总钥匙等能从外面开锁上锁的手段完全无关的方法，构成了密室。,Le camere chiuse sono state preparate senza fare affidamento a nessun elemento che possa essere chiuso a chiave o aperto dall'esterno tramite un passepartout o qualcos'altro.,[=UP]
,"The windows were locked from the inside, and the doors were all locked and chained. ","The windows were locked from the inside, and the doors were all locked and chained."," The windows were locked from the inside, and the doors were all locked and chained.",窓は内側から閉ざされ、扉はいずれも施錠とチェーンロック。,[=JP],"Окна были заперты изнутри, а все двери — заперты и перекрыты цепочками.","As janelas estavam trancadas por dentro, e as portas estavam todas trancadas e com as correntes colocadas.",窗是從內側反鎖的，門也是每一扇都有鎖好，並掛著門鏈。,窗是从内侧反锁的，门也是每一扇都有锁好，并挂着门链。,"Le finestre erano chiuse dall'interno, e le porte erano chiuse a chiave e con le catene.",[=UP]
,"A master key could get around all the locks on the doors, but not the window locks or the chain locks. ","The master key can get around all of the locks on the doors, but the window locks and the chain locks are more trouble than they might appear."," The master key could get around all of the locks on the doors, but not the window locks or the chain locks.",施錠はマスターキーでどうにでもなるが、窓の施錠とチェーンロックが地味に大きい。,[=JP],"Универсальный ключ может обойти замки на дверях, но не цепочки и замки на окнах.","A chave mestra poderia lidar com as trancas das portas, mas as janelas fechadas e as correntes são mais problemáticas do que aparentam ser.",門鎖能用總鑰匙隨便搞定，但窗戶的鎖與鏈條鎖雖不起眼但著實難辦。,门锁能用总钥匙随便搞定，但窗户的锁与链条锁虽不起眼但着实难办。,"Il passepartout poteva aprire qualunque serratura sulle porte, ma non le serrature delle finestre o le serrature a catena.",[=UP]
,"I haven't yet had Battler confirm that it's impossible to manipulate those from the outside, ...but I'm sure he'll be able to say it in red. It'd be stupid otherwise. ","I haven't yet used a repetition request to get confirmation that it's impossible to manipulate them from the outside, ......but I'm sure he'll be able to say it in red. It'd be stupid otherwise."," I haven't yet had Battler confirm that it's impossible to manipulate those from the outside, ......but I'm sure he'll be able to say it in red. It'd be stupid otherwise.",復唱要求で、それらが外部から細工できないことの確認はまだだが、……どーせ、赤で宣言できるだろう。そうじゃなかったら、馬鹿らしい。,[=JP],"Баттлер ещё не подтвердил, что нельзя управлять ими извне...... но, я уверена, он сможет сказать красным. Будет глупо, если не так.","Eu ainda não usei nenhuma repetição requisitada para confirmar se é impossível manipulá‐las por fora, ......mas tenho certeza que ele será capaz de responder isso em vermelho. Caso contrário, seria estúpido demais.",雖然還沒有使用要求複述，確證它們沒有被從外面做過手腳，……但反正，他能用紅字宣言吧？不是這樣，就太傻了。,虽然还没有使用要求复述，确证它们没有被从外面做过手脚，……但反正，他能用红字宣言吧？不是这样，就太傻了。,Non ho ancora fatto confermare a Battler che è impossibile manipolarle dall'esterno... ma sono sicura che sarà capace di ripeterlo in rosso. {n}Altrimenti sarebbe stupido.,[=UP]
Furudo Erika,"""...I understand. Right now, I am a mere Human. ...I can't even properly confirm the death of the corpses."" ","""......I understand. Right now, I am a mere {y:0:Human}{n:0:human}. ......I can't even properly confirm the deaths of the corpses.""","""......I understand. Right now, I am a mere human. ......I can't even properly confirm the death of the corpses.""",「……わかってます。今の私はただのニンゲン。……遺体の死亡確認さえ、満足に出来やしない。」,「……わかってます。今の私はただのニンゲン。……遺体の死亡確認さえ、満足に出来やしない」,"""......Знаю. Сейчас я обычный {y:0:Челове}{n:0:челове}к. ......Я даже не могу надлежащим образом подтвердить смерти трупов.""","""......Eu entendi. Neste momento, eu sou uma mera {y:0:Humana}{n:0:humana}. ......Eu sequer posso confirmar totalmente a morte dos corpos.""",「……明白。現在的我是普通的人類。……就連確證遺體的死亡，都無法做到完美無缺。」,「……明白。现在的我是普通的人类。……就连确证遗体的死亡，都无法做到完美无缺。」,"""... Capisco. Ora, sono una semplice umana. ... Non posso nemmeno confermare la morte dei cadaveri come si deve.""",[=UP]
