Speaker,Steam (ST),Umineko Project (UP),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
,"Her gaze dropped, her shoulders lowered a miniscule amount, and she sighed. ...That was all. ","Her gaze dropped, her shoulders lowered a minuscule amount, and she sighed.{n}...That was all.",目線を落とし、ほんの少し肩を下げてため息をつく。…それだけ。,目線を落とし、ほんの少し肩を下げてため息をつく。{n}…それだけ。,"Взор её упал, плечи опустились, и она вздохнула.{n}...Вот и всё.","Direcionando seu olhar para baixo, seus ombros baixaram milimetricamente, e ela então suspirou.{n}...Isso é tudo.",眼神下移，稍稍垂下肩膀，嘆了一口氣。{n}…僅此而已。,眼神下移，稍稍垂下肩膀，叹了一口气。{n}…仅此而已。,"Il suo sguardo si abbassò, le sue spalle calarono di poco, e lei sospirò. Null'altro."
,"In a normal world, that probably wouldn't even be taken as movement, but in this still world, it looked very out of place. ","In a normal world, that probably wouldn't even count as movement, but in this still world, it looked very out of place.",普通の世界でだったら、動いた内にも入らないだろうそれも、この静寂の世界では大いなる違和感を見せた。,[=JP],"В нормальном же мире это даже не расценили бы как движение, но в этом застывшем мире оно выглядело крайне неуместным.","Em um mundo normal, aquilo provavelmente sequer contaria como um movimento, mas neste mundo, aquilo pareceu algo completamente fora do lugar.",換做是一般的世界的話，這都不能算動吧，但在這寂靜的世界中，這卻展現出了巨大的不協調感。,换做是一般的世界的话，这都不能算动吧，但在这寂静的世界中，这却展现出了巨大的不协调感。,"In un mondo normale, non lo si sarebbe nemmeno considerato un movimento, ma in questo mondo dove tutto era fermo, era saltato subito all'occhio."
,"...Then, something else moved. It was a black cat wandering around the shadows near the taxi rank. ",...Then something else moved.{n}It was a black cat that had been dozing in the shadows near the taxi rank.,…すると、今度は別のものが動く。タクシー乗り場の近くの影でまどろんでいた黒猫だった。,…すると、今度は別のものが動く。{n}タクシー乗り場の近くの影でまどろんでいた黒猫だった。,"...После этого пошевелилось что‐то ещё.{n}Это была чёрная кошка, блуждающая вблизи теней около стоянки такси.",...E mais uma coisa se moveu.{n}Era um gato preto que estava cochilando nas sobras próximas à parada de táxi.,…接著，又有別的東西開始動了。{n}那是一只，在出租車站附近的陰影中打磕睡的黑貓。,…接着，又有别的东西开始动了。{n}那是一只，在出租车站附近的阴影中打磕睡的黑猫。,"... Dopodiché, qualcos'altro si mosse. Era un gatto nero che vagava tra le ombre vicine al posteggio dei taxi."
,It came up right behind the girl... and leisurely...changed its form into that of a Human. ,"It came up right behind the woman, ......and leisurely...changed its form into that of a {y:0:Human}{n:0:human}.",それは女のすぐ後までやってくると、……ゆるりと、ニンゲンの姿を模して形を変えた。,[=JP],Она подошла к девушке... и не спеша... превратилась в {y:0:Челове}{n:0:челове}ка.,"Ele surgiu de trás da mulher, ......e vagarosamente...transformou‐se em uma figura {y:0:Humana}{n:0:humana}.",它走到了那位女性的身後，……慢慢，化為了人形。,它走到了那位女性的身后，……慢慢，化为了人形。,Sorpassò la ragazza da dietro... e gradualmente... mutò il suo aspetto in quello di un essere umano.
,"This was no cat. It was a witch. Of course, the girl was also a witch. ","It wasn't a cat. It was a witch.{n}Of course, the woman was also a witch.",猫ではない。魔女だった。もちろん、女の方だって、魔女なのだ。,猫ではない。魔女だった。{n}もちろん、女の方だって、魔女なのだ。,"Это была не кошка. То была ведьма.{n}И, разумеется, девушка тоже была ведьмой.","Não era um gato. Era uma bruxa.{n}É claro, a mulher também era uma bruxa.",它不是貓。是魔女。{n}當然，那位女性也是，魔女。,它不是猫。是魔女。{n}当然，那位女性也是，魔女。,"Non si trattava di un gatto. Ma di una strega. Naturalmente, anche la ragazza era una strega."
,"As the witch stood still, her gaze still downwards, she muttered... ","As the witch stood there, her gaze still downwards, she muttered...",立ち尽くす魔女は、目線を落としたまま、呟く…。,[=JP],"Стоя неподвижно, опустив взгляд, она пробормотала...","Com a bruxa ao seu lado, ela olhou para baixo e murmurou...",冷然佇立的魔女低垂著視線，小聲說道…。,冷然伫立的魔女低垂着视线，小声说道…。,"Restando ferma, con gli occhi ancora bassi, la strega mormorò..."
Ushiromiya Ange,"""......I can't... stop everyone from going to Rokkenjima, can I...?"" ",""".........I can't stop them......from going to Rokkenjima, can I...""",「………みんなが六軒島へ行くのを、……私は、止められないのね。」,「………みんなが六軒島へ行くのを、……私は、止められないのね」,""".........Я не могу... помешать их поездке на Роккенджиму, так ведь...""",""".........Eu não posso impedi‐los......de irem para Rokkenjima, posso...?""",「………我是沒法阻止，……大家去六軒島的吧？」,「………我是没法阻止，……大家去六轩岛的吧？」,"""... Non posso... impedire che vadano a Rokkenjima, non è così..."""
{f:5:Bernkastel},"""You cannot. On October 4, 1986, you are not here."" ","""You cannot. On October 4th, 1986, you are not here.""",「止められないわ。１９８６年１０月４日に、あなたはここにいない。」,「止められないわ。１９８６年１０月４日に、あなたはここにいない」,"""Не можешь. 4 октября 1986 года тебя здесь не было.""","""Você não pode. Em 4 de outubro de 1986, você não estava aqui.""",「阻止不了的。1986 年的 10 月 4 日，你不在這裡。」,「阻止不了的。1986 年的 10 月 4 日，你不在这里。」,"""Non puoi. Il 4 ottobre del 1986, tu non sei qui."""
Ushiromiya Ange,"""...If I were, would stopping everyone really have been possible...?"" ","""......So if I had been here, it might even have been possible to stop them all from going...?""",「……私がここにいたなら、みんなを止めることも、不可能ではなかったの…？」,[=JP],"""......А если бы и была, всё равно не смогла бы остановить?..""","""......Então mesmo se eu estivesse aqui, poderia até ser possível impedi‐los de ir...?""",「……如果我在這的話，阻止大家就並非不可能了嗎…？」,「……如果我在这的话，阻止大家就并非不可能了吗…？」,"""... Se fossi stata qui, avrei potuto fermarli...?"""
{f:5:Bernkastel},"""Well, I can't imagine what a six-year-old girl could do to make them turn back. ...Still, that's right. If you were in this place, the probability wouldn't have been zero. Whenever there's a probability greater than zero, I can seek out a miracle."" ","""What verbal acrobatics a six‐year‐old girl could possibly perform to persuade them to turn back, I can't even imagine. ......But yes. If you had been in this place, the probability wouldn't have been zero. If there is a probability other than zero, I can find a miracle.""",「６歳の女の子が、どう立ち回れば彼らを引き返させることが出来るのか、私には想像もつかないけれど。……そうね。もしこの場に居たなら、確率はゼロではなかったわ。ゼロでない確率ならば、私は奇跡を探し出せる。」,「６歳の女の子が、どう立ち回れば彼らを引き返させることが出来るのか、私には想像もつかないけれど。……そうね。もしこの場に居たなら、確率はゼロではなかったわ。ゼロでない確率ならば、私は奇跡を探し出せる」,"""Хотя я и не могу представить, как шестилетняя девочка смогла бы заставить их вернуться, несомненно одно. Находись ты здесь, вероятность не была бы равна нулю. Если имеется вероятность отличная от нуля, то я могу создать чудо.""","""Uma garota de seis anos de idade poderia persuadi‐los a dar meia volta? Eu não consigo imaginar isso. ......Mas, sim. Se você estivesse aqui, a probabilidade não seria zero. Se houver uma probabilidade além do zero, eu posso encontrar um milagre.""",「雖然我完全想像不出，六歲的小女孩，是要怎麼周旋，才能令他們折返回家。……不過，是呢。如果你在場的話，這個概率就不會是零。只要概率不是零，我就能找出奇跡。」,「虽然我完全想象不出，六岁的小女孩，是要怎么周旋，才能令他们折返回家。……不过，是呢。如果你在场的话，这个概率就不会是零。只要概率不是零，我就能找出奇迹。」,"""Anche se non riesco ad immaginare in che modo una bambina di sei anni avrebbe potuto convincerli a tornare indietro. ... È così. Se tu ti fossi trovata in questo luogo, le probabilità di fermarli sarebbero state superiori allo zero. Se il numero di probabilità non corrisponde a zero, io posso trovare un miracolo."""
Ushiromiya Ange,"""...If I hadn't been sick, ...and they hadn't left me behind..."" ","""......If I hadn't been sick, ...and they hadn't left me behind......""",「………私が体調を崩して、…置いて行かれなければ………。」,「……私が体調を崩して、…置いて行かれなければ……」,""".........Если бы я не заболела, и если бы они не оставили меня...""","""......Se eu não tivesse ficado doente, ...e eles não tivessem me deixado para trás......""",「………我要是沒有生病，…沒被留下來………」,「………我要是没有生病，…没被留下来………」,"""... Se non mi fossi ammalata... e non mi avessero lasciata a casa..."""
,"With her head facing downwards, the witch tightened her fists... ...They were trembling very slightly. ","With her head facing downwards, the witch tightened her fists...{n}...They were trembling very slightly.",俯いた魔女は、両手の握り拳を固くする…。…それは少しだけ震えていた。,俯いた魔女は、両手の握り拳を固くする…。{n}…それは少しだけ震えていた。,"Опустив голову, ведьма сжала кулаки...{n}...Они совсем слегка дрожали.","Com sua cabeça inclinada para baixo, a bruxa apertou seus punhos...{n}...Eles estavam tremendo levemente.",垂下頭的魔女，牢牢握緊了雙拳…。{n}…她的雙拳，微微地顫抖著。,垂下头的魔女，牢牢握紧了双拳…。{n}…她的双拳，微微地颤抖着。,"Col viso volto in basso, la strega strinse i pugni... che tremarono impercettibilmente."
{f:5:Bernkastel},"""You were sick in bed starting October 3, 1986. And Beato's game board is sealed off starting October 4. ...You are not given a chance to avoid getting sick. ...In other words, it would normally be absolutely impossible for you to enter her game board."" ","""You were sick in bed starting October 3rd, 1986. And Beato's game board is a snippet of time beginning on October 4th. ......You are not given the possibility of not getting sick. ...In other words, you are fundamentally an existence which can never step up onto the game board.""",「あなたが寝込んだのは１９８６年１０月３日。そしてベアトのゲーム盤は１０月４日から切り取られている。……あなたには体調を崩さない可能性が与えられていない。…つまり、あなたは本来、絶対にゲーム盤に上がれない存在なのよ。」,「あなたが寝込んだのは１９８６年１０月３日。そしてベアトのゲーム盤は１０月４日から切り取られている。……あなたには体調を崩さない可能性が与えられていない。…つまり、あなたは本来、絶対にゲーム盤に上がれない存在なのよ」,"""Ты заболела 3 октября 1986 года. А игра Беато началась 4 октября. ......У тебя нет шансов избежать болезни. ...Другими словами, ты принципиально не можешь находиться на игровой доске.""","""Você estava doente, deitada na cama no dia 3 de outubro de 1986. E o tabuleiro de jogo da Beato é um Fragmento de tempo que teve seu início no dia 4 de outubro. ......Não foi concedido a você a possibilidade de não ficar doente. ...Ou seja, você é fundamentalmente uma existência na qual nunca poderia avançar no tabuleiro.""",「你病倒的那一天，是 1986 年 10 月 3 日。而貝阿朵的棋盤乃是切離自 10 月 4 日。……你沒有獲賜不生病的可能性。…也就是說，你原本是絕對無法踏上棋盤的存在。」,「你病倒的那一天，是 1986 年 10 月 3 日。而贝阿朵的棋盘乃是切离自 10 月 4 日。……你没有获赐不生病的可能性。…也就是说，你原本是绝对无法踏上棋盘的存在。」,"""A partire dal 3 ottobre del 1986, tu sei stata a letto malata. E il piano di gioco di Beato si isola dal resto del mondo a partire dal 4 ottobre. ... Non ti è concessa la possibilità di non ammalarti. ... In altre parole, con assoluta certezza, tu sei un'esistenza che di base, non potrà mai giungere sul piano di gioco."""
Ushiromiya Ange,"""Thanks for being patronizing. ...I know that. ...I know that just seeing Father, Mother, ......and Onii-chan healthy like this... ...even that alone... is a spectacular miracle..."" .........I know that all too well..."" ","""Thanks for being so patronizing. ......I'm aware of that. ......I know that just seeing Mom, Dad, .........and Onii‐chan healthy and happy like this, ......that alone......is a very wonderful miracle... .........I know that all too well...""",「恩着せがましくてありがとう。……わかってるわ。……こうして、お父さんやお母さんや、………お兄ちゃんの元気そうな姿を、……見られただけでも、……これはとても素敵な奇跡なんだって、………わかってるもの…。」,「恩着せがましくてありがとう。……わかってるわ。……こうして、お父さんやお母さんや、………お兄ちゃんの元気そうな姿を、……見られただけでも、……これはとても素敵な奇跡なんだって、………わかってるもの…」,"""Спасибо за твоё покровительство. ......Я понимаю. ......Знаю, что просто видеть папу, маму и братика вот так, сейчас... Уже это само по себе... является удивительным чудом... .........Я знаю это слишком хорошо...""","""Obrigada por ser tão paternalista. ......Estou ciente disso. ......Eu sei que só de ver meus pais, .........e o onii‐chan saudáveis e felizes assim, ......isso sozinho......é um milagre maravilhoso... .........Eu sei muito bem...""",「謝謝你的大恩大德。……我明白。……僅僅是能像這樣，………看到爸爸媽媽，還有哥哥，……精精神神的模樣，……就已是非常美妙的奇跡了，………這我是明白的…」,「谢谢你的大恩大德。……我明白。……仅仅是能像这样，………看到爸爸妈妈，还有哥哥，……精精神神的模样，……就已是非常美妙的奇迹了，………这我是明白的…」,"""Grazie per essere stata così condiscendente. ... Io lo capisco. ... So che persino poter vedere Papà, Mamma... e Onii-chan ancora vivi... so che solo questo... è un miracolo davvero meraviglioso... lo so fin troppo bene"""
,"Ange had tried to stand in the way of her family, attempting to stop them from leaving the airport...and heading towards Rokkenjima. ","Ange had been trying to stand in the way of her family, and prevent them from going outside the airport, ......towards Rokkenjima.",縁寿は、家族の前に立ち塞がり、空港の外へ、……六軒島へ行かせまいとしたはずだった。,[=JP],"Энджи пыталась встать на пути своей семьи, предотвратить их выход из аэропорта... к Роккенджиме.","Ange tentou ficar no caminho de sua família e preveni‐los de saírem do aeroporto, ......em direção a Rokkenjima.",緣壽之前是站在了家人的面前，擋著路，不讓他們出機場，……不讓他們去六軒島。,缘寿之前是站在了家人的面前，挡着路，不让他们出机场，……不让他们去六轩岛。,"Ange si trovava lì con l'intenzione di sbarrare la via alla sua famiglia, nel tentativo di impedire che lasciassero l'aeroporto... dirigendosi a Rokkenjima."
,"...However, it was impossible for her to exist in October 4, 1986, so she couldn't do it. ","...But that was impossible for Ange, who could not exist there on October 4th, 1986.",…しかし、１９８６年１０月４日に存在し得ない彼女に、それは出来ないこと。,[=JP],"...Однако для неё было невозможно существовать 4 октября 1986 года, и она не смогла этого сделать.","...Mas isso era impossível para Ange, que não poderia existir em 4 de outubro de 1986.",…然而，這對在 1986 年 10 月 4 日並不存在的她而言，是做不到的。,…然而，这对在 1986 年 10 月 4 日并不存在的她而言，是做不到的。,"... Tuttavia, era impossibile che lei si trovasse in quel luogo il 4 ottobre del 1986, e non aveva potuto riuscirci."
,Even though her brother had only bumped into her and apologized... ,Just receiving a shoulder‐bump and words of apology from her older brother...,兄に肩をぶつけられ、謝罪の言葉をもらえただけでも。,[=JP],С ней нечаянно столкнулся её брат и извинился.,Só de colidir com o ombro de seu irmão e receber palavras de desculpa dele...,所以，儘管只是被哥哥撞到了肩膀，聽到了他的道歉之言。,所以，尽管只是被哥哥撞到了肩膀，听到了他的道歉之言。,Il solo fatto di essere stata urtata da suo fratello e di averne ricevuto le scuse...
,"...Even though he hadn't known that she was his sister, ...it had been such a miracle... that she could cry... ","...Even though he hadn't known that she was his sister, ...that was still such a miracle, ......it could have moved her to tears......",　…そして自分が妹だとわかってもらえなくても、……涙が溢れるほどの、……奇跡……。,…そして自分が妹だとわかってもらえなくても、……涙が溢れるほどの、……奇跡……。,"Даже не зная, что она — его младшая сестра... Это было таким чудом, что ей хотелось заплакать...","...Mesmo sem ele saber que ela era sua irmã, ...isso foi um grande milagre, ......que poderia tê‐la levado às lágrimas......",…儘管哥哥連自己是他的妹妹都不知道，……這也是能令她淚水滿溢的，……奇跡……。,…尽管哥哥连自己是他的妹妹都不知道，……这也是能令她泪水满溢的，……奇迹……。,... Anche se lui aveva ignorato che si trattasse proprio della sua sorellina... era stato un tale miracolo... che lei avrebbe potuto scoppiare in lacrime...
Ushiromiya Ange,"""......Sorry about the sarcasm. I won't waste the miracle you've given me."" ","""............I'm sorry for the sarcasm. I won't waste the miracle you've given me.""",「…………嫌味を言ってごめんなさい。私はあなたにもらった奇跡を、無駄になんかしないわ。」,「…………嫌味を言ってごめんなさい。私はあなたにもらった奇跡を、無駄になんかしないわ」,"""............Извиняюсь за сарказм. Я не буду попусту растрачивать чудо, которое ты мне дала.""","""............Me desculpe pelo sarcasmo. Eu não irei desperdiçar o milagre que você me concedeu.""",「…………說了些諷刺的話，對不起。我不會浪費你給我的奇跡的。」,「…………说了些讽刺的话，对不起。我不会浪费你给我的奇迹的。」,"""... Mi spiace per aver fatto del sarcasmo. Non sprecherò il miracolo che mi hai concesso."""
{f:5:Bernkastel},"""I'm glad to hear it. ...Come, let us go with them. To Rokkenjima. All of the pieces are already gathered. ...The curtain will open on the fourth game. By this time, Beato and Battler will already be seated."" ","""I'm glad to hear it. ......Now, let's go with them. To Rokkenjima. Soon, all of the pieces will be gathered. ......The curtain will open on the fourth game. Beato and Battler will already be seated by now.""",「頼もしいわね。……さぁ、彼らと一緒に行きましょう。六軒島へ。駒たちがもうすぐ全て揃う。……第４のゲームが幕を開けるわ。ベアトも戦人も、もう席についてる頃よ。」,「頼もしいわね。……さぁ、彼らと一緒に行きましょう。六軒島へ。駒たちがもうすぐ全て揃う。……第４のゲームが幕を開けるわ。ベアトも戦人も、もう席についてる頃よ」,"""Какая ответственность. ......Итак, идём же с ними. На Роккенджиму. Все фигуры уже в сборе. ......Занавес четвёртой игры скоро поднимется. К этому времени, Беато и Баттлер уже заняли свои места.""","""Fico feliz em ouvir isso. ......Agora, vamos ir com eles. Para Rokkenjima.{n}Em breve, todas as peças estarão reunidas. ......As cortinas irão se abrir para o quarto jogo. Beato e Battler logo estarão em seus assentos.""",「真可靠呢。……來，與他們一起去吧。去六軒島。棋子即將全部排齊。……第四盤遊戲即將拉開帷幕。這會兒，戰人與貝阿朵都已經就座了哦。」,「真可靠呢。……来，与他们一起去吧。去六轩岛。棋子即将全部排齐。……第四盘游戏即将拉开帷幕。这会儿，战人与贝阿朵都已经就座了哦。」,"""Sei proprio affidabile. ... Vieni, raggiungiamoli. A Rokkenjima. Tutte le pedine si sono già raccolte. ... Il sipario si alzerà sul quarto gioco. A quest'ora, Beato e Battler saranno già ai loro posti."""
Ushiromiya Ange,"""......To Rokkenjima...... ............To where my... ...no, ...to where everyone's fates changed, ...the Rokkenjima... of October 4, 1986......"" ","""......To Rokkenjima...... ............To the day my...no, ......the day {i:everyone's} fates changed...October 4th, 1986, ...on Rokkenjima.........""",「……六軒島へ……。…………私の、…いや、……みんなの運命を変えた、１９８６年１０月４日の、…六軒島へ………。」,「……六軒島へ……。…………私の、…いや、……みんなの運命を変えた、１９８６年１０月４日の、…六軒島へ………」,"""......На Роккенджиму, где моя... Нет, судьбы {i:всех} изменились... 4 октября 1986 года... На Роккенджиму...""","""......Para Rokkenjima...... ............Para o dia em que o meu...não, ......o dia em que o destino de {i:todos} mudou...4 de outubro de 1986, ...em Rokkenjima.........""",「……去六軒島……。…………去改變了我的，…不，……改變了大家命運的，1986 年 10 月 4 日的，…六軒島………」,「……去六轩岛……。…………去改变了我的，…不，……改变了大家命运的，1986 年 10 月 4 日的，…六轩岛………」,"""... A Rokkenjima... dove il mio... no... il destino di tutti è cambiato... il 4 ottobre, 1986... su Rokkenjima..."""
,...What happened on that day? I'll expose it. I'll learn what it is. And I'll bring them back...! ,...What happened on that day?{n}I will expose that. Learn that. And I'll take them back...!,…あの日に、何があったというの？私はそれを暴く。知る。そして取り戻す…！,…あの日に、何があったというの？{n}私はそれを暴く。知る。そして取り戻す…！,...Что же произошло в тот день?{n}Я раскрою правду. Узнаю её. И верну их!..,...O que aconteceu naquele dia?{n}Eu irei expor isso. Aprenderei sobre isso. E irei trazê‐los de volta...!,…那一天，到底發生了什麼？{n}我將揭示它。獲知它。然後，奪回家人…！,…那一天，到底发生了什么？{n}我将揭示它。获知它。然后，夺回家人…！,... Cos'è accaduto quel giorno? Io lo rivelerò. Lo capirò. E poi mi riprenderò tutto...!
,"As she stood there with her fists still clenched, she surely turned her face up to the heavens. A single teardrop from the depths of her eyes dripped down into the air. ","As she stood there with her fists still clenched, she surely turned her face to the heavens.{n}A single teardrop from the depths of her eyes dripped down into the air.",縁寿は両拳を握り締めたまま、きっと天を仰ぐ。瞳の淵に溜まった涙の雫が一粒、宙に零れ落ちる。,縁寿は両拳を握り締めたまま、きっと天を仰ぐ。{n}瞳の淵に溜まった涙の雫が一粒、宙に零れ落ちる。,"Стоя со всё ещё сжатыми кулаками, она уверенно подняла голову к небесам.{n}Единственная слеза из глубины её глаз каплей упала в воздух.","De pé, ainda com seus punhos fechados, ela virou seu rosto em direção ao céu, com total certeza.{n}E uma singela lágrima do fundo de seus olhos escorreu no ar.",緣壽保持著握緊雙拳的姿勢，神色冷峻地仰望蒼天。{n}一滴含在眼眶中的淚珠灑落半空。,缘寿保持着握紧双拳的姿势，神色冷峻地仰望苍天。{n}一滴含在眼眶中的泪珠洒落半空。,"Mentre restava ferma lì con i pugni ancora stretti, Ange sollevò senza esitare il viso al cielo. Una sola lacrima che si era fatta strada dal profondo dei suoi occhi precipitò nell'aria."
,"And when time started moving again, the two witches' figures were swallowed up by a blowing gale and erased in an instant. ","And when time started moving again, the two witches' figures were sucked into a blowing gale, and erased in an instant.",そして二人の魔女の姿は、時が動き出す時に吹く暴風に飲み込まれて瞬時に消え去った。,[=JP],"И когда время продолжило свой привычный ход, силуэты двух ведьм в одно мгновение растворились в дующем ветре.","Quando o tempo mais uma vez voltou a se mover, as figuras das duas bruxas foram absorvidas pelo soprar do vento e apagadas em um instante.",然後，兩位魔女的身姿，被卷進了隨時間運轉所刮起的暴風，驟然消失。,然后，两位魔女的身姿，被卷进了随时间运转所刮起的暴风，骤然消失。,"E quando il tempo prese nuovamente a scorrere, le figure delle due streghe vennero risucchiate in una violenta folata di vento e scomparvero all'istante."
