Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Spanish (ES)
,"However, without the detective proclamation, it was 99%. ......There was a 1% chance that she made a mistake, and that overturned the foundation of the examination.","However, without the detective proclamation, it was 99%. ...There was a 1% chance that she'd made a mistake, and that overturned the foundation of the examination. "," However, without the detective proclamation, it was 99%. ......There was a 1% chance that she made a mistake, and that overturned the foundation of the examination.",しかし探偵宣言がなければ、９９％。……１％の確率で誤診が存在し、それを根拠に、検死の根底が引っ繰り返されてしまう。,[=JP],"Но без полномочия детектива это 99%. ......Есть 1% шанс, что она допустила ошибку, и это переворачивает основу проверки.","Porém, sem a proclamação do detetive, era de 99%. ......Ainda havia 1% de chance ter cometido um equívoco, e isso abalaria a base de seu exame.",但是没有侦探宣言，那就是 99%。……存在着 1% 机率的误验，以此为根据，验尸的根基遭到了颠覆。,但是沒有偵探宣言，那就是 99%。……存在著 1% 機率的誤驗，以此為根據，驗屍的根基遭到了顛覆。,"Tuttavia, senza la proclamazione del detective, era il 99%. ... C'era un 1% di possibilità che si fosse sbagliata, e questo rovesciava le fondamenta dell'autopsia.","Sin embargo, sin la proclamación de detective, era solo 99%... Había un 1% de probabilidad de que haya cometido un error, y eso hacía inútil el examen."
,The reason Erika had gained the detective's authority and become the Witch of Truth......was that {f:5:Bernkastel} had supplemented her talent of 99 with an additional 1...,Erika had gained the detective's authority and had become the Witch of Truth because {f:5:Bernkastel} had supplemented her talent of 99 with an additional 1... , Erika had gained the detective's authority and become the Witch of Truth because Bernkastel had supplemented her talent of 99 with an additional 1...,その９９の才能に、ベルンカステルが１の奇跡を加えたからこそ、ヱリカは１００となり、探偵権限を得て、さらに真実の魔女にまで至れたのだ…。,[=JP],"Эрика получила полномочие детектива и стала ведьмой правды благодаря тому, что {f:5:Бернкастель} добавила один к 99 её таланта...",O motivo pelo qual Erika obteve a autoridade do detetive e se tornou a Bruxa da Verdade......era porque {f:5:Bernkastel} supriu seu talento de 99 com mais 1 ponto adicional...,正是往这个 99 的才能中，贝伦卡斯泰露加上了 1 的奇迹，所以绘梨花才成为了 100，得到侦探权限，以至成为真实的魔女…。,正是往這個 99 的才能中，貝倫卡斯泰露加上了 1 的奇跡，所以繪梨花才成為了 100，得到偵探權限，以至成為真實的魔女…。,"Erika aveva ottenuto l'autorità del detective ed era diventata la Strega della Verità, perché Bernkastel aveva sopperito al suo talento di 99 con un 1 aggiuntivo...",La razón por la que Erika había ganado la autoridad del detective y se había vuelto la Bruja de la Verdad... era porque {f:5:Bernkastel} había complementado su talento de 99 con un 1 adicional...
,"Just because {f:5:Bernkastel} wouldn't give her that 1, ......in the world of witches, Erika's 99 was treated exactly the same as zero...","Simply because {f:5:Bernkastel} wouldn't give her that 1, ...in the world of witches, Erika's 99 was treated exactly the same as zero... "," Just because Bernkastel wouldn't give her that one, ......in the world of witches, Erika's 99 was treated exactly the same as zero...",ベルンカステルが、たった１を与えないだけで、……魔女の世界は、９９の彼女を、ゼロとまったく同じに扱ってしまう…。,[=JP],"Лишь потому, что {f:5:Бернкастель} этого не сделала...... в мире ведьм 99 Эрики расценивались как ноль...","Só porque {f:5:Bernkastel} não iria dar a ela esse 1, ......no mundo das bruxas, o 99 de Erika era tratado da mesma forma que um 0...",仅凭贝伦卡斯泰露，不给小小的 1，……在魔女的世界中，99 的她与零受完全相同的待遇…。,僅憑貝倫卡斯泰露，不給小小的 1，……在魔女的世界中，99 的她與零受完全相同的待遇…。,"Solo per il fatto che Bernkastel non le avrebbe dato quell'uno... nel mondo delle streghe, il 99 di Erika veniva trattato esattamente come uno zero...","Y ahora que {f:5:Bernkastel} no le estaba dando ese 1... en este mundo de las brujas, el 99 de Erika era tratado como un simple cero..."
,Even her talented assistant Dlanor couldn't be put to proper use without a power of 100.,She couldn't even use her great assistant Dlanor without a power of 100. , Even her great assistant Dlanor couldn't be fully used without a power of 100.,ドラノールという優秀な補佐も、１００の力がなければまったく使いこなせない。,[=JP],Даже её главного помощника — Дланор — без силы 100 нельзя использовать на полную мощь.,"Mesmo sua talentosa assistente, Dlanor, podia não fazer um uso adequado de um poder de 100.",德拉诺尔的优秀辅佐，也是没有 100 之力就完全发挥不出来。,德拉諾爾的優秀輔佐，也是沒有 100 之力就完全發揮不出來。,Anche la sua grande assistente Dlanor non poteva essere utilizzata appieno senza un potere che valeva 100.,"Incluso su gran ayudante, Dlanor, no podía ser utilizada correctamente sin un poder de 100."
,"When working under an Erika who had lost the detective's authority, Dlanor's red longsword lost its power.","When working under an Erika who had lost the detective's authority, Dlanor's red longsword lost its power. "," When working under an Erika who had lost the detective's authority, Dlanor's red longsword lost its power.",探偵権限を失ったヱリカの下では、ドラノールの赤い太刀も力を失うのだ。,[=JP],"Работая с Эрикой, потерявшей полномочие детектива, красный меч Дланор теряет свою силу.","Ao trabalhar sob o comando de Erika, quem perdeu sua autoridade do detetive, o montante vermelho de Dlanor também perdia sua força.",居于失去侦探权限的绘梨花之下，德拉诺尔也失去了红色战刀与其能力。,居於失去偵探權限的繪梨花之下，德拉諾爾也失去了紅色戰刀與其能力。,"Lavorando per una Erika che aveva perso l'autorità del detective, la lunga spada rossa di Dlanor aveva perso il suo potere.","Ahora que trabajaba para una Erika que perdió la autoridad del detective, la larga espada roja de Dlanor había perdido su poder."
,Dlanor also found it vexing that she couldn't provide adequate assistance...,Dlanor was also irritated that she couldn't provide full assistance... , Dlanor was also irritated that she couldn't provide full assistance...,充分な補佐が出来ず、ドラノールも歯痒い思いをしている…。,[=JP],Её тоже раздражала неспособность оказать полное содействие...,Dlanor também achou vexatório não ser capaz de providenciar uma assistência adequada...,无法进行充分的辅佐，德拉诺尔也是在干着急…。,無法進行充分的輔佐，德拉諾爾也是在乾著急…。,Anche lei era irritata per il fatto di non poter fornire piena assistenza...,Dlanor también estaba irritada ya que no podía proporcionar plena ayuda...
,"......She had tried several times to convince Erika to use the detective proclamation, but Erika had stubbornly refused each time...","...She had tried several times to convince Erika to use the detective proclamation, but Erika had stubbornly refused each time... ",[=UP],……探偵宣言を出すように何度も説得しているのだが、ヱリカは頑なにそれを拒絶していた…。,[=JP],"......Она несколько раз пыталась убедить Эрику объявить себя детективом, но та каждый раз упорно отказывалась...","......Ela tentou convencer Erika a usar a proclamação do detetive diversas vezes, mas Erika persistentemente recusou em todas as ocasiões...",……虽然劝说了好几次，叫她拿出侦探宣言，但绘梨花是顽固不化地一直予以拒绝…。,……雖然勸說了好幾次，叫她拿出偵探宣言，但繪梨花是頑固不化地一直予以拒絕…。,"... Aveva provato diverse volte a convincere Erika ad usare la proclamazione del detective, ma Erika aveva rifiutato con ostinazione ogni volta...","... Ella había tratado de convencer a Erika varias veces de usar la proclamación de detective, pero Erika siempre se negaba tercamente..."
{f:5:Lambdadelta},"""Why not just do it? Make that detective proclamation. If you do, you'll be unstoppable. Dlanor could even use her red longsword and the Knox Decalogue.""","""Why not just do it? Make that detective proclamation. If you do, you'll be unstoppable. Dlanor could even use her red longsword and the Knox Decalogue."" ",[=UP],「しちゃえばいいじゃない。探偵宣言。そうすれば、あんたも百人力。ドラノールも赤い太刀とノックス十戒でバッサバッサじゃない。」,「しちゃえばいいじゃない。探偵宣言。そうすれば、あんたも百人力。ドラノールも赤い太刀とノックス十戒でバッサバッサじゃない」,"""Почему нет? Провозгласи себя детективом. Так тебя ничто не остановит. Дланор даже сможет использовать свой длинный красный меч и декалог Нокса.""","""Por que não agora? Faça a sua proclamação do detetive. Se fizer, será imparável. A Dlanor poderia até usar seu montante vermelho e o Decálogo de Knox.""",「去拿出来不就好了。侦探宣言。这么做了，你也会如添百人之力哦？德拉诺尔也将能以红色战刀与诺克斯十诫快刀斩乱麻吧？」,「去拿出來不就好了。偵探宣言。這麼做了，你也會如添百人之力哦？德拉諾爾也將能以紅色戰刀與諾克斯十誡快刀斬亂麻吧？」,"""Perché non lo fai e basta? Fai quella proclamazione del detective. Se lo farai, sarai inarrestabile. Dlanor potrebbe anche usare la spada lunga rossa e il Decalogo di Knox.""","""¿Por qué no solo lo hacen? Aquella proclamación de detective. Si lo haces, serás imparable. Dlanor podría usar hasta su larga espada roja y el Decálogo de Knox."""
{f:5:Bernkastel},"""............Why not do it...if you want......?""","""......Why not do it, ...if you want...?"" ",""".........Why not do it...if you want......?""",「…………したければ、すれば……？」,[=JP],""".........Почему бы и нет...... если хочешь?..""","""............Por que não o faz...se quer tanto......?""",「…………想宣言的话，就宣言如何……？」,「…………想宣言的話，就宣言如何……？」,"""... Perché no... se vuoi farlo...?""","""... ¿Por qué no hacerlo... si quieres?..."""
Furudo Erika,"""N‐......no.""","""...N-No."" ","""N......no.""",「ぃ……、……ぃぇ。」,「ぃ……、……ぃぇ」,"""Не... ......нет.""","""N‐......Não.""",「不…………不用。」,[=CN],"""N... No.""","""N-No."""
,There was no need for anyone to explain...,There was no need for anyone to explain... ,[=UP],もはや、事情を誰かが説明するまでもない…。,[=JP],Никому не нужно было объяснять...,Não era necessário que ninguém explicasse...,已经都用不着，由谁来解释内情了…。,已經都用不著，由誰來解釋內情了…。,Non c'era bisogno che qualcuno lo spiegasse...,No había necesidad de que alguien lo explique...
,"By now, it was clear that Erika hadn't abandoned the detective proclamation by her own will.","By now, it was clear that Erika hadn't abandoned the detective proclamation by her own will. "," By now, it was clear that Erika hadn't abandoned the detective proclamation by her own will.",ヱリカが自らの意思で、探偵宣言を放棄したわけでないことは明白だった。,[=JP],"Уже ясно, что Эрика отказалась от провозглашения детективом не по своей воле.",Agora estava mais do que claro que Erika não abandonou a proclamação do detetive por vontade própria.,显而易见，绘梨花并不是出于自己的意志地放弃侦探宣言。,顯而易見，繪梨花並不是出於自己的意志地放棄偵探宣言。,Ormai era chiaro che Erika non aveva abbandonato la proclamazione del detective per sua libera scelta.,"A estas alturas, estaba claro que Erika no había abandonado la proclamación de detective por su propia voluntad."
{f:5:Bernkastel},"""......When Battler reached the truth in the previous game, ......this game was already finished. This isn't really the sixth game. ......It's a finale game so that Battler can have a chance to serve as Game Master at the end. Everything was already decided last game.""","""...When Battler reached the truth during the previous round, ...this game was already finished. This isn't really the 6th game. ...It's just a finale, so that Battler can have a chance to serve as Game Master at the end. The result was already decided last game."" ","""......When Battler reached the truth in the previous game, ......this game was already finished. This isn't really the 6th game. ......It's a finale game so that Battler can have a chance to serve as Game Master at the end. It was already decided last game.""",「……前回のゲームで、戦人が真相に辿り着いた時点で。……もはやこのゲームは終わりだったのよ。今回のゲームは、実は第６のゲームじゃない。……戦人がゲームマスターとして、記念に最後に執り行う、フィナーレのゲームなのよ。もう決着は前回、ついている。」,「……前回のゲームで、戦人が真相に辿り着いた時点で。……もはやこのゲームは終わりだったのよ。今回のゲームは、実は第６のゲームじゃない。……戦人がゲームマスターとして、記念に最後に執り行う、フィナーレのゲームなのよ。もう決着は前回、ついている」,"""......Когда Баттлер в предыдущей игре достиг правды...... игра уже закончилась. Это не совсем шестая игра. ......Эта последняя игра была нужна, чтобы Баттлер мог под конец взять на себя роль Владельца игры. В прошлой игре всё уже было решено.""","""......Quando o Battler alcançou a verdade durante o jogo anterior, ......este jogo se encerrou. Esse não é exatamente o sexto jogo. ......É um último jogo, para que o Battler tenha a chance de atuar como Game Master no final. Tudo já foi decidido no jogo anterior.""",「……在上盘游戏，战人抵达真相时。……这个游戏就已经结束了哟？本局游戏，其实并非第 6 局游戏。……它是战人作为 GM，纪念性举办的闭幕对局哟。在上盘，就已有了结了。」,「……在上盤遊戲，戰人抵達真相時。……這個遊戲就已經結束了喲？本局遊戲，其實並非第 6 局遊戲。……它是戰人作為 GM，紀念性舉辦的閉幕對局喲。在上盤，就已有了結了。」,"""... Quando Battler raggiunse la verità nel gioco precedente... questo gioco era già finito. Questa non è veramente la sesta partita. ... È un gioco finale così che Battler possa avere la possibilità di fare da Game Master alla fine. Era già stato deciso nello scorso gioco.""","""... Cuando Battler descubrió la verdad en el juego anterior... ese juego ya había terminado. Este en realidad no es el sexto juego... Es un último juego hecho para que Battler tenga una oportunidad de servir como Game Master al final. Todo ya se decidió en el juego anterior."""
{f:5:Lambdadelta},"""Yeah, pretty much. The games won't continue forever, and I've lost my bet with Bern. .........In this game, Battler will prove that he's reached the game's truth, and then Beato's game will be destroyed in a big victory for the {y:0:Human}{n:0:human} side. And a big victory for Bern too. ......Well, supposedly, but you look unsatisfied for some reason.""","""Yeah, pretty much. The games won't continue forever, and I've lost my bet with Bern. ......In this game, Battler will prove that he's reached the game's truth, and then Beato's game will be destroyed in a big victory for the Human side. And a big victory for Bern too. ...Well, supposedly, but you look unsatisfied for some reason."" ","""Yeah, pretty much. The games won't continue forever, and I've lost my bet with Bern. .........In this game, Battler will prove that he's reached the game's truth, and then Beato's game will be destroyed in a big victory for the human side. And a big victory for Bern too. ......Well, supposedly, but you look unsatisfied for some reason.""",「ま、そういうことよねぇ。無限にゲームが続かなくなり、私とベルンの賭けは私の負け。………今回、戦人がゲームの真相に至ったことを証明して、ベアトのゲームは見事打ち破られて、ニンゲン側の大勝利。そしてベルンも大勝利。……のはずなのに、なぜか不服なのよねぇ？」,[=JP],"""Да, именно. Эти игры не будут длиться вечно, и я проиграла ставку с Берн. .........В этой игре Баттлер докажет, что понял правду игры, и тогда игру Беато сокрушит грандиозная победа {y:0:Челове}{n:0:челове}ческой стороны. И грандиозная победа Берн. ......Вроде как, но ты почему‐то выглядишь недовольной.""","""Bem, é por aí mesmo. Os jogos não vão continuar para sempre, e eu já perdi minha aposta com a Bern. .........Neste jogo, o Battler irá provar que ele alcançou a verdade do tabuleiro, e assim o jogo da Beato será destruído junto a uma grande vitória do lado {y:0:Humano}{n:0:humano}. E uma grande vitória da Bern também. ......Bem, supostamente, mas você parece estar insatisfeita com isso.""",「倒是如此呢。游戏不会再无限地继续下去，我与贝伦的打赌是我输了哦。………本次，战人将证明自己抵达了游戏的真相，贝阿朵的游戏将被漂亮地击破，人类方大获全胜。而贝伦也将大获全胜。……明明是如此，可你却不知为何地很不服吧？」,「倒是如此呢。遊戲不會再無限地繼續下去，我與貝倫的打賭是我輸了哦。………本次，戰人將證明自己抵達了遊戲的真相，貝阿朵的遊戲將被漂亮地擊破，人類方大獲全勝。而貝倫也將大獲全勝。……明明是如此，可你卻不知為何地很不服吧？」,"""Già, più o meno. Le partite non continueranno per sempre, e io ho perso la mia scommessa con Bern. ... In questo gioco, Battler proverà che ha raggiunto la verità del gioco, e poi il gioco di Beato verrà distrutto in una grande vittoria per la fazione umana. E sarà una gran vittoria anche per Bern. ... Beh, almeno in teoria, ma per qualche motivo mi sembri insoddisfatta.""","""Sí, más o menos. los juegos no seguirán para siempre y he perdido mi apuesta con Bern... En este juego, Battler demostrará que ha alcanzado la verdad del juego, y después el juego de Beato será destruido en una gran victoria para el lado {y:0:Humano}{n:0:humano}. Y una gran victoria para Bern también... Bueno, eso se supone, pero pareces insatisfecha por alguna razón."""
{f:5:Bernkastel},""".....................Because I am. I didn't want such a boring victory.""","""......Yeah, I'm not satisfied. I didn't want such a boring victory."" ","""............Yeah, I'm not satisfied. I didn't want such a boring victory.""",「…………………えぇ、不服よ。こんなつまらない勝利、私は望んでないの。」,「…………………えぇ、不服よ。こんなつまらない勝利、私は望んでないの」,"""............Да, я недовольна. Мне не была нужна такая скучная победа.""",""".....................Porque estou mesmo. Eu não quero uma vitória entediante dessas.""",「…………………嗯，不服哟。我才不想要，这种无聊的胜利。」,「…………………嗯，不服喲。我才不想要，這種無聊的勝利。」,"""... Già, non sono soddisfatta. Non volevo una vittoria così noiosa.""","""... Sí, no estoy satisfecha. Yo no deseaba una victoria tan aburrida."""
{f:5:Lambdadelta},"""The victory you wanted was for Beato's game board to be torn to bits, and for Beato's true, pathetic form to be exposed, humiliated, and trampled on. ......But this victory of Battler's isn't quite like that, is it...?""","""The victory you did want had Beato's game board being torn to bits... and Beato's true, pathetic form exposed, humiliated, and trampled on. ...But this victory of Battler's isn't quite like that, is it...?"" ","""The victory you did want had Beato's game board being torn to bits and Beato's true, pathetic form exposed, humiliated, and trampled on. ......But this victory of Battler's isn't quite like that, is it...?""",「ベルンが望む勝利は、ベアトのゲーム盤を徹底的に引き裂き、ベアトのみすぼらしい正体を暴いて、徹底的に泥を舐めさせて踏み躙ること。……だから戦人のこの勝利は、ちょーっと違うのよねぇ…？」,[=JP],"""Ты хотела победить, разорвав игровую доску Беато, раскрыв её истинную, жалкую личность, растоптав и смешав её с грязью. ......А победа Баттлера не совсем такая, да?..""","""A vitória que você quer é onde o tabuleiro da Beato é dilacerado, e que a verdade da Beato seja exposta de forma patética, humilhante e pisoteada. ......Mas essa vitória do Battler não é nada parecido com isso, é...?""",「贝伦所想要的胜利，乃是彻底撕裂贝阿朵的棋盘，揭穿贝阿朵寒碜的真面目，令其嘴啃泥地彻底蹂躏。……所以，战人的这个胜利，稍～微有点不太对吧…？」,「貝倫所想要的勝利，乃是徹底撕裂貝阿朵的棋盤，揭穿貝阿朵寒磣的真面目，令其嘴啃泥地徹底蹂躪。……所以，戰人的這個勝利，稍～微有點不太對吧…？」,"""La vittoria che volevi consisteva nell'avere il campo da gioco di Beato fatto a pezzettini e la vera, patetica forma di Beato rivelata, umiliata e schiacciata. {n}Ma questa vittoria di Battler è un po' diversa, no...?""","""La victoria que tú deseabas era una en la que hicieran pedazos el tablero de juego de Beato, y que la patética forma verdadera de Beato fuese expuesta, humillada y pisoteada... Pero esta victoria de Battler no se parece a eso, ¿no es así?..."""
{f:5:Bernkastel},"""......All this about love......and promises. ......To end the game quietly and let her rest in peace? ......That sort of ending would make anyone vomit.""","""...All this about love...and promises. ...He wants to end the game quietly and let her sleep in peace? ...That sort of ending would make anyone vomit."" ","""......All this about love......and promises. ......To end the game quietly and let her sleep in peace? ......That sort of ending would make anyone vomit.""",「……愛だの、……約束だの。……静かにゲームを終わらせて、安らかに眠らせる？　……そんなゲロ臭い終わり方、誰が望んだってのよ。」,「……愛だの、……約束だの。……静かにゲームを終わらせて、安らかに眠らせる？　……そんなゲロ臭い終わり方、誰が望んだってのよ」,"""......Вся эта любовь...... и обещания. ......Тихо закончить игру и дать ей обрести покой? ......От подобной концовки кого угодно вырвет.""","""......Tudo isso sobre amor......e promessas. ......Encerrar o jogo silenciosamente e deixar ela descansar em paz? ......Esse tipo de final faria qualquer um vomitar.""",「……爱啊，……约定啊。……静静地结束游戏，令其安宁沉眠？……谁想要，这种冒着呕吐物臭味的结局哟？」,「……愛啊，……約定啊。……靜靜地結束遊戲，令其安寧沉眠？……誰想要，這種冒著嘔吐物臭味的結局喲？」,"""... Tutto questo parlare di amore... e promesse. ... Per terminare il gioco pacificamente e lasciare che riposi in pace? ... Quel genere di finale farebbe vomitare chiunque.""","""... Todo esto sobre amor... y promesas... ¿Terminar el juego silenciosamente y permitir que duerma en paz?... Ese tipo de final haría vomitar a cualquiera."""
{f:5:Bernkastel},"""I didn't give Battler all that advice so that he could end things like that. ......I had his little sister turned to scrap meat behind his back. I had his parents and family killed horribly over and over again. That was all to spark a desire for revenge against Beato.""","""I didn't give Battler all that advice so that he could end things like that. ...I had his little sister turned to scrap meat behind his back. I had his parents and family killed horribly over and over again. That was all to spark a desire for revenge against Beato."" ",[=UP],「私はね、そんな終わり方のために、戦人に助言を与えたわけじゃないのよ。……妹を背中で挽き肉にしてやったわ。両親や親族を何度も何度も惨たらしく殺させてやったわ。それは全て、ベアトに対し、怒りの復讐を掻き立てるためよ？」,[=JP],"""Я давала Баттлеру все те советы не чтобы он так всё закончил. ......У него за спиной я превратила его младшую сестру в фарш. Я снова и снова ужасным образом убивала его родителей и семью. И всё ради того, чтобы разжечь желание отомстить Беато.""","""Eu não dei todos aqueles conselhos ao Battler para que ele terminasse as coisas assim. ......Eu transformei a irmãzinha dele em carne moída atrás de suas costas. Eu fiz seus parentes e familiares morrerem de formas horríveis diversas vezes. Tudo isso para acender nele o desejo de se vingar da Beato.""",「我啊，才不是为这种结局地给战人出主意的哟。……在其背后，把他妹妹变成了肉泥。一遍又一遍一遍又一遍地凄惨杀害了他的双亲与亲戚。这一切，全都是为了煽动，向贝阿朵的愤怒复仇哟？」,「我啊，才不是為這種結局地給戰人出主意的喲。……在其背後，把他妹妹變成了肉泥。一遍又一遍一遍又一遍地淒慘殺害了他的雙親與親戚。這一切，全都是為了煽動，向貝阿朵的憤怒復仇喲？」,"""Non ho dato a Battler tutti quei consigli così che potesse finire le cose in questa maniera. ... Ho trasformato la sua Sorellina in carne da macello dietro la sua schiena. Ho fatto sì che i suoi genitori e tutta la sua famiglia venisse uccisa orribilmente ancora e ancora. Ho fatto tutto per far sorgere in lui desideri di vendetta contro Beato.""","""No le di a Battler todos esos consejos para que terminara las cosas así... Yo hice que su hermana pequeña fuese convertida en pedazos de carne a sus espaldas. Hice que sus padres y su familia fueran horriblemente asesinados una y otra vez. Todo para provocar un deseo de venganza contra Beato."""
{f:5:Bernkastel},"""And now............what kind of an ending is this...? Have I won? Of course not! ......Battler's gotten his hands on a victory that neither you nor I can stand.""","""And now, ......what kind of ending is this...? Have I won? Of course not! ...Battler's gotten his hands on a victory that neither you nor I can stand. ","""And now.........what kind of ending is this...? Have I won? Of course not! ......Battler's gotten his hands on a victory that neither you nor I can stand.",「それが、…………この終わり方は何…？　私の勝利？　とんでもないッ、……戦人は、私もあんたも喜ばせない勝利を手にしたわ。,「それが、…………この終わり方は何…？　私の勝利？　とんでもないッ、……戦人は、私もあんたも喜ばせない勝利を手にしたわ」,"""А теперь......... что это за конец?.. Я победила? Конечно нет! ......Баттлер схватил победу, что невыносимо для нас обеих.""","""E agora............que tipo de final é esse...? Eu venci? É claro que não! ......O Battler vai alcançar uma vitória na qual nem eu nem você conseguimos aceitar.""",「这些换来的，…………这种结局算什么…？我的胜利？哪里的话？……战人，是得到了不会令你我开心的胜利哦。」,「這些換來的，…………這種結局算什麼…？我的勝利？哪裡的話？……戰人，是得到了不會令你我開心的勝利哦。」,"""E adesso... che razza di finale è mai questo...? Ho vinto? Ovviamente no!... Battler ha messo le sue mani su una vittoria che né tu né io possiamo sopportare.","""Y ahora ¿qué tipo de final es este?... ¿He ganado? ¡Claro que no! Battler ha puesto en sus manos una victoria que ni tú ni yo podemos soportar..."
{f:5:Bernkastel},"""...I came all the way out here to see {f:5:Beatrice} lamely and pathetically torn to bits, and I endured a staggering period of boredom just for that one purpose. I didn't come here to sip from a.........rotten yogurt fragment like this!""","...I had to withstand a staggering period of boredom just to come all the way out to this backwoods territory, just so that I could see {f:5:Beatrice} lamely and pathetically torn to little bits. I didn't come here to sip from a rotten yogurt Fragment like this!"" "," ...I had to withstand a staggering period of boredom just to come all the way out to this territory, just so that I could see Beatrice lamely and pathetically torn to bits. I didn't come here to sip from a rotten yogurt Fragment like this!""",…私はね、ベアトリーチェがずたずたのぼろぼろに引き裂かれるところが見たくて、はるばるこんな辺境までやって来て、気の遠くなる退屈な時間に耐えてここにいたのよ。こんな、………腐りかけのヨーグルトみたいなカケラを啜らされるためじゃないッ！」,「…私はね、ベアトリーチェがずたずたのぼろぼろに引き裂かれるところが見たくて、はるばるこんな辺境までやって来て、気の遠くなる退屈な時間に耐えてここにいたのよ。こんな、………腐りかけのヨーグルトみたいなカケラを啜らされるためじゃないッ！」,"""...Я терпела ошеломляющий период скуки только чтобы добраться до этой территории, только чтобы увидеть {f:5:Беатриче}, неуклюже и жалостливо разорванную на куски. Я пришла сюда не потягивать из тухлого йогурта подобный фрагмент!""","""...Eu me dei o trabalho de vir aqui para ver a {f:5:Beatrice} ser dilacerada de forma vergonhosa e patética, e suportei um longo período de tédio só para este fim. Eu não vim aqui para beber um.........iogurte podre fermentado desses!""",「…我啊，是想看贝阿朵莉切被撕得零零碎碎的情景，才来到这种遥远边境，强忍了简直叫人犯晕的乏味时间地留在此处哟？才不是为了，………被硬灌恰似快变质的酸奶的碎片！」,「…我啊，是想看貝阿朵莉切被撕得零零碎碎的情景，才來到這種遙遠邊境，強忍了簡直叫人犯暈的乏味時間地留在此處喲？才不是為了，………被硬灌恰似快變質的酸奶的碎片！」,"... Ho dovuto sorbirmi un allucinante periodo di noia solo per farmi tutta la strada fino a questo territorio, soltanto per poter vedere Beatrice venire fatta a pezzi vergognosamente e pateticamente. Non sono venuta qui per sorseggiare un Frammento di yogurt marcio come questo!"""," Tuve que resistir un asombroso período de aburrimiento solo para llegar hasta este sitio, todo para poder ver a {f:5:Beatrice} ser patéticamente despedazada sin ninguna gloria. ¡No vine aquí a sorbetear el yogurt putrefacto que es este Fragmento!"""
{f:5:Lambdadelta},"""Ahh, your angry face is wonderful too, Bern. ......I get it, so you wanted at least one final something to get the bad taste out of your mouth.""","""Aw, your angry face is wonderful too, Bern. ...I see, so this is why you wanted to straighten things out for yourself at least once at the end."" ","""Aw, your angry face is wonderful too, Bern. ......I see, so this is why you wanted to straighten things out for yourself at least once at the end.""",「あぁん、ご立腹の顔もステキだわ、ベルン。……なるほどね、それでせめて最後くらい、口直しが欲しかったわけね。」,「あぁん、ご立腹の顔もステキだわ、ベルン。……なるほどね、それでせめて最後くらい、口直しが欲しかったわけね」,"""А‐а, твоё сердитое лицо тоже прекрасно, Берн. ......Ясно, вот почему ты захотела хотя бы в конце навести для себя порядок.""","""Ahh, seu rosto zangado também é maravilhoso, Bern. ......Eu entendi, no fim você quer ao menos um final que possa tirar esse gosto ruim da sua boca.""",「昂～，你生气的脸也是妙不可言呢，贝伦。……原来如此，所以才想至少在最后，清清口嘛？」,「昂～，你生氣的臉也是妙不可言呢，貝倫。……原來如此，所以才想至少在最後，清清口嘛？」,"""Aw, anche il tuo viso arrabbiato è fantastico, Bern. ... Ho capito, ecco perché hai voluto mettere tu stessa a posto le cose almeno una volta alla fine.""","""Aw, tu rostro enojado es demasiado maravilloso, Bern... Ya veo, por eso querías algo más para sacar ese mal sabor de tu boca."""
