Speaker,Steam (ST),Umineko Project (UP),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT)
Professor Ootsuki,"""For the 10 year anniversary, an international convention was held in New York. I also participated as a representative of Japan! I was able to intermingle with zealous overseas Witch Hunters in many ways. ","""For the ten‐year anniversary, an international convention was held in New York. I was there participating as well, representing Japan! I was able to have a variety of interactions with zealous overseas Witch Hunters.""",１０周年の時には、ニューヨークで国際コンベンションも開かれました。私も日本の代表として参加してきましてね！　海外の熱心なウィッチハンターと様々な交流をしてきましたよ。,「１０周年の時には、ニューヨークで国際コンベンションも開かれました。私も日本の代表として参加してきましてね！　海外の熱心なウィッチハンターと様々な交流をしてきましたよ」,"""На 10‐ю годовщину в Нью‐Йорке была проведена международная конвенция. Мне тоже довелось присутствовать на ней в качестве представителя из Японии! Там мне удалось тесно пообщаться с ревностными иностранными охотниками на ведьму.""","""Para o aniversário de dez anos, uma convenção internacional foi sediada em Nova Iorque. Eu também participei, é claro, representando o Japão! Fui capaz de ter uma variedade de interações com zelosos Witch Hunters do exterior.""",「十周年時，還在紐約召開過國際性聚會。我也有作為日本代表參加！與海外熱情的魔女獵人們進行了各種各樣的交流。」,「十周年时，还在纽约召开过国际性聚会。我也有作为日本代表参加！与海外热情的魔女猎人们进行了各种各样的交流。」,"Per l'anniversario dei 10 anni, è stata tenuta una convention internazionale a New York. Anch'io ho partecipato in veste di rappresentante del Giappone! Sono stato in grado di mescolarmi a zelanti Witch Hunter stranieri in molti modi.",[=UP]
Professor Ootsuki,"Witches are a very popular category overseas. The age span of the participants stretched from elementary schoolers at the bottom, all the way to famous cultural figures at the top! Even in Japan, in recent years, there was finally-"" ","""Witches are a very popular category overseas. The age span of the participants was truly vast, stretching from elementary schoolers at the bottom, all the way to famous cultural figures at the top! Even in Japan, in recent years, we've finally—""",海外では魔女はとても人気のあるカテゴリーでしてね。参加者の年齢幅も下は小学生から、上は著名な文化人まで実に幅広い！　日本でも近年ようやく、」,「海外では魔女はとても人気のあるカテゴリーでしてね。参加者の年齢幅も下は小学生から、上は著名な文化人まで実に幅広い！　日本でも近年ようやく、」,"""За границей ведьмоведы входят в популярную категорию людей. Причем это люди разных возрастных групп: от учеников начальной школы и аж до знаменитых культурных деятелей! Даже в Японии в последние годы наконец‐то...""","""Bruxas são uma categoria muito popular lá fora. A idade média dos participantes era realmente vasta, se estendendo de alunos do fundamental até famosas figuras culturais! Mesmo no Japão, nos anos mais recentes, nós finalmente—""",「在海外，魔女是個非常有人氣的範疇呢。參加者的年齡層也是下到小學生，上到著名文化人士，實在是廣闊！日本也在近年終於——」,「在海外，魔女是个非常有人气的范畴呢。参加者的年龄层也是下到小学生，上到著名文化人士，实在是广阔！日本也在近年终于——」,"Le streghe sono una categoria molto popolare all'estero. La fascia d'età dei partecipanti partiva dai bambini delle elementari, fino ad arrivare in cima ai famosi personaggi culturali! Anche in Giappone, negli ultimi anni, vi è stata finalmente-""",[=UP]
,"...You probably don't need any more explanation, but he's one of the most famous Rokkenjima Witch Hunters in Japan. ","......You probably don't need any more explanation, but he is one of the most famous Rokkenjima Witch Hunters in Japan.",……もう説明はいらないだろうが、彼は、日本でもっとも有名な六軒島ウィッチハンターのひとりだ。,[=JP],"......Вам, наверное, больше не требуется объяснений, но он один из самых знаменитых Охотников на Ведьму Роккенджимы в Японии.","......Você não precisa de mais explicações, mas ele é um dos mais famosos Rokkenjima Witch Hunters do Japão.",……已不用介紹了吧，他就是日本最有名的六軒島魔女獵人之一。,……已不用介绍了吧，他就是日本最有名的六轩岛魔女猎人之一。,"... Probabilmente non avrai bisogno di altre spiegazioni, ma lui è uno dei più famosi Rokkenjima Witch Hunter in Giappone.",[=UP]
,"Even though I didn't ask anything more, he kept continuing on excitedly all by himself. ","After that, he just kept continuing on excitedly all by himself, even though I'd never asked.",あとは聞いてもないのに、興奮しながら話を勝手に続ける。,[=JP],"И хотя я не просила его рассказать что‐нибудь дополнительно, он всё продолжал возбуждённо рассказывать.","Depois daquilo, ele apenas continuou a se animar sozinho, mesmo eu nunca tendo perguntado.",之後，我明明沒有在聽，他卻自顧自興奮地往下講。,之后，我明明没有在听，他却自顾自兴奋地往下讲。,"Anche se non ho chiesto più nulla, ha continuato a parlare tutto eccitato per proprio conto.",[=UP]
,"As I swirled the thin film on my potage with my spoon, I shrugged my shoulders and sighed. ","As I swirled the thin film on my potage with my spoon, I shrugged my shoulders and sighed.",私は、ポタージュに張った薄膜をスプーンでぐちゃぐちゃにしながら、肩を竦めてため息を漏らすのだった。,[=JP],"Помешивая тонкую плёнку на поверхности моего супа, я пожала плечами и вздохнула.","Enquanto eu mexia o pequeno filme fino em meu potage com minha colher, eu dei de ombros e suspirei.",我邊用湯匙攪破結在濃湯上的薄膜，邊垂下肩膀嘆了一口氣。,我边用汤匙搅破结在浓汤上的薄膜，边垂下肩膀叹了一口气。,"Mentre giravo il minuscolo velo sul mio potage con il cucchiaio, mi strinsi nelle spalle e sospirai.",[=UP]
,...Looks like researching about the message bottle really was a waste of time. ,......Maybe it really had been a waste of time to research about the message bottle.,……やはり、メッセージボトルのことを調べても時間の無駄だったろうか。,[=JP],"......Похоже, исследование послания в бутылке всё‐таки оказалось потерей времени.",......Talvez tenha mesmo sido perda de tempo pesquisar sobre as mensagens nas garrafas.,……果然，去調查瓶中信是浪費時間麼？,……果然，去调查瓶中信是浪费时间么？,... Sembra proprio che sia stato uno spreco di tempo cercare informazioni sui messaggi in bottiglia.,[=UP]
,"No, if there's one thing I've found, it's that the notebook supposedly written by Maria onee-chan was actually written by a different person faking her name. ","No, if there was one thing I'd gotten out of this, it was the knowledge that those pages, supposedly written by Maria onee‐chan, had actually been written by a different person faking her name.",いや、ひとつ収穫があったとすれば、真里亞お姉ちゃんが記したとされるそれは、彼女の名を騙る別の人物が書いたらしいこと。,[=JP],"Нет, если я чего‐то и выяснила, так это факт, что тетрадь, которую, как считалось, исписала сестричка Мария, на деле была написана другим человеком, присвоившим её имя.","Não, se tem algo que eu posso tirar disso, é o conhecimento daquelas páginas, supostamente escritas pela Maria onee‐chan, foram realmente escritas por uma pessoa diferente, falsificando seu nome.",不，如果說有一個收獲的話，那就是搞明白了，據稱是真里亞姐姐所寫下的瓶中信，是冒她名的某人所寫的。,不，如果说有一个收获的话，那就是搞明白了，据称是真里亚姐姐所写下的瓶中信，是冒她名的某人所写的。,"No, se c'è una cosa che ho scoperto, è che il taccuino che si supponeva fosse stato scritto da Maria Onee-chan è stato scritto in realtà da un'altra persona usando il suo nome.",[=UP]
,"And, that person wrote up an occult legend on their own, put it into the bottle as though it was the truth, and threw it into the sea. ","And that person had taken it upon themselves to write an occult story, put it into a bottle as though it was the truth, and throw it into the sea.",そして、オカルトな物語を勝手に書き上げ、それが真相だと言わんばかりに瓶詰めにして海に放り込んだこと。,[=JP],"И этот самый человек придумал и написал собственную оккультную легенду, засунул её в бутылку, словно та и была правдой, и бросил бутылку в море.","E a pessoa que fez isso escreveu uma história oculta, colocou em uma garrafa como se fosse a verdade e a jogou no mar.",然後，此人擅自寫下了神秘學風格的故事，猶如在說“這就是真相”似的，將其塞進瓶中，扔進了大海。,然后，此人擅自写下了神秘学风格的故事，犹如在说“这就是真相”似的，将其塞进瓶中，扔进了大海。,"E quella persona ha scritto una leggenda dell'occulto per conto proprio, l'ha messa nella bottiglia proprio come se fosse la verità, e l'ha buttata nel mare.",[=UP]
,...I have a question. ,...This raised questions for me.,…疑問はある。,[=JP],Я задаюсь вопросом...,...Isso me levantou uma questão.,…這裡存在一個疑問。,…这里存在一个疑问。,... Ho una domanda.,[=UP]
,Why would they go to all the trouble of writing so much in order to prepare a suspicious letter like that? ,Why did they go to all the trouble of writing so much in order to prepare a suspicious letter like that?,なぜ、わざわざ大量の文章を記す手間を掛けてまで、そのような怪文書を用意したのか。,[=JP],"Зачем кому‐то понадобилось брать на себя труд с написанием такого объёма текста, чтобы подготовить столь подозрительное письмо?",Por que se dar todo o trabalho de escrever tanto com o intuito de preparar cartas suspeitas como essas?,為什麼要特意費時費力地寫這麼多字，來準備這種怪異文書？,为什么要特意费时费力地写这么多字，来准备这种怪异文书？,Perché dovrebbero darsi la pena di scrivere così tanto per creare una lettera sospetta come quella?,[=UP]
,"With a message bottle, there'd be no guarantee that it'd ever pass into anyone's hands. ","With a message bottle, there would be no guarantee that it would ever pass into anyone's hands.",メッセージボトルでは、それが確実に人の手に渡る保証がない。,[=JP],"Послание в бутылке — слишком ненадежное средство передачи информации в силу отсутствия какой‐либо гарантии того, что бутылка попадёт хоть в чьи‐то руки.","Sendo uma mensagem em uma garrafa, não haviam garantias que acabaria chegando às mãos de alguma pessoa.",瓶中信這種方式是不具有肯定會落到某人手裡的保證的。,瓶中信这种方式是不具有肯定会落到某人手里的保证的。,"Con un messaggio in bottiglia, non c'è alcuna garanzia che arrivi nelle mani di qualcuno.",[=UP]
,"If their luck had been bad, it could've sunk in the ocean, never to be seen by anyone. ","If their luck had been bad, it could have sunk in the ocean and never been seen by anyone.",下手をすれば、海に沈んで誰の目にもつかないかもしれない。,[=JP],В случае неудачи она могла вообще утонуть в океане и больше никогда никому не попасться на глаза.,"Se tivesse uma sorte ruim, poderia ter afundado no oceano e nunca seria vista por ninguém.",運氣不好的話，沉入海底，不被任何人看到，也是有可能的。,运气不好的话，沉入海底，不被任何人看到，也是有可能的。,"Se non avessero avuto fortuna, sarebbe potuta sprofondare nell'oceano e non sarebbe mai stata vista da nessuno.",[=UP]
,"And even if someone had picked it up, they might've not cared about it and thrown it away. ","And even if someone were to pick it up, they might have thrown it away without even thinking twice about it.",あるいは、誰かが拾ったとしても、気にも留めずに捨ててしまうことだってあるかもしれない。,[=JP],"А даже и подбери её кто‐нибудь, они могли бы отнестись к посланию легкомысленно и выбросить его вместе с бутылкой.","E mesmo se alguém a pegasse, poderiam acabar descartando sem pensar duas vezes.",還有，就算被某人撿到了，說不定也會被此人不當回事地扔掉。,还有，就算被某人捡到了，说不定也会被此人不当回事地扔掉。,"E se anche qualcuno l'avesse raccolta, potrebbe non averne avuto interesse e l'avrebbe buttata via.",[=UP]
,...Why would they entrust their confession of the truth to the sea with such an uncertain method? ,......Why did they entrust their confession of the truth to the sea in such an uncertain method?,……このような不確かな方法で、なぜ真相の告白を海に託したのか。,[=JP],......Зачем потребовалось вверять свою исповедь о правде морю таким ненадёжным способом?,......Por que confiar a confissão da verdade ao mar utilizando de um método tão incerto?,……為什麼要用這種靠不住的方法，將對真相的告白託付於大海？,……为什么要用这种靠不住的方法，将对真相的告白托付于大海？,... Perché dovrebbero affidare le loro confessioni della verità al mare in un modo così incerto?,[=UP]
,"And why would they write up multiple, differing tales? ",And why did they write up multiple different tales?,そして、なぜ異なる物語を複数、書き上げたのか。,[=JP],И почему они написали несколько разных историй?,E por que escrever diferentes contos?,還有，為什麼要寫下復數個各不相同的故事？,还有，为什么要写下复数个各不相同的故事？,E perché hanno dovuto scrivere diverse versioni della storia?,[=UP]
,"If there'd been one message bottle, claiming that its story was the truth might be reckless, but not impossible. ","If there had been one message bottle, claiming that its story was the truth would be reckless, but not impossible.",もしもメッセージボトルが１つだったなら、それこそが真相だと言い切ることも、乱暴であるが不可能ではないだろう。,[=JP],"Имейся лишь одно послание в бутылке, то заявлять, что оно повествует о правде, было бы опрометчиво, но не невозможно.","Se houvesse apenas uma garrafa, afirmar que a história é verdade seria imprudente, mas não impossível.",如果只有一個瓶中信的話，那將此一口咬定為真相，也是雖說強硬，卻也不無可能的吧。,如果只有一个瓶中信的话，那将此一口咬定为真相，也是虽说强硬，却也不无可能的吧。,"Se ci fosse stato un solo messaggio, sostenere che la sua storia fosse la verità sarebbe stato azzardato, ma non impossibile.",[=UP]
,"However, because there were two, that made both of them doubtful. ","However, because there were two, that made both of them doubtful.",しかし、２つあるせいで、そのどちらもが疑わしくなってしまっている。,[=JP],Однако наличие двух посланий подставило под сомнение оба.,"Mas, por serem duas, isso fez com que ambas fossem dúbias.",可是，因為有兩個，所以其中不論哪個都變得可疑了起來。,可是，因为有两个，所以其中不论哪个都变得可疑了起来。,"Comunque, dato che ce n'erano due, le aveva rese entrambe dubbiose.",[=UP]
,"If someone was plotting to make out those two days to be the work of a witch, then they really did go one step too far. ","If someone was plotting to make out those two mysterious days to be the work of a witch, that was really superfluous.",謎の二日間を、魔女の仕業にしたい何者かの仕組んだこととするならば、まさに蛇足なのだ。,[=JP],"Если кто‐то намеревался представить те два дня проделками ведьмы, то это был излишний ход.","Se alguém planejava fazer daqueles dois misteriosos dias o trabalho de uma bruxa, isso foi realmente supérfluo.",如果這是想將謎一樣的兩天歸為魔女所為的某人的安排的話，那簡直就是畫蛇添足。,如果这是想将谜一样的两天归为魔女所为的某人的安排的话，那简直就是画蛇添足。,"Se qualcuno stava organizzando di far passare quei due giorni come opera della strega, questo era davvero superfluo.",[=UP]
,"And because there were two, it suggests that an undiscovered third one, or possibly even more might exist. ","And because there were two, it suggested that an undiscovered third one, or possibly even more, might exist.",そして、２つ存在するということは、未発見の３つ目、あるいはそれ以上がある可能性すら示唆する。,[=JP],"Опять же, наличие двух посланий наводило на мысль о возможном существовании не найденного третьего и даже четвёртого послания.","E por serem duas, isso sugere que haja uma terceira e ainda não descoberta ou, possivelmente, existam ainda mais.",再者，“存在著兩個”暗示著，還有尚未發現的第三個，以及更多個的可能性。,再者，“存在着两个”暗示着，还有尚未发现的第三个，以及更多个的可能性。,"E poiché ce n'erano due, suggerisce che potrebbe esisterne una terza non scoperta, o possibilmente anche di più.",[=UP]
,"...In other words, the two differing contents makes both of them harder and harder to swallow. ","......In other words, the two having differing contents was making it even harder to take either of them at face value.",……つまり、２つの内容をますますに鵜呑みに出来なくしているわけだ。,[=JP],"......Другими словами, два послания разного содержания затруднили серьёзное отношение к ним.","......Em outras palavras, ter dois conteúdos diferentes foi feito para tornar ainda mais difícil a distinção de seus valores.",……換言之，這令人更加無法輕易相信兩個瓶中信的內容了。,……换言之，这令人更加无法轻易相信两个瓶中信的内容了。,"... In altre parole, i contenuti differenti la rendono sempre più difficile da bere.",[=UP]
,"But despite that, the contents of both matched in that they told of a witch in a tale. ","But despite their differences, the contents of the two matched in that both tales told of a witch.",しかし、にもかかわらず、２つの内容は魔女を語る物語という点で一致する。,[=JP],"Однако содержание тех двух посланий совпадало в том, что они рассказывали об истории ведьмы.","Mas apesar de suas diferenças, o conteúdo das duas garrafas batem em ambos os contos contados pela bruxa.",可是，儘管如此，在“講述魔女的故事”的這一點上，兩個瓶中信的內容完全一致。,可是，尽管如此，在“讲述魔女的故事”的这一点上，两个瓶中信的内容完全一致。,"Ma nonostante ciò, i contenuti di entrambe corrispondono in ciò che ci raccontano di una strega in una storia.",[=UP]
,"So, is that the main point the writer wanted to get across to us......? ",Does that mean that this is what the writer wanted to tell us.........?,つまりは、そここそが、筆者の伝えたいことだというのだろうか………？,[=JP],"Иначе говоря, это и было то, что хотел донести до нас автор?",Significa que é isso o que a pessoa que escreveu quer nos dizer.........?,也就是說，這正是執筆之人想要傳達的事嗎………？,也就是说，这正是执笔之人想要传达的事吗………？,"In altre parole, significa che è questo che ci voleva dire chi le ha scritte...?",[=UP]
,...It seems to me that the only possible explanation...is that someone who wanted to give rise to an illusion of a witch carried out this crime for their own enjoyment. ,"......I can only imagine that this was a crime committed for pleasure, by someone who wanted to create an illusion of a witch.",……魔女幻想を生み出したい何者かの、愉快犯的犯行としか思えない。,[=JP],"......Я могу только гадать, что кто‐то, желавший возникновения иллюзии ведьмы, совершил это преступление для привлечения внимания.","......Eu só consigo imaginar que tenha sido um crime cometido por prazer, por alguém que queria criar a ilusão de uma bruxa.",……只能想成，這是某個想要創造出魔女幻想之人的，愉悅犯性質的犯罪。,……只能想成，这是某个想要创造出魔女幻想之人的，愉悦犯性质的犯罪。,... Posso solo immaginare che qualcuno che voleva dare credito all'illusione di una strega ha compiuto questo crimine per attenzione.,[=UP]
,"However, the 17 people other than Aunt Eva lost their lives, and a vast wealth or maybe even 10 tons of gold had moved around secretly in the darkness. ","But 17 people excluding Aunt Eva lost their lives, and a vast inheritance—and maybe even ten tons of gold—changed hands behind the scenes.",しかし、絵羽伯母さんを除く１７人もの人命が失われ、莫大な遺産と、あるいは１０ｔもの黄金さえもが闇で動いたのだ。,[=JP],"Тем не менее 17 человек помимо тёти Евы лишились жизни, и огромнейшее богатство в виде 10 тонн золота было тайно перемещено во тьме.","Mas 17 pessoas, excluindo a tia Eva, perderam suas vidas e uma vasta herança — e talvez dez toneladas de ouro — mudaram de mãos por trás da cena.",可是，除去繪羽姑母，有十七人喪了命，莫大的遺產，或許就連那十吨的黃金也是，在暗中蠢動著。,可是，除去绘羽姑母，有十七人丧了命，莫大的遗产，或许就连那十吨的黄金也是，在暗中蠢动着。,"In ogni caso, le 17 persone oltre ad Eva oba-san hanno perso le loro vite, e una grande eredità o forse anche 10 tonnellate d'oro sono circolate segretamente nell'oscurità.",[=UP]
,It doesn't feel right...for a confession occurring after all that to bring up this illusion of the witch. ,It just doesn't make sense for the confession coming at the end of all that to be this fantasy about a witch.,その結末の告白が、こんな魔女の幻想だなんて、どうしても腑に落ちない。,[=JP],При таком выводе иллюзия ведьмы начинает терять смысл.,Não faz sentido que a confissão que venha ao fim de tudo isso seja sobre a fantasia de uma bruxa.,然而最後的告白竟是什麼魔女幻想，我無論如何都無法接受。,然而最后的告白竟是什么魔女幻想，我无论如何都无法接受。,"Con una conclusione simile, non ha senso per questo di essere l'illusione di una strega.",[=UP]
,"Even if we ignore the magazines' theories, it's very doubtful that the message bottle really was a diary. ","I don't need to hear the magazines' reasoning to find it extremely doubtful whether the message bottles really are ""diaries"".",週刊誌の推理を待たず、メッセージボトルが本当に日記であるかは大いに疑わしい。,[=JP],"Не принимая во внимание допущения журналов, вообще крайне подозрительно, что послание в бутылке действительно является дневником.","Eu não quero ouvir os raciocínios das revistas para encontrar algo extremamente duvidoso sobre se as mensagens nas garrafas são realmente ""diários"".",都不用看周刊雜誌的推理，“瓶中信是否真的是日記”這點相當可疑。,都不用看周刊杂志的推理，“瓶中信是否真的是日记”这点相当可疑。,"Senza aspettare i ragionamenti delle riviste, è davvero sospetto se il messaggio in bottiglia è davvero un diario.",[=UP]
,"...After all, the amount of writing was massive. It's hard to imagine that someone actually caught up in the middle of a serial murder like that would be able to calmly write it down. ","......After all, the amount of writing was massive. It's hard to imagine that someone actually caught up in the middle of a serial murder like that would have been able to calmly write it down.",……何しろ、文章量が膨大だ。実際に連続殺人の渦中にあった人物が、冷静にそれらを記せたとは考え難い。,[=JP],"......Ведь объём написанного текста был просто огромен. Сложно представить, как кто‐то, оказавшийся втянутым в серийное убийство, и чья жизнь находится под угрозой, мог спокойно и хладнокровно написать такое.","......Afinal, a quantidade de escritores é massiva. É difícil imaginar que alguém realmente foi pego no meio de um assassinato em série como esse e teve toda a calma para escrever sobre.",……畢竟，字數龐大。難以想像，實際被卷入連續殺人事件之中的人，能冷靜地將此記下。,……毕竟，字数庞大。难以想象，实际被卷入连续杀人事件之中的人，能冷静地将此记下。,"... Dopotutto, l'ammontare di pagine era enorme. È difficile immaginare che qualcuno nel bel mezzo di un omicidio seriale come quello sia stato in grado di scriverlo con calma.",[=UP]
,"In that case, it's probably more realistic that this diary was written slowly over a long period of time, up until the day prior to the accident. ","In that case, it's probably more realistic to say that these diaries were written slowly over a long period of time before the day prior to the accident.",だとすると、この日記は、事故前日までにゆっくり時間を掛けて執筆されたという方が現実的だろう。,[=JP],"В таком случае наиболее правдоподобным выглядит предположение, что дневник понемногу писался в течение определённого периода времени до инцидента.","Nesse caso, provavelmente é mais realista dizer que esses diários foram escritos lentamente durante um longo período de tempo antes do dia antecedente do acidente.",如此說來，按這篇日記是在事故前一天之前慢慢花時間寫的來想，會比較現實吧。,如此说来，按这篇日记是在事故前一天之前慢慢花时间写的来想，会比较现实吧。,"In quel caso, è probabilmente più realistico che questo diario sia stato scritto lentamente durante un lungo periodo di tempo fino al giorno prima dell'incidente.",[=UP]
,"In that case, ......would it mean that everything on Rokkenjima was a ""planned crime"", with everything prepared for over a long stretch of time...? ","In which case, .........would that mean that everything on Rokkenjima was {i:premeditated}, and prepared for over a long stretch of time...?",だとしたら、………六軒島の全ては、長い時間を掛けて準備された「計画的犯行」ということになるのだろうか…？,[=JP],"Тогда получается... что события на Роккенджиме являлись следствием {i:запланированного преступления}, где всё было подготовлено заранее?","Em ambos os casos, .........isto poderia significar que tudo que aconteceu em Rokkenjima foi {i:premeditado} e preparado por um longo período de tempo...?",照這麼說，………難道六軒島上發生的一切，都是經過長時間準備的「有計劃的犯罪」嗎…？,照这么说，………难道六轩岛上发生的一切，都是经过长时间准备的「有计划的犯罪」吗…？,"In quel caso... significherebbe che tutto su Rokkenjima è stato un ‘crimine organizzato’, dove tutto è stato preparato per un lungo periodo di tempo...?",[=UP]
,...The fact that Aunt Eva left this world without saying anything is...infuriating. ,...The fact that Aunt Eva left this world without saying anything is...detestable.,…絵羽伯母さんが、何も語らずにこの世を去ったことが、恨めしい。,[=JP],"...Отправившись на тот свет, не сказав ни слова, тётя Ева поступила... премерзко.",...O fato de que a tia Eva deixou este mundo sem dizer nada é...detestável.,…可恨的是，繪羽姑母啥都沒說就翹辮子了。,…可恨的是，绘羽姑母啥都没说就翘辫子了。,... Il fatto che Eva oba-san abbia lasciato questo mondo senza dire niente è... odioso.,[=UP]
,She definitely said it on her death bed. ,She definitely told me on her deathbed.,死の床で彼女は確かに言った。,[=JP],Она определённо сказала это на смертном одре.,Ela definitivamente me disse em seu leito de morte.,她臨終前的確對我說過。,她临终前的确对我说过。,Lo ha finalmente detto sul suo letto di morte.,[=UP]
,She definitely said that her reason for not telling me the truth was because it was her best way of harassing me. ,She definitely said that her reason for not telling me the truth was because it was the best way of harassing me.,私に真相を語らないことが、最大の嫌がらせである旨、確かに言った。,[=JP],"Сказала, что причина, по которой она не рассказывает мне правды, заключается в том, что это является замечательным средством изнурять меня.",Ela definitivamente disse que o motivo pelo qual não me contou a verdade é porque essa era a melhor forma de me perturbar.,的確對我說過，意為不把真相告訴我，是對我最大的折磨的話。,的确对我说过，意为不把真相告诉我，是对我最大的折磨的话。,Ha finalmente detto che non mi ha raccontato la verità perché era il miglior modo per tormentarmi.,[=UP]
,"...Yeah, by now, it's painfully obvious. ","......Ah, by now I'm painfully aware of it.",……あぁ、今になって痛感する。,[=JP],"......Ах, как же болезненно я осознаю это теперь.","......Ah, eu já estou dolorosamente ciente disto.",……啊啊，現在我是痛切地感受到了。,……啊啊，现在我是痛切地感受到了。,"... Ah, ora ne sono cosciente.",[=UP]
,"Of all the things Aunt Eva did to harass me, this was probably the last and the greatest. ","Of all the things Aunt Eva did to harass me, this was probably the last and the greatest.",絵羽伯母さんが私にしたあらゆる嫌がらせの中で、これが最後にして最たるものだったろう。,[=JP],"Из всех поступков, совершаемых тётей Евой в стремлении изводить меня, этот был последний и самый паскудный.","De todas as coisas que a tia Eva fez para me perturbar, esta foi, provavelmente, a última e maior de todas.",在繪羽姑母對我的種種折磨中，這既是最後的，也是最狠的一個吧。,在绘羽姑母对我的种种折磨中，这既是最后的，也是最狠的一个吧。,"Di tutte le cose che Eva oba-san ha fatto per tormentarmi, questa è stata probabilmente l'ultima e la più grande.",[=UP]
,"......But thinking of it this way, it's pretty doubtful that Aunt Eva is the true culprit. ","...............But now that I start to think of it this way, it's pretty doubtful that Aunt Eva is the true culprit.",……………しかし、こう考えると、絵羽伯母さんが本当に犯人なのかは、疑わしい。,[=JP],"............Но если продолжать и дальше размышлять в подобном ключе, то сомнительно, что настоящим преступником была тётя Ева.","...............Mas agora que eu comecei a pensar dessa forma, é bem dúbio que a tia Eva seja o verdadeiro culpado.",……………不過，這麼一想，就開始覺得“繪羽姑母是否為犯人”這點很可疑了。,……………不过，这么一想，就开始觉得“绘羽姑母是否为犯人”这点很可疑了。,"... Ma pensando in questa maniera, è abbastanza dubbio che Eva oba-san sia il vero colpevole.",[=UP]
,"Of course, that's not because the handwriting on the message bottle was different from Aunt Eva's, or anything like that. ","Of course, this isn't because the handwriting in the message bottle differs from Aunt Eva's, or anything like that.",もちろん、メッセージボトルの筆跡が絵羽伯母さんと違うから、などというわけではない。,[=JP],"Но, разумеется, не потому, что почерк, которым было написано послание, отличался от почерка тёти Евы и что‐нибудь в этом роде.","É claro, isso não é porque a caligrafia nas mensagens diferem da escrita da tia Eva, nem nada do tipo.",當然，並非是出於瓶中信的筆跡與繪羽姑母不同的原因。,当然，并非是出于瓶中信的笔迹与绘羽姑母不同的原因。,"Certamente, questo non è perché la calligrafia sul messaggio in bottiglia era diversa da quella di Eva oba-san, o roba simile.",[=UP]
,"...It's because in both tales that were discovered, Aunt Eva was included among the victims. ","......It's because in both discovered tales, Aunt Eva was included among the victims.",……発見された２つの物語は、どちらも絵羽伯母さんが犠牲者の中に含まれているからだ。,[=JP],"......А потому, что в обеих обнаруженных историях тётя Ева была включена в число жертв.","......É porque em ambos os contos, a tia Eva está incluída entre as vítimas.",……而是因為，在已發現的兩個故事中，不論哪個，繪羽姑母都包含在犧牲者之中。,……而是因为，在已发现的两个故事中，不论哪个，绘羽姑母都包含在牺牲者之中。,"... È perché in entrambe le storie che sono state scoperte, Eva oba-san è stata inclusa nelle vittime.",[=UP]
,If the writer of that diary was the culprit... ,If the writer of these diaries was the culprit...,もし、この日記の筆者が犯人であるならば。,[=JP],Если преступником был сам автор дневника...,Se o escritor desses diários é o culpado...,如果這日記的作者是犯人的話。,如果这日记的作者是犯人的话。,Se lo scrittore di quei diari fosse il colpevole...,[=UP]
,...Maybe Aunt Eva was also one of the targets to be killed. ,......then maybe Aunt Eva had also been one of the targets to be killed.,……絵羽伯母さんもまた、殺される標的のひとりだったのではないか。,[=JP],"......Наверное, тётя Ева тоже была одной из подлежащих убийству людей.",......então talvez a tia Eva também fosse um de seus alvos.,……那麼，繪羽姑母不就也是謀殺對象之一嗎？,……那么，绘羽姑母不就也是谋杀对象之一吗？,... Forse anche Eva oba-san era uno dei bersagli da uccidere.,[=UP]
,Maybe Aunt Eva had survived because {i:something had gone wrong}. ,Aunt Eva had survived because {i:something had gone wrong}.,それが、{i:どこかで狂い}、絵羽伯母さんは生き残った。,それが、{i:どこかでくるい}、絵羽伯母さんは生き残った。,"Но ей удалось выжить, поскольку {i:что‐то пошло наперекосяк}.",A tia Eva sobreviveu porque {i:algo deu errado}.,殺人計劃{i:在哪出了問題}，才讓繪羽姑母活了下來。,杀人计划{i:在哪出了问题}，才让绘羽姑母活了下来。,Eva oba-san era sopravvissuta perché qualcosa era andato storto.,[=UP]
,"......Because I hated Aunt Eva, I came to believe that she had to be the culprit. ",".........Because of my hate for Aunt Eva, I had believed until now that she {i:had} to be the culprit.",………私は絵羽伯母さんを憎悪していたから、彼女こそが犯人に違いないと信じてきた。,[=JP],".........Так как я ненавидела тётю Еву, я стала верить, что преступником {i:была} она.",".........Por causa do meu ódio pela tia Eva, eu acreditei até hoje que ela {i:tinha} que ser o culpado.",………我憎恨繪羽姑母，所以一直堅信她就是犯人。,………我憎恨绘羽姑母，所以一直坚信她就是犯人。,"... Poiché odiavo Eva oba-san, ero arrivata a credere che doveva essere la colpevole.",[=UP]
