Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
Ushiromiya Battler,"""You'll remember soon enough. ...And, though it'll be a reunion after 12 years for you, ...it'll only have been a short gap for us. ...Everyone will welcome you. When you finally return from the distant future, everyone will welcome you."" ","""You'll remember soon enough. ...And, though it'll be a reunion after twelve years for you, ......it'll only have been a short gap for the rest of us. ......Everyone will welcome you. Everyone will welcome you back from the distant future.""","""You'll remember soon enough. ...And, though it'll be a reunion after 12 years for you, ......it'll only have been a short gap for the rest of us. ......Everyone will welcome you. When you finally return from the distant future, everyone will welcome you.""",「すぐに思い出すさ。…そして、縁寿にとっては１２年ぶりの再会でも。……俺たちにとっては、しばらくぶりでしかないんだ。……みんな歓迎する。１２年の、遠い未来からようやく帰ってきた縁寿を、みんな歓迎してくれる。」,「すぐに思い出すさ。…そして、縁寿にとっては１２年ぶりの再会でも。……俺たちにとっては、しばらくぶりでしかないんだ。……みんな歓迎する。１２年の、遠い未来からようやく帰ってきた縁寿を、みんな歓迎してくれる」,"""Ты скоро вспомнишь. ...И пусть даже для тебя это будет воссоединение спустя 12 лет, ......для остальных пройдёт совсем немного времени. ......Все поприветствуют тебя. Когда ты наконец вернёшься из далёкого будущего, все тебя встретят.""","""Você lembrará em breve. ...E, embora possa ser uma reunião após doze anos para você, ......será apenas um curto período para o resto de nós. ......Todos vão recebê‐la. Todos vão recebê‐la de volta de um distante futuro.""",「很快就能想起來的。…而且，這對緣壽來說是 12 年之後的再會。……對我們來說也是如此啊。……大家會歡迎你的。從 12 年後的，遙遠的未來終於回歸的緣壽，大家都會歡迎你的。」,「很快就能想起来的。…而且，这对缘寿来说是 12 年之后的再会。……对我们来说也是如此啊。……大家会欢迎你的。从 12 年后的，遥远的未来终于回归的缘寿，大家都会欢迎你的。」,"""Presto ricorderai abbastanza. ... E, anche se sarà una riunione dopo dodici anni per te... sarà stato solo un breve intervallo di tempo. ... Tutti ti daranno il benvenuto. Quando ritornerai finalmente dal lontano futuro, tutti ti daranno il benvenuto."""
Ushiromiya Ange,"""Will I...be able to stay there forever...?"" ","""Will I......be able to stay there forever......?""","""Will I...be able to stay there forever......?""",「私は、……いつまでもそこにいられるの……？」,[=JP],"""Я...... смогу остаться там навсегда?..""","""Eu serei......capaz de ficar lá para sempre......?""",「我能夠，……在那裡待多久呢……？」,「我能够，……在那里待多久呢……？」,"""Sarò... in grado di rimanere lì per sempre...?"""
,"This way, ...I can be with everyone forever. This is the goal I'm supposed to reach... ","This way, ......I'll be able to be with everyone forever.{n}This is the goal I'm supposed to reach......","This way, ......I'll be able to be with everyone forever. This is the goal I'm supposed to reach......",これで、永遠に私は、……みんなと一緒にいられる。そここそが、私の辿り着くべき場所……。,これで、永遠に私は、……みんなと一緒にいられる。{n}そここそが、私の辿り着くべき場所……。,"Так...... я буду со всеми вечно.{n}Это и есть цель, к которой я стремлюсь......","Dessa forma, ......eu poderei ficar com todos para sempre.{n}Esse é o objetivo que eu almejo alcançar......",這樣我就能永遠，……和大家在一起了。{n}那裡才是，我應該前往的地方……。,这样我就能永远，……和大家在一起了。{n}那里才是，我应该前往的地方……。,In questo modo... sarò in grado di stare con tutti per sempre. Questo è l'obiettivo che vorrei raggiungere...
Ushiromiya Battler,"""Ange, listen to me carefully."" ","""Ange, listen to me carefully.""",[=UP],「縁寿、よくお聞き。」,「縁寿、よくお聞き」,"""Энджи, послушай.""","""Ange, ouça com muita atenção.""",「緣壽，好好聽著。」,「缘寿，好好听着。」,"""Ange, ascoltami attentamente."""
,But Battler spoke in an admonishing tone. As though warning me that this was a dream that wouldn't be granted... ,But Battler spoke in an admonishing tone.{n}As though warning me that this dream would not be granted...,But Battler spoke in an admonishing tone. As though warning me that this dream would not be granted...,しかし戦人は、諭すように言う。それは叶わぬ夢だと、釘を刺すかのように…。,しかし戦人は、諭すように言う。{n}それは叶わぬ夢だと、釘を刺すかのように…。,"Но Баттлер заговорил увещевательным тоном.{n}Будто предупреждая меня, что моя мечта не сбудется...",Mas Battler falou em um tom repreensivo.{n}Como se estivesse dizendo que tal sonho não seria concedido...,但是戰人的語氣，像是訓喻一般。{n}仿佛在說，這只是無法實現的夢想…。,但是战人的语气，像是训喻一般。{n}仿佛在说，这只是无法实现的梦想…。,Ma Battler parlò con un tono di rimprovero. Come se mi stesse avvertendo che questo sogno non sarà concesso...
Ushiromiya Battler,"""The Rokkenjima family conference usually ends after a single night. Because of the typhoon that day, the boat couldn't come, and it lasted two nights."" ","""The Rokkenjima family conference only lasts one night. Although, the typhoon stopped the boat from coming that day, so it went on for one night more.""","""The Rokkenjima family conference usually ends after a single night. Because of the typhoon that day, the boat couldn't come, and it lasted two nights.""",「六軒島の親族会議は、一泊で終わる。あの日は台風だったから、船の都合で二泊だったけれどね。」,「六軒島の親族会議は、一泊で終わる。あの日は台風だったから、船の都合で二泊だったけれどね」,"""Семейное собрание на Роккенджиме обычно заканчивается спустя одну ночь. Из‐за тайфуна в тот день катер не приезжает, и оно длится две ночи.""","""A conferência da família em Rokkenjima dura apenas uma noite. Embora o tufão tenha impedido o barco de vir naquele dia, por isso acabou acarretando em mais uma noite.""",「六軒島的親族會議，一夜就結束了。只是因為那一天趕上台風，考慮到船的狀態，才不得不住兩晚。」,「六轩岛的亲族会议，一夜就结束了。只是因为那一天赶上台风，考虑到船的状态，才不得不住两晚。」,"""La conferenza di famiglia di Rokkenjima solitamente finisce dopo una singola notte. A causa del tifone, quel giorno la barca non fu in grado di venire, e durò due notti."""
Ushiromiya Ange,"""So, when the typhoon passes, ...I'll have to leave the island again...?"" ","""So, when the typhoon passes, ......I'll have to leave the island again...?""",[=UP],「それが過ぎたら、……私は島から、帰らなくてはならないの…？」,[=JP],"""Значит, когда тайфун закончится...... мне опять придётся покинуть остров?..""","""Então, quando o tufão passar, ......eu terei que deixar a ilha de novo...?""",「只要過了那個時間，……我就不得不從島上回來了麼…？」,「只要过了那个时间，……我就不得不从岛上回来了么…？」,"""Quindi, quando passerà il tifone... dovrò di nuovo lasciare l'isola...?"""
Ushiromiya Battler,"""...Not exactly. That decision is yours as well, Ange."" ","""......Not exactly. The decision is yours, Ange.""",[=UP],「……少し違う。それを決めるのも、縁寿なんだ。」,「……少し違う。それを決めるのも、縁寿なんだ」,"""......Не совсем. Решать тебе, Энджи.""","""......Não exatamente. A decisão é sua, Ange.""",「……不太一樣。要決定此事的，也是你自己。」,「……不太一样。要决定此事的，也是你自己。」,"""... Non esattamente. La decisione è tua, Ange."""
Ushiromiya Ange,"""............"" ","""........................""","""............""",「……………………。」,「……………………」,[=OG],[=UP],[=JPC],[=JPC],"""..."""
Ushiromiya Battler,"""You'll decide that yourself."" ","""You have to decide that yourself.""",[=UP],「縁寿が、それを決める。」,「縁寿が、それを決める」,"""Ты должна решить сама.""","""Você precisa decidir isso sozinha.""",「由緣壽來決定這件事。」,「由缘寿来决定这件事。」,"""Devi deciderlo da sola."""
,"...I understand, of course. ","......I understand, of course.",[=UP],……もちろん、わかってる。,[=JP],"......Разумеется, я понимаю.","......Eu entendo, é claro.",……當然，我是知道的。,……当然，我是知道的。,"... Capisco, ovviamente."
,I don't exist on that island on that day. ,I don't exist on that island on that day., I don't exist on that island on that day.,あの日、あの島に、私はいない。,[=JP],В тот день меня нет на острове.,"Eu não existia naquela ilha, naquele dia.",那一天，那座島上，我並不存在。,那一天，那座岛上，我并不存在。,Io non esisto su quell'isola in quel giorno.
,It's a miracle just to be invited there like this. ,It's a miracle just to be invited there like this., It's a miracle just to be invited there like this.,その私を、あの日のあの島に招いてくれるだけで、……これは、奇跡なのだ。,[=JP],Быть приглашённой уже чудо.,Simplesmente ser convidada assim já é um milagre.,能將這樣的我，招待到那一天的那座島上，……就已經是奇跡了。,能将这样的我，招待到那一天的那座岛上，……就已经是奇迹了。,è un miracolo solo l'essere stata invitata lì in questo modo.
,Just the two days before the typhoon passes. Just getting those two days to myself is already the sort of miracle that will never come again. ,Just the two days before the typhoon passes. Just getting those two days to myself is already the sort of miracle that will never come again., Just the two days before the typhoon passes. Just getting those two days to myself is already the sort of miracle that will never come again.,台風が過ぎ去るまでの、ほんの二日間。その、ほんの二日間をくれるだけでも、それは得がたい、二度とない、奇跡。,[=JP],"Всего лишь два дня до окончания тайфуна. Обрести эти два дня уже само по себе чудо, которое больше никогда не случится.","Apenas dois dias antes do tufão passar. Conseguir dois dias, para mim, já é um milagre que nunca mais vai acontecer.",在台風過去之前的短暫兩日。能夠獲賜這短短的兩天，就已經是不可再得的，沒有第二回的，奇跡了。,在台风过去之前的短暂两日。能够获赐这短短的两天，就已经是不可再得的，没有第二回的，奇迹了。,Solo i due giorni prima che passi il tifone. Solo avere quei due giorni è già il genere di miracolo che non accadrà più.
,"If I'm greedy enough to ask for more, that faint miracle might vanish. ","If I'm greedy enough to ask for more, that faint miracle might vanish."," If I'm greedy enough to ask for more, that faint miracle might vanish.",それ以上を欲張ったら、そのわずかな奇跡が、爆ぜて消えてしまうかもしれない。,[=JP],"Если я буду жадно просить большего, даже это слабое чудо может испариться.","Se eu for gananciosa e pedir por mais, esse tênue milagre pode acabar desaparecendo.",再有什麼欲求的話，說不定就連這微小的奇跡，都會爆炸消失得無影無踪。,再有什么欲求的话，说不定就连这微小的奇迹，都会爆炸消失得无影无踪。,"Se sono così avida da chiedere di più, quel vacuo miracolo potrebbe svanire."
,"...Even though I thought this, my young heart, which was still six years old, wasn't satisfied with such a short-lived miracle... ","......Even though I thought this, my young heart, which was still six years old, wasn't satisfied with that short‐lived miracle...","......Even though I thought this, my young heart, which was still six years old, wasn't satisfied with that short-lived miracle...",……そうは思っても、６歳のまま止まった私の幼い心は、そのわずかな時間の奇跡に満足しようとしない…。,[=JP],"......Но несмотря на эти мысли, моё юное сердце, которому по‐прежнему было шесть лет, не устроило недолгое чудо...","......Mesmo pensando nisso, meu jovem coração, que ainda se mantém com seis anos, não estava satisfeito com um milagre tão breve...",……但即便這麼想，止于 6 歲的我的幼小心靈，是難以滿足於這些許時間的奇跡的…。,……但即便这么想，止于 6 岁的我的幼小心灵，是难以满足于这些许时间的奇迹的…。,"... Anche se pensai ciò, il mio giovane cuore, che aveva ancora sei anni, non era soddisfatto di quel miracolo così breve..."
Ushiromiya Ange,"""I don't want to leave."" ","""I don't want to leave.""",[=UP],「帰りたくない。」,「帰りたくない」,"""Я не хочу уходить.""","""Não quero ir embora.""",「我不想回家。」,[=CHT],"""Non voglio andarmene."""
Ushiromiya Battler,"""......I know."" ",""".........I know.""",[=UP],「………わかるよ。」,「………わかるよ」,""".........Знаю.""",""".........Eu sei.""",「………我知道。」,[=CHT],"""... Lo so."""
Ushiromiya Ange,"""I'll be with everyone forever. I'll stay with my family. Even if Onii-chan says I have to head back, ...I'll stay on Rokkenjima."" ","""I'll be with everyone forever. I'll stay with my family. Even if you tell me I have to head back, ......I'll stay on Rokkenjima.""",[=UP],「いつまでも、みんなと一緒にいる。家族で一緒にいる。お兄ちゃんが、もう帰らなくちゃって言っても……、私は六軒島に残る。」,「いつまでも、みんなと一緒にいる。家族で一緒にいる。お兄ちゃんが、もう帰らなくちゃって言っても……、私は六軒島に残る」,"""Я буду со всеми вечно. Я останусь со своей семьёй. Даже если ты скажешь мне, что нужно вернуться...... я останусь на Роккенджиме.""","""Eu quero ficar com todos para sempre. Quero ficar com a minha família. Mesmo se disser que tenho que voltar, ......eu ficarei em Rokkenjima.""",「我想永遠和大家在一起，和家人們在一起。就算哥哥說，必須要回去了……，我也要留在六軒島。」,「我想永远和大家在一起，和家人们在一起。就算哥哥说，必须要回去了……，我也要留在六轩岛。」,"""Starò con tutti per sempre. Starò con la mia famiglia. Anche se mi dici che devo tornare indietro... rimarrò su Rokkenjima."""
Ushiromiya Battler,"""You can stay or you can leave, but it's not as though one of those is ""the right choice"". That's not how it works, Ange."" ","""You can stay or you can leave, but it's not as though one of those is ""the right choice"". That's not how it is, Ange.""","""You can stay or you can leave, but it's not as though one of those is 'the right choice'. That's not how it is, Ange.""",「残るのが正しいとか、帰るのが正しいとか。そういうのじゃないんだよ、縁寿。」,「残るのが正しいとか、帰るのが正しいとか。そういうのじゃないんだよ、縁寿」,"""Ты можешь уйти, а можешь остаться, но ни одно из этих решений не назовёшь правильным выбором. Всё не так, Энджи.""","""Você pode ir ou ficar, mas não é como se uma dessa opções fosse ""a escolha certa"". Não é assim que funciona, Ange.""",「究竟是留下正確，還是回去正確。並不是這樣的問題，緣壽。」,「究竟是留下正确，还是回去正确。并不是这样的问题，缘寿。」,"""Puoi rimanere o puoi andartene, ma non è che una sia la ‘scelta giusta’. {n}Non è così, Ange."""
Ushiromiya Ange,"""...Even so, you'll let me choose...?"" ","""......Even so, you'll let me choose......?""",[=UP],「……それでも、それを私が選ぶの……？」,[=JP],"""......Но ты дашь мне выбрать?..""","""......Mesmo assim, vai me deixar escolher......?""",「……就算如此，我也要做出選擇……？」,「……就算如此，我也要做出选择……？」,"""... Quindi, mi lascerai scegliere...?"""
Ushiromiya Battler,"""Yes. That's what the key is for."" ","""Yes. That's what the key is for.""",[=UP],「そうだよ。その為の鍵が、それなんだよ。」,「そうだよ。その為の鍵が、それなんだよ」,"""Да. Вот зачем нужен ключ.""","""Sim. É pra isso que esta chave serve.""",「是的。這把鑰匙，就是為此而存在的。」,「是的。这把钥匙，就是为此而存在的。」,"""Sì. A questo serve la chiave."""
,Battler touched the glittering key that hung from Ange's neck. ,Battler touched the glittering key that hung from Ange's neck.,[=UP],戦人は、縁寿の胸元で金色に輝くそれを、そっと撫でる。,[=JP],Баттлер дотронулся до сверкающего ключа на шее Энджи.,Battler tocou a cintilante chave que estava dependurada no pescoço de Ange.,戰人輕撫了一下，緣壽胸前閃耀著金色光輝的鑰匙。,战人轻抚了一下，缘寿胸前闪耀着金色光辉的钥匙。,Battler toccò la scintillante chiave che pendeva dal collo di Ange.
Ushiromiya Ange,"""I've...already made my decision."" ","""I've...already made my decision.""",[=UP],「私の答えはもう、決まってるよ。」,「私の答えはもう、決まってるよ」,"""Я... уже приняла решение.""","""Eu já...tomei minha decisão.""",「我的答案，早就已經決定了。」,「我的答案，早就已经决定了。」,"""Ho... già preso la mia decisione."""
Ushiromiya Battler,"""You don't have to decide now. The time to choose will come soon. ...When it does, you must use your honest heart to choose how you'll use that key."" ","""You don't have to decide now. The time to choose will come soon. ......When it does, you must use your honest heart to choose how you'll use that key.""",[=UP],「今は選ばなくていい。選ぶべき時は、すぐに訪れるから。……その時の、縁寿の素直な心で、その鍵をどう使うか、選びなさい。」,「今は選ばなくていい。選ぶべき時は、すぐに訪れるから。……その時の、縁寿の素直な心で、その鍵をどう使うか、選びなさい」,"""Пока не нужно решать. Время выбирать скоро придёт. ......И тогда ты должна будешь искренне выбрать, как воспользоваться этим ключом.""","""Você não precisa decidir agora. A hora de escolher logo chegará. ......Quando chegar, você deve ser honesta com seu coração e usar esta chave.""",「現在不做出選擇也沒關係。該做出選擇的時刻，馬上就會到的。……那個時候，你就遵從自己最真實的想法，來選擇如何使用這把鑰匙。」,「现在不做出选择也没关系。该做出选择的时刻，马上就会到的。……那个时候，你就遵从自己最真实的想法，来选择如何使用这把钥匙。」,"""Non devi decidere ora. Il momento per scegliere arriverà presto. {n}Quando accadrà, dovrai usare il tuo cuore onesto per scegliere come userai quella chiave."""
Ushiromiya Ange,"""............"" ","""...........................""","""............""",「………………………。」,「………………………」,"""...............""",[=UP],[=JPC],[=JPC],"""..."""
Ushiromiya Battler,"""You don't need to listen to anything your Onii-chan tells you. You're free to choose your answer in any way you like. ......However, if you're a good kid, and if you can trust your Onii-chan..."" ","""You don't need to listen to anything I tell you. You're free to decide however you like. ............However, if you're a good kid, and if you can trust your big brother...""","""You don't need to listen to anything I tell you. You're free to decide however you like. .........However, if you're a good kid, and if you can trust your big brother...""",「お兄ちゃんの言うことなんか何も聞かなくてもいい。縁寿のわがままなように、答えを決めても構わない。…………でも。もしも縁寿が良い子で、お兄ちゃんを信用できるなら。」,「お兄ちゃんの言うことなんか何も聞かなくてもいい。縁寿のわがままなように、答えを決めても構わない。…………でも。もしも縁寿が良い子で、お兄ちゃんを信用できるなら」,"""Ты не обязана слушать меня. Можешь решать как знаешь. .........И всё же, если ты хороший ребёнок и доверяешь старшему брату...""","""Não precisa ouvir nada do que eu disser a você. Você é livre para decidir por conta própria. ............Contudo, se for uma boa criança e puder confiar no seu irmão mais velho...""",「哥哥說的話不聽也罷。就由著緣壽自己的性子來選擇，當然也是可以的。…………但是，如果緣壽是好孩子，能信得過哥哥的話。」,「哥哥说的话不听也罢。就由着缘寿自己的性子来选择，当然也是可以的。…………但是，如果缘寿是好孩子，能信得过哥哥的话。」,"""Non devi ascoltare tutto quello che ti dico. Sei libera di decidere come preferisci. ... Tuttavia, se sei una brava bambina, e se puoi credere al tuo Fratellone..."""
Ushiromiya Ange,"""...If I can...?"" ","""......Then what......?""","""......If I can...?""",「……信用できる、なら……？」,[=JP],"""......Если доверяю?..""","""......Se eu puder confiar......?""",「……信得過，的話……？」,「……信得过，的话……？」,"""... Se posso...?"""
Ushiromiya Battler,"""Then believe everything Onii-chan says."" ","""Then believe everything I tell you.""",[=UP],「お兄ちゃんの言うことは、すべて信じなさい。」,「お兄ちゃんの言うことは、すべて信じなさい」,"""Поверь всему, что я тебе скажу.""","""Então acredite em tudo o que eu disser.""",「請相信哥哥所說的一切。」,「请相信哥哥所说的一切。」,"""Allora credi a tutto ciò che ti dico."""
Ushiromiya Ange,"""I'll...believe all of it..."" ","""Believe......everything...""","""I'll......believe you...""",「すべて、……信じる…。」,「すべて、……信じる…」,"""Всему...... что скажешь...""","""Acreditar......em tudo...?""",「相信，……一切…」,[=CHT],"""Io... ti crederò..."""
Ushiromiya Battler,"""That will lead to the best choice for you. Listen to your Onii-chan's words and believe everything. ...Can you do that?"" ","""That will lead to the best choice for you. Listen to my words and believe everything I say. ......Can you do that?""",[=UP],「それが縁寿にとって、一番良い選択になるから。お兄ちゃんの言葉に耳を傾け、そしてすべてを信じなさい。……出来るかい？」,[=JP],"""Так ты придёшь к лучшему выбору. Слушай мои слова и верь всему, что я говорю. ......Можешь?""","""Isso a levará a melhor escolha para você. Ouça minhas palavras e acredite no que eu disser. ......Consegue fazer isso?""",「因為這對緣壽來說，會是最好的選擇。好好聽哥哥的話，然後全都相信。……能做到嗎？」,「因为这对缘寿来说，会是最好的选择。好好听哥哥的话，然后全都相信。……能做到吗？」,"""Ciò porterà alla migliore scelta per te. Ascolta le mie parole e credi a tutto ciò che dico. ... Puoi farlo?"""
Ushiromiya Ange,"""......I don't know."" ","""............I don't know.""",""".........I don't know.""",「…………わかんない。」,「…………わかんない」,""".........Не знаю.""","""............Eu não sei.""",「…………我不知道。」,[=CHT],"""... Non lo so."""
Ushiromiya Battler,"""That's good enough. Believe whatever you want to. That's also a choice you can make."" ","""That's good enough. Just believe whatever you want to. That's also for you to decide.""",[=UP],「それでもいい。信じたいものだけを信じればいい。それも、縁寿が決めていいんだよ。」,「それでもいい。信じたいものだけを信じればいい。それも、縁寿が決めていいんだよ」,"""Сойдёт и так. Верь тому, во что хочешь верить. Это тоже решать тебе.""","""Assim está bom. Acredite naquilo que quiser. Isso também cabe a você decidir.""",「這樣也行。只要相信自己想要相信的事就行了。這也是由緣壽來決定的。」,「这样也行。只要相信自己想要相信的事就行了。这也是由缘寿来决定的。」,"""Va bene lo stesso. Credi solo a ciò che vuoi. Anche per quello sta a te decidere."""
Ushiromiya Ange,"""...If I don't believe Onii-chan, ...will I wake up from this dream...?"" ","""......If I don't believe you, ......will I wake up from this dream...?""",[=UP],「……お兄ちゃんを信じないと。……この夢は、醒めてしまうの…？」,[=JP],"""......Если я не поверю тебе...... этот сон закончится?..""","""......Se eu não acreditar em você, ......vou acordar desse sonho...?""",「……不相信哥哥的話。……這場夢，就會醒來麼…？」,「……不相信哥哥的话。……这场梦，就会醒来么…？」,"""... Se non ti credo... mi sveglierò da questo sogno...?"""
Ushiromiya Battler,"""That won't happen. So don't worry."" ","""That won't happen. So don't worry.""",[=UP],「そんなことはない。だから安心していいよ。」,「そんなことはない。だから安心していいよ」,"""Вовсе нет. Так что не беспокойся.""","""Isso não vai acontecer. Não precisa se preocupar.""",「不會的。所以你大可以放心。」,「不会的。所以你大可以放心。」,"""Non succederà. Quindi non preoccuparti."""
,"For some reason, Ange was suspicious of her brother...and scared of him. ","For some reason, Ange was suspicious of her brother...and scared of him.",[=UP],縁寿は何となく、兄を疑い、怯えていた。,[=JP],Энджи почему‐то относилась к брату с подозрением... и боялась его.,"Por algum motivo, Ange estava suspeitando de seu irmão...e o assustou.",緣壽總歸還是對哥哥有些懷疑，有些懼怕。,缘寿总归还是对哥哥有些怀疑，有些惧怕。,"Per qualche ragione, Ange era sospettosa di suo Fratello... e spaventata da lui."
,"Her wish was to remain on that island on that day, together with her family, forever. ","Her wish was to remain on that island on that day, together with her family, forever."," Her wish was to remain on that island on that day, together with her family, forever.",彼女の希望は、あの日のあの島に、永遠に留まり、家族といつまでも一緒にいること。,[=JP],Она хотела навсегда остаться на острове в тот день вместе со своей семьёй.,"Seu desejo era permanecer na ilha daquele dia, junto com a sua família, para sempre.",她的願望是，能夠永遠地留在那一天的那座島上，和家人永遠在一起。,她的愿望是，能够永远地留在那一天的那座岛上，和家人永远在一起。,"Il suo desiderio era quello di rimanere su quell'isola in quel giorno, insieme alla sua famiglia, per sempre."
,"...She was afraid that, once she got her two miraculous days, ...her brother might tell her to be satisfied with that and return to 12 years in the future all alone. ","......She was afraid that, once she got her two miraculous days, ......her brother might tell her to be satisfied with those, and ask her to return to twelve years in the future all alone.","......She was afraid that, once she got her two miraculous days and accepted them, ...her brother might tell her to return to 12 years in the future all alone.",……奇跡の二日間を得たなら、それに納得し、１２年後の未来にひとりで帰れと、……兄がそんなことを言い出しはしないかと、彼女は怯えていた。,[=JP],"......Она боялась, что как только получит эти два чудесных дня и примет их, ......её брат скажет ей вернуться на 12 лет будущее.","......Ela temia que, uma vez que alcançasse esses dois dias milagrosos, ......seu irmão dissesse a ela para ficar satisfeita com eles, pedindo para que ela retornasse, sozinha, para doze anos no futuro.",……得到了這奇跡的兩天，就應該滿足於此，獨自回到 12 年後的未來吧，……她在懼怕哥哥也許會說出這樣的話語。,……得到了这奇迹的两天，就应该满足于此，独自回到 12 年后的未来吧，……她在惧怕哥哥也许会说出这样的话语。,"... Aveva paura che, una volta che avesse ottenuto i suoi due giorni miracolosi e li avesse accettati... suo Fratello avrebbe potuto dirle di ritornare dodici anni nel futuro tutta sola."
Ushiromiya Battler,"""I already told you. ...There is no right decision. You can go, or you can stay. That's for you to decide. And you don't need to make your decision right now."" ","""I already told you. ......You can go, or you can stay. There is no right decision. That's for you to decide. And you don't need to make your decision right now.""","""I already told you. ......There is no right decision. You can go, or you can stay. That's for you to decide. And you don't need to make your decision right now.""",「さっきも言ったと思う。……残るのが正しいとか、帰るのが正しいとか。そういうのはないんだよ。それを、縁寿が決める。そしてそれは、今すぐ決めなくていい。」,「さっきも言ったと思う。……残るのが正しいとか、帰るのが正しいとか。そういうのはないんだよ。それを、縁寿が決める。そしてそれは、今すぐ決めなくていい」,"""Я уже сказал тебе. ......Правильного решения нет. Ты можешь уйти, а можешь остаться. Решать тебе. И не нужно принимать решение прямо сейчас.""","""Eu já disse. ......Você pode ir ou pode ficar. Não há certo ou errado. Cabe a você decidir. E não precisa decidir isso agora.""",「剛才我已經說過了。……究竟是留下正確，還是回去正確，並不是這樣的問題。這是由你自己決定的。而且，現在不馬上決定也可以。」,「刚才我已经说过了。……究竟是留下正确，还是回去正确，并不是这样的问题。这是由你自己决定的。而且，现在不马上决定也可以。」,"""Te l'ho già detto. ... Non c'è una scelta giusta. Puoi andare, o puoi rimanere. {n}Sta a te decidere. E non hai bisogno di fare la tua decisione adesso."""
Ushiromiya Ange,"""And no one will force me to make either choice...?"" ","""And no one will force me to make either choice...?""",[=UP],「そのどちらかの選択を、誰も強要しない…？」,[=JP],"""И никто не заставит меня выбрать другое?..""","""Ninguém vai me forçar a decidir...?""",「不論哪一個選項，都不會有人來強求…？」,「不论哪一个选项，都不会有人来强求…？」,"""E nessuno mi costringerà a fare una delle scelte...?"""
Ushiromiya Battler,"""Of course."" ","""Of course.""",[=UP],「もちろん。」,「もちろん」,"""Конечно нет.""","""É claro que não.""",「當然了。」,「当然了。」,"""Ovviamente."""
Ushiromiya Ange,"""And Onii-chan won't tell me...to go back to the future...?"" ","""You won't tell me.........to go back to the future......?""","""You won't tell me...to go back to the future......?""",「お兄ちゃんは私に、未来へ帰れなんて、………言わない……？」,[=JP],"""Ты не скажешь мне... вернуться в будущее?..""","""Não vai dizer para eu.........voltar para o futuro......?""",「哥哥你不會對我說，………回未來去……？」,「哥哥你不会对我说，………回未来去……？」,"""Non mi dirai... di ritornare nel futuro...?"""
Ushiromiya Battler,"""...There is a choice your Onii-chan wants you to make. Even so, Onii-chan wants to respect your decision and let you reach it of your own accord, regardless of what it happens to be."" ",""".........There is a choice that I want you to choose. ......I want you to reach that decision by yourself. So, though I hope you make a certain choice, I will respect your decision.""","""......There is a choice that I want you to choose. ......I want you to reach that decision by yourself. So, though I hope you make a certain choice, I will respect your decision.""",「………お兄ちゃんは、縁寿に選んでほしいある選択がある。……それを縁寿が自発的に選んでくれることを望んでる。だから望んではいるが、縁寿の選択は尊重したい。」,「………お兄ちゃんは、縁寿に選んでほしいある選択がある。……それを縁寿が自発的に選んでくれることを望んでる。だから望んではいるが、縁寿の選択は尊重したい」,"""......Есть выбор, который я хочу, чтобы ты сделала. ......Мне хочется, чтобы ты сама приняла это решение. Я надеюсь, что ты сделаешь определённый выбор, но приму твоё решение.""",""".........Há uma escolha que eu quero que você faça. ......Eu quero que chegue a essa decisão sozinha. Por isso, eu espero que faça uma escolha determinada, e eu respeitarei a sua decisão.""",「………哥哥我，的確有著希望你去選擇的選項。……但我希望，那是由你自發選擇的。所以我雖然希望你選擇那個選項，但還是想尊重你的選擇。」,「………哥哥我，的确有着希望你去选择的选项。……但我希望，那是由你自发选择的。所以我虽然希望你选择那个选项，但还是想尊重你的选择。」,"""... C'è una scelta che voglio che tu faccia. ... Voglio che tu la raggiunga da sola. Quindi, anche se spero che tu faccia una certa scelta, rispetterò la tua decisione."""
Ushiromiya Ange,"""And I just told you. I've already made my choice."" ","""And I've already told you. I've already made my choice.""",[=UP],「私もさっき言った。私の答えは、もう決まっているよ。」,「私もさっき言った。私の答えは、もう決まっているよ」,"""А я уже сказала тебе. Я уже сделала выбор.""","""Eu já disse. Eu já fiz a minha escolha.""",「我剛才也說過了。我的回答，早就已經決定了。」,「我刚才也说过了。我的回答，早就已经决定了。」,"""E te l'ho già detto. Ho già fatto la mia scelta."""
Ushiromiya Battler,"""And I just told you. Now isn't the time to choose."" ","""And I told you. Now isn't the time to choose.""",[=UP],「俺もさっき言った。今は、それを選択する時じゃない。」,「俺もさっき言った。今は、それを選択する時じゃない」,"""И я сказал. Пока не время выбирать.""","""E eu também já disse. Não está na hora de escolher ainda.""",「我剛才也說過了。現在，並不是做出選擇的時候。」,「我刚才也说过了。现在，并不是做出选择的时候。」,"""E te l'ho detto. Adesso non è il momento di scegliere."""
Ushiromiya Ange,"""When will it be time?"" ","""When will it be time?""",[=UP],「それはいつ？」,[=JP],"""А когда будет время?""","""E quando vai ser?""",「那要到什麼時候？」,「那要到什么时候？」,"""Quando sarà il momento?"""
