Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Turkish (TR)
,"...He kept on repeating that, as though it formed an uncrossable gap between us. ","...He kept repeating that, as though it were an absolute gap between us.",[=UP],…それが、私との絶対的な差であるとでも言うように、何度も繰り返してきた。,[=JP],"...Он продолжал повторять это, словно между нами была огромная пропасть.","...Ele continuou a repetir isso, como se tivesse uma absoluta lacuna entre nós.",…就像是宣稱，這是我與他的絕對性差距似的，不知反覆說了多少遍。,…就像是宣称，这是我与他的绝对性差距似的，不知反复说了多少遍。,"... Continuava a ripeterlo, come se ci fosse stato un divario assoluto tra noi due.",Sanki aramızda mutlak bir uçurum varmış gibi bunu tekrarlayıp dururdu.
,"I couldn't stand it. Even though I always got better grades than Nii-san, even though I became class president when he never managed more than vice-president, ...even so, Nii-san was considered to be the appropriate successor to the Ushiromiya family just because he was a man. ","I couldn't stand it. Even though I always got better grades than my brother, even though I became class president while he was stuck as vice‐president of his class, ...even so, my brother was considered to be the appropriate person to succeed the Ushiromiya family, just because he was a man."," I couldn't stand it. Even though I always got better grades than my brother, even though while he was stuck as vice-president of his class, I became class president, ...even so, my brother was considered to be the appropriate person to succeed the Ushiromiya family just because he was a man.",私は悔しかった。兄よりも常に良い成績を残しているのに、兄は副会長止まりだった生徒会も、私は会長にまでなったのに、…それでも右代宮家の跡継ぎには男であるというだけの理由で、兄が相応しいとされていたからだ。,[=JP],"Я не могла этого вынести. Даже при том, что я всегда училась лучше брата, даже при том, что он застрял на посту вице‐президента класса, тогда как я стала президентом... Даже при подобном раскладе мой брат рассматривался как надлежащий наследник семьи Уширомия только потому, что он мужчина.","Eu não conseguia suportar isso. Mesmo pensando que eu sempre tirava notas melhores que as dele, mesmo pensando que eu me tornei presidente da turma enquanto ele não passava do vice‐presidente da turma dele, ...mesmo assim, meu irmão sempre se considerou a pessoa apropriada para suceder a família Ushiromiya, apenas porque ele era homem.",我十分懊惱。我的成績一直都比哥好，哥只能當到副會長的學生會，我當上了會長，…可儘管如此，右代宮家的繼承人之位，還是僅以一個“得是男人”的理由，成了哥的囊中之物。,我十分懊恼。我的成绩一直都比哥好，哥只能当到副会长的学生会，我当上了会长，…可尽管如此，右代宫家的继承人之位，还是仅以一个“得是男人”的理由，成了哥的囊中之物。,"Non potevo sopportarlo. Anche se prendevo sempre voti migliori dei suoi, anche se io sono diventata rappresentante della mia classe, mentre lui si era bloccato a vice-rappresentante della sua... nonostante ciò, mio fratello era considerato la persona appropriata come capofamiglia solo perché era un uomo.","Buna dayanamıyordum. Her zaman ondan daha iyi notlar almış olsam da, o sınıf başkan yardımcısı olarak kalırken ben sınıf başkanı olsam da, ...sırf erkek olduğu için Ushiromiya ailesinin başına geçmesi gereken kişinin o olduğu düşünülüyordu."
,"Of course, you could find gender discrimination everywhere in those days. No, it was even considered a virtue in that era. ","Of course, you could get away with gender discrimination in those days.{n}No, it was even considered a virtue in those days."," Of course, you could get away with gender discrimination in those days. No, it was even considered a virtue in those days.",確かに、男女差別が罷り通っていた時代だった。いや、それが美徳とさえされている時代だった。,確かに、男女差別が罷り通っていた時代だった。{n}いや、それが美徳とさえされている時代だった。,"Конечно, в те дни половая дискриминация правила бал.{n}Нет, её тогда даже считали достоинством.","É claro, naquela época você poderia desconsiderar que isso era uma discriminação de gênero.{n}Não, naquela época poderia até ser considerado uma virtude.",確實，那是一個盛行男女有別的時代。{n}不，應該說是甚至將此稱為美德的時代。,确实，那是一个盛行男女有别的时代。{n}不，应该说是甚至将此称为美德的时代。,"Ovviamente, la discriminazione dei sessi era comune in quei giorni. {n}No, era un'epoca in cui veniva considerata una virtù.","Elbette, cinsiyet ayrımcılığı o günlerde yanınıza kâr kalabiliyordu.{n}Hayır, o günlerde bu bir erdem olarak bile görülüyordu."
,"During that despicable time, people said that when a woman is born, she obeys her parents, when she gets married, she obeys her husband, and when she gets old, she obeys her children. ","It was a time when women were looked down upon, and it was said that when a woman is born, she is to obey her parents; when she gets married, she is to obey her husband; and when she gets old, she is to obey her children."," It was a despicable time. People said that, when a woman is born, they obey their parents, when they get married, they obey their husbands, and when they get old, they obey their children.",女は、生まれては親に従い、嫁いでからは夫に従い、老いては子に従えと言われた、蔑まれた時代だった。,[=JP],"То было презренное время. Люди считали, что когда рождается женщина, она обязана повиноваться своим родителям, в замужестве она повинуется мужу, а впоследствии в старости — своим детям.","Um tempo onde as mulheres eram tratadas como inferiores. Dizem que quando uma mulher nasce, ela deve obedecer seus pais, quando ela casa, deve obedecer seu marido e, quando envelhece deve, obedecer seu filho.",是將女人輕蔑為，在家從父，既嫁從夫，老來從子的時代。,是将女人轻蔑为，在家从父，既嫁从夫，老来从子的时代。,"Era un'epoca spregevole. Si diceva che, quando una donna nasceva, obbediva ai suoi genitori, quando si sposava, obbediva al marito, e quando invecchiava, obbediva ai suoi figli.","Kadınların hor görüldüğü bir dönemdi ve bir kadının doğduğunda anne babasına, evlendiğinde kocasına ve yaşlandığında da çocuklarına itaat etmesi gerektiği söylenirdi."
,"But that was exactly why I wanted to turn that on its head. ...Innocently, I kept trying to prove that I was the most fit. ","But because that way of thinking existed, I wanted to overturn it.{n}......Innocently, I kept trying to prove that I was the most fit."," But because that way of thinking existed, I wanted to overturn it.......Innocently, I kept trying to prove that I was the most fit.",でも、だからこそ私は、それを覆したかった。……純粋に、自らがもっともそれに相応しくあるように努力を重ねたのだ。,でも、だからこそ私は、それを覆したかった。{n}……純粋に、自らがもっともそれに相応しくあるように努力を重ねたのだ。,"Но именно существование подобного образа мыслей вызывало у меня жгучее желание опровергнуть его.{n}......И я невинно и наивно продолжала попытки доказать, что я подходила лучше всего.","Mas é porque essa forma de pensar existia que eu queria contrariá‐la.{n}......Inocentemente, eu continuei a tentar provar que eu era a mais adequada.",不過，正因如此，我才想將此顛覆。{n}……純粹地，為了讓自己最適合當繼承人，而付出了無數努力。,不过，正因如此，我才想将此颠覆。{n}……纯粹地，为了让自己最适合当继承人，而付出了无数努力。,"Ma proprio perché esisteva questo modo di pensare, io volevo cambiarlo. ... Continuai a provare innocentemente che ero io la più adatta.","Ama bu düşünce tarzı varlığını sürdürdüğü için onu yıkmak istedim.{n}......Bilinçsizce, en uygun kişinin ben olduğumu kanıtlamaya çalıştım."
,"...However, I eventually realized that all of my efforts had been doomed from the beginning. ","......However, eventually, I realized that all of my efforts were doomed from the beginning.",[=UP],……しかし、結局、初めから認められない努力だった。,[=JP],"......Однако в конечном счёте, я осознала, что все мои усилия были обречены с самого начала.","......Entretanto, eventualmente eu percebi que todos os meus esforços estavam condenados desde o início.",……然而，歸根到底，這只是原本就不會獲得認可的努力。,……然而，归根到底，这只是原本就不会获得认可的努力。,"... Però, alla fine, mi accorsi che tutti i miei sforzi erano condannati sin dall'inizio.","......Ancak, nihayetinde, tüm çabalarımın daha en başından sonuçsuz olduğunu fark ettim."
Ushiromiya Krauss,"""Wouldn't you say schooling for women is like sugar in black tea? The taste is dull and flat without it, but too much ruins the whole thing."" ","""Don't you think that schooling for women is like sugar in black tea? Without it, it is bland, but too much of it ruins the tea.""","""Don't you think that schooling for women is like sugar in black tea? Without it, there's no taste, but too much of it ruins the tea.""",「女の学力は、紅茶の砂糖にも似ていると思わないかね？　ないのも味気ないが、過ぎれば紅茶の味わいを大いに損なう。」,「女の学力は、紅茶の砂糖にも似ていると思わないかね？　ないのも味気ないが、過ぎれば紅茶の味わいを大いに損なう」,"""Разве ты не думаешь, что образование для женщины подобно сахару в чёрном чае? Без него нет никакого вкуса, но чрезмерное его количество портит чай.""","""Você não acha que escolaridade para uma mulher é como açúcar no chá preto? Sem ele, se torna brando, mas se colocar demais, pode acabar com o chá.""",「覺不覺得，女人的學力就像搭配紅茶的砂糖？雖然不加是會缺少點味道，但加多了可是會大大損害紅茶的風味。」,「觉不觉得，女人的学力就像搭配红茶的砂糖？虽然不加是会缺少点味道，但加多了可是会大大损害红茶的风味。」,"""Non pensi che la scuola per le donne sia come lo zucchero nel tè nero? Senza di esso, non c'è gusto, ma troppo lo rovina.""","""Kadınlar için eğitimin siyah çaydaki şeker gibi olduğunu düşünmüyor musun? Şekersiz yavan oluyor ama fazlası da çayı mahvediyor."""
Ushiromiya Eva,"""...What do you mean by that, Nii-san?"" ","""...What do you mean by that, Nii‐san?""","""...What do you mean by that, Nii-san?""",「…それはどういう意味よ、兄さん。」,「…それはどういう意味よ、兄さん」,"""...Что ты хочешь этим сказать, нии‐сан?""","""...O que você quer dizer com isso, nii‐san?""",「…這是什麼意思？哥。」,「…这是什么意思？哥。」,"""... Cosa vuoi dire, Nii-san?""","""...Ne demek istiyorsun, Nii-san?"""
Ushiromiya Krauss,"""Just as there are roles that only men can fill, there are also roles that can only be filled by women, correct? I do believe giving birth to children, raising them, and supporting the master of the house are roles that can only be filled by women."" ","""In the same way that there are things that only men can do, there are also things that only women can do, are there not? I think things like giving birth to children, raising them, and supporting their husband can only be done by women.""","""Just like how there are things that only men can do, there are things that only women can do, right? I think things like giving birth to children, raising them, and supporting their husband can only be done by women.""",「男には、男にしか勤められないことがあるように、女とて、女にしか勤められないことがあるんじゃないかね？　子を産み、育て、一家の主を支えるのは、女でなければ出来ぬ勤めだと思うがね。」,「男には、男にしか務められないことがあるように、女とて、女にしか務められないことがあるんじゃないかね？　子を産み、育て、一家の主を支えるのは、女でなければ出来ぬ務めだと思うがね」,"""Есть вещи, которые могут делать только мужчины и есть вещи, которые могут делать только женщины, верно? Я полагаю, что такие вещи, как рождение ребёнка и его воспитание, а также поддержка мужа могут быть осуществлены только женщинами.""","""Da mesma forma que existem coisas que só os homens podem fazer, também existem coisas que só as mulheres podem fazer, não acha? Eu acredito que dar à luz a um filho, criá‐lo e dar apoio ao seu marido, são coisas que só podem ser feitas por mulheres.""",「就跟男人有只有男人能盡的責一樣，女人，是不是也有只有女人能盡的責呢？生兒育女，支撐一家之主，可是只有女人能盡得到的責任呢。」,「就跟男人有只有男人能尽的责一样，女人，是不是也有只有女人能尽的责呢？生儿育女，支撑一家之主，可是只有女人能尽得到的责任呢。」,"""Proprio come ci sono cose che possono fare solo gli uomini, ci sono cose che solo le donne possono svolgere, giusto? Penso che cose come dare alla luce i bambini, crescerli, e aiutare il marito possano essere fatte solo dalle donne.""","""Sadece erkeklerin yapabileceği şeyler olduğu gibi, sadece kadınların yapabileceği şeyler de var, değil mi? Çocuk doğurmak, onları büyütmek ve kocalarına destek olmak gibi şeylerin sadece kadınlar tarafından yapılabileceğini düşünüyorum."""
Ushiromiya Eva,"""Are you trying to say there's no need for a woman to work or study?"" ","""Are you trying to say that there's no need for a woman to do things like work and study?""",[=UP],「女には、勉強や仕事をする必要がないと言いたいの？」,[=JP],"""Намекаешь, что женщинам нет нужды заниматься работой и обучением?""","""Está dizendo que existem coisas que são desnecessária para mulheres, como trabalho e estudo?""",「你是想說女人不用去工作、學習？」,「你是想说女人不用去工作、学习？」,"""Stai cercando di dire che non c'è bisogno di una donna che lavori e studi?""","""Bir kadının çalışmak ve okumak gibi şeyleri yapmasına gerek olmadığını mı söylemeye çalışıyorsun?"""
Ushiromiya Krauss,"""I wouldn't go that far. Talking to an unschooled woman is tiring and nothing more. ...However, women are even more tiring when they're too smart. I do believe that a woman as violently assertive as you would bring no end of hardship to her future husband."" ","""I wouldn't go that far. Unschooled women are tiring just to talk to. ...However, women who are too smart are even more tiring. I think that a woman like you, who vehemently asserts herself, would cause her future husband a lot of trouble.""","""I wouldn't go that far. It's tiring just talking with an unschooled woman. ...However, women who are too smart are even more tiring. I think that a woman like you, who violently asserts herself, would cause their future husband a lot of trouble.""",「そこまでは言わんよ。無学な女など、話していても疲れるだけだ。…だが、あまり頭が良過ぎる女はもっと疲れる。お前のように、自己主張の激しい女では、未来の夫もさぞや苦労すると思うのだがね。」,「そこまでは言わんよ。無学な女など、話していても疲れるだけだ。…だが、あまり頭が良過ぎる女はもっと疲れる。お前のように、自己主張の激しい女では、未来の夫もさぞや苦労すると思うのだがね」,"""Я бы не был настолько категоричен. С необразованной женщиной утомительно вести беседу. ...Однако разговор со слишком образованной ещё более утомителен. Я думаю, что такая яростно самоутверждающаяся женщина, как ты, доставит своему мужу в будущем множество проблем.""","""Eu não iria tão longe. Mulheres sem educação se tornam cansativas até para conversar. ...No entanto, mulheres inteligentes demais são ainda mais cansativas. Eu acho que uma mulher como você, que se afirma veementemente, pode causar muitos problemas ao seu futuro marido.""",「我可沒講到這地步。跟無知的女人談話，只是找累受。…但是，換做腦筋聰明過頭的女人，那就會更累。像你這樣太有自我主張的女人，想必會使你的未來丈夫勞心受苦。」,「我可没讲到这地步。跟无知的女人谈话，只是找累受。…但是，换做脑筋聪明过头的女人，那就会更累。像你这样太有自我主张的女人，想必会使你的未来丈夫劳心受苦。」,"""Non dico questo. Il solo parlare con una donna ignorante è stancante. ... Però, le donne troppo intelligenti sono ancora più stancanti. Penso che una donna come te, che si impone violentemente, causerebbe molti guai al suo futuro marito.""","""O kadar ileri gitmezdim. Eğitimsiz kadınlarla konuşmak bile yorucu. ...Ancak, çok zeki kadınlar daha da yorucu oluyor. Bence senin gibi kendini şiddetle savunan bir kadın, gelecekteki kocasının başına büyük dertler açacaktır."""
Ushiromiya Eva,"""Are you trying to say that a woman has to marry and hide in the shadow of her husband? That's none of your business!"" ","""Are you trying to say that a woman must marry and stay in the shadow of their husband? That's none of your business!""",[=UP],「女は結婚して夫の影にいろと、そう言いたいの？　余計なお世話よ！」,[=JP],"""Так по‐твоему женщина должна выйти замуж и стоять в тени своего мужа? Это не твоё дело!""","""Está tentando dizer que uma mulher deve casar e permanecer à sombra de seu marido? Isso não é da sua conta!""",「“女人就去結婚，待在丈夫背影裡”，你是想這麼說吧？多管閑事！」,「“女人就去结婚，待在丈夫背影里”，你是想这么说吧？多管闲事！」,"""Stai cercando di dire che una donna debba sposarsi e restare nell'ombra di suo marito? Non sono cose che ti interessano!""","""Bir kadının evlenmesi ve kocasının gölgesinde kalması gerektiğini mi söylemeye çalışıyorsun? Bu seni hiç ilgilendirmez!"""
Ushiromiya Krauss,"""Though you're my younger sister, I can look up to you for the respect you hold for Father and your desire to become a daughter worthy of him. Even I am capable of feeling respect for such noble sentiments."" ","""I admire you as my little sister for feeling that you should respect Father and become a proper daughter for him. Even I can respect that.""",[=UP],「お前が親父殿を尊敬していて、その娘として相応しくありたいと思う気持ちは、我が妹ながら見上げたものだよ。私にも尊敬できることだ。」,「お前が親父殿を尊敬していて、その娘として相応しくありたいと思う気持ちは、我が妹ながら見上げたものだよ。私にも尊敬できることだ」,"""Я восхищаюсь тобой как моей младшей сестрой из‐за стремления чтить отца и быть для него достойной дочерью. Даже я могу уважать это.""","""Eu a admiro, minha irmãzinha, por sentir que você respeita nosso pai e busca se tornar uma filha digna para ele. Mesmo eu respeito isso.""",「你尊敬父親大人，身為他的女兒，想使自己與此般配的心意，作為我的妹妹值得欽佩。連我都尊敬你啊。」,「你尊敬父亲大人，身为他的女儿，想使自己与此般配的心意，作为我的妹妹值得钦佩。连我都尊敬你啊。」,"""Ti ammiro, come sorella minore, per il tuo sentimento di rispetto verso nostro Padre e perché potrai diventare una figlia degna di lui. Posso rispettare queste cose.""","""Küçük kız kardeşim olarak babama saygı duyman ve ona uygun bir evlat olman gerektiğini hissettiğin için sana hayranım. Ben bile buna saygı duyabilirim."""
Ushiromiya Eva,"""That's just disgusting. What's this about ""noble sentiments""? I'd call that flowery prose, coming from you. Are you pretending to be the Head already?"" ","""Disgusting. What is this {ruby:neutral/polite ""I"":""watashi""}? You've always used {ruby:rough/casual ""I"":""ore""}. Are you already pretending to be the head?""","""That's just disgusting. What is this '{c:86EF9C:watashi}'? Even though you always used to use '{c:86EF9C:ore}'. Are you already pretending to be the head?""",「気持ち悪い。何が“私”よ。この間まで“俺”だったくせに。もう当主気取りなの？」,[=JP],"""Это отвратительно. Что за {ruby:нейтральное/вежливное 'я':'ватаси'}? При том, что ты постоянно использовал {ruby:резкое/грубое 'я':'оре'}. Ты уже представляешь себя главой?""","""Que repugnante. O que é esse {ruby:neutro/polido ""eu"":""watashi""}? Você sempre usou {ruby:áspero/casual ""eu"":""ore""}. Já pretende se tornar o chefe?""",「噁心。什麼“我”啊？明明直到前一陣子，還自稱“咱”呢。已經自以為是當主了？」,「恶心。什么“我”啊？明明直到前一阵子，还自称“咱”呢。已经自以为是当主了？」,"""È disgustoso. Cos'è questo ‘{c:86EF9C:watashi}’? Tu usavi sempre ‘{c:86EF9C:ore}’. Vuoi già essere il capo?""","""İğrenç. Bu {ruby:nötr/kibar ""ben"":""watashi""} de ne? Her zaman {ruby:sert/gündelik ""ben"":""ore""} kullandın. Şimdiden reismiş gibi mi davranıyorsun?"""
Ushiromiya Krauss,"""The decision that I should succeed the Headship has been established from the very beginning. And yet, you seem to be laboring under the illusion that you might become the Head, hence the useless and reckless efforts you've expended thus far."" ","""It was decided that {i:{ruby:watashi:I}} would succeed the head from the beginning. And yet you seem to be laboring under the illusion that you can become the head, and have just been making useless and reckless attempts to do that.""","""It was decided that 'I (watashi)' would succeed the head from the beginning. Even so, you seem to be laboring under the illusion that you can become the head, and have just been making useless and reckless attempts to do that.""",「当主は“私”が継ぐことに最初から決まっている。にもかかわらず、お前は自分も当主になれるかのように錯覚して、無駄かつ暴走した努力をしているに過ぎんのだよ。」,「当主は“私”が継ぐことに最初から決まっている。にもかかわらず、お前は自分も当主になれるかのように錯覚して、無駄かつ暴走した努力をしているに過ぎんのだよ」,"""С самого начала было решено, что {i:{ruby:ватаси:я}} буду главой. Но даже так, ты, похоже, тешишься иллюзией, будто сможешь стать главой, и совершала бесполезные и опрометчивые поступки для осуществления этого .""","""Desde o princípio foi decidido que {i:{ruby:watashi:eu}} deveria ser o sucessor. E você ainda parece estar trabalhando sob a ilusão de que vai se tornar a chefe, e tem feito apenas tentativas inúteis e imprudentes para conseguir isso.""",「當主由“我”來繼承是一開始就注定好了的。可儘管如此，你還錯以為自己也能成為當主，你只不過是在付出既無謂又胡來的努力。」,「当主由“我”来继承是一开始就注定好了的。可尽管如此，你还错以为自己也能成为当主，你只不过是在付出既无谓又胡来的努力。」,"""È stato deciso che ‘io (watashi)’ avrei succeduto il capo dall'inizio. Ciononostante, sembra che tu ti stia illudendo del fatto che possa diventare tu il capo, e hai fatto solo inutili e avventati tentativi per riuscirci.""","""En başından beri {i:{ruby:watashi:benim}} reis olacağıma karar verilmişti. Yine de reis olabileceğin yanılsamasıyla hareket ediyorsun ve bunu yapmak için işe yaramaz ve gereksiz çabalarda bulunuyorsun."""
Ushiromiya Eva,"""Reckless efforts...?! Is it really that bizarre for me to say I want to go to college?!"" ","""Reckless attempts, you say...?! Is my saying that I want to go to college really that odd?!""",[=UP],「暴走した努力ですって…？！　私が大学院に進みたいと言い出すのが、そんなにもおかしいって言うの？！」,[=JP],"""Опрометчивые, говоришь?! Я сказала, что хочу поступить в колледж. Это странно?!""","""Tentativas imprudentes...?! Dizer que quero ir para a faculdade é mesmo tão estranho assim?!""",「胡來的努力…？！我提出想去進修研究生，是有這麼可笑嗎？！」,「胡来的努力…？！我提出想去进修研究生，是有这么可笑吗？！」,"""Avventati tentativi, dici...?! Il fatto che voglia andare al college è davvero così strano?!""","""Gereksiz çabalar mı...?! Üniversiteye gitmek istediğimi söylemem gerçekten o kadar tuhaf mı?!"""
Ushiromiya Krauss,"""Yes, it is bizarre. You undoubtably are the oldest daughter of the glorious Ushiromiya family. One day, you will support that family crest by being wed to the partner most valuable for Father. ","""Yes, it's odd. Indeed, you are the eldest daughter of the glorious Ushiromiya family. Eventually, you will bear the responsibility of that family crest, and be wed to the partner who is most valuable for Father.""","""Yes, it's odd. You are surely the oldest daughter of the glorious Ushiromiya family. Eventually, you will bear the family seal, and be wed to a partner who is most valuable for Father.",「あぁ、おかしいね。お前は確かに栄光ある右代宮家の長女だよ。やがてはその家紋を背負って、父にとってもっとも価値ある相手と婚約することになるだろう。,「あぁ、おかしいね。お前は確かに栄光ある右代宮家の長女だよ。やがてはその家紋を背負って、父にとってもっとも価値ある相手と婚約することになるだろう」,"""Да, это странно. Бесспорно, ты старшая дочь славной семьи Уширомия. В конечном счете, ты заполучишь печать семьи и выйдешь замуж за наиболее полезного отцу человека.""","""Sim, é estranho. De fato, você é a filha mais velha da gloriosa família Ushiromiya. Eventualmente, terá que suportar a responsabilidade do brasão da família e se casar com alguém que seja mais valioso para o pai.""",「是啊，可笑。確實你是光榮的右代宮家的長女。總有一天會背負家徽，與對父親來說最有價值的男性締結婚約。」,「是啊，可笑。确实你是光荣的右代宫家的长女。总有一天会背负家徽，与对父亲来说最有价值的男性缔结婚约。」,"""Sì, è strano. Sei ovviamente la figlia più grande della famiglia Ushiromiya. {n}Un giorno, porterai il marchio della famiglia, e ti sposerai con un partner che sarà utile per nostro Padre.","""Evet, tuhaf. Hakikaten de şanlı Ushiromiya ailesinin en büyük kızısın. Sonunda, bu aile armasının sorumluluğunu taşıyacak ve Babam için en faydalı olan kişiyle evleneceksin."""
Ushiromiya Krauss,"...However, excessive learning is not what's being asked of you. What you need are gentle feelings that will allow you to care for your husband, the ability to handle housework, and a humble demeanor that will reflect well on the master of your household. These are all skills you lack utterly. In the end, can you really call yourself a suitable daughter of the Ushiromiya Family?"" ","""...However, what will be demanded of you then is not an excess of knowledge. It is gentle feelings to care for your husband and ability in housework, and it is a humble demeanor that will support the master of your household. You are completely lacking in all of those things. In the end, is that really proper for a daughter of the Ushiromiya family?"""," ...However, what is asked from you is not excess learning. It is gentle feelings to care for your husband and ability in housework, and it is a humble demeanor that will support the master of your household. You are completely lacking in all of those things. In the end, is that really proper for a daughter of the Ushiromiya family?""",…だが、そこで求められるのは過剰な学識ではない。夫を労わるやさしい気持ちと家事能力、そして一家の長を立てる控えめな態度だ。お前にはそれが完全に欠落している。それは右代宮家の令嬢として、果たして相応しいことなのかね？」,「…だが、そこで求められるのは過剰な学識ではない。夫を労わるやさしい気持ちと家事能力、そして一家の長を立てる控えめな態度だ。お前にはそれが完全に欠落している。それは右代宮家の令嬢として、果たして相応しいことなのかね？」,"""...Тем не менее, тебя никто не просил получать лишнее образование. От тебя ожидают нежных чувств к своему мужу, способностей в работе по дому и скромного поведения, призванного поддержать главу твоего домашнего хозяйства. Ты же абсолютно лишена всех этих качеств. И вот являются ли подобные упущения достойными дочери семьи Уширомия?""","""...No entanto, o que isto vai demandar de você não é o excesso de conhecimento. São os gentis sentimentos de cuidar de seu marido e suas habilidades como dona de casa, bem como um comportamento humilde para dar suporte ao mestre de sua casa. Você é completamente desfavorecida de todas essas coisas. No fim, isso é mesmo ser uma filha digna da família Ushiromiya?""",「…但是，此事不求你有過剩的學識。需要你有的，是不勞丈夫費心的溫柔淑德與家務能力，以及為一家之長立威、謹言慎行的態度。可你完全欠缺了這些。這樣子究竟算不算，與右代宮家千金的身份相般配啊？」,「…但是，此事不求你有过剩的学识。需要你有的，是不劳丈夫费心的温柔淑德与家务能力，以及为一家之长立威、谨言慎行的态度。可你完全欠缺了这些。这样子究竟算不算，与右代宫家千金的身份相般配啊？」,"... Ma ciò che ti viene chiesto è di non eccedere nell'apprendimento. Ti servono sentimenti gentili per prenderti cura di tuo marito e l'abilità nei lavori di casa, e un comportamento umile che supporterà il padrone di casa. Manchi completamente di tutte queste cose. Alla fine, è davvero valido per una figlia della famiglia Ushiromiya?""","""...Ancak, o zaman senden talep edilecek olan şey aşırı bilgi sahibi olman olmayacak. Kocanla ilgilenmek ve ev işlerinde yetenekli olmak nazik duygulardır ve evinin efendisini destekleyecek alçakgönüllü bir tavırdır. Sen bunların hepsinden tamamen yoksunsun. Neticede, bu Ushiromiya ailesinin bir kızı için gerçekten uygun mu?"""
Ushiromiya Eva,"""I have no intention of being some secluded lady! I just want to become the person most capable of assisting Father at his work!"" ","""I have no intention of being a secluded daughter! I just want to become the best person who can help Father with his work!""",[=UP],「私は深窓の令嬢のつもりなんかないわよ！　お父様の仕事を手伝ってあげられる最高の人間でありたいと思っただけよ！」,[=JP],"""У меня нет ни малейшего желания быть затворной дочерью! Я просто хочу стать человеком, лучше всего способным помочь отцу в его трудах!""","""Eu não tenho intenção de me tornar uma filha digna que vive isolada! Eu só quero me tornar a melhor pessoa para ajudar nosso pai com seu trabalho!""",「我可不打算做深閨大小姐！我只是想成為能給爸的事業幫上忙的，最傑出的人而已！」,「我可不打算做深闺大小姐！我只是想成为能给爸的事业帮上忙的，最杰出的人而已！」,"""Non ho intenzione di essere una figlia segregata! Voglio solo diventare la persona migliore che possa aiutare nostro Padre con il suo lavoro!""","""Gözlerden uzak bir evlat olmaya niyetim yok! Sadece babama işinde yardımcı olabilecek en iyi kişi olmak istiyorum!"""
Ushiromiya Krauss,"""Then shouldn't you do so in a manner befitting an Ushiromiya Family daughter...? What is it with you? You're still mannish even at your age, and you've never learned how to wear makeup in a way that will please men, much less how to cook and do housework. I hear you've even been learning how to brawl."" ","""In which case, should you not be aiming to become worthy as a daughter of the Ushiromiya family...? What is it with you? Even at this age, you still act like a man, you are careless with housework and cooking, and you never wear any makeup to please men. Recently I've heard that you've even been training to learn how to brawl.""","""And isn't that improper for a daughter of the Ushiromiya family...? What is it with you? Even at this age, you still act like a man, you are careless with housework and cooking, and you never wear any makeup to please men. I've heard that you've even been training to learn how to brawl.""",「なら、それは右代宮家令嬢として相応しくあるべきではないのかね…？　お前と来たら何だね。いい年をして未だに男勝りで、家事炊事は愚か、男を喜ばせる化粧ひとつ身に付けていないじゃないか。最近は喧嘩の稽古までしてるというじゃないかね。」,「なら、それは右代宮家令嬢として相応しくあるべきではないのかね…？　お前と来たら何だね。いい年をして未だに男勝りで、家事炊事は疎か、男を喜ばせる化粧ひとつ身に付けていないじゃないか。最近は喧嘩の稽古までしてるというじゃないかね」,"""Да разве это правильно для дочери семьи Уширомия?.. Что с тобой? Даже в таком возрасте ты все ещё пытаешься вести себя как мужчина, небрежна в работе по дому и готовке, да вдобавок никогда не пользуешься косметикой, чтобы нравиться мужчинам. Я даже слыхал, что ты училась драться.""","""Em qualquer caso, você não deve almejar se tornar uma filha digna da família Ushiromiya...? Qual o seu problema? Mesmo com essa idade, você continua agindo como homem. Você é descuidada com o trabalho de casa e não sabe cozinhar, e você nunca usou nenhuma maquiagem para tentar agradar a um homem. Recentemente, eu ouvi que você vem treinando para aprender a lutar.""",「既然如此，你是不是更應該努力使自己配得上右代宮家千金的身份呀…？而你又會些什麼呢？老大不小的人了，還要和男人爭強好勝，別說家務廚藝了，連討男人歡心的妝都不知道化一個。最近還甚至學起打架來了。」,「既然如此，你是不是更应该努力使自己配得上右代宫家千金的身份呀…？而你又会些什么呢？老大不小的人了，还要和男人争强好胜，别说家务厨艺了，连讨男人欢心的妆都不知道化一个。最近还甚至学起打架来了。」,"""E non è inappropriato per una figlia della famiglia Ushiromiya...? Che ti prende? Persino a quest'età agisci ancora come un uomo, non ti importa di fare la casalinga e cucinare, e non ti metti trucchi per far piacere agli uomini. Ho sentito che hai anche iniziato ad allenarti per poterti azzuffare.""","""Bu durumda, Ushiromiya ailesine layık bir kız olmayı hedeflemen gerekmiyor mu...? Neyin var senin? Bu yaşta bile hâlâ bir erkek gibi davranıyor, ev işlerini ve yemek yapmayı umursamıyor ve erkekleri memnun etmek için hiç makyaj yapmıyorsun. Son zamanlarda nasıl dövüşüleceğini öğrenmek için antrenman yaptığını bile duydum."""
