Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,"""Spin the chessboard around"" was one of Kyrie-san's favorite phrases. ...I've been influenced by those words and use them myself from time to time. ","""Flip over the chessboard"" was one of Kyrie‐san's favorite phrases.{n}...I had also been influenced by those words, and used them myself from time to time.","'Turn the chessboard over' was one of Kyrie-san's favorite phrases....I had also been influenced by those words, and used them myself from time to time.",チェス盤をひっくり返す、というのは霧江さんの口癖だ。…俺もこの言葉に感化され、たまに使ったりする。,チェス盤をひっくり返す、というのは霧江さんの口癖だ。{n}…俺もこの言葉に感化され、たまに使ったりする。,"""Развернуть шахматную доску"" было одним из любимых выражений Кирие‐сан.{n}...Я тоже был под впечатлением от этих слов и использовал их время от времени.","""Virar o tabuleiro"" era uma das frases favoritas da Kyrie‐san.{n}...E eu também fui influenciado por essas palavras, e passei a usá‐las de tempos em tempos.",“把國際象棋盤翻轉過來”這句話是霧江姐的口頭禪。{n}…受她的影響，偶爾我也會把這句話拿來用用。,“把国际象棋盘翻转过来”这句话是雾江姐的口头禅。{n}…受她的影响，偶尔我也会把这句话拿来用用。,"""Memutar papan catur"" adalah salah satu frasa favorit Kyrie-san. ...Aku sendiri sering terpengaruh oleh kata-kata itu dan memakainya dari waktu ke waktu. ","‘Gira la scacchiera’ era una delle frasi preferite da Kyrie-san. ... Anche io ero stato influenzato da quelle parole, e ogni tanto le usavo anch'io.","‘Rigirare la scacchiera’ era una delle frasi preferite di Kirie-san... Sono stato influenzato anch'io da quella frase, e ogni tanto la uso.","""Satranç tahtasını ters çevirmek"" Kyrie-san'ın en sevdiği sözlerden biriydi.{n}...Ben de bu sözden etkilenmiş ve zaman zaman kendim de kullanmıştım."
,"When you get stuck trying to find a move in chess or Shogi, then by spinning the board around and looking at everything from your opponent's standpoint, you can often see a strategy that'll give you the upper hand. ","When you get stuck trying to find a move in chess or shogi, by flipping the board over and looking at everything from your opponent's standpoint, you can often see a strategy that would give you the upper hand."," When you got stuck trying to find a move in chess or Shogi, by turning the board over and looking at everything from your opponent's standpoint, you could often see a strategy that would give you the upper hand.",チェスや将棋は、手に詰まった時、盤面をひっくり返すと、相手側から全体を見ることで打開策が見えることが少なくないという。,[=JP],"Когда вы застряли, пытаясь сделать правильный ход в шахматах и сёги, то развернув доску и взглянув на сложившуюся ситуацию с точки зрения вашего оппонента, часто можно разглядеть стратегию, которая поможет вам одержать верх.","Quando você fica preso tentando encontrar um movimento em um jogo de xadrez ou shogi, virar o tabuleiro e olhar tudo pelo ponto de vista do seu oponente pode te permitir ver a estratégia dele e obter dicas.",據她所說，在國際象棋和將棋中，常有在無棋可走時，把盤面翻轉過來從對手的位置上縱觀全局，以此來找出打破僵局方法的情況。,据她所说，在国际象棋和将棋中，常有在无棋可走时，把盘面翻转过来从对手的位置上纵观全局，以此来找出打破僵局方法的情况。,"Kalau kau buntu mencari langkah dalam catur atau shogi, maka dengan memutar papan dan melihat dari sudut pandang lawan, kau sering bisa melihat strategi untuk membalik keadaan. ","Quando ti trovi bloccato negli scacchi o negli Shogi, girando la scacchiera e guardando tutto dal punto di vista del tuo avversario, spesso riesci a vedere una strategia che ti darebbe la supremazia della partita.","Quando ci si ritrova bloccati negli scacchi o negli shōgi, rigirando la scacchiera e osservando il tutto dal punto di vista dell'avversario, spesso si individua un piano per uscire dalla situazione di stallo.","Satrançta ya da shogi'de bir hamle bulmaya çalışırken takıldığınızda, tahtayı ters çevirip her şeye rakibinizin bakış açısından bakarak, genellikle size üstünlük sağlayacak bir strateji görebilirsiniz."
,It means turning things around and putting yourself in your opponent's shoes. ,"Derived from this, it means to think by putting yourself in your opponent's shoes.", It meant turning things around and putting yourself in your opponent's shoes.,転じて、敵の立場に立って物を考えるという意味なのだ。,[=JP],"Другими словами, это значит поставить себя на место противника и взглянуть на вещи его глазами.","Derivado disso, significa se colocar no lugar do seu oponente.",換言之，就是站在敵人的角度來思考問題。,换言之，就是站在敌人的角度来思考问题。,Artinya adalah membalik sudut pandang dan menempatkan dirimu di posisi lawan. ,Significava invertire le cose e mettersi nei panni dell'avversario.,"In altre parole, significa riuscire a pensare come il proprio contendente, mettendosi nei suoi panni.","Bundan türetilen bu kavram, kendinizi rakibinizin yerine koyarak düşünmek anlamına gelir."
Ushiromiya Kyrie,"""......You see? Let's say that a 19th person called {f:5:Beatrice} actually exists. That person must've managed, without being seen by anyone, to stealthily arrive on this island and remain hidden ever since. Maybe they had some reason, okay? In that case, why did they go to all of the trouble of appearing before Maria and handing her the letter?"" ","""......Okay. Let's say that that a 19th person called {f:5:Beatrice} actually exists. That person must have managed, without being seen by anyone, to stealthily arrive on this island and remain hidden since then. They had some reason for this, yes? In that case, why did they then deliberately appear before Maria and hand her the letter?""","""......You see? Let's say that that a 19th person called Beatrice actually exists. That person must have managed, without being seen by anyone, to stealthily arrive on this island and remain hidden since then. Maybe they had some reason, okay? In that case, why did they go to all of the trouble of appearing before Maria and handing her the letter?""",「……いい？　仮に１９人目の人物としてベアトリーチェが実在したとして。その人物は、誰にも知られることなくこっそりとこの島に上陸し、ずっと隠れていた。何かの理由があってね？　なら、どうしてわざわざ姿を現して真里亞ちゃんに手紙を渡したの？」,[=JP],"""......Понимаешь? Давай допустим, что 19‐й человек по имени {f:5:Беатриче} действительно существует. Этот человек сумел прибыть не замеченный никем, тайно высадиться на острове и прятаться здесь с тех пор. Возможно у них были свои причины, ну ладно. В таком случае зачем им нужно было идти на такие ухищрения, как являться перед Марией и вручать ей письмо?""","""......Certo. Vamos dizer que essa 19ª pessoa chamada {f:5:Beatrice} existe de verdade. Essa pessoa deve ter dado um jeito de chegar furtivamente nesta ilha sem que ninguém a visse e permanecido escondida desde então. Ela deve ter algum motivo para isso, certo? Nesse caso, por que ela deliberadamente apareceu na frente da Maria e deu a carta a ela?""",「……聽好了。假如作為第十九人的貝阿朵莉切真的存在。這個人沒有讓我們任何人發現，偷偷摸摸地上了島，還一直藏著不露面。這麼做是有什麼理由吧？既然如此，那她為什麼又專程現身把信交給小真里亞呢？」,「……听好了。假如作为第十九人的贝阿朵莉切真的存在。这个人没有让我们任何人发现，偷偷摸摸地上了岛，还一直藏着不露面。这么做是有什么理由吧？既然如此，那她为什么又专程现身把信交给小真里亚呢？」,"""......Begini, ya? Katakanlah ada orang ke-19 bernama {f:5:Beatrice}. Orang itu pasti berhasil, tanpa terlihat siapa pun, mendarat diam-diam di pulau ini dan bersembunyi sejak itu. Mungkin dia punya alasan tertentu, oke? Kalau begitu, kenapa dia repot-repot muncul di depan Maria dan memberikan surat itu?"" ","""... Capisci? Diciamo che una persona chiamata Beatrice esista davvero. {n}Questa persona dev'essere riuscita, senza essere vista da nessuno, ad arrivare di nascosto su quest'isola e a rimanere nascosta sin da quel momento. {n}Forse avevano qualche motivo, ok? In questo caso, perché si sono presi la briga di apparire di fronte a Maria e darle la lettera?""","""...Capisci? Supponiamo che esista una 19ª persona dal nome di {f:5:Beatrice}. Questa figura sarebbe riuscita, senza essere vista da nessuno, ad arrivare di nascosto su quest'isola e a rimanere nascosta per tutto questo tempo. Lo avrà fatto per qualche motivo, no? In tal caso, perché si è volutamente rivelata per consegnare la lettera a Maria-chan?""","""......Anladın mı? Diyelim ki {f:5:Beatrice} adında 19. bir kişi gerçekten var. Bu kişi, kimseye görünmeden, gizlice bu adaya gelmeyi ve o zamandan beri saklı kalmayı başarmış olmalı. Bunun için bir sebepleri vardı, değil mi? O halde neden kasıtlı olarak Maria'nın karşısına çıktılar ve mektubu ona verdiler?"""
,It really was a contradiction. ,It really was a contradiction.,[=UP],確かにそれは矛盾する。,[=JP],"Действительно, налицо противоречие.",É realmente contraditório.,這點確實有矛盾。,这点确实有矛盾。,Itu memang sebuah kontradiksi. ,Era davvero una contraddizione.,Effettivamente era una contraddizione.,Bu gerçekten bir çelişkiydi.
,"If they had some reason for hiding themselves, then they should've stayed hidden the whole time. But even so, they had appeared openly in front of Maria. ","If they had some reason for hiding themselves, then they should have stayed hidden the whole time, but they had appeared openly in front of Maria."," If they had some reason for hiding themselves, then they should have stayed hidden the whole time. But even so, they had appeared openly in front of Maria.",姿を隠したい理由があって、ずっと姿を隠していたはずなのに、真里亞の前には堂々と姿を現している。,[=JP],"Если у них и были причины скрываться, то тогда им следовало бы не обнаруживать своё присутствие. И тем не менее они в открытую появляются перед Марией.","Se ela tem alguma razão para se manter escondida, então ela deveria ter permanecido escondida o tempo todo, mas ela apareceu em frente à Maria.",既然有不想現身的理由，那就應該一直藏著不出現才對，可她卻在真里亞面前毫不避諱地現身了。,既然有不想现身的理由，那就应该一直藏着不出现才对，可她却在真里亚面前毫不避讳地现身了。,"Kalau dia punya alasan untuk bersembunyi, maka seharusnya dia tetap bersembunyi sepanjang waktu. Tapi nyatanya, dia muncul secara terbuka di hadapan Maria. ","Se avevano qualche motivo per nascondersi, avrebbero dovuto starsene nascosti per tutto il tempo. Ma anche così, si sono presentati direttamente davanti a Maria.","Se aveva qualche motivo per nascondersi, avrebbe dovuto restare celata, ma ciononostante è apparsa direttamente davanti a Maria.","Kendilerini saklamak için bir nedenleri olsaydı, bunca zaman saklanmaları gerekirdi, ama Maria'nın önünde açıkça ortaya çıkmışlardı."
Ushiromiya Battler,"""Then... ...wait, Maria said it herself. She said the witch made her a <Messenger>. Maybe that's because Maria was the youngest and looked the most obedient..."" ","""Well.........wait, Maria even said it. Didn't she say that she had been made a messenger? Since Maria was the youngest and looked the most innocent...""","""Then.........wait, Maria even said it. Didn't she say that she had been made a messenger? Since Maria was the youngest and looked the most innocent...""",「それは……、…ほら、真里亞も言ってた。メッセンジャーにされたって言ってたじゃないすか。真里亞が一番、年下で素直そうだったからじゃ…。」,「それは……、…ほら、真里亞も言ってた。メッセンジャーにされたって言ってたじゃないすか。真里亞が一番、年下で素直そうだったからじゃ…」,"""Тогда...... ...Подожди, помнишь Мариины слова. Разве она не сказала, что её сделали вестником? Поскольку Мария являлась самой младшей и выглядела самой невинной...""","""Bem.........espera, a Maria mesmo disse isso. Ela não disse que era uma mensageira? Já que a Maria é a mais jovem e parece ser a mais inocente...""",「這……，…對了，真里亞也說過。她不是說過貝阿朵莉切讓她當信使嘛。因為真里亞年紀最小，而且看起來也很老實…」,「这……，…对了，真里亚也说过。她不是说过贝阿朵莉切让她当信使嘛。因为真里亚年纪最小，而且看起来也很老实…」,"""Lalu... ...tunggu, Maria sendiri yang bilang. Dia bilang penyihir itu menjadikannya <Utusan>. Mungkin karena Maria yang paling muda dan terlihat paling patuh..."" ","""Allora... aspetta, Maria l'ha anche detto. Non aveva detto che faceva da messaggera? Dato che Maria era la più piccola e sembrava la più innocente...""","""Questo è... aspetta, lo aveva menzionato anche Maria. Non aveva detto che era diventata la sua messaggera? Maria è la più piccola e sarà sembrata la più accondiscendente, perciò...""","""Pekala.........bekle, Maria bile söyledi. {ruby:<Messenger>:Elçi} yapıldığını söylememiş miydi? Belki de Maria en genç ve en masum görünen olduğu için..."""
Ushiromiya Kyrie,"""Why would they need a messenger? If they just wanted a letter delivered to the family conference, they could have mailed it. If they mailed it to each of the four siblings, no one would be able to ignore it. There was no need for this person to carry it themselves and secretly deliver it by hand."" ","""Why would they need a messenger? If they just wanted a letter delivered to the family conference, they could have mailed it. If they mailed it to each of the four siblings, they would be unable to ignore it. There was no need for them to carry it themselves and secretly hand it over.""",[=UP],「メッセンジャーなんて必要なの？　手紙を親族会議の席上に送りたかったら、郵送すればいいだけの話よ。４人の兄弟全員に郵送すれば黙殺することもできない。手紙を持参して、こっそり手渡す理由がないのよ。」,「メッセンジャーなんて必要なの？　手紙を親族会議の席上に送りたかったら、郵送すればいいだけの話よ。４人の兄弟全員に郵送すれば黙殺することもできない。手紙を持参して、こっそり手渡す理由がないのよ」,"""Зачем им вообще понадобился вестник? Если они хотели доставить письмо на семейное собрание, они могли бы просто отправить его по почте. Если бы они разослали его всем братьям и сёстрам, то тогда они не смогли бы это проигнорировать, даже если бы захотели. У них не было никакой нужды самолично, да ещё и тайно, передавать письмо.""","""Por que ela precisaria de uma mensageira? Se o objetivo fosse só entregar a carta à família, ela poderia ter enviado a carta. Se ela mandasse a carta para cada um dos quatro filhos, eles provavelmente iriam ignorar. Não havia a necessidade de carregá‐la e entregar secretamente.""",「真的需要信使嗎？想把信送到親族會議的席上，只要用郵寄不就可以了。只要給兄妹四人每人寄一封，那就不可能被置之不理。她沒有理由要隨身帶著信，還要悄悄地親手轉交。」,「真的需要信使吗？想把信送到亲族会议的席上，只要用邮寄不就可以了。只要给兄妹四人每人寄一封，那就不可能被置之不理。她没有理由要随身带着信，还要悄悄地亲手转交。」,"""Kenapa mereka butuh seorang penyampai? Kalau mereka cuma ingin menyampaikan surat ke konferensi keluarga, mereka bisa saja mengirimkannya lewat pos. Kalau dikirim ke masing-masing dari empat bersaudara, tidak ada yang bisa mengabaikannya. Tidak perlu orang itu datang sendiri dan menyelinap menyerahkannya secara langsung."" ","""Perché dovrebbero aver bisogno di un messaggero? Se volevano solo consegnare una lettera durante la riunione di famiglia, avrebbero potuto spedirla. Se l'avessero spedita ad ognuno dei quattro fratelli, non avrebbero potuto ignorarla. Non c'era nessun bisogno di portarla a mano e consegnarla di nascosto.""","""Perché avrebbe bisogno di una messaggera? Se voleva consegnare una lettera durante la riunione di famiglia, avrebbe potuto spedirla per posta. Se l'avesse inviata a ciascuno dei quattro fratelli, non avrebbero potuto ignorarla. Non c'era alcun bisogno di portarla a mano e consegnarla di nascosto.""","""{ruby:<Messenger>:Elçi}'ye neden ihtiyaçları olsun ki? Eğer sadece aile konferansına bir mektup gönderilmesini isteselerdi, bunu posta yoluyla da yapabilirlerdi. Dört kardeşin her birine postalasalardı, bunu görmezden gelmeleri mümkün olmazdı. Kendilerinin bizzat taşımasına ve gizlice teslim etmelerine gerek yoktu."""
Ushiromiya Battler,""".....................That really... ...does sound pretty weird."" ",""".....................That really.........does sound pretty weird.""","""..................That really.........does sound pretty weird.""",「…………………確かに、………何だかおかしな話っすね。」,「…………………確かに、………何だかおかしな話っすね」,"""..................Это и впрямь... звучит очень странно.""",""".....................Isso realmente.........soa bem estranho.""",「…………………確實，………總覺得這事有點不對勁呢。」,「…………………确实，………总觉得这事有点不对劲呢。」,""".....................Itu memang... ...kedengarannya aneh juga."" ","""... Questo davvero ... suona piuttosto strano.""","""...In effetti... le circostanze sono piuttosto strane.""",""".....................Bu gerçekten.........kulağa oldukça tuhaf geliyor."""
Ushiromiya Kyrie,"""In the first place, if {f:5:Beatrice} existed and wanted to make her presence known to everyone, then she could have just openly presented herself to all of us. Despite that, she chose the vague method of appearing through a little girl called Maria-chan...and only gave us an vague impression of who she was. Contradiction. Let's go a little deeper, shall we?"" ","""In the first place, if {f:5:Beatrice} existed, and she wanted to make her presence known to everyone, then she could have just openly presented herself to all of us. Despite that, she chose the vague method of appearing through a little girl called Maria‐chan, and only gave us an indistinct impression of who she was. Contradiction. Let's go a little deeper, shall we?""","""In the first place, if Beatrice existed, and she wanted to make her presence known to everyone, then she could have just openly presented herself to all of us. Despite that, she chose the vague method of appearing through a little girl called Maria-chan, and only gave us an indistinct impression of who she was. Contradiction. Let's go a little deeper, shall we?",「そもそも、ベアトリーチェが存在していて、その存在をアピールしたいならみんなの前に堂々と姿を現せばいいだけの話。なのに現れず、真里亞ちゃんという小さな子を通しておぼろげな輪郭だけでその存在を主張しようとする曖昧さ。矛盾。もっと考えて？,「そもそも、ベアトリーチェが存在していて、その存在をアピールしたいならみんなの前に堂々と姿を現せばいいだけの話。なのに現れず、真里亞ちゃんという小さな子を通しておぼろげな輪郭だけでその存在を主張しようとする曖昧さ。矛盾。もっと考えて？」,"""В первую очередь, если бы {f:5:Беатриче} и впрямь существовала, и хотела бы, чтобы её существование стало известно для всех, тогда она могла бы открыто представиться всем нам. Несмотря на это, она выбирает очень уклончивый метод появления при помощи маленькой девочки по имени Мария‐чан, и даёт нам только расплывчатое представление о том, кто она такая. Это противоречие. Давай‐ка копнём немного поглубже, что скажешь?""","""Em primeiro lugar, se a {f:5:Beatrice} existe e quer fazer com que todos saibam da sua presença, então ela podia simplesmente ter se apresentado abertamente para todos. Ao invés disso, ela escolheu um método vago de aparecer através de uma carta entrega a uma garotinha chamada Maria‐chan, e apenas nos deu uma impressão indistinta de quem ela é. Contradições. Podemos ir um pouco mais a fundo?""",「說到底，如果真有貝阿朵莉切這麼個人，她還想讓大家注意到她的存在的話，那只需堂堂正正地在大家面前現身就好了。然而她卻不親自現身，只是通過小真里亞這種小孩子口中模糊不清的描述來主張她的存在。這其中的曖昧，這其中的矛盾。再接著往下想想？」,「说到底，如果真有贝阿朵莉切这么个人，她还想让大家注意到她的存在的话，那只需堂堂正正地在大家面前现身就好了。然而她却不亲自现身，只是通过小真里亚这种小孩子口中模糊不清的描述来主张她的存在。这其中的暧昧，这其中的矛盾。再接着往下想想？」,"""Pertama-tama, kalau {f:5:Beatrice} benar-benar ada dan ingin memperkenalkan dirinya pada semua orang, maka dia bisa saja muncul langsung di hadapan kita semua. Tapi alih-alih itu, dia memilih metode samar dengan muncul lewat seorang gadis kecil bernama Maria-chan... dan hanya memberi kita kesan samar tentang siapa dia sebenarnya. Kontradiksi. Let's go a little deeper, shall we?"" ","""In primo luogo, se Beatrice esistesse, e avesse voluto rendere nota la sua esistenza, avrebbe potuto presentarsi direttamente a tutti noi. Nonostante ciò, ha scelto un modo incerto di apparire attraverso una bambina chiamata Maria-chan, e ha dato solo una confusa impressione di chi fosse. Contraddizione. Andiamo un poco più a fondo, ti va?","""In primo luogo, se questa {f:5:Beatrice} esistesse, e volesse rendere nota la sua esistenza, avrebbe potuto semplicemente presentarsi in grande stile davanti a tutti. Nonostante ciò, ha scelto un modo ambiguo di dimostrare la sua esistenza senza mostrarsi, attraverso una bambina piccola come Maria-chan. È una contraddizione. Riflettiamoci più a fondo, ti va...?""","""Her şeyden önce, eğer {f:5:Beatrice} var olsaydı ve varlığını herkese duyurmak isteseydi, o zaman kendini hepimize açıkça gösterebilirdi. Buna rağmen, Maria-chan adında küçük bir kız aracılığıyla belli belirsiz bir görünme yöntemini seçti ve bize sadece kim olduğuna dair belirsiz bir izlenim verdi. Çelişki. Biraz daha derine inelim mi?"""
Ushiromiya Kyrie,"""......She appeared in front of Maria, trying to give us the impression that a 19th person existed, and yet, she still hasn't appeared before us and is hiding somewhere at this very moment. Think about those contradictions. ......You've got to keep these things in mind when you spin the chessboard around."" ","""............She appeared in front of Maria, trying to give us the impression that a 19th person existed, and yet, she still hasn't appeared before us and is hiding somewhere at this very moment. The contradiction between these. ......Keep it in mind, and flip over the chessboard.""","............She appeared in front of Maria, trying to give us the impression that a 19th person existed, and yet, she still hasn't appeared before us and is hiding somewhere at this very moment. These are contradictions. ......By keeping these in mind, you turn the chessboard over.",…………真里亞ちゃんの前に姿を現し、１９人目の存在を印象付けるという点と、にもかかわらず、今この瞬間も私たちの前に姿を現さず隠れ続けている点。これらの矛盾。……これを念頭に置いた上でチェス盤をひっくり返すの。,「…………真里亞ちゃんの前に姿を現し、１９人目の存在を印象付けるという点と、にもかかわらず、今この瞬間も私たちの前に姿を現さず隠れ続けている点。これらの矛盾。……これを念頭に置いた上でチェス盤をひっくり返すの」,"""............Она появилась перед Марией, пытаясь произвести на нас впечатление, будто 19‐й человек и вправду существует, и в то же время она так ещё и не появилась перед нами и прячется где‐то в этот самый момент. Это противоречие. ......Учтя это, разворачиваем шахматную доску.""","""............Ela apareceu em frente à Maria, tentando passar a impressão de que uma 19ª pessoa existe, no entanto, ela ainda não apareceu para nós e está se escondendo em algum lugar nesse exato momento. Existe uma contradição nisso. ......Mantenha isso em mente e vire o tabuleiro.""",「…………在小真里亞面前現身，讓我們留下有第十九人存在的印象這一點，還有到現在都沒在我們面前現身，一直遮遮掩掩這點。試試把這兩點間的矛盾，……放在腦海中，再將國際象棋盤翻轉過來。」,「…………在小真里亚面前现身，让我们留下有第十九人存在的印象这一点，还有到现在都没在我们面前现身，一直遮遮掩掩这点。试试把这两点间的矛盾，……放在脑海中，再将国际象棋盘翻转过来。」,[=ST],"... È apparsa di fronte a Maria, tentando di darci l'impressione che esista una diciannovesima persona, e tuttavia, non è ancora apparsa davanti a noi e si sta nascondendo proprio in questo momento. Queste sono contraddizioni. Tenendo a mente questo, gira la scacchiera.","""È apparsa di fronte a Maria-chan, per cercare di darci l'impressione che vi sia una 19ª persona, eppure sta continuando a nascondersi, senza essersi ancora presentata davanti a noi. Queste sono delle contraddizioni... Tienile bene a mente, e rigira la scacchiera.""","""............Maria'nın önünde belirdi ve bize 19. bir kişinin var olduğu izlenimini vermeye çalıştı, ancak hala karşımıza çıkmadı ve şu anda bir yerlerde saklanıyor. Bu ikisi arasındaki çelişki. ......Bunu aklında tut ve satranç tahtasını ters çevir."""
Ushiromiya Kyrie,"""In short, if a person wants to leave us with the impression that {f:5:Beatrice} exists as the 19th person, what might their goal be?"" ","""In other words, the question is: why would a person want to give the impression that {f:5:Beatrice} exists as a 19th person?"""," In short, there is some scheme by someone who wants to give the impression that there is a 19th person called Beatrice.""",つまり、１９人目の人物としてベアトリーチェがいる、と印象付けたい人物の目論見は何か、よ。」,「つまり、１９人目の人物としてベアトリーチェがいる、と印象付けたい人物の目論見は何か、よ」,"""Вкратце, кто‐то затеял интригу, пытаясь создать у нас впечатление, будто здесь есть 19‐й человек по имени {f:5:Беатриче}.""","""Em outras palavras, a questão é: por que uma pessoa quer passar a impressão de que a {f:5:Beatrice} existe como uma 19ª pessoa?""",「也就是說，想一想，這位想讓我們留下“有第十九人貝阿朵莉切存在”印象的人，他的目的是什麼。」,「也就是说，想一想，这位想让我们留下“有第十九人贝阿朵莉切存在”印象的人，他的目的是什么。」,[=ST],"In breve, c'è un qualche piano pensato da qualcuno che vuole farci credere che esiste una diciannovesima persona chiamata Beatrice.""","""In altre parole, perché qualcuno dovrebbe avere un piano per far credere che esista una 19ª persona chiamata {f:5:Beatrice}?""","""Başka bir deyişle, soru şu: Bir kişi neden {f:5:Beatrice}'in 19. kişi olarak var olduğu izlenimini vermek istesin?"""
Ushiromiya Battler,"""......If this person wanted to hide, then they wouldn't have made their presence known. And if they wanted to show themselves, they wouldn't have used the roundabout approach of entrusting someone with a letter. ......Which means...?"" ","""......If this person wanted to hide, then they wouldn't have made their presence known. And if they wanted to show themselves, they wouldn't have used the roundabout approach of entrusting someone with a letter. ......Which means...?""",[=UP],「……姿を隠したい人物なら、その存在をアピールするわけがない。そして、姿を現したい人物なら、手紙を託すなんて遠回しをするわけがない。……ってことは…？」,[=JP],"""......Если бы этот человек хотел спрятаться, то не дал бы обнаружить своё присутствие. И если бы ему хотелось предстать перед нами, то он не стал бы использовать окольные пути и доверять кому‐то письмо. ......Что значит?..""","""......Se essa pessoa quer se manter escondida, então ela não deveria ter feito a sua presença conhecida. E se ela quer se mostrar, ela não teria usado uma abordagem como essa, confiando uma carta a alguém. ......O que você quer dizer...?""",「……若是想隱藏自己，就不可能故意拿自己的存在引起別人注意。而若是想讓別人知道有她這麼個人，也不可能拐彎抹角地托人去轉交信。……那就是說…？」,「……若是想隐藏自己，就不可能故意拿自己的存在引起别人注意。而若是想让别人知道有她这么个人，也不可能拐弯抹角地托人去转交信。……那就是说…？」,[=ST],"""... Se questa persona voleva nascondersi, allora non avrebbero reso nota la loro presenza. E se volevano farsi vedere, non avrebbero usato un approccio così indiretto come l'affidare una lettera a qualcuno. ... Il che significa...?""","""...Se questa persona avesse voluto nascondersi, allora non avrebbe reso nota la sua presenza. E se avesse voluto farsi vedere, non avrebbe usato un approccio così indiretto come l'affidare una lettera a qualcuno... Il che significa...?""","""......Eğer bu kişi gerçekten saklanmak isteseydi, varlığını belli etmezdi. Ve eğer kendilerini göstermek isteselerdi, birisine bir mektup emanet etmek gibi dolambaçlı bir yaklaşım kullanmazlardı. ......Bu demek oluyor ki...?"""
Ushiromiya Kyrie,"""It's simple. {f:5:Beatrice} is one of the 18 people. That's why they want to create the illusion that there are more than 18 people. ...The 19th person was revealed so spectacularly. ","""It's simple. {f:5:Beatrice} is one of the 18. That is why they are creating the illusion that there is someone outside of the 18. ...A powerful suggestion of a 19th person.""","""It's simple. Beatrice is one of the 18 people. Which means that they want to create the illusion that there is someone outside of the 18 people. ...The 19th person was revealed so spectacularly. ",「簡単よ。ベアトリーチェは１８人の中にいるのよ。だからこそ、１８人以外の人物が存在するような幻想を作り出しているのよ。…これ見よがしな１９人目のアピール。,「簡単よ。ベアトリーチェは１８人の中にいるのよ。だからこそ、１８人以外の人物が存在するような幻想を作り出しているのよ。…これ見よがしな１９人目のアピール」,"""Всё просто. {f:5:Беатриче} — это один из восемнадцати людей на острове. Это означает, что они хотели создать иллюзию, будто есть ещё некто помимо восемнадцати людей на этом острове. ...То бишь сей 19‐й человек, возникший столь эффектно.""","""É simples. A {f:5:Beatrice} está entre os 18. Por isso eles criaram a ilusão de que existia alguém de fora dos 18. ...Uma poderosa sugestão de uma 19ª pessoa.""",「答案很簡單。貝阿朵莉切就在十八人之中。正因如此，這人才營造出了十八人之外另有他人的幻想。…故意以第十九人的身份在人前賣弄。」,「答案很简单。贝阿朵莉切就在十八人之中。正因如此，这人才营造出了十八人之外另有他人的幻想。…故意以第十九人的身份在人前卖弄。」,[=ST],"""È semplice. Beatrice è una delle diciotto persone. Il che significa che volevano creare l'illusione che ci sia qualcun altro oltre alle diciotto persone. ... La diciannovesima persona era stata scoperta in modo spettacolare.","""È semplice. {f:5:Beatrice} è una delle diciotto persone. Il che significa che voleva creare l'illusione che ci fosse qualcun altro oltre a noi diciotto... La 19ª persona si è rivelata in modo spettacolare.""","""Çok basit. {f:5:Beatrice} 18 kişiden biri. Bu yüzden 18'in dışında biri varmış gibi bir illüzyon yaratıyorlar. ...19. kişi çok gösterişli bir şekilde ortaya çıktı."""
