Speaker,Vietnamese (VI)
,"Kanon‐kun ngẩng lên nhìn tôi, mắt đầy bất ngờ.{n}Đó là ánh mắt của một người không ngờ sẽ được khách giúp đỡ."
Kanon,"""............T-thưa cậu Battler... Không cần đâu ạ... Tôi sẽ tự làm được..."""
Ushiromiya Battler,"""Đừng lo! Nhìn vậy chứ tôi khỏe lắm đấy! Heheh!"""
,"Kanon trông như vẫn chưa qua giai đoạn dậy thì, với thân hình yếu ớt."
,Chắc mấy thứ nặng như vầy là quá sức với cậu ấy.
Ushiromiya George,"""Nặng phết mà, nên khó khăn với cậu cũng là điều dễ hiểu thôi. Kanon à, đừng để tâm quá."""
Ushiromiya Battler,"""OK, đến lúc em thể hiện rồi. Xem như bù lại vụ trên thuyền hồi nãy, được không?"""
Ushiromiya Jessica,"""Ha! Mấy trò hề hồi nãy mà xem như xí xóa là xong á! Ah‐hah‐hah‐ha! Lát nữa tôi kể hết cho cậu nghe nha, Kanon à. Battler là cây hài chính hiệu luôn!"""
Ushiromiya Maria,"""Rơi mất thuiii rơi mất thuiii!! Uu‐uu‐uu!!!"""
,"Vừa làm vừa nói khiến mọi thứ có vẻ diễn ra nhanh chóng, và trước khi tôi kịp nhận ra, mọi thứ đã được chất đầy trở lại lên xe rùa."
Kanon,"""............Vì đã để các vị chứng kiến cảnh tượng khó coi này, tôi xin phép được thứ lỗi."""
Gohda Toshiro,"""Tốt lắm, đủ rồi đấy. Giờ cậu đi đi."""
,Việc để khách – những người lẽ ra phải được tiếp đón chu đáo – chứng kiến cảnh tượng xấu hổ như vậy... hẳn là một nỗi nhục lớn đối với một gia nhân.
,"Bị Gohda thúc giục rời đi, Kanon‐kun đã cất bước."
Ushiromiya Eva,"""Anh hơi nặng lời với cậu ấy rồi đó, Gohda à. Sao không giúp một tay thay vì bắt nạt, nhỉ?"""
Gohda Toshiro,"""...Bà nói đúng rồi ạ. Tôi thật lòng, thật lòng xin thứ lỗi."""
,"Với miệng cười không chút thay đổi, chú Gohda tinh tế đưa ra lời xin lỗi."
Ushiromiya Hideyoshi,"""Kanon cũng có nhiều mặt tốt đấy. Chỉ là tại cậu ta còn trẻ quá thôi. Nghĩ mà tiếc thật."""
Ushiromiya Rudolf,"""Đang ở tuổi nhạy cảm mà. Cứ đối xử nhẹ nhàng với cậu ấy đi. Biết im lặng như vậy lại là đức tính một gia nhân cần có đó. Phải vậy không thưa bà Kumasawa?"""
Kumasawa Chiyo,"""Hoh‐hoh‐hoh‐ho, ngài Rudolf ác quá nha! Không có gia nhân nào im lặng được bằng tôi đâu!"""
,"Ai nấy đều cười gượng với lời dối trắng trợn đó.{n}Ngay cả chính bà ấy cũng không tin được lời mình nói, dù chỉ là trong mơ.{n}Bà nói vậy chỉ để giúp mọi người thư giãn thôi."
,"Đúng thế, đó là phong cách của bà Kumasawa mà."
,Bầu không khí có phần căng thẳng lập tức trở nên nhẹ nhàng hơn nhờ nụ cười rạng rỡ của bà.
Ushiromiya Kyrie,"""Tôi muốn cất hành lý sớm một chút. Anh Gohda, chúng tôi sẽ chia phòng thế nào?"""
Gohda Toshiro,"""Sẽ giống như năm ngoái, thưa bà. Tôi xin phép được dẫn đường. Xin mời đi lối này."""
,Chúng tôi tiến về phía khu nhà khách trông gọn gàng và trang nhã.{n}Đây sẽ là nơi tạm trú của chúng tôi trong một đêm.
Kanon,""".........................................."""
,Kanon đứng nhìn qua hàng rào khi các vị khách bước vào căn nhà khách.
,"Thế rồi, cậu hướng mắt xuống mấy bao phân bón nặng trịch chất trên xe cút kít."
,"Trong đầu, cậu không ngừng lặp lại những lỗi lầm vừa rồi.{n}Battler, to khỏe như vậy, đã nhấc những chiếc bao mà cậu không thể nâng nổi lên, như thể chúng nhẹ như lông hồng."
,Khó có ai đoán được cảm xúc gì đang dâng trào trong lòng Kanon khi chứng kiến điều đó.
,"Nhưng chỉ cần nhìn từ sau lưng khi cậu cúi đầu xuống, cũng có thể thấy rằng trong lòng cậu vẫn còn điều gì đó đang vướng mắc."
,...Môi cậu thì thầm điều gì đó.{n}Nhưng những lời thì thầm ấy khẽ khàng đến mức chính bản thân cậu cũng không nghe rõ.
Kanon,"""...............Ngay cả mình cũng..........................."""
,"Kanon cúi đầu, khẽ cắn môi dưới..."
Ushiromiya Battler,"""Em nhớ khu vườn hoa hồng, cơ mà...Em không nhớ gì về nhà khách này cả. Nó mới được xây gần đây à?"""
,"Chữ ""Toraian"" (Nhà nghỉ cho khách) được viết trên trụ cổng, nhưng vì mọi người đều gọi là nhà khách nên tôi cũng gọi theo."
,"Đây là nhà khách kiểu Tây hoàn toàn mới, có góc nhìn ra vườn hồng, và được thiết kế sao cho thật lộng lẫy để đạt được sự hài hòa tuyệt vời với khu vườn."
Ushiromiya George,"""Đúng vậy! Nó mới được xây vào năm kia. Từ đó đến nay, bọn anh vẫn hay được ngủ ở đây."""
Ushiromiya Jessica,"""Hehe, ừ, vì ai cũng thích chỗ này hơn cái biệt thự cũ kỹ mà nhà mình có từ đời nào rồi. Em ước gì phòng em cũng ở đây!"""
Ushiromiya Maria,"""Uu! Em cũng muốn nữa! Muốn một cái nữa!"""
,"...Nhà tôi chắc cũng được xem là nhà giàu rồi, nhưng khi nhìn lại thì mới thấy nó bình thường biết bao so với nhà chính của gia tộc."
,"Như một sự phô trương tài sản đầy sửng sốt, họ đã xây hẳn một căn nhà khách tuyệt vời như thế này, chỉ để tiếp đón những vị khách mỗi năm chỉ đến một lần dùng cơ mà."
Gohda Toshiro,"""Thưa bà Eva, thưa ông Hideyoshi. Xin mời hai vị dùng phòng này. Thưa ông Rudolf, thưa bà Kyrie, xin mời dùng phòng bên đây."""
Ushiromiya Eva,"""À vâng, tôi rất cảm kích vì nơi này đẹp đẽ và sang trọng quá. Phong cách phương Tây thật tuyệt vời nhỉ."""
Ushiromiya Hideyoshi,"""Ở kiểu Tây vài ngày thì được, chứ lâu hơn là lại cần kiểu Nhật thôi! Người Nhật mình chỉ thấy thư giãn khi được ngồi chiếu tatami."""
Ushiromiya George,"""...Haha, bố mẹ anh cứ cãi nhau về việc nhà mới nên theo kiểu Nhật hay Tây. Mẹ thì vẫn giận vụ bố bắt đầu xây theo kiểu Nhật, nên cãi nhau miết đó."""
Ushiromiya Jessica,"""Bố mẹ anh hợp nhau thật đó, anh George... Em ganh tị ghê. Còn bố mẹ em thì lạnh lùng với nhau lắm. Nhưng cứ nhắc tới điểm số của em là họ lại đồng lòng ngay."""
,"Tất cả các phòng dường như là phòng đôi.{n}Tôi thấy mừng vì sẽ không phải ngủ cùng phòng với lão già kia chỉ vì lý do ""là người cùng một nhà"" nữa."
,"Vả lại, tôi đoán hai người đó cũng không thoải mái được nếu có tôi ở đó, ihihi."
Ushiromiya Kyrie,"""Sao cháu lại có nụ cười kỳ cục đó vậy? Đang nghĩ chuyện bậy bạ gì đúng không."""
Ushiromiya Battler,"""Ihihihi~! Chuyện bậy bạ áááááá? Làm gìììììì có~! Xin mời cô cứ... tận hưởng kỳ nghỉ nhéééé~!"""
Ushiromiya Battler,"""Ối, ốiốiốiốiốiii! Lão già, đau thật đó nha!"""
,"Lại một lần nữa, bố kéo tai tôi từ phía sau."
Ushiromiya Rudolf,"""Thôi đi con. Bụng bố mày đang đau đây, không có hứng đùa đâu. Lần này mày là khách mời danh dự đó. Cố mà cư xử cho đàng hoàng với bố, với anh mày, và cả mấy người còn lại nữa."""
Ushiromiya Rudolf,"""......Ít nhất thì, chú ý lời ăn tiếng nói trước mặt bố đi, nghe chưa? Vì bố cực ghét mấy câu đùa nhảm đấy.""......Jessica ơi, dạo này tâm trạng ông nội thế nào rồi?"""
Ushiromiya Jessica,"""...Hmm......Cũng như năm ngoái thôi, chắc vậy. ......Mọi người cứ nói ông chỉ còn sống được ba tháng nữa, vậy mà ông vẫn còn khỏe, cáu kỉnh, và khó ở như thường."""
Ushiromiya Rosa,"""Tức là, năm nay tâm trạng bố vẫn còn tồi tệ như mọi khi. ......Và người duy nhất có thể chăm sóc bố là ông Genji?"""
Kumasawa Chiyo,"""Có vẻ như chủ nhân chỉ mở lòng với ông Genji thôi. Gần đây thì bọn tôi không có ai được diện kiến nữa mà..."""
Ushiromiya Jessica,"""Ông lại nhốt mình trong thư phòng rồi, chắc lại làm mấy cái trò ma thuật đen kỳ quặc như mọi khi á. Làm gì thì làm, nhưng khi mùi lạ bốc lên khắp nơi thì thật là phiền. ...Cháu thì mong ông cứ ở lì trong đó đi, khỏi ra luôn cho xong. Heheheh!"""
Ushiromiya George,"""Em không nên nói vậy về người lớn tuổi nhé. Ai cũng mang ơn ông vì đã xây dựng lại gia tộc Ushiromiya mình mà, nên biết ơn một chút cũng không thừa."""
Ushiromiya Jessica,"""Ờm... thì... ......Em xin lỗi."""
,"Bị anh George trách mắng, Jessica không còn cách nào khác ngoài việc rút lại lời nói thiếu suy nghĩ của mình."
,"Gia tộc Ushiromiya giàu có đến mức khó tin, nhưng tất nhiên, điều đó cũng đồng nghĩa với việc tất cả các thành viên đều là những con người lập dị, hoàn toàn lệch nhịp so với phần còn lại của xã hội."
,"Tuy tôi đã thấy gia tộc chúng tôi nhìn chung là lập dị rồi, nhưng người đứng đầu gia tộc – tức là ông nội chúng tôi – dường như còn đặc biệt lập dị và đáng sợ hơn thế."
,"Bố tôi vừa than đau bụng ban nãy, nhưng có lẽ đó cũng là cảm giác chung của tất cả người lớn khi đến đây hôm nay."
,Chắc chắn họ đang ghen tị với bọn tôi – lũ cháu của ông – những đứa trẻ chỉ biết chơi đùa vô tư.
,"Theo những gì bố kể, người đứng đầu gia tộc là một gã đàn ông vũ phu, từng không xót tay mà đánh con trai, và thậm chí còn đập con gái không thương tiếc bằng kiếm gỗ."
,"Nếu đã ""truyền thống"" đến mức đó với con cái, sao ông không để tên của tụi nó cũng ""truyền thống"" luôn đi?"
,"Vì thế này, thì đến cả các cháu như tụi tôi cũng phải gánh chịu cái phong cách đặt tên ấy."
,"......Mà thôi, tôi hoàn toàn tin vào cái hình ảnh đáng sợ mà họ miêu tả về ông."
,"Tôi không có nhiều ký ức về những lần gặp ông suốt những năm qua, nhưng tôi nhớ khuôn mặt ông lúc nào cũng như mây đen vần vũ, chỉ một ánh mắt cũng đủ khiến mọi người xung quanh co rúm lại."
,Tôi nhớ không khí trong phòng mỗi khi ông xuất hiện căng đến mức không thể thở nổi.
,"Câu nói bố vừa nhắc về việc tôi là khách mời danh dự lần này, giờ nghe lại có vẻ mang nhiều ""trọng lượng"" hơn rồi đó."
Ushiromiya Battler,""".........Sáu năm trước, em còn học tiểu học, còn giờ em đã là học sinh cấp ba rồi, không còn trốn tránh được nữa. Nếu không thể hiện sự kính trọng, thì chắc sẽ có chuyện lớn đây. ...Ooo, đáng sợ thật."""
Ushiromiya George,"""Ông trông có vẻ đáng sợ đấy, nhưng thật ra cũng không hẳn đâu. Chắc chắn ông không bao giờ bất công. Chỉ là ông không giỏi ăn nói thôi."""
Ushiromiya Jessica,"""Nhưng anh George à, anh là cháu cưng trong nhà từ xưa đến giờ nhờ học giỏi mà đúng không? Ông nội đối xử với tụi em khác hẳn nha!"""
Ushiromiya Jessica,"""Như em nè, từng bị đánh kiếm gỗ. Đánh vào mông, đánh vào mông em luôn đó! Đánh vào cái mông trần trinh nguyên của em đó!"""
Ushiromiya George,"""À thì, em là người thừa kế của nhà chính mà, Jessica. Ông nội chỉ đang chăm sóc em đặc biệt thôi. Phải hiểu là sự nghiêm khắc của ông thể hiện kỳ vọng rất lớn dành cho em."""
Ushiromiya Jessica,"""Ôi trời ơi. ...Thật lòng ấy, em muốn giao lại quyền thừa kế cho anh luôn đó, anh George à. Cái gánh nặng này thì quá sức với em rồi."""
,"Tôi nghĩ mình đã nói rồi, nhưng mà Jessica là con gái của người con trai cả, đồng nghĩa với việc chị ấy phải mang trọng trách thừa kế nhà chính.{n}Áp lực trên vai chị ấy chắc chắn khác hoàn toàn với tụi tôi – những đứa con của những người con thứ."
Ushiromiya Maria,""".........Uu? Chị Jessica ơi, nặng lắm à? Nếu em cầm giúp, nó sẽ nhẹ hơn không?"""
Ushiromiya Jessica,"""Hm? Ahahahaha, cảm ơn nha. Không sao đâu, chị không để em phải chịu nó đâu, bé Maria."""
Ushiromiya Jessica,"""......Chị phải tự mang nó cho đến lúc xuống mồ thôi. ...Đừng lo nhé."""
,"Dù trân trọng sự quan tâm ngây thơ của Maria, Jessica dường như không thể xua tan nỗi lo âu về tương lai vẫn hiện rõ trên gương mặt."
,"...Tôi thì chắc cũng chẳng khác gì.Học sinh cấp ba nào mà không có những bài kiểm tra chờ phía trước chứ, và chúng đều đi liền với những nỗi bất an khó giấu nổi về tương lai."
Ushiromiya Rosa,"""Maria, lại đây nào. Con sẽ ở phòng này với mẹ nhé."""
Ushiromiya George,"""Battler à, có vẻ như em sẽ ở phòng này với anh đấy."""
Ushiromiya Battler,"""Oh? Bất ngờ ghê! Phòng này còn to hơn phòng của bố mẹ tụi mình nữa, wo~w!"""
Ushiromiya Jessica,"""Chị đoán là tụi mình đã là anh em họ với nhau thì chắc sẽ tụ tập chung một chỗ thôi. Nên là chị đã bảo họ làm ra một cái phòng to đùng như thế này luôn."""
Ushiromiya Maria,"""Uu! Em cũng thích ở đây nhất! Ở đây thích hơn là ở cùng với Mama! Uu‐uu!"""
Ushiromiya Battler,"""Ok, Maria cũng thích ở đây hơn ha! Vậy thì, phòng này là của anh George với anh, nhưng bọn anh sẽ cho em đặc quyền vào đây nha! Đừng nói với mẹ em đấy!"""
Ushiromiya Maria,"""Uu! Bí mật!"""
,"Mẹ cô bé – cô Rosa – đang đứng ngay phía sau, nhưng Maria vẫn cất tiếng đáp, tay nắm chặt đấm vào không khí."
,"Sau khi bố mẹ tụi tôi để hành lý vào phòng, họ lại tụ họp ngoài hành lang."
Ushiromiya Rudolf,"""Này mấy nhóc, các con tính sao đây? Mấy anh em họ nhà này cứ định ngồi đây mà trò chuyện thôi hả?"""
,Có vẻ họ đang chuẩn bị đến biệt thự để chào hỏi.
,"...Bình thường, tụi tôi cũng sẽ phải đi theo và chào hỏi chung, nhưng nếu vậy thì bố tôi chỉ đơn giản bảo ""Các con đi cùng luôn đi!"" là xong chuyện."
,Mà lần này thì tụi tôi không đi cũng chẳng sao... Vậy giờ làm gì đây?
Ushiromiya Hideyoshi,"""Cũng sắp tới giờ ăn trưa rồi. Cho các cháu thư giãn ở đây chút cũng tốt. Với lại, nếu mà xui lắm thì, có khi đây là lần cuối tụi nó được chơi ngoài trời."""
Ushiromiya Maria,"""Uu! Con đi nữa!"""
Ushiromiya Rosa,"""Maria, con trông nhà giúp Mama nhé, được chứ? Ngoan và đợi mẹ ở đây nhé."""
Ushiromiya Maria,"""......Uu."""
,"Giờ Maria bị bảo phải ở lại, thì tụi tôi cũng không thể bỏ lại cô bé một mình được."
,Anh George lập tức nhận ra điều đó và trả lời dứt khoát thay mặt cả bọn.
Ushiromiya George,"""Vậy thì tụi cháu xin nhận lời và ở lại trông nhà. Một năm không gặp, tụi cháu có nhiều chuyện để nói lắm."""
Ushiromiya Kyrie,"""Vậy là tốt nhất. Với lại Battler còn có tận sáu năm chưa được nói gì với mọi người mà!"""
Ushiromiya Battler,"""Vâng vâng. Cháu sẽ trông nhà như một cậu bé ngoan luôn."""
Ushiromiya Jessica,"""Bà Kumasawa, cháu cũng sẽ ở lại nhé! Mấy chuyện còn lại nhờ người lớn lo, tụi cháu sẽ tách đoàn một chút, heheheh!"""
Kumasawa Chiyo,"""Vậy thì là tốt nhất rồi, hoh‐hoh‐ho. Tôi sẽ báo lại với bà chủ..."""
Gohda Toshiro,"""Vậy thì, xin mời các vị, tôi sẽ dẫn đường đến biệt thự. Mời đi lối này."""
Ushiromiya Eva,"""...Không tính mấy đứa nhỏ, chứ George giờ là người lớn rồi. Cho nó đi cùng tụi mình không tốt hơn sao?"""
Ushiromiya Hideyoshi,"""Kêu nó đi theo thì tội nó lắm, vì có khi con mình sẽ cảm thấy không theo được mọi người đâu. Giao tiếp với mấy đứa em họ cũng quan trọng mà. Thôi, gặp sau nhé mấy đứa!"""
,Những người lớn lần lượt rời đi.
,"Giống như lúc dẫn tụi tôi từ bến tàu lên đây, chú Gohda đi trước dẫn đầu, còn bà Kumasawa lại bước theo sau cùng."
,"Khi chúng tôi tụ tập trong căn phòng lớn được phân như ban nãy, anh George xin phép chạy ra ngoài một lát. Anh vội đến chỗ bà Kumasawa, người đang theo sau hội người lớn đang khuất dần, và dường như hỏi bà điều gì đó."
,"Chẳng mấy chốc, anh quay lại sau khi hoàn tất việc."
Ushiromiya Battler,"""Sao vậy anh?"""
Ushiromiya George,"""À, không sao đâu. Anh chỉ muốn hỏi vài thứ thôi."""
Ushiromiya Maria,"""Uu! Hỏi em nữa đi! Hỏi em nữa điii!"""
Ushiromiya Jessica,"""......Hm~? Hmhuhuhuhu. Có chuyện gì mà anh George phải hỏi bà Kumasawa mà không hỏi em nhỉ~? Ah, em không biết được đâu á~!"""
Ushiromiya George,"""Không, em hiểu lầm rồi...! Anh không biết em có hiểu lầm hay không nhưng mà...!"""
,Anh George bắt đầu lắp bắp thấy rõ.
,"Nhìn như thể anh ấy đang giấu chuyện gì đó, còn Jessica thì nắm được hết rồi."
,"...Mà nếu có chuyện gì chỉ có Jessica biết mà tôi thì không, thì chán chết luôn!"
Ushiromiya Battler,"""Nè Maria, tụi mình bị ra rìa thì đâu có công bằng đúng không~?! Tụi mình cũng muốn biết hai người ấy đang nói gì chứ, đúng không~?!"""
Ushiromiya Maria,"""Uu! Battler với em cũng muốn biết! Battler với em cũng muốn biết!"""
,"""""Uu‐uu‐uu‐uu!!!"""""
,"Tôi bắt chước ""uu‐uu"" cùng với Maria và đùa giỡn."
Ushiromiya George,"""Không, anh nói thật mà... chẳng có gì to tát đâu, ahahaha..."""
Ushiromiya Battler,"""Xạo là rõ~! Anh dở tệ khoản nói dối luôn đó, mau khai ra đi! Maria, em cù bên phải, anh sẽ cù bên trái!"""
Ushiromiya Maria,"""Uu! Em bên phải, Battler bên trái! Uu!"""
Ushiromiya George,"""Khoan đã nào!! Khoan đã mấy đứa...!! Ahahaha, dừng lại, ahahahahahaha!!"""
,"George‐aniki lăn lộn trên giường cố né, còn tôi với Maria thì đuổi theo để trêu anh ấy."
,"Trong đầu tôi có giọng nói nhắc rằng mình là học sinh cấp ba rồi đấy, không còn là con nít nữa đâu, nhưng dù vậy, tôi vẫn nhớ cảm giác vui vẻ kiểu này."
,Một niềm vui ấm áp.
Ushiromiya Jessica,"""Haahahahaha, chuyện anh George hỏi bà Kumasawa đó, thì... Hmm~? À thì, em cũng biết mà. Một năm rồi anh ý mới quay lại nhà chính. Thì có vẻ là anh ý đang nóng lòng chào hỏi mấy gia nhân mới vào hay sắp nghỉ việc thôi mà."""
Ushiromiya Maria,"""......Uu? Chào hỏi? Em cũng muốn chào hỏi!"""
Ushiromiya Battler,"""Cái quái gì chứ, chuyện đó thì có gì phải giấu đâu, anh George à. ......Hmm~~m? Không phải vậy đâu đúng không?? Maria, đừng để bị lừa, anh ấy vẫn còn giấu chuyện gì đó~! Tiếp tục tra khảo!! Uworyaaa!!"""
Ushiromiya George,"""D‐dừng lại đi, nghiêm túc đó! Aahahahahaha! Bé Maria à, em cũng dừng lại đi!!"""
Ushiromiya Maria,"""Aahahahahaha, aahahahahaha! *cười khúc khích*!!"""
Ushiromiya Jessica,"""Có lẽ họ đang bận dọn dẹp hoặc chuẩn bị bữa trưa. Không sao đâu, tụi mình sẽ chào hỏi đàng hoàng sau. Căn bản là, anh muốn Shannon ra chào mình chứ gì, chứ không phải bị chú Gohda chen ngang đúng không?! Heeheheh!"""
Ushiromiya Battler,"""Shannon hả? ......Shannon. ......Aaaaaaaaahh... Nhớ rồi, cô gái đó! Vẫn còn làm hầu gái à? Giờ cô ấy thế nào rồi?!"""
Ushiromiya Hideyoshi,"""Nhân tiện, chị Natsuhi à. Gần đây chị còn bị đau đầu nữa không? Hồi trước thấy có vẻ nghiêm trọng lắm."""
Ushiromiya Natsuhi,"""...Dạo này chị đã khá hơn nhiều rồi. Cảm ơn chú đã quan tâm."""
Ushiromiya Rosa,"""À, đúng rồi, đây. Em có chút quà gửi chị Natsuhi ạ."""
Ushiromiya Natsuhi,"""......Chị xin cảm ơn cô lần nữa nhé. Lúc nào chị cũng có quà từ cô mãi. ...Đây là trà đen à?"""
Ushiromiya Rosa,"""Là trà thảo mộc pha bạc hà và tía tô đất ạ. Đây là loại trà được pha chế đặc biệt từ một cửa hàng nổi tiếng, nghe nói là sẽ tốt cho những ai hay bị đau đầu. Em nghĩ có thể giúp ích cho chị ạ."""
,Rosa lúc nào cũng là người chu đáo.
,"...Có lẽ vì cô là con út trong bốn anh em, và cũng kém xa tuổi so với các anh chị, nên cô đã lớn lên mà không mang lòng đố kỵ như các anh chị của mình."
,"Sự quan tâm của cô khiến Natsuhi cảm thấy dịu lại một chút, nhưng không đủ để cô xóa tan nét lo âu hằn trên gương mặt của mình, vốn đã bị bao năm căng thẳng hóa thành như vô cảm..."
Ushiromiya Eva,"""Phải rồi, chị lúc nào cũng nói bị đau đầu mà. Thôi cố gắng lên. Jessica cũng sắp thi rồi đúng không? Đây chẳng phải là bước ngoặt lớn sao? Làm sao nó trông cậy vào mẹ mình nếu chị cứ thế này chứ? Hơn nữa, chị Natsuhi à, chị ít hơn tôi tận ba tuổi đó. Không thể cố gắng hơn được sao?"""
Ushiromiya Natsuhi,"""............ .........Chị xin lỗi. Từ lúc sinh ra chị đã bị vậy rồi."""
,"Eva đôi khi không biết lựa lời, và dù vẫn cười, lời cô ấy dành cho Natsuhi chứa đầy ác ý rõ rệt."
,"Tất nhiên, điều đó không thoát khỏi tai mắt của Natsuhi."
,"Cô phải cố gắng lắm mới kìm được việc nhăn mặt, và giả vờ như không để ý đến Eva."
Ushiromiya Kyrie,"""Battler nhà mình cũng sắp thi rồi đúng không? Rudolf à, anh cũng nên lo lắng một chút chứ? Vì con trai mình, lo đến mức đau đầu như chị Natsuhi cũng được đấy."""
Ushiromiya Rudolf,"""Anh mà nói gì thì nó tự động làm ngược lại ngay. Thế thì nên bảo nó làm cái gì? Có khi là bảo nó cứ chơi bời thoải mái lại hay nhỉ? Có lẽ đó là thứ duy nhất nó chịu nghe thôi."""
Ushiromiya Rudolf,"""Còn gia đình anh Hideyoshi thì sao, hồi George còn đi học thì đều thi cử tốt chứ? Làm ơn chỉ em bí quyết dạy con với."""
Ushiromiya Hideyoshi,"""Hmm, thì... Có lẽ vì anh đã giải thích cho nó hiểu được tại sao phải học! Việc học không có giá trị gì nếu chỉ là học cho có."""
Ushiromiya Hideyoshi,"""Đúng rồi, mục đích thật sự của việc học là để rèn luyện khả năng tự nghiên cứu những điều mình chưa biết! Nếu không làm được điều đó, thì chẳng giúp được gì cho xã hội cả! Anh không nói đến toán hay văn gì đâu. Quan trọng là phải ""học được cách học""!"""
Ushiromiya Natsuhi,"""...Tuyệt vời quá. Giá mà Jessica nhà chị cũng hiểu điều đó thì tốt biết mấy. Chị nói thế không phải để chỉ trích con bé đâu, nhưng với tư cách là người thừa kế của gia tộc Ushiromiya thì–"""
Ushiromiya Eva,"""Chị thật sự cần phải ép buộc nó trở thành người thừa kế sao? Phụ nữ phải tự tìm thấy hạnh phúc cho riêng mình chứ. Cha mẹ không nên quyết định điều đó thay cho con cái, đúng không?"""
Ushiromiya Hideyoshi,"""Bình tĩnh nào, Eva. Mỗi gia đình đều có cách dạy con riêng mà. Em đừng áp đặt quá."""
Ushiromiya Eva,"""Xin lỗi nhé. Chị Natsuhi à, đừng hiểu lầm lời tôi nhé."""
Ushiromiya Natsuhi,"""..........................."""
,"Dù ánh sáng ngoài cửa sổ khá ấm áp trong khi trời đầy mây, không khí trong phòng lại mang một màu sắc u ám, ...có lẽ điều đó khiến không chỉ mình Natsuhi cảm thấy nhức đầu."
,"Như để xua đi bầu không khí ấy, Kyrie vui vẻ đưa ra một đề nghị với mọi người."
Ushiromiya Kyrie,"""Dù sao thì, trà đen này có mùi thơm tuyệt quá. Mời mọi người cùng uống ngay thôi. Chị nghe nói ở Nhật thì trà đen hiệu Leopold chỉ có thể mua ở Ginza, đúng không?"""
Ushiromiya Rosa,"""Chị biết nhiều quá, chị Kyrie à. Thứ trà này rất đáng mua đó."""
,"Kyrie và Rosa đứng dậy, như thể đang chuẩn bị rót trà.{n}Natsuhi đã ngăn họ lại."
Ushiromiya Natsuhi,"""......Cảm ơn cả hai em. Lát nữa chúng ta hãy uống sau cũng được. Chuẩn bị có người mang trà tới đây rồi, vậy nên cứ ngồi yên mà thư giãn nhé."""
Ushiromiya Rudolf,"""Hai em cứ để đó đi. Để gia chủ được đãi chúng ta một ly trà mời khách đã chứ."""
,Rudolf kín đáo ra hiệu bằng ánh mắt để họ ngồi xuống lại.{n}...Kyrie và Rosa hiểu ý ngay và lặng lẽ trở về chỗ ngồi.
,"Khách thì cũng đã chào rồi, vậy thì bây giờ là lúc trà nên được mang ra."
,"...Nhưng đợi mãi mà gia nhân vẫn chưa thấy đâu cả, và để khách tự bàn về việc rót trà thì thật mất mặt cho chủ nhà."
,"Natsuhi cắn môi dưới, giận dữ vì sự chậm trễ của đám người hầu."
,"...Thấy biểu cảm đó, Eva không ngần ngại bật cười khúc khích."
,"......Dĩ nhiên, Shannon hoàn toàn không biết chuyện gì đang xảy ra trong phòng khách."
,"Khi cô đẩy xe trà chất đầy những chiếc tách vào phòng, Natsuhi nhìn cô với một ánh mắt đau đớn mà không rõ lý do, khiến Shannon giật mình mà không hiểu mình làm gì sai."
Shannon,"""......X‐xin thứ lỗi. Tôi sẽ chuẩn bị trà ngay."""
Ushiromiya Hideyoshi,"""Ô kìa, cô Shannon, đã lâu không gặp rồi! Mỗi lần gặp lại là tôi lại thấy cô xinh hơn hẳn đấy!"""
Shannon,""".........Ô, ...ừm, .........dạ cảm ơn–"""
Ushiromiya Natsuhi,"""Chuyện trò thì để sau khi bày bàn xong đi. Trà sẽ nguội mất."""
Shannon,"""......Con, ...con xin lỗi, thưa bà."""
,"Shannon xin lỗi như một con thú nhỏ sợ hãi, va vào xe trà làm rơi lẻng xẻng mấy cái thìa."
,"Sự vụng về đó khiến nét mặt Natsuhi càng thêm nghiêm khắc, khiến cô lại càng sợ hãi hơn."
Ushiromiya Eva,"""Không sao đâu à, chị Natsuhi. Một câu chào hỏi thì có gì to tát chứ? Đằng nào tụi tôi cũng ngồi chờ quá lâu rồi, trà chắc cũng nguội hết rồi. Heheheh."""
Shannon,"""Dạ, ...dạ không sao ạ... Trà vẫn chưa nguội, nên–"""
Ushiromiya Natsuhi,""".........Shannon, dọn cho xong cái bàn đi, nhanh lên."""
Shannon,"""Dạ, con xin lỗi, thưa bà......"""
,Rõ ràng là Natsuhi đang bực bội.
,"...Từ sự chậm trễ trong việc mang trà ra, rồi sự vụng về của người hầu – tất cả đều phản ánh sự yếu kém trong việc quản lý của Natsuhi, khiến bà cảm thấy bị mất mặt."
,"Với tư cách là người phụ trách nhà chính của gia tộc Ushiromiya, việc để xảy ra sơ suất như vậy vào đúng ngày hôm nay thật sự là một nỗi nhục."
Ushiromiya Rudolf,"""Bình tĩnh nào, chị Natsuhi. Có phải chị đang hơi quá đáng với cô Shannon, kể cả khi cô ấy đang cố gắng hết sức không?"""
Ushiromiya Natsuhi,"""Chị đâu có quá đáng đâu...!"""
Ushiromiya Kyrie,"""Mùi thơm thật đấy. Cho tôi hỏi tên thương hiệu của trà này được không?"""
Shannon,"""............Ưm.........Con, ...con thật sự xin lỗi... Con sẽ tìm hiểu rồi báo lại sau ạ..."""
,"Kyrie cố gắng làm dịu không khí, định thân thiện với Shannon."
