Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
,"""""""Wahahahahaha!!!""""""","""""""Wahahahahaha!!!"""""" ","""""""Wahahahahaha!!!""""""",「「「わっはっはっはっはっは！！！」」」,「「「わっはっはっはっはっは！！！」」」,"""""""Ва‐ха‐ха‐ха‐ха!!!""""""","""""""Wahahahahaha!!!""""""",「「「哇哈哈哈哈哈！！！」」」,「「「哇哈哈哈哈哈！！！」」」,"""""""Wahahahahaha!!!""""""","""""""Wahahahahahah!!!""""""","""""""¡¡¡Wajajajajaja!!!""""""",“”””ﻭﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎ!””””,"""""""Wahahahahaha!!!""""""","""""""Wahahahahaha!!!""""""","""""""Wahahahaha!!!"""""""
,Everyone let out a huge laugh.,Everyone let out a huge laugh. ,Everyone let out a huge laugh.,みんなが大笑いする。,みんなが大笑いする。,Все разразились бурным хохотом.,Todos deram uma grande risada.,大家大笑起来。,大家大笑起來。,Tutti risero forte.,Tutti risero di gusto.,Nos reímos escandalosamente.,ﺿﺤﻚ ﺍﻟﺠﻤﻴﻊ ﺑﺼﻮﺕ ﻣﺮﺗﻔﻊ.,Everyone let out a huge laugh.,Semua tertawa terbahak-bahak.,Herkes kocaman bir kahkaha attı.
,"According to Jessica, Kumasawa‐san's ""mackerel jokes"" were a type of running gag, and our parents had long since gotten used to it.","According to Jessica, Kumasawa-san's mackerel jokes were a running gag that our parents had long since gotten used to. Kumasawa-san often claimed that mackerels had precious nutritional value, "," According to Jessica, Kumasawa-san's mackerel was often the material of a running gag, and our parents had long since gotten used to it.",朱志香によると、熊沢さんの「鯖ネタ」はある種の繰り返しギャグであるらしく、親族たちにとってはもうとっくにお馴染みのネタなのだそうだ。,朱志香によると、熊沢さんの「鯖ネタ」はある種の繰り返しギャグであるらしく、親族たちにとってはもうとっくにお馴染みのネタなのだそうだ。,"Согласно Джессике, скумбрия Кумасавы‐сан часто становилась дежурной шуткой, и наши родители уже давно привыкли к этому.","De acordo com a Jessica, as ""piadas de cavalinha"" da Kumasawa‐san eram um tipo de piada que os nossos pais já haviam se acostumado há muito tempo.",听朱志香说，熊泽婆婆的「鲭鱼笑话」似乎是某种老梗笑话，在亲戚们当中是早已熟悉的笑点。,聽朱志香說，熊澤婆婆的「鯖魚笑話」似乎是某種老梗笑話，在親戚們當中是早已熟悉的笑點。,"Stando a quanto diceva Jessica, lo sgombro di Kumasawa-san era l'oggetto di uno scherzo ricorrente, e i nostri genitori c'erano abituati da un bel po'.","Stando a quanto diceva Jessica, le battute con lo sgombro di Kumasawa-san erano una sorta di gag ricorrente, e ormai i nostri genitori si erano abituati ad esse.","Según Jessica, la caballa de Kumasawa‐san era una broma típica del lugar, y nuestros padres llevaban tiempo acostumbrados a ella.",ﻭﻓﻘﺎ ﻟﺠﻴﺴﻴﻜﺎ، ﺍﻋﺘﺎﺩ ﺍﻟﺠﻤﻴﻊ ﻋﻠﻰ ﻣﺰﺡ ﻛﻮﻣﺎﺳﺎﻭﺍ-ﺳﺎﻥ ﻋﻦ ﺳﻤﻚ ﺍﻹﺳﻘﻤﺮﻱ. ﻭﻗﺪ ﺃﺧﺬ ﺁﺑﺎﺅﻧﺎ ﻓﺘﺮﺓ ﻃﻮﻳﻠﺔ ﺣﺘﻰ ﻳﻌﺘﺎﺩﻭﺍ ﻋﻠﻴﻪ.,"According to Jessica, Kumasawa‐san's ""mackerel jokes"" were a type of running gag, and our parents had long since gotten used to it.","Menurut Jessica, ""lelucon makarel"" Kumasawa-san sudah menjadi tradisi, dan orang tua kami sudah lama terbiasa.","Jessica'ya göre Kumasawa-san'ın ""uskumru şakaları"" bir tür geyikti, ve ailelerimiz buna çoktan alışmıştı."
,Kumasawa‐san often claimed that mackerel contained precious nutrients that could do things such as prevent aging and make people smarter.,"which could slow aging, make people smarter and more. ", Kumasawa-san often claimed that mackerel had a precious nutritional value that could do things such as prevent aging and make people smarter.,熊沢さんは、鯖には貴重な栄養が含まれていて、老化防止にいいとか頭が良くなるとかいろいろ効能を説いてくれていた。,熊沢さんは、鯖には貴重な栄養が含まれていて、老化防止にいいとか頭が良くなるとかいろいろ効能を説いてくれていた。,"Кумасава‐сан часто заявляла, что скумбрия имеет огромную пищевую ценность и обладает такими свойствами, как предотвращение старения и обострение ума у людей.",A Kumasawa‐san frequentemente afirma que a cavalinha contém preciosos nutrientes que podem prevenir o envelhecimento e deixar as pessoas mais espertas.,熊泽婆婆曾向我们讲解过，鲭鱼富有珍贵的营养价值，能防止老化啊又能让人变聪明啊，有如此种种的一大堆功能。,熊澤婆婆曾向我們講解過，鯖魚富有珍貴的營養價值，能防止老化啊又能讓人變聰明啊，有如此種種的一大堆功能。,Kumasawa-san affermava spesso che lo sgombro ha un apporto nutrizionale straordinario che può addirittura rallentare l'invecchiamento e rendere le persone più intelligenti.,"Kumasawa-san affermava spesso che lo sgombro contenesse preziose sostanze nutritive, e che avesse numerosi benefici, come ad esempio rallentare l'invecchiamento e aumentare l'intelligenza...",Kumasawa‐san aseguraba que la caballa tenía un enorme valor nutricional que evitaba el envejecimiento y hacía a la gente más inteligente.,ﻏﺎﻟﺒﺎ ﻣﺎ ﺗﺪﻋﻲ ﻛﻮﻣﺎﺳﺎﻭﺍ-ﺳﺎﻥ ﺃﻥ ﺳﻤﻚ ﺍﻹﺳﻘﻤﺮﻱ ﻟﻪ ﻗﻴﻤﺔ ﻏﺬﺍﺋﻴﺔ ﺛﻤﻴﻨﺔ ﻳﻤﻜﻦ ﺃﻥ ﻳﻔﻴﺪ ﻓﻲ ﻣﻨﻊ ﺍﻟﺸﻴﺨﻮﺧﺔ ﻭﺯﻳﺎﺩﺓ ﺣﺪﺓ ﺍﻟﺬﻛﺎﺀ.,Kumasawa‐san often claimed that mackerel contained precious nutrients that could do things such as prevent aging and make people smarter.,Kumasawa-san sering bilang makarel mengandung nutrisi berharga yang bisa mencegah penuaan dan membuat pintar.,Kumasawa-san sık sık uskumrunun yaşlanmayı önlemek ve insanları daha zeki yapmak gibi şeyler yapabilen değerli besinler içerdiğini iddia ederdi.
,"...It seemed that while it couldn't stop the outward signs of aging, it helped prevent aging on the inside.","...Supposedly, while it couldn't stop the outward signs of aging, it helped prevent aging on the inside. ","...It seemed that while it couldn't stop the outward signs of aging, it helped prevent aging on the inside.",…外見の老化は防止できてないようだが、中身の老化は防いでいるようだ。,…外見の老化は防止できてないようだが、中身の老化は防いでいるようだ。,"...По‐видимому, хоть и не в её силах было остановить внешнее старение, но уж с внутренним старением она справлялась.","...Parece que apesar de não ter prevenido o envelhecimento por fora, preveniu ele por dentro.",…虽然外表没能防住，但内心的老化看来是防住了。,…雖然外表沒能防住，但內心的老化看來是防住了。,"... Sembrava che pur non potendo cancellare i segni esteriori dell'invecchiamento, aiutasse a prevenire quello interiore.","A quanto pareva, pur non potendo cancellare l'invecchiamento esteriore, esso preveniva quello interiore.","Por lo visto, aunque no impedía el envejecimiento exterior, sí que ayudaba a reducir el interior.",….ﻣﻤﺎ ﻳﺒﺪﻭ ﺃﻧﻪ ﻻ ﻳﻮﻗﻒ ﻋﻼﻣﺎﺕ ﺍﻟﺸﻴﺨﻮﺧﺔ ﺍﻟﺨﺎﺭﺟﻴﺔ، ﺇﻻ ﺃﻧﻪ ﺳﺎﻋﺪ ﻓﻲ ﻣﻨﻊ ﺍﻟﺸﻴﺨﻮﺧﺔ ﻓﻲ ﺍﻟﺪﺍﺧﻞ.,"...It seemed that while it couldn't stop the outward signs of aging, it helped prevent aging on the inside.","...Katanya meski tidak menghentikan penuaan luar, tapi berguna untuk bagian dalam.",...Görünüşe göre yaşlanmanın dış belirtilerini durduramasa da içten içe yaşlanmayı önlemeye yardımcı oluyordu.
,"Since she was still healthy enough to tell these kinds of jokes at her age, that benefit must be the real thing.","Since she was still spirited enough to tell these kinds of jokes at her age, there must be something to that theory. "," Since she was still healthy enough to tell these kinds of jokes at her age, that benefit must be the real thing.",あの歳でこんな冗談が未だ言える元気があるなら、その効能は本物だ。,あの歳でこんな冗談が未だ言える元気があるなら、その効能は本物だ。,"Раз уж она достаточно здорова, чтобы отпускать подобные шутки в её возрасте, то в этом есть рациональное зерно.","Afinal, ela tem saúde o bastante para ficar fazendo esse tipo de piada na idade dela, esse deve ser o real benefício.",到这种年纪还有开这种玩笑的精神，这功能是货真价实啊。,到這種年紀還有開這種玩笑的精神，這功能是貨真價實啊。,"Dato che alla sua età Kumasawa-san era ancora abbastanza in forma da scherzare in questo modo, quei benefici dovevano essere autentici.","Se Kumasawa-san era ancora abbastanza attiva da raccontare questo tipo di battute alla sua età, questi benefici dovevano esistere per davvero.","Teniendo en cuenta que a su edad sigue teniendo la presencia de ánimo suficiente como para bromear de esa forma, ese debe ser el auténtico beneficio.",ﺑﻤﺎ ﺃﻧﻬﺎ ﻻ ﺗﺰﺍﻝ ﺗﺘﻤﺘﻊ ﺑﺎﻟﺼﺤﺔ ﺍﻟﻜﺎﻓﻴﺔ ﻟﻘﻮﻝ ﻣﺜﻞ ﻫﺬﻩ ﺍﻟﻨﻜﺎﺕ ﻓﻲ ﻋﻤﺮﻫﺎ، ﻳﺠﺐ ﺃﻥ ﺗﻜﻮﻥ ﻫﺬﻩ ﺍﻟﻔﺎﺋﺪﺓ ﻫﻲ ﺍﻟﺸﻲﺀ ﺍﻟﻮﺣﻴﺪ ﺍﻟﺤﻘﻴﻘﻲ.,"Since she was still healthy enough to tell these kinds of jokes at her age, that benefit must be the real thing.","Mengingat usianya yang sudah tua tapi masih sehat dan bisa bercanda seperti ini, mungkin memang benar.","Bu yaşta hala bu tür şakalar yapabilecek kadar sağlıklı olduğuna göre, bu fayda gerçek olmalı."
Kumasawa Chiyo,"""Hoh‐hoh‐ho... Well then, if you'll excuse me. Prepare yourself for tonight's dinner! I'll be cooking plenty of mackerel dishes for you to eat, so look forward to it!""","""Hohohoh... In that case, if you'll excuse me... Prepare yourself for tonight's dinner! I'll be cooking plenty of mackerel dishes for you all, so you'd better look forward to it!"" ","""Hoh-hoh-ho... In that case, if you'll excuse me... Prepare yourself for tonight's dinner! I'll be cooking plenty of mackerel dishes for you to eat, so look forward to it!""",「ほっほっほ…。それでは失礼いたします。夕食には奮って！　たくさんの鯖料理をお召し上がりいただきますので、どうぞご期待くださいませね？」,「ほっほっほ…。それでは失礼いたします。夕食には奮って！　たくさんの鯖料理をお召し上がりいただきますので、どうぞご期待くださいませね？」,"""Хо‐хо‐хо... В таком случае с вашего позволения... Настраивайтесь на сегодняшний обед! Я наготовлю кучу блюд из скумбрии, так что готовьтесь!""","""Hoh‐hoh‐ho... Bem, se me dão licença. Preparem‐se para o jantar desta noite! Eu vou cozinhar muitos pratos com cavalinha para vocês comerem, aguardem ansiosos!""",「嚯嚯嚯…。那么老太婆我先失陪了。晚饭时我加把劲！到时候我会做出很多鲭鱼料理的，还请大家期待哟！」,「嚯嚯嚯…。那麼老太婆我先失陪了。晚飯時我加把勁！到時候我會做出很多鯖魚料理的，還請大家期待喲！」,"""Hoh-hoh-ho... in tal caso, col vostro permesso... preparatevi alla cena di stasera! Cucinerò una marea di piatti a base di sgombro, quindi attendetela pure con entusiasmo!""","""Ohohohoh... In tal caso, vi prego di perdonarmi. Preparatevi alla cena di stasera! Potrete degustare diversi piatti a base di sgombro, perciò godetevi pure l'attesa, d'accordo?""","""Jo‐jo‐jo... En ese caso, discúlpenme. ¡Prepárense para la cena de hoy! ¡Cocinaré una enorme cantidad de platos de caballa, así que solo esperen!""","""ﻫﻮﻩ-ﻫﻮﻩ-ﻫﻮ…. ﻓﻲ ﻫﺬﻩ ﺍﻟﺤﺎﻟﺔ، ﺇﺫﺍ ﺳﻤﺤﺘﻢ ﻟﻲ…. ﻓﻠﺘﺠﻬﺰﻭﺍ ﺃﻧﻔﺴﻜﻢ ﻟﺘﻨﺎﻭﻝ ﻋﺸﺎﺀ ﺍﻟﻠﻴﻠﺔ! ﺳﺄﻃﺒﺦ ﺍﻟﻜﺜﻴﺮ ﻣﻦ ﺃﻃﺒﺎﻕ ﺳﻤﻚ ﺍﻹﺳﻘﻤﺮﻱ ﻣﻦ ﺃﺟﻠﻜﻢ، ﻟﻦ ﺗﺨﻴﺐ ﺁﻣﺎﻟﻜﻢ!”","""Hoh‐hoh‐ho... Well then, if you'll excuse me. Prepare yourself for tonight's dinner! I'll be cooking plenty of mackerel dishes for you to eat, so look forward to it!""","""Hoh-hoh-ho... Kalau begitu izinkan saya pamit. Siap-siap untuk makan malam nanti! Aku akan memasak banyak hidangan makarel untuk kalian, jadi nantikan!""","""Hoh-hoh-ho... O zaman, izninizle. Bu akşamki yemek için kendinizi hazırlayın! Yemeniz için bol bol uskumru yemeği pişireceğim, sabırsızlıkla bekleyin!"""
Ushiromiya Rudolf,"""Wahahaha, we sure will. I want to treat myself to some vinegared mackerel tonight!""","""Wahahaha, we sure will. Can't wait to get all puckered up from tonight's shimesaba!"" ","""Wahahaha, we sure will. I want to get all dressed up for tonight's mackerel!""",「わっはっはっは、期待してるよ。今晩はしめ鯖でキュっとしゃれ込みたいぜ。,「わっはっはっは、期待してるよ。今晩はしめ鯖でキュっとしゃれ込みたいぜ」,"""Ва‐ха‐ха‐ха, не волнуйся, подготовимся. Я хочу как следует принарядиться к сегодняшней скумбрии!""","""Wahahaha, com certeza iremos. Eu quero saborear algumas cavalinhas com vinagre esta noite!""",「哇哈哈哈，很期待哦。今晚挺想奢侈一下，大吃一顿醋鲭鱼呢。」,「哇哈哈哈，很期待哦。今晚挺想奢侈一下，大吃一頓醋鯖魚呢。」,"""Wahahaha, certamente. Voglio mettermi in ghingheri per lo sgombro di stasera!""","""Wahahahah, siamo tutti in fermento. Lo sgombro marinato di stasera sarà un'occasione imperdibile!""","""Wajajaja, eso haremos. ¡Debo vestirme para la caballa de esta noche!""","""ﻭﺍﻫﺎﻫﺎﻫﺎ، ﺑﺎﻟﺘﺄﻛﻴﺪ ﺳﻨﻔﻌﻞ. ﺃﻭﺩ ﺗﻨﺎﻭﻝ ﺑﻌﺾ ﺍﻹﺳﻘﻤﺮﻱ ﺍﻟﻤﺨﻠﻞ ﺍﻟﻠﻴﻠﺔ!","""Wahahaha, we sure will. I want to treat myself to some vinegared mackerel tonight!""","""Wahahaha, kami tunggu. Aku ingin mencicipi makarel acar nanti!""","""Wahahaha, kesinlikle bekleyeceğiz. Bu akşam kendimi biraz sirkeli uskumruyla şımartmak istiyorum!"""
Ushiromiya Rosa,"""That sounds wonderful. I wonder if any delicious Japanese sake will be included.""","""That sounds wonderful. I wonder if they'll be serving any good Japanese sake."" ","""That sounds wonderful. I wonder if any delicious Japanese sake will be included.""",「それは素敵ね。ついでに日本酒のおいしいのも出てこないかしら。」,「それは素敵ね。ついでに日本酒のおいしいのも出てこないかしら」,"""Звучит заманчиво. Интересно, замечательное японское сакэ будет?""","""Isso parece maravilhoso. Eu me pergunto se vai ter algum saquê japonês delicioso incluso.""",「这可真不错。顺便能再来点好喝的日本酒吗？」,「這可真不錯。順便能再來點好喝的日本酒嗎？」,"""La cena suona niente male. Mi domando se verrà servito anche del delizioso sakè giapponese.""","""Mi sembra magnifico. Chissà se per l'occasione ci sarà del buon sakè.""","""Suena fantástico. Me pregunto si se incluirá algo de sake japonés.""","""ﻫﺬﺍ ﻳﺒﺪﻭ ﺭﺍﺋﻌﺎ. ﺃﺗﺴﺎﺀﻝ ﺇﺫﺍ ﻛﺎﻥ ﻳﻮﺟﺪ ﺳﺎﻛﻲ ﻳﺎﺑﺎﻧﻲ ﻟﺬﻳﺬ ﺃﻳﻀﺎ.""","""That sounds wonderful. I wonder if any delicious Japanese sake will be included.""","""Bagus sekali. Semoga ada sake Jepang yang enak.""","""Kulağa harika geliyor. Acaba lezzetli Japon sake'si de olacak mı?"""
Kumasawa Chiyo,"""Oh, it certainly will! How about some of our famous Rokkenjima mackerel liquor...""","""Oh, we certainly will. Haven't you heard of Rokkenjima's famous mackerel {ruby:liquor:shochu}...?"" ","""Really, is that so? How about some of our famous Rokkenjima mackerel liquor...""",「えぇ、ございますよぅ？　六軒島名物の鯖焼酎なるものがございまして…。」,「えぇ、ございますよぅ？　六軒島名物の鯖焼酎なるものがございまして…」,"""Вот как? Как насчёт знаменитого Роккенджимского скумбриевого ликёра...""","""Oh, certamente terá! Que tal um pouco do nosso famoso {i:shochu} de cavalinha de Rokkenjima...""",「当然了，有的！那可是六轩岛名产鲭鱼烧酒哇…」,「當然了，有的！那可是六軒島名產鯖魚燒酒哇…」,"""Ah sì? Che ne dice di un assaggio del nostro famoso liquore allo sgombro di Rokkenjima invece...""","""Oh, sarà fatto. Lo shōchū allo sgombro di Rokkenjima è una specialità locale...""","""¿Oh?, ¡sin duda habrá! Qué tal algo del famoso licor de caballa de Rokkenjima...""","""ﺣﻘﺎ، ﻫﻞ ﻫﺬﺍ ﻣﺎ ﺗﺮﻳﺪﻳﻨﻪ؟ ﻣﺎﺫﺍ ﻋﻦ ﺑﻌﺾ ﺳﻤﻚ ﺍﻹﺳﻘﻤﺮﻱ ﺍﻟﻤﺨﻤﻮﺭ ﺍﻟﺸﻬﻴﺮ ﻓﻲ ﺭﻭﻛﻴﻨﺠﻴﻤﺎ….""","""Oh, it certainly will! How about some of our famous Rokkenjima mackerel liquor...""","""Oh, pasti ada! Bagaimana dengan liquor makarel khas Rokkenjima...""","""Oh, kesinlikle olacak! Meşhur Rokkenjima uskumru likörümüze ne dersiniz...?"""
,"""""""Wahahahahaha!!!""""""","""""""Wahahahahahaha!!!"""""" ","""""""Wahahahahahaha!!!""""""",「「「わっはっはっはっはっは！！！」」」,「「「わっはっはっはっはっは！！！」」」,"""""""Ва‐ха‐ха‐ха‐ха!!!""""""","""""""Wahahahahaha!!!""""""",「「「哇哈哈哈哈哈！！！」」」,「「「哇哈哈哈哈哈！！！」」」,"""""""Wahahahahahaha!!!""""""","""""""Wahahahahahahah!!!""""""","""""""¡¡¡Wajajajajajaja!!!""""""","""""""ﻭﺍﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎ!""""""","""""""Wahahahahaha!!!""""""","""""""Wahahahahaha!!!""""""","""""""Wahahahaha!!!"""""""
,"Kumasawa‐san, together with Shannon‐chan, bowed and pushed the serving cart away.","Kumasawa-san, together with Shannon-chan, bowed and pushed the serving cart away. ","Kumasawa-san, together with Shannon-chan, bowed and pushed the serving cart away.",熊沢さんは紗音ちゃんと一緒にお辞儀すると、配膳ワゴンを押しながら退出していった。,熊沢さんは紗音ちゃんと一緒にお辞儀すると、配膳ワゴンを押しながら退出していった。,Кумасава‐сан с Шаннон‐чан поклонились и стали увозить сервировочную тележку.,"A Kumasawa‐san, junto com a Shannon‐chan, se curvaram e começaram a levar o carrinho de comida.",熊泽婆婆和纱音一起向大家行了礼，推着餐车走了出去。,熊澤婆婆和紗音一起向大家行了禮，推著餐車走了出去。,"Kumasawa-san, assieme a Shannon-chan, si inchinò e portò via il carrello da portata.","Kumasawa-san e Shannon-chan fecero simultaneamente un inchino, e spingendo via il portavivande, si congedarono.",Kumasawa‐san y Shannon‐chan hicieron una reverencia y se fueron con el carrito de servicio.,ﺩﻓﻌﺖ ﻛﻮﻣﺎﺳﺎﻭﺍ-ﺳﺎﻥ ﺇﻟﻰ ﺟﺎﻧﺐ ﺷﺎﻧﻮﻥ-ﺗﺸﺎﻥ، ﻋﺮﺑﺔ ﺍﻟﺘﻘﺪﻳﻢ ﺑﻌﻴﺪﺍ.,"Kumasawa‐san, together with Shannon‐chan, bowed and pushed the serving cart away.",Kumasawa-san dan Shannon-chan membungkuk dan pergi dengan gerobak saji.,"Kumasawa-san, Shannon-chan ile birlikte eğildi ve servis arabasını itti."
,"Amusingly, Gohda‐san, who looked just as though his stock had been stolen from him, explained very seriously that tonight's dinner would actually be calf steak.","It was pretty funny to watch Gohda-san, who looked like his show had totally been stolen, explain in a serious voice that we would be having calf steak for dinner. "," Amusingly, Gohda-san, who looked just as though his stock had been stolen from him, explained very seriously that tonight's dinner would actually be calf steak.",すっかりお株を奪われてしまった郷田さんが、今晩は仔牛のステーキですのでと大真面目に弁明しているのも可笑しかった。,すっかりお株を奪われてしまった郷田さんが、今晩は仔牛のステーキですのでと大真面目に弁明しているのも可笑しかった。,"Забава продолжилась, когда Года‐сан, выглядевший так, словно в одночасье лишился всех акций, с серьёзным видом объяснил, что сегодня на обед будет телячий бифштекс.","Surpreendentemente, o Gohda‐san, que tinha tido sua atenção roubada, teve que explicar muito seriamente que o jantar de hoje à noite seria bife de vitela.",被抢了风头的乡田非常认真地解释说今晚的菜是小牛排，他那样子倒也挺好笑的。,被搶了風頭的鄉田非常認真地解釋說今晚的菜是小牛排，他那樣子倒也挺好笑的。,"Quasi comicamente, Gohda-san, che aveva l'aria di uno a cui hanno rubato il posto sotto ai riflettori, spiegò molto seriamente che per la cena di quella sera sarebbe stata servita, in realtà, della bistecca di vitello.","Era buffo vedere Gouda-san, a cui gli era stata completamente rubata la scena, spiegare con aria molto solenne che per la cena di quella sera sarebbero state servite delle bistecche di vitello.","Curiosamente, Gohda‐san, que se sentía como si le hubieran apartado de los focos, explicó con total seriedad que la cena de esta noche sería bistec de ternera.",ﻭﻣﻤﺎ ﻳﺒﻌﺚ ﻋﻠﻰ ﺍﻟﺴﺨﺮﻳﺔ ﺃﻥ ﻗﻮﺩﺍ-ﺳﺎﻥ، ﺍﻟﺬﻱ ﺑﺪﺍ ﻛﻤﺎ ﻟﻮ ﺃﻥ ﻭﻇﻴﻔﺘﻪ ﻗﺪ ﺳﺮﻗﺖ ﻣﻨﻪ، ﺃﻭﺿﺢ ﺑﺠﺪﻳﺔ ﺷﺪﻳﺪﺓ ﺃﻥ ﻋﺸﺎﺀ ﺍﻟﻠﻴﻠﺔ ﺳﻴﻜﻮﻥ ﻓﻲ ﺍﻟﻮﺍﻗﻊ ﺷﺮﻳﺤﺔ ﻟﺤﻢ ﻋﺠﻞ.,"Amusingly, Gohda‐san, who looked just as though his stock had been stolen from him, explained very seriously that tonight's dinner would actually be calf steak.","Lucunya, Gohda-san yang terlihat seperti saingannya dicuri, dengan serius menjelaskan bahwa makan malam nanti benar-benar steak daging sapi muda.","Eğlenceli bir şekilde, sanki stokları çalınmış gibi görünen Gohda-san, çok ciddi bir şekilde bu akşamki yemeğin aslında dana bifteği olacağını açıkladı."
Shannon,"""......Umm............Kumasawa‐san, ...thank you for doing that back there...""","""...Umm, ......Kumasawa-san, ...thanks for doing that back there..."" ","""......Umm............Kumasawa-san, ...Thank you for doing that back there...""",「……あの…、………熊沢さん、…さっきはありがとうございました…。」,「……あの…、………熊沢さん、…さっきはありがとうございました…」,"""...М‐м... Кумасава‐сан... спасибо вам за то, что вы там сделали...""","""......Bem............Kumasawa‐san, ...obrigada por fazer aquilo...""",「……那个…，………熊泽婆婆，…刚才谢谢你了…」,「……那個…，………熊澤婆婆，…剛才謝謝你了…」,"""... Umm... Kumasawa-san... grazie per quello che ha fatto prima per me...""","""...Ecco... Kumasawa-san... grazie per quello che ha fatto prima...""","""... Umm... Kumasawa‐san... muchas gracias por tu ayuda.""","""……ﺍﻣﻤﻢ….ﻛﻮﻣﺎﺳﺎﻭﺍ-ﺳﺎﻥ، … ﺷﻜﺮﺍ ﻟﻚ ﻋﻠﻰ ﻣﺎ ﻓﻌﻠﺘﻪ ﻫﻨﺎﻙ…""","""......Umm............Kumasawa‐san, ...thank you for doing that back there...""","""......Umm............Kumasawa-san, ...terima kasih untuk tadi...""","""......Umm............Kumasawa-san, ...orada yaptığınız için teşekkür ederim..."""
,"As she pushed the serving cart, Shannon bowed her head very deeply.","As she pushed the serving cart, Shannon bowed her head very deeply. ","As she pushed the serving cart, Shannon bowed her head very deeply.",配膳ワゴンを押しながら、紗音は深々と頭を下げた。,配膳ワゴンを押しながら、紗音は深々と頭を下げた。,"Отставив сервировочную тележку, которую они толкали, Шаннон склонила перед Кумасавой голову в глубоком поклоне.","Enquanto empurrava o carrinho, Shannon abaixou sua cabeça agradecendo.",一边推着餐车，纱音一边深深鞠了一躬。,一邊推著餐車，紗音一邊深深鞠了一躬。,"Spingendo il carrello, Shannon chinò profondamente la testa.","Mentre spingeva il portavivande, Shannon fece un profondo inchino col capo.","Mientras empujaba el carrito de servicio, Shannon inclinó respetuosamente la cabeza.",ﺃﺛﻨﺎﺀ ﺩﻓﻌﻬﺎ ﻋﺮﺑﺔ ﺍﻟﺘﻘﺪﻳﻢ، ﻧﻜﺴﺖ ﺷﺎﻧﻮﻥ ﺭﺃﺳﻬﺎ ﺑﺸﺪﺓ.,"As she pushed the serving cart, Shannon bowed her head very deeply.","Sambil mendorong gerobak, Shannon membungkuk dalam-dalam.",Servis arabasını iterken Shannon başını çok derin bir şekilde eğdi.
Kumasawa Chiyo,"""Hoh‐hoh‐ho, I haven't done a~nything that requires thanks.""","""Hohohoh, I haven't done anything that requires thanks."" ","""Hoh-hoh-ho, I haven't done a~nything that requires thanks.""",「ほっほっほ、なぁんもお礼を言われることなんてありません。」,「ほっほっほ、なぁんもお礼を言われることなんてありません」,"""Хо‐хо‐хо, я не сделала ничего, за что меня следовало бы благодарить.""","""Hoh‐hoh‐ho, eu não fiz nada pelo qual você precise me agradecer.""",「嚯嚯嚯，没事向老太婆道什么谢啊。」,「嚯嚯嚯，沒事向老太婆道什麼謝啊。」,"""Hoh-hoh-ho, non ho fatto nu~lla per cui tu debba ringraziarmi.""","""Ohohohoh, non ho fatto nulla per cui tu debba ringraziarmi.""","""Jo‐jo‐jo, no he hecho nada para recibir tu agradecimiento.""","""ﻫﻮﻩ-ﻫﻮﻩ-ﻫﻮ، ﻟﻢ ﺃﻓﻌﻞ ﺷﻴﺌﺎ ﻳﺴﺘﺪﻋﻲ ﺍﻟﺸﻜﺮ.""","""Hoh‐hoh‐ho, I haven't done a~nything that requires thanks.""","""Hoh-hoh-ho, aku tidak melakukan apa-apa yang perlu diberi terima kasih.""","""Hoh-hoh-ho, teşekkürü gerektirecek hiç~bir şey yapmadım."""
